step,energy,activation_count,temperature
0,-2481.6646021728175,419,3.0
1,-2518.1188659791906,399,2.955
2,-2219.807650386449,374,2.910675
3,-2782.428960719101,403,2.8670148749999997
4,-2527.4993046679774,391,2.8240096518749995
5,-2477.2017767137568,382,2.7816495070968745
6,-2939.8063211191175,398,2.7399247644904214
7,-2596.6004775620695,380,2.698825893023065
8,-2684.340727719178,384,2.658343504627719
9,-2591.1727418974847,379,2.6184683520583034
10,-2699.586441728219,387,2.579191326777429
11,-2688.2370148911887,387,2.5405034568757676
12,-2953.2210318594425,398,2.502395905022631
13,-2724.068447864104,383,2.4648599664472917
14,-2659.6014229793554,379,2.427887066950582
15,-2713.6627662318465,380,2.3914687609463234
16,-2706.6732612114533,379,2.3555967295321287
17,-2710.866348055355,381,2.320262778589147
18,-2764.432360897765,378,2.2854588369103097
19,-2852.3901719189857,387,2.251176954356655
20,-2794.8332065407535,385,2.217409300041305
21,-2703.1349628542016,374,2.1841481605406856
22,-2929.825559736632,388,2.1513859381325755
23,-2886.992156759765,380,2.119115149060587
24,-2757.33153282126,373,2.087328421824678
25,-2939.07232073099,378,2.056018495497308
26,-2907.5011302156868,370,2.0251782180648483
27,-3063.903690136907,382,1.9948005447938755
28,-3112.0712215699655,384,1.9648785366219672
29,-3021.837008440444,372,1.9354053585726376
30,-2985.029683761919,366,1.906374278194048
31,-3158.7192026369007,382,1.8777786640211374
32,-3363.4446531903936,389,1.8496119840608203
33,-2978.805069508926,361,1.821867804299908
34,-3103.7037247523926,373,1.7945397872354092
35,-3408.4240768559953,387,1.767621690426878
36,-3404.1631145217907,384,1.7411073650704747
37,-3417.23700185584,385,1.7149907545944176
38,-3258.380632632619,378,1.6892658932755014
39,-3257.2038425592004,377,1.6639269048763687
40,-3165.839379320542,370,1.6389680013032233
41,-3288.5415903394555,374,1.6143834812836748
42,-3329.212350674462,377,1.5901677290644196
43,-3379.245138864806,380,1.5663152131284532
44,-3558.499103183452,385,1.5428204849315263
45,-3321.7254587418124,365,1.5196781776575534
46,-3488.950293172898,372,1.49688300499269
47,-3566.104306148676,379,1.4744297599177996
48,-3536.2429358322975,375,1.4523133135190325
49,-3703.6084657880033,381,1.430528613816247
50,-3640.1802785425252,377,1.4090706846090033
51,-3627.669024561691,379,1.3879346243398683
52,-3701.3216777483976,381,1.3671156049747701
53,-3558.6192435937705,374,1.3466088709001485
54,-3599.6796673053623,377,1.3264097378366462
55,-3644.009327818428,379,1.3065135917690964
56,-3625.756279550411,377,1.28691588789256
57,-3563.7325014685316,374,1.2676121495741715
58,-3625.8930412889877,375,1.248597967330559
59,-3651.176427242365,376,1.2298689978206006
60,-3567.72040168752,371,1.2114209628532915
61,-3707.8952997230053,380,1.1932496484104922
62,-3703.9908749229053,377,1.1753509036843348
63,-3753.655698758903,381,1.1577206401290698
64,-3889.639917757105,387,1.1403548305271338
65,-3853.2672081454225,385,1.1232495080692269
66,-3768.2478806409454,380,1.1064007654481884
67,-3762.0647978897828,379,1.0898047539664657
68,-3726.254882782575,377,1.0734576826569686
69,-3722.7499271126007,376,1.057355817417114
70,-3872.048095822551,385,1.0414954801558574
71,-3784.2834921661924,380,1.0258730479535194
72,-3799.270748223409,381,1.0104849522342165
73,-3717.4354759099565,376,0.9953276779507033
74,-3662.1446811306987,373,0.9803977627814427
75,-3817.422366868338,383,0.9656917963397211
76,-3786.863764639964,380,0.9512064193946252
77,-3700.883323005327,374,0.9369383231037058
78,-3649.6255887283023,370,0.9228842482571502
79,-3635.0424741800693,368,0.909040984533293
80,-3719.846873082863,373,0.8954053697652935
81,-3724.348247825332,373,0.881974289218814
82,-3698.7162232740034,371,0.8687446748805319
83,-3649.1874206984567,369,0.8557135047573239
84,-3767.0572157359707,376,0.842877802185964
85,-3768.9227151573496,375,0.8302346351531745
86,-3793.5943367576624,376,0.8177811156258769
87,-3829.725598063925,378,0.8055143988914887
88,-3892.7392165088395,381,0.7934316829081164
89,-3856.0699144511345,379,0.7815302076644947
90,-3797.099651221184,375,0.7698072545495273
91,-3864.5538188709475,379,0.7582601457312843
92,-3798.326197239402,375,0.7468862435453151
93,-3805.6438305487295,376,0.7356829498921353
94,-3895.4292182362074,381,0.7246477056437532
95,-3791.842121549594,375,0.7137779900590969
96,-3862.1417067292273,379,0.7030713202082105
97,-3914.911746270835,382,0.6925252504050874
98,-3893.567824623894,381,0.6821373716490111
99,-3747.2493677083853,372,0.671905311074276
100,-3810.438560842806,376,0.6618267314081618
101,-3880.7424434805516,380,0.6518993304370394
102,-3874.6567352544025,380,0.6421208404804838
103,-3872.570609946326,380,0.6324890278732765
104,-3856.4824600085963,379,0.6230016924551773
105,-3899.9364409185873,381,0.6136566670683496
106,-3899.706760492563,381,0.6044518170623244
107,-3996.122988781063,386,0.5953850398063896
108,-3935.046109948081,383,0.5864542642092937
109,-3897.306631799695,381,0.5776574502461543
110,-3892.4051860771774,381,0.568992588492462
111,-3902.0226124319233,381,0.5604576996650751
112,-3913.8840734651412,382,0.5520508341700989
113,-3900.142313408863,381,0.5437700716575474
114,-3897.7902189899087,381,0.5356135205826842
115,-3863.5133675573543,379,0.527579317773944
116,-3865.6975943337898,379,0.5196656280073348
117,-3865.6655423848747,379,0.5118706435872248
118,-3884.024479384466,380,0.5041925839334164
119,-3884.2412276832706,380,0.49662969517441513
120,-3962.7827396918674,384,0.4891802497467989
121,-3943.4532052233853,383,0.4818425460005969
122,-3889.5974172147826,380,0.47461490781058796
123,-3852.6088441070046,378,0.46749568419342913
124,-3778.3275129884405,373,0.46048324893052767
125,-3791.406644531067,374,0.45357600019656974
126,-3775.21768826297,373,0.4467723601936212
127,-3897.2705041285844,380,0.4400707747907169
128,-3935.829360190125,382,0.43346971316885613
129,-3852.306186313026,377,0.4269676674713233
130,-3853.7442771929263,377,0.42056315245925346
131,-3941.338612869398,382,0.4142547051723647
132,-3839.776646574676,376,0.4080408845947792
133,-3873.1364418471217,378,0.4019202713258575
134,-3964.449630748133,383,0.39589146725596963
135,-3928.77266299391,381,0.38995309524713007
136,-3926.9174606985785,381,0.3841037988184231
137,-3949.4580344581886,382,0.37834224183614673
138,-3895.0114958319273,379,0.37266710820860455
139,-3912.8278338533737,380,0.36707710158547546
140,-3930.8992309504442,381,0.36157094506169335
141,-3877.068537771213,378,0.3561473808857679
142,-3877.2365025905897,378,0.3508051701724814
143,-3877.433034895749,378,0.3455430926198942
144,-3843.6900832950582,376,0.3403599462305958
145,-3843.9644553334565,376,0.33525454703713686
146,-3949.7508253420974,382,0.3302257288315798
147,-3895.11376266502,379,0.3252723428991061
148,-3875.510935064392,378,0.3203932577556195
149,-3912.974968236097,380,0.3155873588892852
150,-3931.423453943789,381,0.3108535485059459
151,-3911.3099457277435,380,0.30619074527835666
152,-3952.4780186140383,382,0.3015978840991813
153,-3934.025329274463,381,0.2970739158376936
154,-4010.0714351553574,385,0.2926178071001282
155,-3898.2360530453625,379,0.28822853999362624
156,-3934.1339826746694,381,0.28390511189372186
157,-3863.521991630182,377,0.279646535215316
158,-3880.433418392406,378,0.27545183718708627
159,-3898.3119232259487,379,0.27132005962927996
160,-3916.2262037832434,380,0.26725025873484076
161,-3953.1445912754416,382,0.26324150485381814
162,-3934.3287731752757,381,0.2592928822810109
163,-3898.305351522971,379,0.2554034890467957
164,-3952.8313116742884,382,0.2515724367110938
165,-3951.2236673897996,382,0.2477988501604274
166,-3915.890119447049,380,0.24408186740802099
167,-3952.721383673046,382,0.24042063939690067
168,-3971.976024370705,383,0.23681432980594716
169,-3920.374670583086,380,0.23326211485885795
170,-3956.897862553783,382,0.22976318313597507
171,-3920.210204510658,380,0.22631673538893546
172,-3902.365937124868,379,0.22292198435810143
173,-3956.7893765650156,382,0.2195781545927299
174,-3902.4134084567586,379,0.21628448227383895
175,-3938.441778045467,381,0.21304021503973136
176,-3975.700024174038,383,0.20984461181413538
177,-3975.765129953227,383,0.20669694263692334
178,-3884.7414862951605,378,0.2035964884973695
179,-3994.9292989552177,384,0.20054254116990897
180,-3994.8405221559806,384,0.19753440305236034
181,-3851.038298831056,376,0.19457138700657492
182,-3956.956712587239,382,0.19165281620147628
183,-3938.414192075183,381,0.18877802395845414
184,-3920.1023817134223,380,0.18594635359907732
185,-3902.408903164992,379,0.18315715829509116
186,-3902.272843335172,379,0.1804098009206648
187,-3994.858610645077,384,0.17770365390685483
188,-3920.3274657355882,380,0.175038099098252
189,-3956.9771505993835,382,0.17241252761177822
190,-3956.9464966579517,382,0.16982633969760155
191,-3920.17217182668,380,0.16727894460213752
192,-3867.5441033803563,377,0.16476976043310546
193,-3902.315930168395,379,0.16229821402660888
194,-3919.975757324462,380,0.15986374081620974
195,-3902.224474731946,379,0.1574657847039666
196,-3920.0517131153656,380,0.15510379793340712
197,-3867.5493727692274,377,0.152777240964406
198,-3902.174925485215,379,0.15048558234993992
199,-3902.2529469695014,379,0.1482282986146908
200,-3938.197680916194,381,0.14600487413547045
