step,energy,activation_count,temperature
0,-2398.6378346611214,419,3.0
1,-2264.714903872207,392,2.955
2,-2503.153723431394,390,2.910675
3,-2534.4779016707093,388,2.8670148749999997
4,-2424.4373485326605,381,2.8240096518749995
5,-2635.859448213945,387,2.7816495070968745
6,-2728.624437582257,387,2.7399247644904214
7,-2672.467303051054,386,2.698825893023065
8,-2736.8829824035174,391,2.658343504627719
9,-2601.9122613173686,385,2.6184683520583034
10,-2780.5431736950272,390,2.579191326777429
11,-2584.3300718033643,383,2.5405034568757676
12,-2404.57939762656,374,2.502395905022631
13,-2597.2992737318104,379,2.4648599664472917
14,-2585.1190946252605,374,2.427887066950582
15,-2808.8450817229973,383,2.3914687609463234
16,-2767.382112136748,381,2.3555967295321287
17,-2969.600168932823,388,2.320262778589147
18,-2766.1454796293756,379,2.2854588369103097
19,-2899.1921021330604,380,2.251176954356655
20,-2977.7337732356746,385,2.217409300041305
21,-3255.0626209113243,396,2.1841481605406856
22,-3186.049859815045,390,2.1513859381325755
23,-3124.9886698576584,384,2.119115149060587
24,-2915.236869171903,370,2.087328421824678
25,-3165.6178422255534,385,2.056018495497308
26,-3137.6232306460793,382,2.0251782180648483
27,-3037.1297395218694,375,1.9948005447938755
28,-3134.3689094846673,379,1.9648785366219672
29,-3148.5557549745963,378,1.9354053585726376
30,-3094.7048867049166,373,1.906374278194048
31,-3317.571536081781,386,1.8777786640211374
32,-3312.124005267837,382,1.8496119840608203
33,-3199.3150176801273,378,1.821867804299908
34,-3275.2098124766326,378,1.7945397872354092
35,-3209.21330156141,375,1.767621690426878
36,-3332.330188272361,383,1.7411073650704747
37,-3327.5158088260755,380,1.7149907545944176
38,-3213.5355789160426,368,1.6892658932755014
39,-3438.9598986427595,380,1.6639269048763687
40,-3365.2800111826655,373,1.6389680013032233
41,-3410.599543039529,376,1.6143834812836748
42,-3414.5599931556917,373,1.5901677290644196
43,-3771.227008222541,389,1.5663152131284532
44,-3490.8578864474603,373,1.5428204849315263
45,-3582.7179192078256,376,1.5196781776575534
46,-3511.410002500924,369,1.49688300499269
47,-3442.483261779585,364,1.4744297599177996
48,-3631.1534637368313,376,1.4523133135190325
49,-3506.0282318261065,371,1.430528613816247
50,-3569.640876203129,371,1.4090706846090033
51,-3597.254372259933,373,1.3879346243398683
52,-3731.2567461767107,381,1.3671156049747701
53,-3654.562047741946,376,1.3466088709001485
54,-3667.5412526706473,376,1.3264097378366462
55,-3604.9052106388526,371,1.3065135917690964
56,-3673.1959072935483,372,1.28691588789256
57,-3723.475337299626,376,1.2676121495741715
58,-3832.556297097516,382,1.248597967330559
59,-3861.392334346291,382,1.2298689978206006
60,-3743.7815220208727,376,1.2114209628532915
61,-3653.7273165570136,369,1.1932496484104922
62,-3703.2036109297283,372,1.1753509036843348
63,-3675.092472868774,371,1.1577206401290698
64,-3716.667570709409,374,1.1403548305271338
65,-3715.6519457237805,374,1.1232495080692269
66,-3815.361630299144,379,1.1064007654481884
67,-3816.333797904165,379,1.0898047539664657
68,-3845.259700687053,381,1.0734576826569686
69,-3737.090413487838,375,1.057355817417114
70,-3699.162177777601,373,1.0414954801558574
71,-3684.3509669556897,370,1.0258730479535194
72,-3682.0509943061893,371,1.0104849522342165
73,-3750.141123859531,374,0.9953276779507033
74,-3775.0442661140655,374,0.9803977627814427
