step,energy,activation_count,temperature
0,-2381.1038728711046,419,3.0
1,-2461.546970222126,402,2.955
2,-2377.3495366584216,395,2.910675
3,-2500.2714641375815,391,2.8670148749999997
4,-2486.296014171244,391,2.8240096518749995
5,-2720.657622928329,399,2.7816495070968745
6,-2836.931119365889,398,2.7399247644904214
7,-2393.060442390298,376,2.698825893023065
8,-2655.153889091185,388,2.658343504627719
9,-2474.299133988857,377,2.6184683520583034
10,-3022.153613213897,401,2.579191326777429
11,-2742.4426172511944,390,2.5405034568757676
12,-2871.6195112571786,398,2.502395905022631
13,-2899.0483614021423,392,2.4648599664472917
14,-2658.744525642428,378,2.427887066950582
15,-2853.737195913382,391,2.3914687609463234
16,-2847.3638725941278,388,2.3555967295321287
17,-2778.044401803902,378,2.320262778589147
18,-2687.8757463757715,375,2.2854588369103097
19,-2865.863883004548,386,2.251176954356655
20,-2765.4220396124156,380,2.217409300041305
21,-2861.242446217539,385,2.1841481605406856
22,-2869.1320768236333,385,2.1513859381325755
23,-3028.4773015295145,391,2.119115149060587
24,-2899.9677944413766,380,2.087328421824678
25,-2962.1602033687236,378,2.056018495497308
26,-3155.8043434980873,388,2.0251782180648483
27,-3114.114670877287,383,1.9948005447938755
28,-3139.7847045006533,382,1.9648785366219672
29,-3285.4357220272905,388,1.9354053585726376
30,-3190.1450458852737,379,1.906374278194048
31,-3046.3451940128234,374,1.8777786640211374
32,-3359.6303972510073,393,1.8496119840608203
33,-3207.242795247985,382,1.821867804299908
34,-3315.0441208098896,384,1.7945397872354092
35,-3197.070125949823,378,1.767621690426878
36,-3146.043012760721,376,1.7411073650704747
37,-3376.1992873040163,381,1.7149907545944176
38,-3375.604613561053,379,1.6892658932755014
39,-3413.445153284057,382,1.6639269048763687
40,-3523.201897930235,383,1.6389680013032233
41,-3573.45945009033,387,1.6143834812836748
42,-3695.773949348819,389,1.5901677290644196
43,-3552.3943552541004,382,1.5663152131284532
44,-3534.125753100694,382,1.5428204849315263
45,-3688.626712840462,388,1.5196781776575534
46,-3478.729483254233,376,1.49688300499269
47,-3550.7951127801753,380,1.4744297599177996
48,-3484.9945874856257,377,1.4523133135190325
49,-3596.816960737343,380,1.430528613816247
50,-3530.0421382072077,376,1.4090706846090033
51,-3543.46974991494,376,1.3879346243398683
52,-3619.0635576904356,380,1.3671156049747701
53,-3664.429467835488,381,1.3466088709001485
54,-3655.8248034435355,382,1.3264097378366462
55,-3625.045061890279,377,1.3065135917690964
56,-3588.185427179812,375,1.28691588789256
57,-3645.7642689259415,377,1.2676121495741715
58,-3601.0751195587814,376,1.248597967330559
59,-3666.2947610253814,379,1.2298689978206006
60,-3753.4143492751027,383,1.2114209628532915
61,-3847.77827322803,387,1.1932496484104922
62,-3789.831643378706,384,1.1753509036843348
63,-3894.041333041394,389,1.1577206401290698
64,-3611.532911864824,374,1.1403548305271338
65,-3730.5396565367605,383,1.1232495080692269
66,-3633.0022026114357,375,1.1064007654481884
67,-3699.443243867734,379,1.0898047539664657
68,-3745.2186946291204,381,1.0734576826569686
69,-3671.167346554562,377,1.057355817417114
70,-3577.585005750735,370,1.0414954801558574
71,-3697.112072509259,378,1.0258730479535194
72,-3636.34081913044,374,1.0104849522342165
73,-3679.8406444384423,378,0.9953276779507033
74,-3725.9757094474635,379,0.9803977627814427
75,-3608.732744654998,371,0.9656917963397211
76,-3720.725264032669,378,0.9512064193946252
77,-3719.5444317369124,378,0.9369383231037058
78,-3676.1448041057906,376,0.9228842482571502
79,-3705.0136410422306,377,0.909040984533293
80,-3767.4139442041183,380,0.8954053697652935
81,-3655.7772618729095,373,0.881974289218814
82,-3670.90750497893,374,0.8687446748805319
83,-3830.8761242462074,383,0.8557135047573239
84,-3838.623193014141,384,0.842877802185964
85,-3903.369505931756,386,0.8302346351531745
86,-3845.8804192730254,383,0.8177811156258769
87,-3852.365004983584,383,0.8055143988914887
88,-3915.174061805175,387,0.7934316829081164
89,-3810.1650042331335,381,0.7815302076644947
90,-3777.5274148603753,379,0.7698072545495273
