step,energy,activation_count,temperature
0,-2413.320355641119,419,3.0
1,-2310.1853617869165,392,2.955
2,-2562.326016278797,395,2.910675
3,-2579.4101764085262,392,2.8670148749999997
4,-2685.126701599662,394,2.8240096518749995
5,-2391.2896610915063,377,2.7816495070968745
6,-2602.4236495595,391,2.7399247644904214
7,-2565.934958851656,384,2.698825893023065
8,-2799.701237202727,398,2.658343504627719
9,-2591.182251749665,383,2.6184683520583034
10,-2820.8819461613884,390,2.579191326777429
11,-2914.6741343688595,396,2.5405034568757676
12,-2872.7745145740737,392,2.502395905022631
13,-2743.584922831139,379,2.4648599664472917
14,-2902.4212954884842,386,2.427887066950582
15,-2886.312610555396,392,2.3914687609463234
16,-2737.247285509972,383,2.3555967295321287
17,-2960.791550221773,386,2.320262778589147
18,-2976.0703078902397,382,2.2854588369103097
19,-2965.9335483238806,387,2.251176954356655
20,-2747.409154922276,379,2.217409300041305
21,-3158.3947624095854,395,2.1841481605406856
22,-2895.0622520965094,380,2.1513859381325755
23,-2746.0216568809865,372,2.119115149060587
24,-3065.957185494452,388,2.087328421824678
25,-3049.8920636763087,386,2.056018495497308
26,-3087.86355826657,382,2.0251782180648483
27,-2941.483621049084,377,1.9948005447938755
28,-3143.371918889473,389,1.9648785366219672
29,-3112.491535112807,384,1.9354053585726376
30,-3120.8518185407524,380,1.906374278194048
31,-3204.3238430563338,381,1.8777786640211374
32,-3259.1197647672584,385,1.8496119840608203
33,-3180.9593265080466,377,1.821867804299908
34,-3299.9880518107566,383,1.7945397872354092
35,-3204.809966806327,378,1.767621690426878
36,-3103.8818438004137,374,1.7411073650704747
37,-3266.609670792614,379,1.7149907545944176
38,-3441.6766767120075,387,1.6892658932755014
39,-3331.951429739525,377,1.6639269048763687
40,-3487.535116830982,382,1.6389680013032233
41,-3579.2270065115363,384,1.6143834812836748
42,-3500.9599213524416,378,1.5901677290644196
43,-3613.801194468501,382,1.5663152131284532
44,-3508.909514987464,376,1.5428204849315263
45,-3638.141009593915,383,1.5196781776575534
46,-3809.952415481147,391,1.49688300499269
47,-3554.119497590994,377,1.4744297599177996
48,-3577.343288475378,378,1.4523133135190325
49,-3544.6512392303366,377,1.430528613816247
50,-3762.480136664133,384,1.4090706846090033
51,-3871.3265966169733,388,1.3879346243398683
52,-3965.1873804869165,392,1.3671156049747701
