step,energy,activation_count,temperature
0,-2417.432848979849,419,3.0
1,-2028.2817645480993,370,2.955
2,-2335.1605118717307,383,2.910675
3,-2646.2092915632393,397,2.8670148749999997
4,-2742.980769439962,397,2.8240096518749995
5,-2723.4329016233864,394,2.7816495070968745
6,-2607.8373006697966,386,2.7399247644904214
7,-2565.936434392772,383,2.698825893023065
8,-2516.7137204832698,382,2.658343504627719
9,-2618.1097321423945,388,2.6184683520583034
10,-2519.854736648973,381,2.579191326777429
11,-2438.122163603743,375,2.5405034568757676
12,-2533.1066745532235,382,2.502395905022631
13,-2632.4899031611694,380,2.4648599664472917
14,-2707.389701110195,384,2.427887066950582
15,-2717.208575004535,383,2.3914687609463234
16,-2906.694291671725,388,2.3555967295321287
17,-2726.815554181771,378,2.320262778589147
18,-2790.1090419762677,377,2.2854588369103097
19,-2678.461461306164,367,2.251176954356655
20,-2999.2214382569177,390,2.217409300041305
21,-2966.699241875313,389,2.1841481605406856
22,-3138.129180637756,391,2.1513859381325755
23,-3113.3741827634176,384,2.119115149060587
24,-3134.476298572506,377,2.087328421824678
25,-3205.9259624591127,384,2.056018495497308
26,-2955.7168799230762,371,2.0251782180648483
27,-3034.8727801367363,366,1.9948005447938755
28,-3049.874684836356,371,1.9648785366219672
29,-3337.281016148643,386,1.9354053585726376
30,-3249.4910717378325,375,1.906374278194048
31,-3329.460544541854,383,1.8777786640211374
32,-3350.336102317191,375,1.8496119840608203
33,-3547.9884493105587,387,1.821867804299908
34,-3309.1866962213644,375,1.7945397872354092
35,-3222.41681660763,371,1.767621690426878
36,-3255.4513765747165,372,1.7411073650704747
37,-3451.5372574711755,377,1.7149907545944176
38,-3364.507474505632,371,1.6892658932755014
39,-3560.8688058776697,388,1.6639269048763687
40,-3601.7804434115674,387,1.6389680013032233
41,-3585.7420915033617,382,1.6143834812836748
42,-3355.54032089702,366,1.5901677290644196
43,-3746.0093791171657,386,1.5663152131284532
44,-3586.644064665693,379,1.5428204849315263
45,-3470.1230833510353,368,1.5196781776575534
46,-3650.778548614903,377,1.49688300499269
47,-3641.0598383116185,375,1.4744297599177996
48,-3645.1967513889977,376,1.4523133135190325
49,-3676.5442468267993,380,1.430528613816247
50,-3607.4082129964245,375,1.4090706846090033
51,-3566.620585047281,372,1.3879346243398683
52,-3536.8666903086137,368,1.3671156049747701
53,-3589.314879057259,369,1.3466088709001485
54,-3671.763708555602,373,1.3264097378366462
55,-3727.430175503744,377,1.3065135917690964
56,-3778.1552331535386,379,1.28691588789256
57,-3789.1015209900247,380,1.2676121495741715
58,-3663.4954664838165,372,1.248597967330559
59,-3610.6118616227686,367,1.2298689978206006
60,-3804.0973498220237,379,1.2114209628532915
61,-3680.0058694228205,371,1.1932496484104922
62,-3802.341608340126,379,1.1753509036843348
63,-3882.669060482399,384,1.1577206401290698
64,-3878.163401528388,382,1.1403548305271338
65,-3716.159982817849,372,1.1232495080692269
66,-3828.7253897956793,378,1.1064007654481884
67,-3832.1771561780765,378,1.0898047539664657
68,-3759.01112870025,373,1.0734576826569686
69,-3795.186716575641,375,1.057355817417114
70,-3774.6291147723978,375,1.0414954801558574
71,-3829.6695836034974,378,1.0258730479535194
72,-3848.6664279581646,379,1.0104849522342165
73,-3843.4912199941605,377,0.9953276779507033
74,-3821.2733519653707,376,0.9803977627814427
75,-3885.378322216341,379,0.9656917963397211
76,-3807.6364270040726,374,0.9512064193946252
77,-3840.3658011130738,375,0.9369383231037058
78,-3772.491317771604,371,0.9228842482571502
79,-3843.4437789985923,376,0.909040984533293
80,-3915.0388650746613,380,0.8954053697652935
81,-3840.4437673478633,376,0.881974289218814
82,-3789.8268576876576,373,0.8687446748805319
83,-3882.885090623854,379,0.8557135047573239
84,-3812.786466688677,374,0.842877802185964
85,-3884.0867374738905,378,0.8302346351531745
86,-4008.630463144044,385,0.8177811156258769
87,-3978.3047987727696,384,0.8055143988914887
88,-3944.825947348777,382,0.7934316829081164
89,-3937.8999292841527,382,0.7815302076644947
90,-3964.869884872196,383,0.7698072545495273
91,-4047.4958033062235,387,0.7582601457312843
92,-3942.2919236548896,382,0.7468862435453151
93,-3911.5907332298407,380,0.7356829498921353
94,-3780.463761071655,372,0.7246477056437532
95,-3847.429760615303,376,0.7137779900590969
96,-3863.322081056661,377,0.7030713202082105
97,-3867.0232739589555,377,0.6925252504050874
98,-3902.2578037558615,379,0.6821373716490111
99,-3906.5577312024616,379,0.671905311074276
100,-3982.420117239246,383,0.6618267314081618
101,-3979.2146634169117,383,0.6518993304370394
102,-3794.7644609418185,372,0.6421208404804838
103,-3876.1394500654583,377,0.6324890278732765
104,-3859.282767905027,376,0.6230016924551773
105,-3968.9417185365637,382,0.6136566670683496
106,-3988.373949326609,383,0.6044518170623244
107,-4008.1844759456208,384,0.5953850398063896
108,-3885.197828591321,377,0.5864542642092937
109,-3918.202446742497,379,0.5776574502461543
110,-3922.0214229226203,379,0.568992588492462
111,-3904.348061704009,378,0.5604576996650751
112,-3889.541779984203,377,0.5520508341700989
113,-3900.9132456775883,378,0.5437700716575474
114,-4010.5185969413474,384,0.5356135205826842
115,-3885.498039496704,377,0.527579317773944
116,-3940.3113223488554,380,0.5196656280073348
117,-3871.6237951856087,376,0.5118706435872248
118,-3873.952341506445,376,0.5041925839334164
119,-3924.950638178495,379,0.49662969517441513
120,-3873.750684355386,376,0.4891802497467989
121,-3954.3327228708404,381,0.4818425460005969
122,-3924.6822393935627,379,0.47461490781058796
123,-3887.500768378179,377,0.46749568419342913
124,-3955.4740714510053,381,0.46048324893052767
125,-3941.0757776849214,380,0.45357600019656974
126,-3998.36771536196,383,0.4467723601936212
127,-3909.593013051443,378,0.4400707747907169
128,-3944.9343713563103,380,0.43346971316885613
129,-3925.0477936058533,379,0.4269676674713233
130,-3909.4919556672544,378,0.42056315245925346
131,-3926.0242745972428,379,0.4142547051723647
132,-3999.5772359527987,383,0.4080408845947792
133,-3842.994705780884,374,0.4019202713258575
134,-3875.451217178189,376,0.39589146725596963
135,-3927.184480736365,379,0.38995309524713007
136,-3963.15911711073,381,0.3841037988184231
137,-3927.2545007209774,379,0.37834224183614673
138,-3963.07607107078,381,0.37266710820860455
139,-3962.3848735821803,381,0.36707710158547546
140,-4017.038517987019,384,0.36157094506169335
141,-3942.245198388664,380,0.3561473808857679
142,-3925.6459220425304,379,0.3508051701724814
143,-3943.3855257878095,380,0.3455430926198942
144,-3961.8788893873325,381,0.3403599462305958
145,-3945.091512386407,380,0.33525454703713686
146,-3892.9035175629483,377,0.3302257288315798
147,-3963.0781000900715,381,0.3252723428991061
148,-3981.997762694975,382,0.3203932577556195
149,-3963.0236234247586,381,0.3155873588892852
150,-3876.4591710576183,376,0.3108535485059459
151,-3963.939846412539,381,0.30619074527835666
152,-3910.788115812465,378,0.3015978840991813
153,-3910.265247276517,378,0.2970739158376936
154,-3876.7017337868956,376,0.2926178071001282
155,-3910.504059885507,378,0.28822853999362624
156,-3928.0638549834603,379,0.28390511189372186
157,-3928.092773896801,379,0.279646535215316
158,-3945.8669754577795,380,0.27545183718708627
159,-3927.9776163589568,379,0.27132005962927996
160,-3910.643303524043,378,0.26725025873484076
161,-3963.7849812100694,381,0.26324150485381814
162,-3945.7627788115005,380,0.2592928822810109
163,-3893.2986067135794,377,0.2554034890467957
