step,energy,activation_count,temperature
0,-2426.286151297386,419,3.0
1,-2328.070687488745,386,2.955
2,-2359.591105312438,386,2.910675
3,-2692.7078471995314,398,2.8670148749999997
4,-2889.1861041587636,402,2.8240096518749995
5,-2727.5854008912806,391,2.7816495070968745
6,-2802.3745021566465,390,2.7399247644904214
7,-2823.362753636497,384,2.698825893023065
8,-2801.480536988819,387,2.658343504627719
9,-2744.84602395718,386,2.6184683520583034
10,-2741.4742139411037,382,2.579191326777429
11,-2699.018844665138,378,2.5405034568757676
12,-3029.8087158753538,390,2.502395905022631
13,-2809.7878912182114,387,2.4648599664472917
14,-2832.606522285811,388,2.427887066950582
15,-2545.0536162969947,371,2.3914687609463234
16,-2638.930429298227,372,2.3555967295321287
17,-2776.646846906073,382,2.320262778589147
18,-2613.564263824261,372,2.2854588369103097
19,-2840.9713390645147,381,2.251176954356655
20,-3003.6952051896474,384,2.217409300041305
21,-2987.8846984651773,381,2.1841481605406856
22,-2790.9305557362927,375,2.1513859381325755
23,-2978.3396282792223,377,2.119115149060587
24,-3257.9543694560152,388,2.087328421824678
25,-3011.677672503793,372,2.056018495497308
26,-2922.2919702382264,369,2.0251782180648483
27,-3148.2426342750914,385,1.9948005447938755
28,-2942.9215652190096,370,1.9648785366219672
29,-3026.9781967501763,376,1.9354053585726376
30,-3066.6749293601483,376,1.906374278194048
31,-3033.0309310032007,369,1.8777786640211374
32,-3144.2102943949026,376,1.8496119840608203
33,-3258.818899631559,382,1.821867804299908
34,-3120.1050781756044,372,1.7945397872354092
35,-3257.7518638157026,373,1.767621690426878
36,-3359.30167380206,379,1.7411073650704747
37,-3301.2430247618718,374,1.7149907545944176
38,-3506.1762308869124,387,1.6892658932755014
39,-3283.0426755248973,372,1.6639269048763687
40,-3217.9358636071984,370,1.6389680013032233
41,-3167.784006308873,367,1.6143834812836748
42,-3400.1240398614323,377,1.5901677290644196
43,-3419.715804749427,377,1.5663152131284532
44,-3332.1328217501396,366,1.5428204849315263
45,-3519.946083280761,378,1.5196781776575534
46,-3477.148050300187,371,1.49688300499269
47,-3629.4872121495587,379,1.4744297599177996
48,-3546.104170930265,374,1.4523133135190325
49,-3704.9220484134953,383,1.430528613816247
50,-3577.8238179783075,373,1.4090706846090033
51,-3648.3861241222066,380,1.3879346243398683
52,-3575.9318860726867,374,1.3671156049747701
53,-3693.646730743956,380,1.3466088709001485
54,-3582.8855153178642,372,1.3264097378366462
55,-3560.3427262107816,371,1.3065135917690964
56,-3790.278628407627,384,1.28691588789256
57,-3748.8980212666197,381,1.2676121495741715
58,-3670.3682165003697,375,1.248597967330559
59,-3749.6751575999297,380,1.2298689978206006
60,-3889.357860030854,386,1.2114209628532915
61,-3885.9161375371564,386,1.1932496484104922
62,-3905.86167325185,386,1.1753509036843348
63,-3924.65672504642,386,1.1577206401290698
64,-3993.879003831229,390,1.1403548305271338
65,-3835.4639723032064,382,1.1232495080692269
66,-3842.3784543212946,381,1.1064007654481884
67,-3764.018982592633,377,1.0898047539664657
68,-3781.115164700196,376,1.0734576826569686
69,-3825.5883331374994,379,1.057355817417114
70,-3805.2570837607627,378,1.0414954801558574
71,-3745.0140148795936,375,1.0258730479535194
72,-4003.2936479888795,389,1.0104849522342165
73,-3837.635696965727,379,0.9953276779507033
74,-3939.272483165721,383,0.9803977627814427
75,-3862.2465858968244,378,0.9656917963397211
76,-3911.2300882486884,381,0.9512064193946252
77,-3751.694988425951,372,0.9369383231037058
78,-3813.4512441491042,375,0.9228842482571502
79,-3770.2619845625823,372,0.909040984533293
80,-3906.455684262683,380,0.8954053697652935
81,-3856.5241811476176,377,0.881974289218814
82,-3916.151718172301,381,0.8687446748805319
83,-3777.461300929817,373,0.8557135047573239
84,-3899.396986435445,380,0.842877802185964
85,-3821.4089257836627,375,0.8302346351531745
86,-3856.192117707767,377,0.8177811156258769
87,-3841.90567139422,376,0.8055143988914887
88,-3878.770121287909,378,0.7934316829081164
89,-3882.205118671196,378,0.7815302076644947
90,-3838.5137304478694,375,0.7698072545495273
91,-3923.6249771425296,380,0.7582601457312843
92,-3884.966415921841,378,0.7468862435453151
93,-3904.5413867227703,379,0.7356829498921353
94,-3831.700591116685,375,0.7246477056437532
95,-3812.063308188646,374,0.7137779900590969
96,-3784.4313055198427,372,0.7030713202082105
97,-3743.8499941654313,369,0.6925252504050874
98,-3802.6482181428437,373,0.6821373716490111
99,-3828.2250925158396,375,0.671905311074276
100,-3790.342593129468,372,0.6618267314081618
101,-3906.317358921942,379,0.6518993304370394
102,-3767.236877467042,370,0.6421208404804838
103,-3845.4556559828343,375,0.6324890278732765
104,-3898.4789944880667,378,0.6230016924551773
105,-3866.795653418881,376,0.6136566670683496
106,-3817.6421776198504,373,0.6044518170623244
107,-3831.0609497126447,374,0.5953850398063896
108,-3819.091583422712,373,0.5864542642092937
109,-3759.435987184084,369,0.5776574502461543
110,-3731.3109579269512,367,0.568992588492462
111,-3828.062311140136,374,0.5604576996650751
112,-3842.397444642041,375,0.5520508341700989
113,-3814.173495949303,373,0.5437700716575474
114,-3828.6745813974744,374,0.5356135205826842
115,-3875.109263146643,377,0.527579317773944
116,-3987.744769525852,383,0.5196656280073348
117,-3899.939676045894,378,0.5118706435872248
118,-3915.1066336196986,379,0.5041925839334164
119,-3914.9274158864796,379,0.49662969517441513
120,-3950.2063200204857,381,0.4891802497467989
121,-3803.768257624902,372,0.4818425460005969
122,-3915.2818808247443,379,0.47461490781058796
123,-3898.859663088555,378,0.46749568419342913
124,-3757.2666219184616,369,0.46048324893052767
125,-3849.1816904713824,375,0.45357600019656974
126,-3850.997969808503,375,0.4467723601936212
127,-3914.2698791502394,379,0.4400707747907169
128,-3912.1466147291644,379,0.43346971316885613
129,-3918.2159960066697,379,0.4269676674713233
130,-3881.9364176327886,377,0.42056315245925346
131,-3832.5720691381316,374,0.4142547051723647
132,-3834.4536869792646,374,0.4080408845947792
133,-3900.453430946516,378,0.4019202713258575
134,-3935.9922237569926,380,0.39589146725596963
135,-3883.8590420026167,377,0.38995309524713007
136,-3884.262330299264,377,0.3841037988184231
137,-3850.650111917002,375,0.37834224183614673
138,-3883.650874966838,377,0.37266710820860455
139,-3866.426872530863,376,0.36707710158547546
140,-3936.0287984012753,380,0.36157094506169335
141,-3919.0829366891116,379,0.3561473808857679
142,-3901.3882176366997,378,0.3508051701724814
143,-3819.2137326244747,373,0.3455430926198942
144,-3867.3517714611594,376,0.3403599462305958
145,-3901.317861919375,378,0.33525454703713686
146,-3919.029707069573,379,0.3302257288315798
147,-3973.584093178447,382,0.3252723428991061
148,-3918.2815063124267,379,0.3203932577556195
149,-3834.4760162763305,374,0.3155873588892852
150,-3919.0568773757573,379,0.3108535485059459
151,-3992.339124134172,383,0.30619074527835666
152,-3919.088355788555,379,0.3015978840991813
153,-3972.89497111471,382,0.2970739158376936
154,-3972.8680429494325,382,0.2926178071001282
155,-3901.14617784265,378,0.28822853999362624
156,-3901.5645202414553,378,0.28390511189372186
157,-3883.7318113909387,377,0.279646535215316
158,-3954.3695088131353,381,0.27545183718708627
159,-3901.7509675717565,378,0.27132005962927996
160,-3973.447206989354,382,0.26725025873484076
161,-3936.8301029552104,380,0.26324150485381814
162,-3955.0944953959115,381,0.2592928822810109
163,-3901.4223699812273,378,0.2554034890467957
164,-3884.210745729486,377,0.2515724367110938
165,-3936.976478244263,380,0.2477988501604274
166,-3901.811559509033,378,0.24408186740802099
167,-3937.253407701771,380,0.24042063939690067
168,-3918.9361411723544,379,0.23681432980594716
169,-3955.424317334864,381,0.23326211485885795
170,-3974.0738581946785,382,0.22976318313597507
171,-3992.9596994698,383,0.22631673538893546
172,-3937.316551869889,380,0.22292198435810143
173,-3955.6825603982606,381,0.2195781545927299
174,-3919.664654002487,379,0.21628448227383895
175,-3919.5688659353505,379,0.21304021503973136
176,-3867.869486998802,376,0.20984461181413538
177,-3919.3577993752856,379,0.20669694263692334
178,-3955.75255113642,381,0.2035964884973695
179,-3937.392909162178,380,0.20054254116990897
180,-3937.078893194517,380,0.19753440305236034
181,-3973.8912931002765,382,0.19457138700657492
182,-3884.863214911414,377,0.19165281620147628
183,-3919.3855320266925,379,0.18877802395845414
184,-3955.408484222661,381,0.18594635359907732
185,-3974.2329844758965,382,0.18315715829509116
186,-3955.483255708835,381,0.1804098009206648
187,-3919.505621624003,379,0.17770365390685483
188,-3955.554978361115,381,0.175038099098252
189,-3937.1927320296472,380,0.17241252761177822
190,-3992.4060229424845,383,0.16982633969760155
191,-3955.182832166586,381,0.16727894460213752
192,-3955.2167724351566,381,0.16476976043310546
193,-3955.2963747614076,381,0.16229821402660888
194,-3937.047184467973,380,0.15986374081620974
195,-3973.718691045112,382,0.1574657847039666
196,-3901.8331010785323,378,0.15510379793340712
197,-3973.8243961487083,382,0.152777240964406
198,-3992.653153686492,383,0.15048558234993992
199,-3955.1400934101657,381,0.1482282986146908
200,-4011.642681060663,384,0.14600487413547045
