step,energy,activation_count,temperature
0,-2393.319641270516,419,3.0
1,-2639.585313716001,403,2.955
2,-2414.039810535689,383,2.910675
3,-2587.765777076642,391,2.8670148749999997
4,-2541.677567300023,385,2.8240096518749995
5,-2596.995017687401,387,2.7816495070968745
6,-2670.0299654926525,389,2.7399247644904214
7,-2703.4319579078388,388,2.698825893023065
8,-2867.4620771356363,394,2.658343504627719
9,-2946.049150054883,398,2.6184683520583034
10,-2823.1740330262883,392,2.579191326777429
11,-2726.916489482423,389,2.5405034568757676
12,-2599.3032611292897,384,2.502395905022631
13,-2755.4909113556746,388,2.4648599664472917
14,-2923.687627729414,388,2.427887066950582
15,-2860.1449485077587,382,2.3914687609463234
16,-2984.8697225086644,387,2.3555967295321287
17,-2896.302233337547,387,2.320262778589147
18,-2874.1318003549527,382,2.2854588369103097
19,-2976.6627850291443,387,2.251176954356655
20,-2995.2135315196615,384,2.217409300041305
21,-2988.8522070102435,388,2.1841481605406856
22,-2840.501556169621,377,2.1513859381325755
23,-3173.2259072334678,393,2.119115149060587
24,-2845.99117013763,374,2.087328421824678
25,-2780.069848079157,371,2.056018495497308
26,-2840.244902558826,368,2.0251782180648483
27,-2953.749974792811,376,1.9948005447938755
28,-3018.095002699183,378,1.9648785366219672
29,-3180.3230354270845,383,1.9354053585726376
30,-3213.314743774443,384,1.906374278194048
31,-3313.667713410811,387,1.8777786640211374
32,-3320.3663122421244,384,1.8496119840608203
33,-3326.097783851149,386,1.821867804299908
34,-3277.055909412396,382,1.7945397872354092
35,-3235.28816782869,376,1.767621690426878
36,-3264.12588384959,375,1.7411073650704747
37,-3491.3537127098703,386,1.7149907545944176
38,-3601.824450142706,392,1.6892658932755014
39,-3307.1556626965707,375,1.6639269048763687
40,-3423.258787352022,382,1.6389680013032233
41,-3421.506589349068,382,1.6143834812836748
42,-3354.7258400872447,377,1.5901677290644196
43,-3406.134236378493,374,1.5663152131284532
44,-3599.1725782957,383,1.5428204849315263
45,-3596.206580786288,381,1.5196781776575534
46,-3540.711662647202,377,1.49688300499269
47,-3562.20995819458,375,1.4744297599177996
48,-3803.42949202196,389,1.4523133135190325
49,-3745.0466144097372,385,1.430528613816247
50,-3597.102976891212,377,1.4090706846090033
51,-3605.112659741477,376,1.3879346243398683
52,-3784.7589060005753,384,1.3671156049747701
53,-3717.3508019925052,381,1.3466088709001485
54,-3834.9915020660237,386,1.3264097378366462
55,-3871.571321349055,388,1.3065135917690964
56,-3576.7592521398524,374,1.28691588789256
57,-3782.376457406786,384,1.2676121495741715
58,-3685.836306276328,377,1.248597967330559
59,-3724.6461159070914,376,1.2298689978206006
60,-3777.380377788523,381,1.2114209628532915
61,-3752.1323594018677,378,1.1932496484104922
62,-3657.425980783246,374,1.1753509036843348
63,-3777.6099255925783,381,1.1577206401290698
64,-3815.0927458572105,381,1.1403548305271338
65,-3752.598009069453,378,1.1232495080692269
66,-3823.7392146456127,381,1.1064007654481884
67,-3985.18416913855,390,1.0898047539664657
68,-3695.4752381621606,374,1.0734576826569686
69,-3853.541416465284,383,1.057355817417114
70,-3783.2959088894104,378,1.0414954801558574
71,-3846.316755857437,381,1.0258730479535194
72,-3921.920115549209,385,1.0104849522342165
73,-3738.401212741797,374,0.9953276779507033
74,-3733.320838754127,374,0.9803977627814427
75,-3868.0775625914725,382,0.9656917963397211
76,-3869.8014781385436,383,0.9512064193946252
77,-3788.6179156111793,378,0.9369383231037058
78,-3816.6100313686384,379,0.9228842482571502
79,-3867.273196674197,381,0.909040984533293
80,-3878.2374040854024,381,0.8954053697652935
81,-3874.0331495034325,381,0.881974289218814
82,-3883.2012575349877,382,0.8687446748805319
83,-3863.601891164451,381,0.8557135047573239
84,-3982.0816646491653,387,0.842877802185964
85,-3942.132511804732,384,0.8302346351531745
86,-3839.6417770782855,378,0.8177811156258769
87,-3818.4504418709225,377,0.8055143988914887
88,-3822.6869792454936,377,0.7934316829081164
89,-3783.9546821134695,375,0.7815302076644947
90,-3778.2855907261014,375,0.7698072545495273
91,-3833.048599533453,378,0.7582601457312843
