step,energy,activation_count,temperature
0,-2381.531834008239,419,3.0
1,-2386.2643220724904,394,2.955
2,-2628.029757304909,405,2.910675
3,-2583.697025405733,391,2.8670148749999997
4,-2461.869806025563,380,2.8240096518749995
5,-2688.9490486108216,394,2.7816495070968745
6,-2618.771470310532,387,2.7399247644904214
7,-2808.0737500604873,396,2.698825893023065
8,-2758.739536150264,394,2.658343504627719
9,-2669.786349738682,389,2.6184683520583034
10,-2577.5954095078355,378,2.579191326777429
11,-2918.323758719477,393,2.5405034568757676
12,-2700.9493141666007,380,2.502395905022631
13,-2550.8083739228146,372,2.4648599664472917
14,-2678.3351579331065,380,2.427887066950582
15,-2687.322429777166,387,2.3914687609463234
16,-2640.599956265803,382,2.3555967295321287
17,-2762.255359853689,384,2.320262778589147
18,-2728.0872627688,378,2.2854588369103097
19,-3023.802506274302,391,2.251176954356655
20,-3182.7374392515035,395,2.217409300041305
21,-2839.8693374887484,380,2.1841481605406856
22,-2963.393765955363,383,2.1513859381325755
23,-2865.2119729960878,379,2.119115149060587
24,-3083.134323953077,390,2.087328421824678
25,-3130.483559419793,390,2.056018495497308
26,-2923.7618054609666,381,2.0251782180648483
27,-2836.865096961262,378,1.9948005447938755
28,-2795.9520676105194,371,1.9648785366219672
29,-2879.3724508480177,379,1.9354053585726376
30,-3024.068018006272,381,1.906374278194048
31,-3158.761754603546,383,1.8777786640211374
32,-3061.0582798561663,374,1.8496119840608203
33,-3076.7110982462136,373,1.821867804299908
34,-3199.3837873102866,376,1.7945397872354092
35,-3564.1579657212824,393,1.767621690426878
36,-3443.6899416550204,385,1.7411073650704747
37,-3290.1157848734474,377,1.7149907545944176
38,-3470.740630553254,387,1.6892658932755014
39,-3335.7713903661925,377,1.6639269048763687
40,-3497.9768927068667,386,1.6389680013032233
41,-3510.7730121878653,385,1.6143834812836748
42,-3481.537269602947,381,1.5901677290644196
43,-3626.5009439363885,389,1.5663152131284532
44,-3383.1159744478314,376,1.5428204849315263
45,-3469.8528982002504,382,1.5196781776575534
46,-3360.4026835123,372,1.49688300499269
47,-3696.1386824472916,386,1.4744297599177996
48,-3549.707000682965,377,1.4523133135190325
49,-3638.8915930324492,380,1.430528613816247
50,-3570.0528098643817,375,1.4090706846090033
51,-3470.4908573622847,368,1.3879346243398683
52,-3610.664762846026,378,1.3671156049747701
53,-3722.143700767243,381,1.3466088709001485
54,-3724.4491438794894,382,1.3264097378366462
55,-3935.6359533273016,391,1.3065135917690964
56,-3887.9904778906293,387,1.28691588789256
57,-3747.937982977588,381,1.2676121495741715
58,-3795.3699774881925,383,1.248597967330559
59,-3818.5776168469247,384,1.2298689978206006
60,-3722.4158025806773,378,1.2114209628532915
61,-3721.013281366212,377,1.1932496484104922
62,-3753.1903778247047,378,1.1753509036843348
63,-3697.943500788056,375,1.1577206401290698
64,-3708.366317674729,375,1.1403548305271338
65,-3792.7785625123897,378,1.1232495080692269
66,-3952.4687593019016,387,1.1064007654481884
67,-3894.8247032711615,384,1.0898047539664657
68,-3859.752283507901,382,1.0734576826569686
69,-3907.8430892466235,384,1.057355817417114
70,-3847.54648497842,382,1.0414954801558574
71,-3822.219356661483,380,1.0258730479535194
72,-3872.9483850156007,382,1.0104849522342165
73,-3841.6094322153567,380,0.9953276779507033
74,-3878.4873448628587,382,0.9803977627814427
75,-3837.597931327584,380,0.9656917963397211
76,-3789.278368425479,376,0.9512064193946252
77,-3804.9118837712763,376,0.9369383231037058
78,-3853.8087265549407,379,0.9228842482571502
79,-3845.399205142807,379,0.909040984533293
80,-3845.5678565806625,379,0.8954053697652935
81,-3738.646620239423,373,0.881974289218814
82,-3787.7845468353607,376,0.8687446748805319
83,-3861.3776630205107,380,0.8557135047573239
84,-3871.7367593651834,380,0.842877802185964
85,-3896.313279031935,381,0.8302346351531745
86,-4042.4261398290037,388,0.8177811156258769
87,-3961.390820033767,384,0.8055143988914887
88,-3888.5731891387286,381,0.7934316829081164
89,-3986.932063223504,386,0.7815302076644947
90,-3898.6563837425656,381,0.7698072545495273
91,-3855.48286993746,379,0.7582601457312843
92,-3836.000151779998,377,0.7468862435453151
93,-3916.279659197918,382,0.7356829498921353
94,-3849.265584470685,378,0.7246477056437532
95,-3882.398380183607,380,0.7137779900590969
96,-3905.6380882117355,381,0.7030713202082105
97,-3943.320221319325,383,0.6925252504050874
98,-4015.1264370984995,387,0.6821373716490111
99,-3917.224766510769,382,0.671905311074276
100,-3924.2764582096415,382,0.6618267314081618
101,-3889.050960906391,380,0.6518993304370394
102,-3985.404794130669,385,0.6421208404804838
103,-3972.1079281532557,384,0.6324890278732765
104,-3991.6873640184826,385,0.6230016924551773
105,-3844.0004024831264,377,0.6136566670683496
106,-3931.9605045572143,382,0.6044518170623244
107,-3967.9125029253833,384,0.5953850398063896
108,-3915.625187917096,381,0.5864542642092937
109,-4010.1211517025167,386,0.5776574502461543
110,-4027.589427389673,387,0.568992588492462
111,-3988.225523186531,385,0.5604576996650751
112,-4010.012407005698,386,0.5520508341700989
113,-4010.1216677026314,386,0.5437700716575474
114,-3989.7397848294436,385,0.5356135205826842
115,-3992.2168431122127,385,0.527579317773944
116,-3877.6980418930357,379,0.5196656280073348
117,-3913.9285876006034,381,0.5118706435872248
118,-3949.440275419939,383,0.5041925839334164
119,-3933.9380508514064,382,0.49662969517441513
120,-3952.8567982981704,383,0.4891802497467989
121,-3933.792849229826,382,0.4818425460005969
122,-4031.7596929974893,387,0.47461490781058796
123,-4030.2195846426457,387,0.46749568419342913
124,-3971.915340323376,384,0.46048324893052767
125,-4031.084269283724,387,0.45357600019656974
126,-4012.3509037805043,386,0.4467723601936212
127,-3993.3846728920307,385,0.4400707747907169
128,-3935.321199432233,382,0.43346971316885613
129,-3867.4157119483434,378,0.4269676674713233
130,-3867.5268618959044,378,0.42056315245925346
131,-3885.740237008577,379,0.4142547051723647
132,-3939.7419490254974,382,0.4080408845947792
133,-3884.112445063995,379,0.4019202713258575
134,-3901.9036328871293,380,0.39589146725596963
135,-3901.003103323227,380,0.38995309524713007
136,-3867.2066653984857,378,0.3841037988184231
137,-3920.941878509343,381,0.37834224183614673
138,-3956.926093539815,383,0.37266710820860455
139,-3998.2450999687035,385,0.36707710158547546
140,-3979.4023720285336,384,0.36157094506169335
141,-3959.9021669416843,383,0.3561473808857679
142,-3999.0991375752883,385,0.3508051701724814
143,-4018.990639136936,386,0.3455430926198942
144,-3940.776999488712,382,0.3403599462305958
145,-3922.008739392232,381,0.33525454703713686
146,-3959.7564421864463,383,0.3302257288315798
147,-3940.9041630784677,382,0.3252723428991061
148,-3850.9612202572857,377,0.3203932577556195
149,-3921.595218397307,381,0.3155873588892852
150,-3922.379290801442,381,0.3108535485059459
151,-3922.132346711488,381,0.30619074527835666
152,-3922.2868175214135,381,0.3015978840991813
153,-3904.1386321682535,380,0.2970739158376936
154,-3886.238141525089,379,0.2926178071001282
155,-3922.520715996524,381,0.28822853999362624
156,-3941.0705626600593,382,0.28390511189372186
157,-3922.675226545037,381,0.279646535215316
158,-3941.10111121666,382,0.27545183718708627
159,-3960.078138666429,383,0.27132005962927996
160,-3998.928563030043,385,0.26725025873484076
