step,energy,activation_count,temperature
0,-2363.9775794030743,419,3.0
1,-2291.287162788767,391,2.955
2,-2549.52710598481,396,2.910675
3,-2338.2834915964195,382,2.8670148749999997
4,-2672.5559298375483,393,2.8240096518749995
5,-2685.961872274172,393,2.7816495070968745
6,-2763.4357196070127,395,2.7399247644904214
7,-2527.5437301543157,380,2.698825893023065
8,-2660.3556014763813,389,2.658343504627719
9,-2805.442278060204,396,2.6184683520583034
10,-2635.456812144498,388,2.579191326777429
11,-2557.3591463244575,379,2.5405034568757676
12,-2641.139744236357,382,2.502395905022631
13,-2568.652867762886,376,2.4648599664472917
14,-2800.701014938263,383,2.427887066950582
15,-2638.0993550727326,376,2.3914687609463234
16,-2685.970168590012,384,2.3555967295321287
17,-2741.034151252159,387,2.320262778589147
18,-2685.686034818967,385,2.2854588369103097
19,-2877.8821489280817,387,2.251176954356655
20,-2997.033674820485,391,2.217409300041305
21,-2858.1074662013402,382,2.1841481605406856
22,-2997.0897178328637,384,2.1513859381325755
23,-3030.9978343899948,385,2.119115149060587
24,-2949.574866893334,377,2.087328421824678
25,-2917.2953004154683,374,2.056018495497308
26,-3019.525627417599,378,2.0251782180648483
27,-3144.582922618216,377,1.9948005447938755
28,-3190.424481910054,383,1.9648785366219672
29,-3112.874428577823,377,1.9354053585726376
30,-3204.5050007218056,382,1.906374278194048
31,-2969.2561451535967,366,1.8777786640211374
32,-3406.6429560204783,391,1.8496119840608203
33,-3327.3778279283233,384,1.821867804299908
34,-3254.639508832712,380,1.7945397872354092
35,-3368.824112951481,384,1.767621690426878
36,-3230.857405427899,377,1.7411073650704747
37,-3332.3104989592866,383,1.7149907545944176
38,-3294.197417016238,380,1.6892658932755014
39,-3368.9673996169677,382,1.6639269048763687
40,-3400.423500970282,380,1.6389680013032233
41,-3432.419331562587,383,1.6143834812836748
42,-3529.8590275520387,385,1.5901677290644196
43,-3388.105059103711,375,1.5663152131284532
44,-3502.923138692103,384,1.5428204849315263
45,-3459.938451453803,378,1.5196781776575534
46,-3486.3936153038285,380,1.49688300499269
47,-3463.499181183553,376,1.4744297599177996
48,-3451.662472477138,378,1.4523133135190325
49,-3511.614818994137,381,1.430528613816247
50,-3545.353030123629,381,1.4090706846090033
51,-3536.270059142047,379,1.3879346243398683
52,-3412.738142438424,372,1.3671156049747701
53,-3395.9533018744723,372,1.3466088709001485
54,-3522.5132548966167,375,1.3264097378366462
55,-3580.3213467528903,377,1.3065135917690964
56,-3565.996378881923,376,1.28691588789256
57,-3614.3926925271967,378,1.2676121495741715
58,-3627.7659195299334,379,1.248597967330559
59,-3796.7029681759977,387,1.2298689978206006
60,-3715.357302388453,381,1.2114209628532915
61,-3642.9810134912623,377,1.1932496484104922
62,-3675.5051120870467,378,1.1753509036843348
63,-3676.512628971387,377,1.1577206401290698
64,-3799.769643790084,384,1.1403548305271338
65,-3748.7084323592912,381,1.1232495080692269
66,-3703.7038165319814,378,1.1064007654481884
67,-3798.3054164337655,384,1.0898047539664657
68,-3725.8089531595197,380,1.0734576826569686
69,-3880.2748628500626,387,1.057355817417114
70,-3767.3750906688515,381,1.0414954801558574
71,-3817.301390646745,383,1.0258730479535194
72,-3784.1639120372374,382,1.0104849522342165
73,-3703.556923009607,379,0.9953276779507033
74,-3936.551388246189,389,0.9803977627814427
75,-3749.526837249564,379,0.9656917963397211
76,-3775.9081874845756,380,0.9512064193946252
77,-3733.7553195266755,377,0.9369383231037058
78,-3827.0123727277996,383,0.9228842482571502
79,-3810.229630323459,382,0.909040984533293
80,-3741.536674087891,377,0.8954053697652935
81,-3777.437726864385,380,0.881974289218814
82,-3828.597720099955,383,0.8687446748805319
83,-3878.729682505035,385,0.8557135047573239
84,-3801.70960742043,381,0.842877802185964
85,-3832.1981338625583,382,0.8302346351531745
86,-3852.8907888831764,383,0.8177811156258769
87,-3924.583034443498,387,0.8055143988914887
88,-3790.4214346479343,380,0.7934316829081164
89,-3818.7556711958728,381,0.7815302076644947
90,-3874.394513174685,385,0.7698072545495273
91,-3847.9353840794865,383,0.7582601457312843
92,-3766.6329121221975,378,0.7468862435453151
93,-3969.7663300336767,388,0.7356829498921353
94,-3891.6135794179845,384,0.7246477056437532
95,-3911.9209572396644,385,0.7137779900590969
96,-3851.2540721385994,382,0.7030713202082105
