step,energy,activation_count,temperature
0,-2435.8029225446066,419,3.0
1,-2289.999644963551,390,2.955
2,-2271.149044011897,378,2.910675
3,-2595.145176430329,392,2.8670148749999997
4,-2815.0630529461114,398,2.8240096518749995
5,-2548.364106024716,381,2.7816495070968745
6,-2541.4583745527443,387,2.7399247644904214
7,-2705.4833433608815,391,2.698825893023065
8,-2716.4801898624346,389,2.658343504627719
9,-2706.249283090613,388,2.6184683520583034
10,-2812.2280915589904,393,2.579191326777429
11,-2696.56545910859,383,2.5405034568757676
12,-2907.864809758768,392,2.502395905022631
13,-3065.8180860472967,396,2.4648599664472917
14,-2639.2745752126534,373,2.427887066950582
15,-2952.856926024617,388,2.3914687609463234
16,-2914.7325457822335,388,2.3555967295321287
17,-2917.60570003672,383,2.320262778589147
18,-2774.0144036513198,380,2.2854588369103097
19,-2919.9812424939305,390,2.251176954356655
20,-2741.0042162557475,372,2.217409300041305
21,-2858.273128284362,375,2.1841481605406856
22,-2923.515099679173,375,2.1513859381325755
23,-3125.890173988659,382,2.119115149060587
24,-3044.1536715671537,378,2.087328421824678
25,-3111.941939084491,387,2.056018495497308
26,-3105.7220025684455,385,2.0251782180648483
27,-3041.621842499418,378,1.9948005447938755
28,-3085.878508846452,384,1.9648785366219672
29,-3059.1991156149147,376,1.9354053585726376
30,-3009.4696096313814,371,1.906374278194048
31,-3251.699286258059,381,1.8777786640211374
32,-3053.7936648561763,368,1.8496119840608203
33,-3175.728681419977,379,1.821867804299908
34,-3309.734068643767,385,1.7945397872354092
35,-3273.761440526225,381,1.767621690426878
36,-3296.1009826532495,375,1.7411073650704747
37,-3318.567103518697,378,1.7149907545944176
38,-3286.76359699901,373,1.6892658932755014
39,-3390.1791919077514,378,1.6639269048763687
40,-3245.4997648541903,363,1.6389680013032233
41,-3347.970562572716,369,1.6143834812836748
42,-3331.8077337558534,366,1.5901677290644196
43,-3425.7023096637417,373,1.5663152131284532
44,-3398.607941802484,373,1.5428204849315263
45,-3308.6814621293743,368,1.5196781776575534
46,-3467.6126944914863,376,1.49688300499269
47,-3388.2772455970703,368,1.4744297599177996
48,-3531.0368084197853,376,1.4523133135190325
49,-3442.875592415982,371,1.430528613816247
50,-3447.667675402456,371,1.4090706846090033
51,-3578.998021432518,378,1.3879346243398683
52,-3604.2715136095144,378,1.3671156049747701
53,-3508.501270732453,372,1.3466088709001485
54,-3428.018546564512,364,1.3264097378366462
55,-3614.3036609573523,377,1.3065135917690964
56,-3610.8691641163336,376,1.28691588789256
57,-3731.677690208484,381,1.2676121495741715
58,-3715.912802367374,381,1.248597967330559
59,-3853.913917033913,389,1.2298689978206006
60,-3532.865896963166,370,1.2114209628532915
61,-3751.2155387820067,384,1.1932496484104922
62,-3634.051623122893,376,1.1753509036843348
63,-3750.4557506321617,383,1.1577206401290698
64,-3584.0085552561386,372,1.1403548305271338
65,-3669.218482776223,376,1.1232495080692269
66,-3572.894332974293,370,1.1064007654481884
67,-3706.818475148371,377,1.0898047539664657
68,-3720.7473799662807,378,1.0734576826569686
69,-3708.711846806364,376,1.057355817417114
70,-3828.0262075622113,382,1.0414954801558574
71,-3756.4580053384398,378,1.0258730479535194
72,-3866.8891837380525,385,1.0104849522342165
73,-3799.600392228189,381,0.9953276779507033
74,-3776.1697214162755,380,0.9803977627814427
75,-3706.0509586176127,376,0.9656917963397211
76,-3814.2844977526584,381,0.9512064193946252
77,-3847.1718512479383,382,0.9369383231037058
78,-3828.2351648318468,380,0.9228842482571502
79,-3855.370528096558,381,0.909040984533293
80,-3924.110675036084,385,0.8954053697652935
81,-3749.610126699856,375,0.881974289218814
82,-3760.4653519661806,376,0.8687446748805319
83,-3745.56066269538,374,0.8557135047573239
84,-3803.5559458400808,378,0.842877802185964
85,-3896.8243719604575,383,0.8302346351531745
86,-3775.0948470516128,376,0.8177811156258769
87,-3805.2362776144087,378,0.8055143988914887
88,-3808.159411586378,378,0.7934316829081164
89,-3790.6407461239755,376,0.7815302076644947
90,-3814.4972622524224,377,0.7698072545495273
91,-3906.0701342265684,382,0.7582601457312843
92,-3863.3493524733626,380,0.7468862435453151
93,-3863.914458921326,380,0.7356829498921353
94,-3726.834631411844,371,0.7246477056437532
95,-3790.5077869773136,375,0.7137779900590969
96,-3823.4128345711965,377,0.7030713202082105
97,-3876.430289684174,380,0.6925252504050874
98,-3915.646796566894,382,0.6821373716490111
99,-3822.569482033649,377,0.671905311074276
100,-3758.515716980401,373,0.6618267314081618
101,-3807.4989530815546,376,0.6518993304370394
102,-3808.6950716027686,376,0.6421208404804838
103,-3776.8933292254965,374,0.6324890278732765
104,-3742.0851057260206,372,0.6230016924551773
105,-3774.5048127249684,374,0.6136566670683496
106,-3823.4243461053243,377,0.6044518170623244
107,-3803.433562115598,376,0.5953850398063896
108,-3776.7701705752047,374,0.5864542642092937
109,-3866.5383323520045,379,0.5776574502461543
110,-3814.8319789070088,376,0.568992588492462
111,-3828.4531283055444,377,0.5604576996650751
112,-3815.8253370528173,376,0.5520508341700989
113,-3834.838181266697,377,0.5437700716575474
114,-3883.4348413516304,380,0.5356135205826842
115,-3858.80446613368,378,0.527579317773944
116,-3913.2734579645175,381,0.5196656280073348
117,-3929.4638337941333,382,0.5118706435872248
118,-3931.321900553106,382,0.5041925839334164
119,-3878.30485188281,379,0.49662969517441513
120,-3880.887748466219,379,0.4891802497467989
121,-3802.791488666121,374,0.4818425460005969
122,-3891.259595609283,379,0.47461490781058796
123,-3907.652313146574,380,0.46749568419342913
124,-3907.4863117820373,380,0.46048324893052767
125,-3817.6320533645985,375,0.45357600019656974
126,-3825.0550577904673,375,0.4467723601936212
127,-3792.9828691605076,373,0.4400707747907169
128,-3926.263832606131,381,0.43346971316885613
129,-3840.0542002923444,376,0.4269676674713233
130,-3837.810988719411,376,0.42056315245925346
131,-3910.3004947794893,380,0.4142547051723647
132,-3841.4107133373964,376,0.4080408845947792
133,-3910.9521114752465,380,0.4019202713258575
