step,energy,activation_count,temperature
0,-2465.4884598275394,419,3.0
1,-2416.614340346819,390,2.955
2,-2513.0194743561456,390,2.910675
3,-2697.92448250925,396,2.8670148749999997
4,-2841.493848565443,403,2.8240096518749995
5,-2472.40242920254,383,2.7816495070968745
6,-2697.4648448331545,392,2.7399247644904214
7,-2854.8576195051783,394,2.698825893023065
8,-2666.9907426463624,387,2.658343504627719
9,-2781.0335453683497,389,2.6184683520583034
10,-2704.1258720068904,383,2.579191326777429
11,-2787.927606433908,385,2.5405034568757676
12,-2894.7663457726435,391,2.502395905022631
13,-2835.791185149456,385,2.4648599664472917
14,-2830.2237176598737,386,2.427887066950582
15,-3086.26690253731,395,2.3914687609463234
16,-2870.85100599358,385,2.3555967295321287
17,-2828.698846803366,381,2.320262778589147
18,-3035.5458799984276,390,2.2854588369103097
19,-2861.8581627696403,375,2.251176954356655
20,-2848.5665365380087,379,2.217409300041305
21,-2841.6181535915193,372,2.1841481605406856
22,-2965.710577449249,383,2.1513859381325755
23,-3039.677663255696,382,2.119115149060587
24,-3064.200372223473,381,2.087328421824678
25,-2923.007950758487,372,2.056018495497308
26,-3088.733216218743,380,2.0251782180648483
27,-3107.5032917933436,378,1.9948005447938755
28,-2980.598311707431,370,1.9648785366219672
29,-3062.424031647143,377,1.9354053585726376
30,-3231.8341005288275,382,1.906374278194048
31,-3213.6225420890696,377,1.8777786640211374
32,-3214.0239302515697,380,1.8496119840608203
33,-3183.400541543457,376,1.821867804299908
34,-3304.05176553655,382,1.7945397872354092
35,-3263.1384258064227,381,1.767621690426878
36,-3300.011932007883,375,1.7411073650704747
37,-3531.04511676571,386,1.7149907545944176
38,-3447.419587147579,379,1.6892658932755014
39,-3500.840551119476,383,1.6639269048763687
40,-3471.098859676992,380,1.6389680013032233
41,-3602.023223222547,387,1.6143834812836748
42,-3460.7204410912254,380,1.5901677290644196
43,-3474.205790702963,377,1.5663152131284532
44,-3589.7079889024126,383,1.5428204849315263
45,-3601.816318888637,382,1.5196781776575534
46,-3504.99837347096,374,1.49688300499269
47,-3532.12557879253,371,1.4744297599177996
48,-3608.190676038296,374,1.4523133135190325
49,-3835.9197529360317,385,1.430528613816247
50,-3817.6114698246583,384,1.4090706846090033
51,-3797.2481243479033,385,1.3879346243398683
52,-3704.4169077529295,377,1.3671156049747701
53,-3685.094767411399,377,1.3466088709001485
54,-3835.8661642140773,385,1.3264097378366462
55,-3779.499617132955,380,1.3065135917690964
56,-3736.768452500223,380,1.28691588789256
57,-3667.8529703794084,376,1.2676121495741715
58,-3606.3543077120453,370,1.248597967330559
59,-3817.833952051399,381,1.2298689978206006
60,-3804.7205745675114,379,1.2114209628532915
61,-3833.645771818638,382,1.1932496484104922
62,-3837.363118456356,383,1.1753509036843348
63,-3745.2446206498767,376,1.1577206401290698
64,-3662.4051949463947,368,1.1403548305271338
65,-3908.3480100107563,384,1.1232495080692269
66,-3871.222269364737,381,1.1064007654481884
67,-3875.0686374710035,382,1.0898047539664657
68,-4009.0639961376146,387,1.0734576826569686
69,-3921.275589773617,383,1.057355817417114
70,-3773.254829280711,375,1.0414954801558574
71,-3938.8954341987123,384,1.0258730479535194
72,-3901.5373912699615,382,1.0104849522342165
73,-3875.0362288066813,380,0.9953276779507033
74,-3797.216061796123,376,0.9803977627814427
75,-3835.2145832605443,378,0.9656917963397211
76,-3874.1952633613264,380,0.9512064193946252
77,-3908.5395644192786,382,0.9369383231037058
78,-4057.820290910155,389,0.9228842482571502
79,-3818.3133068214843,376,0.909040984533293
80,-3839.3377790713753,377,0.8954053697652935
81,-3872.4049580867418,379,0.881974289218814
82,-3840.014831591445,376,0.8687446748805319
83,-3863.211963047303,377,0.8557135047573239
84,-3785.9099484734284,372,0.842877802185964
85,-3866.9344014592157,377,0.8302346351531745
86,-3998.8522231585166,385,0.8177811156258769
87,-3839.5319351825215,376,0.8055143988914887
88,-3802.646245906902,374,0.7934316829081164
89,-3906.8569927435183,380,0.7815302076644947
90,-3745.8109686915673,370,0.7698072545495273
91,-3946.065977038532,382,0.7582601457312843
92,-3845.650394715366,376,0.7468862435453151
93,-3969.3115547700336,383,0.7356829498921353
94,-3762.07371228343,371,0.7246477056437532
95,-3850.732259169414,376,0.7137779900590969
96,-3910.870185304235,379,0.7030713202082105
97,-3877.210340972078,377,0.6925252504050874
98,-3860.320516660919,376,0.6821373716490111
99,-3751.5624068469783,369,0.671905311074276
100,-3928.940083526918,380,0.6618267314081618
101,-3833.4596569611995,374,0.6518993304370394
102,-3833.4909383943677,374,0.6421208404804838
103,-3861.22032568053,376,0.6324890278732765
104,-3907.1455388619206,379,0.6230016924551773
105,-3848.034821045903,375,0.6136566670683496
106,-4004.1762183973515,384,0.6044518170623244
107,-3988.3914266903216,383,0.5953850398063896
108,-3972.603788517828,382,0.5864542642092937
109,-3850.4464306927807,375,0.5776574502461543
110,-3853.6909446227623,375,0.568992588492462
111,-3955.5077484043513,381,0.5604576996650751
112,-3903.4835944331585,378,0.5520508341700989
113,-4023.4099674358717,385,0.5437700716575474
114,-3919.2907214180855,379,0.5356135205826842
115,-3994.668270141536,383,0.527579317773944
116,-3894.1225937460645,377,0.5196656280073348
117,-3979.6969939643764,382,0.5118706435872248
118,-3906.7449018270822,378,0.5041925839334164
119,-3893.9766469393444,377,0.49662969517441513
120,-3844.5773440391736,374,0.4891802497467989
121,-3878.6455847076304,376,0.4818425460005969
122,-3783.706519115565,370,0.47461490781058796
123,-3924.8286957581086,379,0.46749568419342913
124,-3861.8759976287315,375,0.46048324893052767
125,-3947.595538209246,380,0.45357600019656974
126,-3945.318048693078,380,0.4467723601936212
127,-3944.022667839704,380,0.4400707747907169
128,-3849.6939222790857,374,0.43346971316885613
129,-3937.311058300771,379,0.4269676674713233
130,-3852.2500619013595,374,0.42056315245925346
131,-3919.703727059477,378,0.4142547051723647
132,-3900.643048494905,377,0.4080408845947792
133,-3933.4937916965164,379,0.4019202713258575
134,-3899.4194051244194,377,0.39589146725596963
135,-3919.6769453410675,378,0.38995309524713007
136,-3855.0976565576216,374,0.3841037988184231
137,-3871.2702993973376,375,0.37834224183614673
138,-3904.174192159036,377,0.37266710820860455
139,-3904.2295200095828,377,0.36707710158547546
140,-3900.728083104339,377,0.36157094506169335
141,-3953.752454970557,380,0.3561473808857679
142,-3936.160066725354,379,0.3508051701724814
143,-3954.06724863051,380,0.3455430926198942
144,-3884.6304775478807,376,0.3403599462305958
145,-3921.648408150632,378,0.33525454703713686
146,-3904.9435557886973,377,0.3302257288315798
147,-3872.580093594744,375,0.3252723428991061
148,-3829.525291637074,372,0.3203932577556195
149,-3860.4360615471583,374,0.3155873588892852
150,-3909.625373467159,377,0.3108535485059459
151,-3860.4764659857747,374,0.30619074527835666
152,-3860.282290952552,374,0.3015978840991813
153,-3864.3148147834695,374,0.2970739158376936
154,-3846.514528890338,373,0.2926178071001282
155,-3862.321985812196,374,0.28822853999362624
156,-3911.938873978757,377,0.28390511189372186
157,-3894.988933127472,376,0.279646535215316
158,-3928.853340006714,378,0.27545183718708627
159,-3878.728342820677,375,0.27132005962927996
160,-3895.0204591325114,376,0.26725025873484076
161,-3929.1192074922997,378,0.26324150485381814
162,-3946.627140496584,379,0.2592928822810109
163,-3929.221259549134,378,0.2554034890467957
164,-3964.5292297080073,380,0.2515724367110938
165,-3929.297389056463,378,0.2477988501604274
166,-3946.7179284442254,379,0.24408186740802099
167,-3914.208440861523,377,0.24042063939690067
168,-3897.365535144337,376,0.23681432980594716
169,-3897.646688371875,376,0.23326211485885795
170,-3897.4714845288017,376,0.22976318313597507
171,-3897.6408082011176,376,0.22631673538893546
172,-3881.2197399584743,375,0.22292198435810143
173,-3897.560222583318,376,0.2195781545927299
174,-3849.282157753713,373,0.21628448227383895
175,-3865.1498326479414,374,0.21304021503973136
176,-3931.37836317747,378,0.20984461181413538
177,-3931.37836317747,378,0.20669694263692334
178,-3914.386941023117,377,0.2035964884973695
179,-3948.9308159566535,379,0.20054254116990897
180,-3914.32243675034,377,0.19753440305236034
181,-3948.8115605119847,379,0.19457138700657492
182,-3966.46424245027,380,0.19165281620147628
183,-3984.6438741833495,381,0.18877802395845414
184,-3931.190063786264,378,0.18594635359907732
185,-3948.809704519749,379,0.18315715829509116
186,-3948.809704519749,379,0.1804098009206648
187,-3948.808307742763,379,0.17770365390685483
188,-3966.619609006546,380,0.175038099098252
189,-3914.2620387606235,377,0.17241252761177822
190,-3914.312682597064,377,0.16982633969760155
191,-3914.293494488891,377,0.16727894460213752
192,-3897.6235978339932,376,0.16476976043310546
193,-3914.480387097211,377,0.16229821402660888
194,-3931.4590317235175,378,0.15986374081620974
195,-3966.67621393475,380,0.1574657847039666
196,-3931.4590317235175,378,0.15510379793340712
197,-3948.9236742761514,379,0.152777240964406
198,-3897.6221005703783,376,0.15048558234993992
199,-3914.3638399750857,377,0.1482282986146908
200,-3931.530677676798,378,0.14600487413547045
