step,energy,activation_count,temperature
0,-2351.672436452842,419,3.0
1,-2366.119892029363,394,2.955
2,-2362.2947017114184,385,2.910675
3,-2365.036942518259,384,2.8670148749999997
4,-2654.756141846168,395,2.8240096518749995
5,-2811.6489346916387,399,2.7816495070968745
6,-2891.911732774739,401,2.7399247644904214
7,-2769.888100663837,389,2.698825893023065
8,-2708.9742805610026,387,2.658343504627719
9,-2745.611871277402,387,2.6184683520583034
10,-2698.1127133420614,378,2.579191326777429
11,-2858.4739390612945,386,2.5405034568757676
12,-2817.597127201692,383,2.502395905022631
13,-3007.0877047804092,391,2.4648599664472917
14,-2813.8997261513437,383,2.427887066950582
15,-2706.482848373316,381,2.3914687609463234
16,-2694.3368171261327,383,2.3555967295321287
17,-2727.0358652636223,377,2.320262778589147
18,-2762.143625235841,385,2.2854588369103097
19,-2724.7356472582733,380,2.251176954356655
20,-2920.6614293293906,390,2.217409300041305
21,-2884.8275460837235,378,2.1841481605406856
22,-3045.4389425687264,385,2.1513859381325755
23,-2923.5189053567765,378,2.119115149060587
24,-2888.916472885726,372,2.087328421824678
25,-2916.275380332565,375,2.056018495497308
26,-3027.362334593773,373,2.0251782180648483
27,-3029.167351083673,369,1.9948005447938755
28,-3052.990757297542,372,1.9648785366219672
29,-3080.0539415140847,377,1.9354053585726376
30,-3255.619141252605,383,1.906374278194048
31,-3078.431097849935,372,1.8777786640211374
32,-3168.2160108378594,380,1.8496119840608203
33,-3105.619671640444,375,1.821867804299908
34,-3308.3773875711404,386,1.7945397872354092
35,-3253.8168253878202,377,1.767621690426878
36,-3239.928685803246,377,1.7411073650704747
37,-3160.5458888187795,368,1.7149907545944176
38,-3293.8815725052073,374,1.6892658932755014
39,-3494.9977229220613,383,1.6639269048763687
40,-3549.392734546193,385,1.6389680013032233
41,-3444.99012233837,382,1.6143834812836748
42,-3365.449869299016,378,1.5901677290644196
43,-3330.493867673618,376,1.5663152131284532
44,-3524.1326143191977,381,1.5428204849315263
45,-3334.4621624314204,369,1.5196781776575534
46,-3391.376999503729,374,1.49688300499269
47,-3583.9583505155915,383,1.4744297599177996
48,-3765.157482487012,391,1.4523133135190325
49,-3274.4992054342465,360,1.430528613816247
50,-3485.2868629516724,372,1.4090706846090033
51,-3501.7976974519697,375,1.3879346243398683
52,-3574.995951275458,377,1.3671156049747701
53,-3455.652591851314,366,1.3466088709001485
54,-3592.374652169055,373,1.3264097378366462
