step,energy,activation_count,temperature
0,-2449.929271179248,419,3.0
1,-2418.7476545781133,393,2.955
2,-2611.0404007813004,392,2.910675
3,-2729.2365038256953,393,2.8670148749999997
4,-2604.3026811162395,387,2.8240096518749995
5,-2591.103472947206,387,2.7816495070968745
6,-2752.091498394798,393,2.7399247644904214
7,-2677.1898285026773,384,2.698825893023065
8,-2659.1236604706473,389,2.658343504627719
9,-2623.626537586637,384,2.6184683520583034
10,-2846.6446646309887,391,2.579191326777429
11,-2922.2378129515955,387,2.5405034568757676
12,-2805.2829691229445,385,2.502395905022631
13,-2958.1412348639506,390,2.4648599664472917
14,-2716.1592246637797,378,2.427887066950582
15,-3019.5924471045723,395,2.3914687609463234
16,-2896.090483880382,386,2.3555967295321287
17,-2861.7259370139036,386,2.320262778589147
18,-2800.8905333006164,378,2.2854588369103097
19,-2933.414476564317,383,2.251176954356655
20,-2923.8720256004617,379,2.217409300041305
21,-3180.016888836489,392,2.1841481605406856
22,-3079.9555178828377,387,2.1513859381325755
23,-3084.612093586238,387,2.119115149060587
24,-3281.403494390548,391,2.087328421824678
25,-3022.551124392095,377,2.056018495497308
26,-2955.7731417197733,375,2.0251782180648483
27,-3124.4806295620056,379,1.9948005447938755
28,-3238.797483451618,383,1.9648785366219672
29,-3400.32942119456,387,1.9354053585726376
30,-3286.3185266320606,380,1.906374278194048
31,-3131.4437366400266,370,1.8777786640211374
32,-3562.757852759717,390,1.8496119840608203
33,-3524.357125734288,389,1.821867804299908
34,-3313.61808195012,377,1.7945397872354092
35,-3383.6785919974645,379,1.767621690426878
36,-3481.6604915358175,380,1.7411073650704747
37,-3276.7758386494966,365,1.7149907545944176
38,-3517.270666615577,379,1.6892658932755014
39,-3567.62678254266,382,1.6639269048763687
40,-3661.4920990832134,385,1.6389680013032233
41,-3577.3034322462827,384,1.6143834812836748
42,-3543.245560858455,382,1.5901677290644196
43,-3597.2824647091347,382,1.5663152131284532
44,-3629.881132690819,383,1.5428204849315263
45,-3571.872134997629,379,1.5196781776575534
46,-3634.339953339761,380,1.49688300499269
47,-3691.4948063623983,382,1.4744297599177996
48,-3751.59661869057,383,1.4523133135190325
49,-3819.303503930364,385,1.430528613816247
50,-3800.5842037889706,385,1.4090706846090033
51,-3619.450535780066,374,1.3879346243398683
52,-3670.687596665682,376,1.3671156049747701
53,-3871.2468735525686,386,1.3466088709001485
54,-3734.3523464460504,379,1.3264097378366462
55,-3917.4509870641054,387,1.3065135917690964
56,-3954.0543756528923,390,1.28691588789256
57,-3818.9662122773348,382,1.2676121495741715
58,-3797.943297104342,382,1.248597967330559
59,-4069.554621704075,394,1.2298689978206006
60,-3865.6860864677883,386,1.2114209628532915
61,-3786.136500505672,380,1.1932496484104922
62,-3773.8304873670686,380,1.1753509036843348
63,-3690.412301994755,374,1.1577206401290698
64,-3893.1724076387445,385,1.1403548305271338
65,-3723.990928689748,374,1.1232495080692269
66,-3908.7349928152544,383,1.1064007654481884
67,-3804.0930127402034,378,1.0898047539664657
68,-3827.026606132754,380,1.0734576826569686
69,-3920.1630231451745,384,1.057355817417114
70,-3963.190566536756,386,1.0414954801558574
71,-3956.55941494379,385,1.0258730479535194
72,-3874.0982677918996,380,1.0104849522342165
73,-3915.67359892038,382,0.9953276779507033
74,-3934.222261601447,384,0.9803977627814427
75,-3997.010886647416,386,0.9656917963397211
76,-4013.135867473372,387,0.9512064193946252
77,-4011.9085608895252,387,0.9369383231037058
78,-3912.944361987392,382,0.9228842482571502
79,-4012.688810425375,387,0.909040984533293
80,-3901.534014258366,382,0.8954053697652935
81,-3889.0258039543546,381,0.881974289218814
82,-3999.354416603836,387,0.8687446748805319
83,-3804.7800632574977,376,0.8557135047573239
84,-4116.304909356957,392,0.842877802185964
85,-3942.140326728244,384,0.8302346351531745
86,-3909.9040981970156,382,0.8177811156258769
87,-3844.856459911038,378,0.8055143988914887
88,-3910.29500191486,382,0.7934316829081164
89,-3851.897252238173,378,0.7815302076644947
90,-3820.2862484912844,376,0.7698072545495273
91,-3758.516803665694,373,0.7582601457312843
92,-3844.041299181181,378,0.7468862435453151
93,-3952.629639555831,384,0.7356829498921353
94,-3989.7289681303205,386,0.7246477056437532
95,-3825.4930807990204,377,0.7137779900590969
96,-3880.1727043602914,380,0.7030713202082105
97,-3838.3847632992683,377,0.6925252504050874
98,-3853.723485397094,378,0.6821373716490111
99,-3987.6464856304965,385,0.671905311074276
100,-3886.779417615864,380,0.6618267314081618
101,-3951.587378482962,383,0.6518993304370394
102,-3839.7999488380387,377,0.6421208404804838
103,-4021.3724113144067,387,0.6324890278732765
104,-3985.57536256579,385,0.6230016924551773
105,-4009.5185753779815,386,0.6136566670683496
106,-4054.159159828596,388,0.6044518170623244
107,-3971.17670121636,384,0.5953850398063896
108,-4004.1169110033634,386,0.5864542642092937
109,-4015.0455126282827,386,0.5776574502461543
110,-3962.035599818374,383,0.568992588492462
111,-3943.4428755696813,382,0.5604576996650751
112,-3999.4186945513457,385,0.5520508341700989
113,-4062.0557430232902,388,0.5437700716575474
114,-3943.441787282304,382,0.5356135205826842
115,-3906.4901938868056,380,0.527579317773944
116,-3941.7989975870023,382,0.5196656280073348
117,-3926.898114650922,381,0.5118706435872248
118,-3963.938510541552,383,0.5041925839334164
119,-3985.5427230647583,384,0.49662969517441513
120,-3895.0043597065433,379,0.4891802497467989
121,-3949.629761903833,382,0.4818425460005969
122,-3876.7242174780836,378,0.47461490781058796
123,-3893.8003076670784,379,0.46749568419342913
124,-3912.236863056292,380,0.46048324893052767
125,-3857.462452666258,377,0.45357600019656974
126,-4007.0435197111465,385,0.4467723601936212
127,-3877.6885391478763,378,0.4400707747907169
128,-3841.1903580563344,376,0.43346971316885613
129,-3841.357181989792,376,0.4269676674713233
130,-3913.1450942743068,380,0.42056315245925346
131,-3913.0995358539044,380,0.4142547051723647
132,-3930.8274132017996,381,0.4080408845947792
133,-3970.6448700475794,383,0.4019202713258575
134,-3970.814732175473,383,0.39589146725596963
135,-4009.2987636711705,385,0.38995309524713007
136,-3970.5040602328145,383,0.3841037988184231
137,-3914.7547669241935,380,0.37834224183614673
138,-3951.0788269706472,382,0.37266710820860455
139,-3932.5958100006073,381,0.36707710158547546
140,-3970.217257983829,383,0.36157094506169335
141,-3914.244519475178,380,0.3561473808857679
142,-3861.4225757749177,377,0.3508051701724814
143,-3970.1087731132147,383,0.3455430926198942
144,-3989.0237425897376,384,0.3403599462305958
145,-3950.014157029539,382,0.33525454703713686
146,-3969.223484739481,383,0.3302257288315798
147,-3914.3909324151277,380,0.3252723428991061
148,-3951.277870788232,382,0.3203932577556195
149,-3989.636907885646,384,0.3155873588892852
150,-3914.4543247512124,380,0.3108535485059459
151,-3970.4821966660847,383,0.30619074527835666
152,-3932.9153012740685,381,0.3015978840991813
153,-3970.423594552978,383,0.2970739158376936
154,-3951.441215780372,382,0.2926178071001282
155,-3989.5657846820077,384,0.28822853999362624
156,-3989.498394006675,384,0.28390511189372186
157,-3951.3510315731705,382,0.279646535215316
158,-3951.5094935170764,382,0.27545183718708627
159,-4049.376959525593,387,0.27132005962927996
160,-3970.182110883302,383,0.26725025873484076
161,-4049.598029189187,387,0.26324150485381814
162,-3951.512910778809,382,0.2592928822810109
163,-3951.548560489073,382,0.2554034890467957
164,-3989.594666298961,384,0.2515724367110938
165,-3951.54226641261,382,0.2477988501604274
166,-3951.4574510477937,382,0.24408186740802099
167,-4009.3254210758278,385,0.24042063939690067
168,-3989.7348442073835,384,0.23681432980594716
169,-3970.418491804602,383,0.23326211485885795
170,-3951.3173190218636,382,0.22976318313597507
171,-3989.4600996047484,384,0.22631673538893546
172,-4029.1083967692302,386,0.22292198435810143
173,-3951.391292860204,382,0.2195781545927299
174,-3970.4732060542465,383,0.21628448227383895
175,-3970.497584200036,383,0.21304021503973136
176,-3970.4998384023065,383,0.20984461181413538
177,-4009.3314327449534,385,0.20669694263692334
178,-3989.661612101456,384,0.2035964884973695
179,-4009.261312300333,385,0.20054254116990897
180,-3970.309741128487,383,0.19753440305236034
181,-3989.7032852953935,384,0.19457138700657492
182,-4049.4858872205214,387,0.19165281620147628
183,-4009.4291468981546,385,0.18877802395845414
184,-3970.310407316394,383,0.18594635359907732
185,-3989.621138561275,384,0.18315715829509116
186,-3989.9086026551795,384,0.1804098009206648
187,-4009.43999471372,385,0.17770365390685483
188,-3989.9031146276975,384,0.175038099098252
189,-3970.637206215436,383,0.17241252761177822
190,-3970.644829724498,383,0.16982633969760155
191,-4009.319044630395,385,0.16727894460213752
192,-3989.887543152696,384,0.16476976043310546
193,-3990.094261167419,384,0.16229821402660888
194,-3970.8145176250946,383,0.15986374081620974
195,-3970.732543439948,383,0.1574657847039666
196,-4049.7951858592314,387,0.15510379793340712
197,-3970.8084044596417,383,0.152777240964406
198,-3970.8395524589096,383,0.15048558234993992
199,-4009.6926241348137,385,0.1482282986146908
200,-3951.9092314845375,382,0.14600487413547045
