step,energy,activation_count,temperature
0,-2460.5495480962286,419,3.0
1,-2242.4010029025912,385,2.955
2,-2432.281652993214,385,2.910675
3,-2789.2204465966047,397,2.8670148749999997
4,-2509.078596416189,388,2.8240096518749995
5,-2888.7163286529535,397,2.7816495070968745
6,-2820.7855349927445,391,2.7399247644904214
7,-2577.1517344144886,383,2.698825893023065
8,-2543.7053403281534,383,2.658343504627719
9,-2711.8783638257055,394,2.6184683520583034
10,-2644.5953013250632,386,2.579191326777429
11,-2601.179748803879,380,2.5405034568757676
12,-2922.6604348754886,396,2.502395905022631
13,-2690.505670071788,383,2.4648599664472917
14,-2694.2998264911726,377,2.427887066950582
15,-2948.076906419804,387,2.3914687609463234
16,-2886.6682059548802,385,2.3555967295321287
17,-2739.010242775467,374,2.320262778589147
18,-2764.215452316886,374,2.2854588369103097
19,-3017.5702872754573,387,2.251176954356655
20,-3026.046688436802,386,2.217409300041305
21,-3053.643986144595,384,2.1841481605406856
22,-2940.5832407694584,373,2.1513859381325755
23,-2983.494489412775,378,2.119115149060587
24,-2954.4898999571556,379,2.087328421824678
25,-2963.4891652560004,373,2.056018495497308
26,-3103.2092734100956,377,2.0251782180648483
27,-3095.6734335261426,382,1.9948005447938755
28,-3104.4750391781467,381,1.9648785366219672
29,-3082.66836181619,378,1.9354053585726376
30,-3031.5038012552645,373,1.906374278194048
31,-3532.189734593295,395,1.8777786640211374
32,-3297.616832935864,382,1.8496119840608203
33,-3373.668700604157,381,1.821867804299908
34,-3264.1867579987875,375,1.7945397872354092
35,-3499.9412278593027,387,1.767621690426878
36,-3289.031383946969,372,1.7411073650704747
37,-3442.574598235172,383,1.7149907545944176
38,-3509.439825438176,385,1.6892658932755014
39,-3357.0995475193877,378,1.6639269048763687
40,-3428.319153367807,380,1.6389680013032233
41,-3551.6910382043015,386,1.6143834812836748
42,-3366.536101545552,374,1.5901677290644196
43,-3575.6718569086634,383,1.5663152131284532
44,-3469.784654384895,374,1.5428204849315263
45,-3646.3543667870626,385,1.5196781776575534
46,-3545.6541135166935,378,1.49688300499269
47,-3591.2306961304257,382,1.4744297599177996
48,-3733.1857449436384,390,1.4523133135190325
49,-3410.557113698273,370,1.430528613816247
50,-3532.214780220269,376,1.4090706846090033
51,-3708.393289360002,383,1.3879346243398683
52,-3561.0708786613,377,1.3671156049747701
53,-3630.5482827828164,382,1.3466088709001485
54,-3588.514293571626,380,1.3264097378366462
55,-3588.899710280665,376,1.3065135917690964
56,-3514.169765514271,369,1.28691588789256
57,-3639.909668268769,379,1.2676121495741715
58,-3531.679488426261,372,1.248597967330559
59,-3587.7059890473065,376,1.2298689978206006
60,-3518.567614452785,372,1.2114209628532915
61,-3656.0762214882857,380,1.1932496484104922
62,-3576.6982241894657,372,1.1753509036843348
63,-3798.3700752757,386,1.1577206401290698
64,-3763.54610345016,383,1.1403548305271338
65,-3704.1176102701197,379,1.1232495080692269
66,-3682.2397452438586,377,1.1064007654481884
67,-3806.748277443346,384,1.0898047539664657
68,-3753.606231807997,381,1.0734576826569686
69,-3714.8170698125264,378,1.057355817417114
70,-3728.874275978649,378,1.0414954801558574
71,-3824.61634609113,384,1.0258730479535194
72,-3772.9183310042204,381,1.0104849522342165
73,-3730.0608436914313,379,0.9953276779507033
74,-3690.584201806865,375,0.9803977627814427
75,-3667.45330030543,374,0.9656917963397211
76,-3849.7324112673455,384,0.9512064193946252
77,-3801.9641062049886,382,0.9369383231037058
78,-3872.6223500131914,386,0.9228842482571502
79,-3879.7938453226184,386,0.909040984533293
80,-3874.3087607788066,385,0.8954053697652935
81,-3826.4364683842264,382,0.881974289218814
82,-3831.1063004757934,382,0.8687446748805319
83,-3778.7478359364927,379,0.8557135047573239
84,-3720.938345355871,375,0.842877802185964
85,-3736.382555303936,375,0.8302346351531745
86,-3744.6138490418416,376,0.8177811156258769
87,-3756.371351377577,376,0.8055143988914887
88,-3728.334607825755,374,0.7934316829081164
89,-3697.2408038133644,372,0.7815302076644947
90,-3811.753633588884,379,0.7698072545495273
91,-3780.067687543864,378,0.7582601457312843
92,-3748.905578609332,376,0.7468862435453151
93,-3877.8682788956485,383,0.7356829498921353
94,-3797.9608916020875,378,0.7246477056437532
95,-3836.661350647077,380,0.7137779900590969
96,-3897.730908693392,383,0.7030713202082105
97,-3847.1868190373175,380,0.6925252504050874
98,-3842.0355035852976,380,0.6821373716490111
99,-3920.3788571674186,384,0.671905311074276
100,-3826.3286610440505,379,0.6618267314081618
101,-3703.1966550554093,371,0.6518993304370394
102,-3782.803780767003,377,0.6421208404804838
103,-3782.6176736309303,377,0.6324890278732765
104,-3891.8741517172402,383,0.6230016924551773
105,-3802.3322643820866,378,0.6136566670683496
106,-3764.1962175266203,376,0.6044518170623244
107,-3876.0058327024312,382,0.5953850398063896
108,-3909.1411627186885,384,0.5864542642092937
109,-3948.572549267274,386,0.5776574502461543
110,-3855.453181184957,381,0.568992588492462
111,-3894.6634257330875,383,0.5604576996650751
112,-3858.100268004586,381,0.5520508341700989
113,-3912.2690393528055,384,0.5437700716575474
114,-3789.313113266598,377,0.5356135205826842
115,-3794.8699352952913,377,0.527579317773944
116,-3903.130821812704,383,0.5196656280073348
117,-3813.5933667814006,378,0.5118706435872248
118,-3833.611041786297,379,0.5041925839334164
119,-3851.436877231805,380,0.49662969517441513
120,-3837.6127785691287,379,0.4891802497467989
121,-3836.0312058306,379,0.4818425460005969
122,-3854.8432428918636,380,0.47461490781058796
123,-3806.816655998729,377,0.46749568419342913
124,-3860.5877204568897,380,0.46048324893052767
125,-3839.7338927406654,379,0.45357600019656974
126,-3826.771651812428,378,0.4467723601936212
127,-3919.266017908302,383,0.4400707747907169
128,-3779.937688664861,375,0.43346971316885613
129,-3813.1724546350038,377,0.4269676674713233
130,-3863.6880749578418,380,0.42056315245925346
131,-3921.12400260047,383,0.4142547051723647
132,-3801.035623950568,376,0.4080408845947792
133,-3871.2758859603364,380,0.4019202713258575
134,-3890.024429506047,381,0.39589146725596963
135,-3963.6730916795996,385,0.38995309524713007
136,-3889.15188401948,381,0.3841037988184231
137,-3853.811411263046,379,0.37834224183614673
138,-3836.2512277126766,378,0.37266710820860455
139,-3871.51401378021,380,0.36707710158547546
140,-3853.775712395297,379,0.36157094506169335
141,-3836.1465188611783,378,0.3561473808857679
142,-3836.43631325709,378,0.3508051701724814
143,-3852.1606877898816,379,0.3455430926198942
144,-3908.0615593266,382,0.3403599462305958
145,-3871.3829951783837,380,0.33525454703713686
146,-3889.575567792908,381,0.3302257288315798
147,-3853.533537194242,379,0.3252723428991061
148,-3836.2952513094024,378,0.3203932577556195
149,-3835.8433390741006,378,0.3155873588892852
150,-3836.2344590893185,378,0.3108535485059459
151,-3871.2828266320953,380,0.30619074527835666
152,-3909.9557418974155,382,0.3015978840991813
153,-3891.52731333043,381,0.2970739158376936
154,-3837.518235691819,378,0.2926178071001282
155,-3855.5290636273585,379,0.28822853999362624
156,-3910.4061775137925,382,0.28390511189372186
157,-3929.2348900579027,383,0.279646535215316
158,-3872.8246870809903,380,0.27545183718708627
159,-3803.417072240284,376,0.27132005962927996
160,-3841.2535090017163,378,0.26725025873484076
161,-3807.449505433251,376,0.26324150485381814
162,-3913.253590341106,382,0.2592928822810109
163,-3876.5167562732736,380,0.2554034890467957
164,-3876.645544362107,380,0.2515724367110938
165,-3894.730208794386,381,0.2477988501604274
166,-3894.8700775695356,381,0.24408186740802099
167,-3894.643525638438,381,0.24042063939690067
168,-3894.9705968483645,381,0.23681432980594716
169,-3876.610095667977,380,0.23326211485885795
170,-3894.6975006011244,381,0.22976318313597507
171,-3858.6276522578655,379,0.22631673538893546
172,-3894.969200377977,381,0.22292198435810143
