step,energy,activation_count,temperature
0,-2425.4886791959434,419,3.0
1,-2358.043907722949,391,2.955
2,-2341.9405965603614,383,2.910675
3,-2512.2250151052767,386,2.8670148749999997
4,-2676.383003210052,390,2.8240096518749995
5,-2450.169599330414,381,2.7816495070968745
6,-2597.0095590364667,385,2.7399247644904214
7,-2566.7673052113373,384,2.698825893023065
8,-2544.789689868705,382,2.658343504627719
9,-2835.4889084118836,395,2.6184683520583034
10,-2671.0251790589714,382,2.579191326777429
11,-2550.2648686255616,382,2.5405034568757676
12,-2675.801810109908,384,2.502395905022631
13,-2848.2403114975746,396,2.4648599664472917
14,-2985.4261667666306,396,2.427887066950582
15,-2687.8113828236415,381,2.3914687609463234
16,-2888.52404332567,390,2.3555967295321287
17,-2872.177223934761,390,2.320262778589147
18,-2975.540450521587,392,2.2854588369103097
19,-2744.9987465998456,378,2.251176954356655
20,-2815.0086683461177,377,2.217409300041305
21,-2975.3213014776,386,2.1841481605406856
22,-2996.4314487378756,387,2.1513859381325755
23,-2825.454321315071,373,2.119115149060587
24,-2985.799289765988,383,2.087328421824678
25,-2888.9085673667137,372,2.056018495497308
26,-3015.266963714962,380,2.0251782180648483
27,-3131.8141222016943,385,1.9948005447938755
28,-2991.0440523028124,373,1.9648785366219672
29,-3150.891482131226,381,1.9354053585726376
30,-3203.5080137255954,380,1.906374278194048
31,-2910.412600427085,352,1.8777786640211374
32,-3131.473605849764,371,1.8496119840608203
33,-3250.728827985888,381,1.821867804299908
34,-3325.453234289808,382,1.7945397872354092
35,-3217.5806809392016,376,1.767621690426878
36,-3265.388028138192,382,1.7411073650704747
37,-3233.3868744156994,376,1.7149907545944176
38,-3401.5839241135054,384,1.6892658932755014
39,-3527.4594730910294,388,1.6639269048763687
40,-3538.8616144567327,384,1.6389680013032233
41,-3432.8471198564566,376,1.6143834812836748
42,-3840.669863011958,394,1.5901677290644196
43,-3441.170241526735,373,1.5663152131284532
44,-3611.9397062667144,382,1.5428204849315263
45,-3593.379438708898,378,1.5196781776575534
46,-3824.6759307297025,390,1.49688300499269
47,-3551.3726124768014,374,1.4744297599177996
48,-3763.890434012563,385,1.4523133135190325
49,-3685.959761498085,379,1.430528613816247
50,-3904.9751131972653,391,1.4090706846090033
51,-3699.947755204869,379,1.3879346243398683
52,-3642.373856586973,374,1.3671156049747701
53,-3621.7418606083575,370,1.3466088709001485
54,-3648.0023311079676,372,1.3264097378366462
55,-3648.7141705852296,375,1.3065135917690964
56,-3539.1211600165675,366,1.28691588789256
57,-3730.5461358261628,380,1.2676121495741715
58,-3615.450654446135,373,1.248597967330559
59,-3703.469303403321,378,1.2298689978206006
60,-3827.4687247768898,383,1.2114209628532915
61,-3735.611938090827,378,1.1932496484104922
62,-3727.389140018251,378,1.1753509036843348
63,-3762.280903993879,380,1.1577206401290698
64,-3769.908930878089,378,1.1403548305271338
65,-3744.3601822717505,374,1.1232495080692269
66,-3743.2965187223413,374,1.1064007654481884
67,-3959.8494450296675,386,1.0898047539664657
68,-3903.2479565099484,383,1.0734576826569686
69,-3860.677651465112,382,1.057355817417114
70,-3790.8147694391305,377,1.0414954801558574
71,-3793.570700728912,378,1.0258730479535194
72,-3792.229539146222,378,1.0104849522342165
73,-3845.0976112468843,380,0.9953276779507033
74,-3755.1885531397206,374,0.9803977627814427
75,-3756.7774838187647,374,0.9656917963397211
76,-3742.4833193242703,372,0.9512064193946252
77,-3820.391925843875,378,0.9369383231037058
78,-3941.9152794484176,384,0.9228842482571502
79,-3837.787173736477,378,0.909040984533293
80,-3941.093560792371,384,0.8954053697652935
81,-3887.8435592840997,381,0.881974289218814
82,-3913.750775191292,382,0.8687446748805319
83,-3733.9698762841144,371,0.8557135047573239
84,-3811.4045265827344,376,0.842877802185964
85,-3734.2514568811152,371,0.8302346351531745
86,-3848.217686428868,378,0.8177811156258769
87,-3846.6579503342896,378,0.8055143988914887
88,-3879.60864576234,380,0.7934316829081164
