step,energy,activation_count,temperature
0,-2398.906368136162,419,3.0
1,-2186.7673115864795,388,2.955
2,-2606.513861450489,398,2.910675
3,-2395.0448858199766,385,2.8670148749999997
4,-2444.728965725019,384,2.8240096518749995
5,-2855.2446611338437,396,2.7816495070968745
6,-2688.5305775435054,390,2.7399247644904214
7,-2410.759700346752,378,2.698825893023065
8,-2664.0269732253205,393,2.658343504627719
9,-2579.1467741178503,390,2.6184683520583034
10,-2532.49931284973,382,2.579191326777429
11,-2521.2298926611757,379,2.5405034568757676
12,-2747.7287196475622,384,2.502395905022631
13,-2750.068889497386,385,2.4648599664472917
14,-2829.90218180683,388,2.427887066950582
15,-2636.537286948049,373,2.3914687609463234
16,-3123.735200138653,397,2.3555967295321287
17,-2838.901644153456,383,2.320262778589147
18,-2921.5781024697126,389,2.2854588369103097
19,-3003.02061503616,388,2.251176954356655
20,-3114.3567220915274,389,2.217409300041305
21,-2866.182800533985,379,2.1841481605406856
22,-2920.8618444723074,380,2.1513859381325755
23,-2947.678484847296,382,2.119115149060587
24,-3173.505712897172,390,2.087328421824678
25,-2944.1057813751713,376,2.056018495497308
26,-2940.7122505911548,376,2.0251782180648483
27,-3100.897659728873,382,1.9948005447938755
28,-3197.0365205627804,381,1.9648785366219672
29,-3114.036607739356,375,1.9354053585726376
30,-3412.8588031755903,392,1.906374278194048
31,-3317.6611316998114,389,1.8777786640211374
32,-3197.9003612727934,378,1.8496119840608203
33,-3178.6527014742137,376,1.821867804299908
34,-3334.124426477437,382,1.7945397872354092
35,-3359.353554970329,385,1.767621690426878
36,-3398.8775600299355,385,1.7411073650704747
37,-3356.7874185368687,383,1.7149907545944176
38,-3311.6903725590237,377,1.6892658932755014
39,-3453.8706422353484,384,1.6639269048763687
40,-3443.3701381032333,382,1.6389680013032233
41,-3448.257353862099,382,1.6143834812836748
42,-3501.166843364702,382,1.5901677290644196
43,-3492.2173776738027,379,1.5663152131284532
44,-3516.1067106453966,377,1.5428204849315263
45,-3468.2870661437305,376,1.5196781776575534
46,-3621.4607439844053,384,1.49688300499269
47,-3676.358353205877,383,1.4744297599177996
48,-3850.947618867619,391,1.4523133135190325
49,-3734.5248544073725,386,1.430528613816247
50,-3611.7498766081817,379,1.4090706846090033
51,-3714.8441155909104,381,1.3879346243398683
52,-3758.1775647947748,385,1.3671156049747701
53,-3708.340741184182,380,1.3466088709001485
54,-3753.648444193744,383,1.3264097378366462
55,-3709.4051533073234,382,1.3065135917690964
56,-3802.279745159887,385,1.28691588789256
57,-3839.1171241218003,388,1.2676121495741715
58,-3791.388755091239,384,1.248597967330559
59,-3744.4842000942735,380,1.2298689978206006
60,-3797.9552909776617,384,1.2114209628532915
61,-3755.9106700231737,381,1.1932496484104922
62,-3972.3507475273605,391,1.1753509036843348
63,-3818.276037240401,384,1.1577206401290698
64,-3875.8419308380408,386,1.1403548305271338
65,-3826.198568247033,383,1.1232495080692269
66,-3871.5628354668593,384,1.1064007654481884
67,-3782.798246285659,380,1.0898047539664657
68,-3718.1502298158343,377,1.0734576826569686
69,-3767.026878418642,380,1.057355817417114
70,-3669.8150587632013,374,1.0414954801558574
71,-3752.5674096029315,377,1.0258730479535194
72,-3831.5202822431866,382,1.0104849522342165
73,-3747.452197345966,378,0.9953276779507033
74,-3861.2229521720633,384,0.9803977627814427
75,-3811.6328914713813,382,0.9656917963397211
76,-3929.9801268364777,387,0.9512064193946252
77,-3831.449031635353,382,0.9369383231037058
78,-3790.5159948296505,379,0.9228842482571502
79,-3794.1930897710945,379,0.909040984533293
80,-3860.1331422492594,383,0.8954053697652935
81,-3889.6879914934366,384,0.881974289218814
82,-3878.064503414777,383,0.8687446748805319
83,-3789.7527652359295,378,0.8557135047573239
84,-3815.8578527144555,380,0.842877802185964
85,-3802.3223326546213,379,0.8302346351531745
86,-3854.5497526982617,382,0.8177811156258769
87,-3877.394868875166,383,0.8055143988914887
88,-3775.2182412834163,378,0.7934316829081164
89,-3795.63764398884,379,0.7815302076644947
90,-3761.393884130592,376,0.7698072545495273
91,-3730.9068501323304,375,0.7582601457312843
92,-3666.980750441499,371,0.7468862435453151
93,-3639.4128535946265,369,0.7356829498921353
94,-3682.3709682612894,371,0.7246477056437532
95,-3824.845907521757,380,0.7137779900590969
96,-3886.266986607429,383,0.7030713202082105
97,-3796.5189907831914,378,0.6925252504050874
98,-3745.5502258873744,375,0.6821373716490111
99,-3831.4457606327414,380,0.671905311074276
100,-3845.711820454483,381,0.6618267314081618
101,-3849.993083949054,381,0.6518993304370394
102,-3923.615048802146,385,0.6421208404804838
103,-3847.435890303785,381,0.6324890278732765
104,-3809.751421219775,379,0.6230016924551773
105,-3887.0774296484037,383,0.6136566670683496
106,-3797.10543958259,378,0.6044518170623244
107,-3835.513867828424,380,0.5953850398063896
108,-3800.9663402663255,378,0.5864542642092937
109,-3778.951997627262,377,0.5776574502461543
110,-3870.2526817218086,382,0.568992588492462
111,-3882.8977347121017,383,0.5604576996650751
112,-3873.133882598605,382,0.5520508341700989
113,-3853.21148969957,381,0.5437700716575474
114,-3818.4096843062407,379,0.5356135205826842
115,-3912.575399544826,384,0.527579317773944
116,-3837.421180068336,380,0.5196656280073348
117,-3819.648880130163,379,0.5118706435872248
118,-3804.4547409266374,378,0.5041925839334164
119,-3823.331759764782,379,0.49662969517441513
120,-3933.7589600163997,385,0.4891802497467989
121,-3858.1079290120038,381,0.4818425460005969
122,-3843.1798777343797,380,0.47461490781058796
123,-3861.1517229538854,381,0.46749568419342913
124,-3822.740286968272,379,0.46048324893052767
125,-3839.8302573662754,380,0.45357600019656974
126,-3934.6058932246356,385,0.4467723601936212
