step,energy,activation_count,temperature
0,-2398.3261151220986,419,3.0
1,-2274.927528078156,392,2.955
2,-2512.2953393611797,393,2.910675
3,-2669.5188300953996,396,2.8670148749999997
4,-2591.6292612998263,389,2.8240096518749995
5,-2506.238187225399,384,2.7816495070968745
6,-2649.1268447696816,387,2.7399247644904214
7,-2798.2746267352436,398,2.698825893023065
8,-2603.873263459116,383,2.658343504627719
9,-2855.0480731171174,395,2.6184683520583034
10,-2717.7121335124207,386,2.579191326777429
11,-2797.561977659005,389,2.5405034568757676
12,-2580.995380215421,381,2.502395905022631
13,-2748.6717846962433,388,2.4648599664472917
14,-2959.7680481090147,399,2.427887066950582
15,-2913.0691531077905,396,2.3914687609463234
16,-2655.8498024233195,388,2.3555967295321287
17,-2731.628486478069,385,2.320262778589147
18,-2804.432784895502,390,2.2854588369103097
19,-2838.859873679432,388,2.251176954356655
20,-2668.8807297146136,374,2.217409300041305
21,-2738.282705160892,378,2.1841481605406856
22,-2844.7195988600874,385,2.1513859381325755
23,-3032.599844058925,389,2.119115149060587
24,-2914.764658845707,383,2.087328421824678
25,-2965.5121336405437,383,2.056018495497308
26,-2810.4862464951343,380,2.0251782180648483
27,-2778.1294541584975,377,1.9948005447938755
28,-2963.121436498484,380,1.9648785366219672
29,-2936.308427280627,375,1.9354053585726376
30,-3114.4461890706148,387,1.906374278194048
31,-3114.7933976488316,382,1.8777786640211374
32,-3110.4867527460246,380,1.8496119840608203
33,-2951.671194015366,368,1.821867804299908
34,-3137.0935805339627,380,1.7945397872354092
35,-3205.9761947732036,384,1.767621690426878
36,-3405.229893548075,393,1.7411073650704747
37,-3311.0725579409595,388,1.7149907545944176
38,-3417.421993210417,390,1.6892658932755014
39,-3382.5637801277503,388,1.6639269048763687
40,-3374.973348432123,385,1.6389680013032233
41,-3403.9001381112575,382,1.6143834812836748
42,-3507.8624901103035,384,1.5901677290644196
43,-3458.7404354049427,382,1.5663152131284532
44,-3642.24668711669,391,1.5428204849315263
45,-3472.742931258552,382,1.5196781776575534
46,-3465.233725245986,381,1.49688300499269
47,-3397.577243685233,375,1.4744297599177996
48,-3471.4020700711417,376,1.4523133135190325
49,-3566.0495467155156,380,1.430528613816247
50,-3561.5313964673437,384,1.4090706846090033
51,-3544.831812221859,380,1.3879346243398683
52,-3511.9070024796138,377,1.3671156049747701
53,-3467.9650468584337,374,1.3466088709001485
54,-3592.4445980199635,382,1.3264097378366462
55,-3407.0041995858865,372,1.3065135917690964
56,-3568.9603444711065,380,1.28691588789256
57,-3453.211476401148,373,1.2676121495741715
58,-3506.503667749705,376,1.248597967330559
59,-3567.3259268550755,381,1.2298689978206006
60,-3654.9821387472457,382,1.2114209628532915
61,-3740.1542784152875,385,1.1932496484104922
62,-3712.007845744424,384,1.1753509036843348
63,-3651.572497332567,381,1.1577206401290698
64,-3620.8270375181414,379,1.1403548305271338
65,-3611.254034314081,378,1.1232495080692269
66,-3506.0225274089503,371,1.1064007654481884
67,-3487.2719432793024,371,1.0898047539664657
68,-3665.803710183118,381,1.0734576826569686
69,-3713.421569928123,382,1.057355817417114
70,-3738.035976315487,383,1.0414954801558574
71,-3617.976441928032,377,1.0258730479535194
72,-3731.5515612737536,383,1.0104849522342165
73,-3696.3823830048477,381,0.9953276779507033
74,-3761.7355697522044,385,0.9803977627814427
75,-3627.1446117532605,376,0.9656917963397211
76,-3674.962941897916,380,0.9512064193946252
77,-3644.3583700841073,377,0.9369383231037058
78,-3662.373123848911,378,0.9228842482571502
79,-3728.3160922746147,381,0.909040984533293
80,-3730.602235536819,381,0.8954053697652935
81,-3787.6051323123343,384,0.881974289218814
82,-3758.0446355740132,382,0.8687446748805319
83,-3594.3075182470043,373,0.8557135047573239
84,-3769.9136088212163,383,0.842877802185964
85,-3699.185725306063,379,0.8302346351531745
86,-3633.396123023538,374,0.8177811156258769
87,-3767.5673081381383,382,0.8055143988914887
88,-3794.927836024927,383,0.7934316829081164
89,-3853.722664835083,386,0.7815302076644947
90,-3661.7417003189767,376,0.7698072545495273
91,-3652.7216662596265,375,0.7582601457312843
92,-3617.5193494299447,372,0.7468862435453151
93,-3785.668491143957,382,0.7356829498921353
94,-3800.1007182041512,383,0.7246477056437532
95,-3819.313869091922,384,0.7137779900590969
96,-3848.01487807252,386,0.7030713202082105
97,-3736.23072284564,380,0.6925252504050874
98,-3772.3625138083244,381,0.6821373716490111
99,-3784.876676646857,382,0.671905311074276
100,-3737.6329156776324,379,0.6618267314081618
101,-3629.981054937767,372,0.6518993304370394
102,-3756.6562269954784,380,0.6421208404804838
103,-3763.563711815497,380,0.6324890278732765
104,-3676.397110810895,374,0.6230016924551773
105,-3747.6200002144224,378,0.6136566670683496
106,-3771.5155398612756,379,0.6044518170623244
107,-3868.7536647332813,385,0.5953850398063896
108,-3824.9165856031705,382,0.5864542642092937
109,-3816.1061412847603,381,0.5776574502461543
110,-3760.326340763828,378,0.568992588492462
111,-3813.9652006562965,381,0.5604576996650751
112,-3890.2637523298936,385,0.5520508341700989
113,-3760.0533819227294,378,0.5437700716575474
114,-3853.489444217032,383,0.5356135205826842
115,-3794.2111934684813,380,0.527579317773944
116,-3868.142239180954,384,0.5196656280073348
117,-3775.101578767541,379,0.5118706435872248
118,-3722.1108000875824,376,0.5041925839334164
119,-3867.935236962086,384,0.49662969517441513
120,-3808.20302052458,381,0.4891802497467989
121,-3778.104448473206,379,0.4818425460005969
122,-3853.9303465921425,383,0.47461490781058796
123,-3761.985337418402,378,0.46749568419342913
124,-3856.47351111702,383,0.46048324893052767
125,-3895.6603743615656,385,0.45357600019656974
126,-3875.4949451691405,384,0.4467723601936212
127,-3835.2434552906807,382,0.4400707747907169
128,-3854.000744629506,383,0.43346971316885613
129,-3891.447572118494,385,0.4269676674713233
130,-3893.044922833313,385,0.42056315245925346
131,-3838.262259212724,382,0.4142547051723647
132,-3783.376338148241,379,0.4080408845947792
133,-3838.6288590627087,382,0.4019202713258575
134,-3818.4629644782935,381,0.39589146725596963
135,-3855.7315037113553,383,0.38995309524713007
136,-3818.2518778137337,381,0.3841037988184231
137,-3764.9551892673426,378,0.37834224183614673
138,-3818.968563647504,381,0.37266710820860455
139,-3879.298476362305,384,0.36707710158547546
140,-3917.253642749351,386,0.36157094506169335
141,-3805.8753937806237,380,0.3561473808857679
142,-3720.3842674850634,375,0.3508051701724814
143,-3881.2025260582154,384,0.3455430926198942
144,-3824.464372235968,381,0.3403599462305958
145,-3750.835536725301,377,0.33525454703713686
146,-3788.0747799585574,379,0.3302257288315798
147,-3861.450261978067,383,0.3252723428991061
148,-3861.279879349162,383,0.3203932577556195
149,-3940.3205662129185,387,0.3155873588892852
150,-3842.343232000578,382,0.3108535485059459
151,-3785.948996314814,379,0.30619074527835666
152,-3823.1764503713775,381,0.3015978840991813
153,-3824.022993836692,381,0.2970739158376936
154,-3861.655295321542,383,0.2926178071001282
155,-3881.2097218496915,384,0.28822853999362624
156,-3940.6756791023304,387,0.28390511189372186
157,-3879.3784125765555,384,0.279646535215316
158,-3804.3714027509213,380,0.27545183718708627
159,-3824.464611488065,381,0.27132005962927996
160,-3770.8245284128816,378,0.26725025873484076
161,-3843.0725146416844,382,0.26324150485381814
162,-3862.271206885493,383,0.2592928822810109
163,-3862.1752308663986,383,0.2554034890467957
164,-3880.5136096288657,384,0.2515724367110938
165,-3841.8355299412465,382,0.2477988501604274
166,-3842.0729656757208,382,0.24408186740802099
167,-3770.9162918653783,378,0.24042063939690067
168,-3881.475899971217,384,0.23681432980594716
169,-3920.8448753260723,386,0.23326211485885795
170,-3900.940790327108,385,0.22976318313597507
171,-3770.9405821607606,378,0.22631673538893546
172,-3861.969406314117,383,0.22292198435810143
173,-3770.7790057187667,378,0.2195781545927299
174,-3881.5883528474083,384,0.21628448227383895
175,-3842.004656774407,382,0.21304021503973136
176,-3900.755060801789,385,0.20984461181413538
177,-3842.9239943933,382,0.20669694263692334
178,-3900.790465306608,385,0.2035964884973695
179,-3861.8769218137854,383,0.20054254116990897
180,-3842.899284188987,382,0.19753440305236034
181,-3843.0241575094333,382,0.19457138700657492
182,-3920.813849465742,386,0.19165281620147628
183,-3881.3692381684154,384,0.18877802395845414
184,-3843.0969701223426,382,0.18594635359907732
185,-3842.9804446702774,382,0.18315715829509116
186,-3826.620353439145,381,0.1804098009206648
187,-3826.526216134347,381,0.17770365390685483
188,-3883.676440804093,384,0.175038099098252
189,-3883.7092418376683,384,0.17241252761177822
190,-3883.6379145247033,384,0.16982633969760155
191,-3827.0067456815477,381,0.16727894460213752
192,-3808.51858171057,380,0.16476976043310546
193,-3883.6177168174195,384,0.16229821402660888
194,-3845.3279636100788,382,0.15986374081620974
195,-3902.724201098515,385,0.1574657847039666
196,-3863.933465802824,383,0.15510379793340712
197,-3883.591225572565,384,0.152777240964406
198,-3923.2087246892975,386,0.15048558234993992
199,-3883.6894683994137,384,0.1482282986146908
200,-3883.62206109115,384,0.14600487413547045
