step,energy,activation_count,temperature
0,-2431.7148156650824,419,3.0
1,-2166.6804384861493,381,2.955
2,-2546.8382807689586,393,2.910675
3,-2419.403923409548,376,2.8670148749999997
4,-2574.221336591328,385,2.8240096518749995
5,-2596.4495699560794,384,2.7816495070968745
6,-2853.462185988539,396,2.7399247644904214
7,-2468.2398272035516,384,2.698825893023065
8,-2716.133373940019,389,2.658343504627719
9,-2638.690589381977,382,2.6184683520583034
10,-2521.388820574632,375,2.579191326777429
11,-2703.188889278445,386,2.5405034568757676
12,-2477.506486658018,368,2.502395905022631
13,-2563.3687422967655,377,2.4648599664472917
14,-2796.135086576492,385,2.427887066950582
15,-2718.189998892696,379,2.3914687609463234
16,-2603.383394265413,372,2.3555967295321287
17,-2616.0244675311246,372,2.320262778589147
18,-2924.9305535000026,388,2.2854588369103097
19,-2704.508586715814,373,2.251176954356655
20,-2917.1465078502474,384,2.217409300041305
21,-2783.4009755014044,371,2.1841481605406856
22,-2864.0289663114895,376,2.1513859381325755
23,-3081.3474486952796,382,2.119115149060587
24,-3050.245075814698,381,2.087328421824678
25,-2855.9448057749464,374,2.056018495497308
26,-3064.0396773641364,381,2.0251782180648483
27,-3268.2857395507804,388,1.9948005447938755
28,-3053.1179832638813,371,1.9648785366219672
29,-3120.054105979745,377,1.9354053585726376
30,-3171.0684862843177,383,1.906374278194048
31,-3114.396395063901,378,1.8777786640211374
32,-3168.4322384004336,375,1.8496119840608203
33,-3169.9388469893497,371,1.821867804299908
34,-3208.970047450732,372,1.7945397872354092
35,-3270.3420449312594,376,1.767621690426878
36,-3290.309151353671,375,1.7411073650704747
37,-3312.109707894893,376,1.7149907545944176
38,-3473.209466372852,380,1.6892658932755014
39,-3481.9575772334983,380,1.6639269048763687
40,-3504.1679110550003,375,1.6389680013032233
41,-3605.775153983952,384,1.6143834812836748
42,-3582.0010109365794,380,1.5901677290644196
43,-3492.695377252394,376,1.5663152131284532
44,-3475.2864712011483,372,1.5428204849315263
45,-3683.295976596306,384,1.5196781776575534
46,-3557.1116061515927,377,1.49688300499269
47,-3551.2311488250384,374,1.4744297599177996
48,-3734.7759138632814,381,1.4523133135190325
49,-3787.7578542971874,385,1.430528613816247
50,-3633.683239126212,378,1.4090706846090033
51,-3819.603249932902,386,1.3879346243398683
52,-3781.231711998114,381,1.3671156049747701
53,-3754.1130275494183,381,1.3466088709001485
54,-3697.064906309247,378,1.3264097378366462
55,-3950.8115193726658,388,1.3065135917690964
56,-3987.174458702678,391,1.28691588789256
57,-3748.119232343134,379,1.2676121495741715
58,-3753.071322118263,378,1.248597967330559
59,-3710.318353758901,375,1.2298689978206006
60,-3701.9150178126883,373,1.2114209628532915
61,-3591.3685377016805,366,1.1932496484104922
62,-3753.0372640215082,376,1.1753509036843348
63,-3827.2058341667876,381,1.1577206401290698
64,-3777.7833690055368,376,1.1403548305271338
65,-3693.07509794089,370,1.1232495080692269
