step,energy,activation_count,temperature
0,-2405.9666821668434,419,3.0
1,-2366.608243281958,392,2.955
2,-2529.289029353109,393,2.910675
3,-2282.2219711720627,379,2.8670148749999997
4,-2553.907044194767,387,2.8240096518749995
5,-2616.2098910441196,386,2.7816495070968745
6,-2652.407802487942,389,2.7399247644904214
7,-2612.429960364089,386,2.698825893023065
8,-2663.021678924473,388,2.658343504627719
9,-2685.861329694897,388,2.6184683520583034
10,-2775.9047591367325,393,2.579191326777429
11,-2790.553727957853,390,2.5405034568757676
12,-2760.824923369363,390,2.502395905022631
13,-2769.2166022815277,388,2.4648599664472917
14,-2655.093534048269,381,2.427887066950582
15,-2639.298295707319,380,2.3914687609463234
16,-2736.395239163189,379,2.3555967295321287
17,-2897.3805349655304,387,2.320262778589147
18,-2896.1305658688916,384,2.2854588369103097
19,-2993.1411272257283,385,2.251176954356655
20,-3132.4205053154756,392,2.217409300041305
21,-3068.739680135798,385,2.1841481605406856
22,-2826.1813560356522,372,2.1513859381325755
23,-3135.6603017121424,392,2.119115149060587
24,-2864.593654959494,372,2.087328421824678
25,-2976.8834918018624,378,2.056018495497308
26,-2884.9198175596694,375,2.0251782180648483
27,-3036.199220281701,377,1.9948005447938755
28,-3307.5213566131974,387,1.9648785366219672
29,-3278.7222382567456,380,1.9354053585726376
30,-3272.1260317730607,382,1.906374278194048
31,-3302.895839377192,386,1.8777786640211374
32,-3378.2349846849424,388,1.8496119840608203
33,-3072.251420719384,374,1.821867804299908
34,-3404.127425474766,389,1.7945397872354092
35,-3315.0829077940243,381,1.767621690426878
36,-3491.0330611211994,389,1.7411073650704747
37,-3499.0620933895216,385,1.7149907545944176
38,-3387.4703802905115,382,1.6892658932755014
39,-3483.3097735227934,386,1.6639269048763687
40,-3375.109998670545,377,1.6389680013032233
41,-3567.3043830279566,385,1.6143834812836748
42,-3525.3240839035175,379,1.5901677290644196
43,-3571.7126049867657,378,1.5663152131284532
44,-3753.392125639317,387,1.5428204849315263
45,-3706.7544860757803,382,1.5196781776575534
46,-3718.7226878908677,382,1.49688300499269
47,-3708.821353542382,382,1.4744297599177996
48,-3659.031553075375,380,1.4523133135190325
49,-3782.0976661671257,385,1.430528613816247
50,-3713.9130990663607,382,1.4090706846090033
51,-3620.732490718349,378,1.3879346243398683
52,-3849.6752032794016,387,1.3671156049747701
53,-3682.7653273250066,376,1.3466088709001485
54,-3673.220456039809,376,1.3264097378366462
55,-3585.651678284484,372,1.3065135917690964
56,-3782.7467547116216,384,1.28691588789256
57,-3748.9554977527687,380,1.2676121495741715
58,-3704.434813353511,376,1.248597967330559
59,-3790.9864680549977,381,1.2298689978206006
60,-3780.2807140066625,380,1.2114209628532915
61,-3879.18376703458,384,1.1932496484104922
62,-3733.1643163028284,376,1.1753509036843348
63,-3799.3935243832766,378,1.1577206401290698
64,-3907.5635472711174,385,1.1403548305271338
65,-3664.609906466721,373,1.1232495080692269
66,-3938.7529757021653,388,1.1064007654481884
67,-3800.0299549774145,380,1.0898047539664657
68,-3715.8132288063152,373,1.0734576826569686
69,-3631.7362251623395,368,1.057355817417114
70,-3660.1237950687314,368,1.0414954801558574
71,-3705.9631254206543,371,1.0258730479535194
72,-3709.6893338788036,371,1.0104849522342165
73,-3796.545667397224,376,0.9953276779507033
74,-3763.1199667299816,375,0.9803977627814427
75,-3731.8873826510617,372,0.9656917963397211
76,-3767.7196979867213,374,0.9512064193946252
77,-3787.8424531115998,375,0.9369383231037058
78,-3719.637350405049,372,0.9228842482571502
79,-3804.369999063201,376,0.909040984533293
80,-3847.753493506131,379,0.8954053697652935
81,-3802.310753758895,377,0.881974289218814
82,-3745.5893176494696,373,0.8687446748805319
