step,energy,activation_count,temperature
0,-2414.6934768549445,419,3.0
1,-2410.222322222728,394,2.955
2,-2544.828951240168,392,2.910675
3,-2528.146627222393,387,2.8670148749999997
4,-2821.1599047575182,399,2.8240096518749995
5,-2565.7444198697585,386,2.7816495070968745
6,-2557.494113442345,384,2.7399247644904214
7,-2634.8645169208835,386,2.698825893023065
8,-2735.148395253044,387,2.658343504627719
9,-2700.8860301203913,389,2.6184683520583034
10,-2732.8269577719097,389,2.579191326777429
11,-2819.40493725124,387,2.5405034568757676
12,-2651.117350508958,379,2.502395905022631
13,-2794.3099316837456,386,2.4648599664472917
14,-2871.865508351674,388,2.427887066950582
15,-2765.759331681999,383,2.3914687609463234
16,-2786.321590367774,375,2.3555967295321287
17,-2656.9695163405904,363,2.320262778589147
18,-2763.351088891179,373,2.2854588369103097
19,-2696.3763565627896,372,2.251176954356655
20,-3021.7008091025864,391,2.217409300041305
21,-2881.239133438528,384,2.1841481605406856
22,-2975.4933730523685,382,2.1513859381325755
23,-2999.385991305073,380,2.119115149060587
24,-3104.5435338310053,382,2.087328421824678
25,-3268.96122512116,392,2.056018495497308
26,-3023.3476891968185,379,2.0251782180648483
27,-2961.385869796707,373,1.9948005447938755
28,-2923.9950745139777,365,1.9648785366219672
29,-3377.85477026049,395,1.9354053585726376
30,-3182.119958956171,382,1.906374278194048
31,-3010.500495813372,376,1.8777786640211374
32,-3130.0354234851343,377,1.8496119840608203
33,-3103.3757261228093,375,1.821867804299908
34,-3204.440729066121,379,1.7945397872354092
35,-3382.7711619238144,387,1.767621690426878
36,-3346.043653965228,386,1.7411073650704747
37,-3423.472213292526,387,1.7149907545944176
38,-3153.348658258421,369,1.6892658932755014
39,-3348.0418365646274,381,1.6639269048763687
40,-3261.5752731228145,371,1.6389680013032233
41,-3251.729642542085,374,1.6143834812836748
42,-3518.5891623736384,381,1.5901677290644196
43,-3626.358749730861,384,1.5663152131284532
44,-3602.9700847135623,382,1.5428204849315263
45,-3332.7208237247282,368,1.5196781776575534
46,-3586.316837517579,382,1.49688300499269
47,-3629.1132798147823,383,1.4744297599177996
48,-3528.154176810086,375,1.4523133135190325
49,-3669.425166182636,383,1.430528613816247
50,-3722.282562991518,385,1.4090706846090033
51,-3720.467356822657,384,1.3879346243398683
52,-3588.843524642755,379,1.3671156049747701
53,-3395.2777157275245,367,1.3466088709001485
54,-3433.3241128250484,372,1.3264097378366462
55,-3518.0577283591247,369,1.3065135917690964
56,-3615.734180071489,376,1.28691588789256
57,-3540.6421247468456,373,1.2676121495741715
58,-3692.279516638337,381,1.248597967330559
59,-3554.530096463598,372,1.2298689978206006
60,-3626.606333034861,377,1.2114209628532915
61,-3590.55243405648,374,1.1932496484104922
62,-3570.7676686340214,372,1.1753509036843348
63,-3549.033304214542,368,1.1577206401290698
64,-3657.034446266118,376,1.1403548305271338
65,-3861.6076779663426,385,1.1232495080692269
66,-3745.933801547971,379,1.1064007654481884
67,-3758.8195989371093,380,1.0898047539664657
68,-3672.755774617927,374,1.0734576826569686
69,-3728.720453199311,375,1.057355817417114
70,-3726.701832235121,375,1.0414954801558574
71,-3677.561983181638,374,1.0258730479535194
72,-3827.4790098469584,382,1.0104849522342165
73,-3844.1731349937713,382,0.9953276779507033
74,-3818.903364172375,380,0.9803977627814427
75,-3651.2186352556855,369,0.9656917963397211
76,-3722.0816986793848,374,0.9512064193946252
77,-3774.1446116808524,378,0.9369383231037058
78,-3671.7585743362274,372,0.9228842482571502
79,-3858.4649225344424,383,0.909040984533293
80,-3761.6940622865313,377,0.8954053697652935
81,-3722.412902127236,375,0.881974289218814
82,-3774.6755864075153,377,0.8687446748805319
83,-3787.0896467804423,378,0.8557135047573239
84,-3867.975512631047,382,0.842877802185964
85,-3843.97092706604,380,0.8302346351531745
86,-3860.6188977213747,381,0.8177811156258769
87,-3935.379355743747,385,0.8055143988914887
88,-3984.120130355725,388,0.7934316829081164
89,-3826.038007142201,379,0.7815302076644947
90,-3900.693618290025,383,0.7698072545495273
91,-3805.2978808011235,377,0.7582601457312843
92,-3783.4237226346277,376,0.7468862435453151
93,-3849.6282857506762,380,0.7356829498921353
94,-3770.736656864613,375,0.7246477056437532
95,-3803.5482898101322,377,0.7137779900590969
96,-3867.445356181534,381,0.7030713202082105
97,-3770.1558363176073,375,0.6925252504050874
98,-3768.9618401047805,374,0.6821373716490111
99,-3886.9474349946568,381,0.671905311074276
100,-3700.1195136037054,370,0.6618267314081618
101,-3763.143165653222,374,0.6518993304370394
102,-3831.175702691972,378,0.6421208404804838
103,-3871.4262485363283,380,0.6324890278732765
104,-3966.6136390922525,385,0.6230016924551773
105,-3801.343986225276,376,0.6136566670683496
106,-3901.296815112438,381,0.6044518170623244
107,-3847.8580944929854,378,0.5953850398063896
108,-3706.325327224661,369,0.5864542642092937
109,-3795.5288139416543,375,0.5776574502461543
110,-3899.095941771286,381,0.568992588492462
111,-3746.680117852143,372,0.5604576996650751
112,-3897.672915607114,381,0.5520508341700989
113,-3882.2964017476274,380,0.5437700716575474
114,-3865.2870892832043,379,0.5356135205826842
115,-3763.7044763143217,373,0.527579317773944
116,-3796.0054814214973,375,0.5196656280073348
117,-3766.953259333149,373,0.5118706435872248
118,-3784.0549754055714,374,0.5041925839334164
119,-3833.3418952268776,377,0.49662969517441513
120,-3849.769341654315,378,0.4891802497467989
121,-3905.2842961034617,381,0.4818425460005969
122,-3873.5925475132335,379,0.47461490781058796
123,-3868.8945062693156,379,0.46749568419342913
124,-3832.7884587969297,377,0.46048324893052767
125,-3848.8194002606656,378,0.45357600019656974
126,-3902.5285616438405,381,0.4467723601936212
127,-3868.415199666173,379,0.4400707747907169
128,-3835.6584386950294,377,0.43346971316885613
129,-3800.8250164018714,375,0.4269676674713233
130,-3780.9477638328312,374,0.42056315245925346
131,-3815.4008026981396,376,0.4142547051723647
132,-3868.2799058034316,379,0.4080408845947792
133,-3869.0930301262324,379,0.4019202713258575
134,-3870.9667727562983,379,0.39589146725596963
135,-3888.8484028473144,380,0.38995309524713007
136,-3835.6136250670074,377,0.3841037988184231
137,-3835.668547259393,377,0.37834224183614673
138,-3868.692012605925,379,0.37266710820860455
139,-3832.190993189935,377,0.36707710158547546
140,-3853.7444327694757,378,0.36157094506169335
141,-3855.629607877577,378,0.3561473808857679
142,-3773.639432525886,373,0.3508051701724814
143,-3856.0917490266293,378,0.3455430926198942
144,-3855.7972577240525,378,0.3403599462305958
145,-3891.204001078668,380,0.33525454703713686
146,-3822.0987951894153,376,0.3302257288315798
147,-3822.0545793961455,376,0.3252723428991061
148,-3822.001675180976,376,0.3203932577556195
149,-3773.7619530976144,373,0.3155873588892852
150,-3838.753788284521,377,0.3108535485059459
151,-3891.457888130262,380,0.30619074527835666
152,-3928.275576599786,382,0.3015978840991813
153,-3926.9712384422164,382,0.2970739158376936
154,-3891.2589761355825,380,0.2926178071001282
155,-3891.2671171894167,380,0.28822853999362624
156,-3927.1998338145354,382,0.28390511189372186
157,-3855.3946875431743,378,0.279646535215316
158,-3855.419208504928,378,0.27545183718708627
159,-3837.4131334199415,377,0.27132005962927996
160,-3804.355198762617,375,0.26725025873484076
161,-3889.972774308681,380,0.26324150485381814
162,-3871.9625522772835,379,0.2592928822810109
163,-3873.4490426395882,379,0.2554034890467957
164,-3891.022636690506,380,0.2515724367110938
165,-3873.408793072183,379,0.2477988501604274
166,-3873.305550159296,379,0.24408186740802099
167,-3873.2881053716324,379,0.24042063939690067
168,-3909.301041028787,381,0.23681432980594716
169,-3909.633302641947,381,0.23326211485885795
170,-3856.0728348956827,378,0.22976318313597507
171,-3909.5856149509123,381,0.22631673538893546
172,-3856.3369413002624,378,0.22292198435810143
173,-3873.675508293838,379,0.2195781545927299
174,-3839.0865814049557,377,0.21628448227383895
175,-3873.7666983220124,379,0.21304021503973136
176,-3856.269494786736,378,0.20984461181413538
177,-3947.009806246899,383,0.20669694263692334
178,-3946.9425439609527,383,0.2035964884973695
179,-3873.4793890936953,379,0.20054254116990897
180,-3909.4473572981988,381,0.19753440305236034
181,-3873.311564288512,379,0.19457138700657492
182,-3927.7963663399146,382,0.19165281620147628
183,-3909.573870360045,381,0.18877802395845414
184,-3891.499971776058,380,0.18594635359907732
185,-3873.566505966231,379,0.18315715829509116
186,-3873.3925903917557,379,0.1804098009206648
187,-3891.306392612629,380,0.17770365390685483
188,-3873.7076411326298,379,0.175038099098252
189,-3873.406048794315,379,0.17241252761177822
