step,energy,activation_count,temperature
0,-2376.3186545720555,419,3.0
1,-2404.835999372189,398,2.955
2,-2246.97128185782,381,2.910675
3,-2546.920863559092,395,2.8670148749999997
4,-2530.358339618366,387,2.8240096518749995
5,-2643.806482537273,387,2.7816495070968745
6,-2628.036443393378,391,2.7399247644904214
7,-2547.436071335632,387,2.698825893023065
8,-2552.805196767052,382,2.658343504627719
9,-2462.9773286351056,377,2.6184683520583034
10,-2641.8008840794164,382,2.579191326777429
11,-2778.124912872781,388,2.5405034568757676
12,-2684.690048951346,383,2.502395905022631
13,-2845.824648231645,393,2.4648599664472917
14,-2582.174282114645,378,2.427887066950582
15,-2641.312561902254,381,2.3914687609463234
16,-2730.136894981744,387,2.3555967295321287
17,-2648.3927099599364,379,2.320262778589147
18,-2734.9506200643355,380,2.2854588369103097
19,-2778.6856332613365,379,2.251176954356655
20,-3084.985719435193,390,2.217409300041305
21,-2921.140270975993,381,2.1841481605406856
22,-2903.51386562374,378,2.1513859381325755
23,-2977.4048124048945,378,2.119115149060587
24,-3075.6929520396193,383,2.087328421824678
25,-3154.0282251971316,384,2.056018495497308
26,-2974.611128733155,374,2.0251782180648483
27,-3131.9847179200233,385,1.9948005447938755
28,-3155.490454531326,383,1.9648785366219672
29,-2968.2390281609155,374,1.9354053585726376
30,-3188.495506369687,385,1.906374278194048
31,-3157.976767290859,376,1.8777786640211374
32,-3332.6122395815687,386,1.8496119840608203
33,-3232.7223935117336,375,1.821867804299908
34,-3412.8729238156534,384,1.7945397872354092
35,-3274.5391691140007,379,1.767621690426878
36,-3381.057502050968,383,1.7411073650704747
37,-3539.1416092200157,387,1.7149907545944176
38,-3544.142312369841,387,1.6892658932755014
39,-3477.2624225386853,381,1.6639269048763687
40,-3540.242163682094,385,1.6389680013032233
41,-3434.31765945459,378,1.6143834812836748
42,-3514.6458976525028,382,1.5901677290644196
43,-3635.299154775661,385,1.5663152131284532
44,-3638.803667785369,385,1.5428204849315263
45,-3600.5765628547233,382,1.5196781776575534
46,-3562.377065580189,377,1.49688300499269
47,-3600.8512985559137,381,1.4744297599177996
48,-3598.793440088013,379,1.4523133135190325
49,-3702.4699869558035,382,1.430528613816247
50,-3767.0336209714633,385,1.4090706846090033
51,-3683.923669067543,381,1.3879346243398683
52,-3749.3890073521566,386,1.3671156049747701
53,-3865.8619855201205,389,1.3466088709001485
54,-3749.275907585998,383,1.3264097378366462
55,-3804.5224656312057,385,1.3065135917690964
56,-3706.2979301235055,380,1.28691588789256
57,-3633.2781092390974,375,1.2676121495741715
58,-3651.8737931814985,375,1.248597967330559
59,-3775.2109915520464,383,1.2298689978206006
60,-3723.1097843924535,379,1.2114209628532915
61,-3790.761164055473,383,1.1932496484104922
62,-3761.3818544957344,380,1.1753509036843348
63,-3797.4099668249455,382,1.1577206401290698
64,-3840.667484084877,383,1.1403548305271338
65,-3814.8094030120187,381,1.1232495080692269
66,-3848.700013599446,384,1.1064007654481884
67,-3808.681346999103,382,1.0898047539664657
68,-3710.1251091023155,376,1.0734576826569686
69,-3921.725465870222,386,1.057355817417114
70,-3825.1947404224634,380,1.0414954801558574
71,-3811.432811963734,380,1.0258730479535194
72,-3859.339471387197,381,1.0104849522342165
73,-3952.1660798526536,385,0.9953276779507033
74,-3963.1794758769515,386,0.9803977627814427
75,-4205.1845943764765,397,0.9656917963397211
76,-3909.153948159533,383,0.9512064193946252
77,-3916.8974234910447,383,0.9369383231037058
78,-3916.277543547586,382,0.9228842482571502
79,-3922.133861764348,382,0.909040984533293
80,-4063.962855460528,389,0.8954053697652935
81,-4164.876180134143,394,0.881974289218814
82,-3960.78611429936,384,0.8687446748805319
83,-3933.586571571435,383,0.8557135047573239
84,-3982.937541877627,385,0.842877802185964
85,-3838.7973277627016,378,0.8302346351531745
86,-3881.719106852638,380,0.8177811156258769
87,-3912.9918638630857,381,0.8055143988914887
88,-3912.735758936182,381,0.7934316829081164
89,-3999.4794912843163,386,0.7815302076644947
90,-3873.2887805274936,380,0.7698072545495273
91,-3984.2166183236973,386,0.7582601457312843
92,-3812.0374193096095,376,0.7468862435453151
93,-3973.3219581112908,385,0.7356829498921353
94,-3943.4503769781236,383,0.7246477056437532
95,-3993.874547339651,385,0.7137779900590969
96,-3978.661954141552,384,0.7030713202082105
97,-4019.599390992526,386,0.6925252504050874
98,-3920.8868630802094,381,0.6821373716490111
99,-3907.6128653938545,380,0.671905311074276
100,-3870.8139239858797,378,0.6618267314081618
101,-3885.5415652748566,379,0.6518993304370394
