step,energy,activation_count,temperature
0,-2397.986431370768,419,3.0
1,-2390.1506576813445,386,2.955
2,-2485.6874670227494,391,2.910675
3,-2710.7637679392833,394,2.8670148749999997
4,-2490.065204466563,389,2.8240096518749995
5,-2579.5881383106776,388,2.7816495070968745
6,-2678.9167475180543,392,2.7399247644904214
7,-2599.351884742907,385,2.698825893023065
8,-2768.3600342131153,394,2.658343504627719
9,-2881.314407195908,398,2.6184683520583034
10,-2706.1158882047926,385,2.579191326777429
11,-2689.9569450729286,389,2.5405034568757676
12,-2510.4317164916224,376,2.502395905022631
13,-2758.0898818855153,388,2.4648599664472917
14,-2669.759569941474,383,2.427887066950582
15,-2835.9645621770596,391,2.3914687609463234
16,-2826.99101621636,388,2.3555967295321287
17,-2660.612290120828,380,2.320262778589147
18,-2815.4638647215656,385,2.2854588369103097
19,-2730.711580513788,378,2.251176954356655
20,-3102.4882704566203,394,2.217409300041305
21,-2754.4825943160954,375,2.1841481605406856
22,-3032.6279985492733,391,2.1513859381325755
23,-2702.970547576112,374,2.119115149060587
24,-2759.7621766860216,375,2.087328421824678
25,-2886.2676410837425,371,2.056018495497308
26,-2887.1607157381027,363,2.0251782180648483
27,-3222.5445423571646,386,1.9948005447938755
28,-3113.9946478448087,385,1.9648785366219672
29,-3261.4586380243236,388,1.9354053585726376
30,-3012.471780911048,374,1.906374278194048
31,-3178.657549809013,380,1.8777786640211374
32,-3267.35457566806,383,1.8496119840608203
33,-3294.019792923082,382,1.821867804299908
34,-3250.369141547459,379,1.7945397872354092
35,-3580.5010648108214,392,1.767621690426878
36,-3490.158120817354,386,1.7411073650704747
37,-3501.736738029263,385,1.7149907545944176
38,-3416.880121640584,380,1.6892658932755014
39,-3328.129180678982,374,1.6639269048763687
40,-3392.0414232515577,381,1.6389680013032233
41,-3432.591153089466,383,1.6143834812836748
42,-3336.8916901257503,379,1.5901677290644196
43,-3315.3486003336725,372,1.5663152131284532
44,-3434.919302900346,378,1.5428204849315263
45,-3703.582048572432,387,1.5196781776575534
46,-3750.5556788664917,387,1.49688300499269
47,-3585.6384034334765,378,1.4744297599177996
48,-3606.141419626642,380,1.4523133135190325
49,-3601.5780126152717,381,1.430528613816247
50,-3697.340684255467,385,1.4090706846090033
51,-3641.9420085906154,382,1.3879346243398683
52,-3637.598735340624,379,1.3671156049747701
53,-3522.821691821399,372,1.3466088709001485
54,-3510.449002298299,373,1.3264097378366462
55,-3513.6121005514065,370,1.3065135917690964
56,-3571.4037064092804,373,1.28691588789256
57,-3562.7096980967594,373,1.2676121495741715
58,-3744.5734406793363,382,1.248597967330559
59,-3874.6785419354055,388,1.2298689978206006
60,-3864.136228203711,386,1.2114209628532915
61,-3646.282682173701,376,1.1932496484104922
62,-3755.8355183051813,381,1.1753509036843348
63,-3633.950670259119,374,1.1577206401290698
64,-3820.617020522021,384,1.1403548305271338
65,-3756.1829810235745,379,1.1232495080692269
66,-3874.076807473096,384,1.1064007654481884
67,-3769.357702413567,378,1.0898047539664657
68,-3881.483442532197,384,1.0734576826569686
69,-3846.7764079118033,382,1.057355817417114
70,-3826.8688933249,381,1.0414954801558574
71,-3738.9726293142503,376,1.0258730479535194
72,-3880.7780203896664,385,1.0104849522342165
73,-3820.0832999424856,382,0.9953276779507033
74,-3872.951305416308,384,0.9803977627814427
75,-3778.951462774519,378,0.9656917963397211
76,-3739.023485632315,375,0.9512064193946252
77,-3812.3935021157945,380,0.9369383231037058
78,-3817.309314832211,379,0.9228842482571502
79,-3876.9893485807593,383,0.909040984533293
80,-3793.2937746298053,378,0.8954053697652935
81,-3783.615285947413,377,0.881974289218814
82,-3782.277052986002,377,0.8687446748805319
83,-3747.257424164667,375,0.8557135047573239
84,-3709.004854380614,372,0.842877802185964
85,-3833.379565359575,379,0.8302346351531745
86,-3878.6762036788737,382,0.8177811156258769
87,-3854.0335243635363,381,0.8055143988914887
88,-3975.9055935409133,387,0.7934316829081164
89,-3874.678666686244,382,0.7815302076644947
90,-3885.451295723327,382,0.7698072545495273
91,-3868.605278927727,381,0.7582601457312843
92,-3905.4059497322196,383,0.7468862435453151
93,-3890.5770808579355,382,0.7356829498921353
94,-3851.5720844514412,380,0.7246477056437532
95,-3853.570837664743,380,0.7137779900590969
96,-3924.8312567480034,384,0.7030713202082105
97,-3814.9328796570403,378,0.6925252504050874
98,-3872.1111830625014,381,0.6821373716490111
99,-3837.7419171547867,379,0.671905311074276
100,-3861.868638838556,381,0.6618267314081618
101,-3910.504851592493,384,0.6518993304370394
102,-3893.8010783939194,383,0.6421208404804838
103,-3857.74312380052,381,0.6324890278732765
104,-3848.444393105227,380,0.6230016924551773
105,-3966.4416935976033,386,0.6136566670683496
106,-3828.034714488232,378,0.6044518170623244
107,-3894.625807181024,382,0.5953850398063896
108,-3840.2344105663155,379,0.5864542642092937
109,-3860.4978979177035,380,0.5776574502461543
110,-3895.223217953007,382,0.568992588492462
111,-3973.1023330763305,386,0.5604576996650751
112,-3915.719556333612,383,0.5520508341700989
113,-3921.623809972516,383,0.5437700716575474
114,-3902.6900561663874,382,0.5356135205826842
115,-3933.629887636943,384,0.527579317773944
116,-3957.1563048667304,385,0.5196656280073348
117,-3901.3500017400943,382,0.5118706435872248
118,-4001.300035180969,387,0.5041925839334164
119,-3941.579926118263,384,0.49662969517441513
120,-3882.9579708284077,381,0.4891802497467989
121,-3848.0675921023962,379,0.4818425460005969
122,-3940.729275862426,384,0.47461490781058796
123,-3849.7985977811963,379,0.46749568419342913
124,-3914.579797866667,383,0.46048324893052767
125,-3879.768202369835,381,0.45357600019656974
126,-3880.414727589949,381,0.4467723601936212
127,-3809.7913439958934,377,0.4400707747907169
128,-3957.312313980755,385,0.43346971316885613
129,-3898.058195601614,382,0.4269676674713233
130,-3825.4514586862338,378,0.42056315245925346
131,-3858.998856400402,380,0.4142547051723647
132,-3809.489599713871,377,0.4080408845947792
133,-3860.307723211668,380,0.4019202713258575
134,-3877.24148730195,381,0.39589146725596963
135,-3860.220666760259,380,0.38995309524713007
136,-3877.881652607588,381,0.3841037988184231
137,-3898.9318302577235,382,0.37834224183614673
138,-3844.124523162716,379,0.37266710820860455
139,-3846.2825842522866,379,0.36707710158547546
140,-3864.4072287416507,380,0.36157094506169335
141,-3864.5837328955718,380,0.3561473808857679
142,-3846.7089680694266,379,0.3508051701724814
143,-3901.413613650611,382,0.3455430926198942
144,-3862.5328819414904,380,0.3403599462305958
145,-3846.5892278080814,379,0.33525454703713686
146,-3957.9064713368707,385,0.3302257288315798
147,-3881.446174544374,381,0.3252723428991061
148,-3978.947711138876,386,0.3203932577556195
149,-3920.164207359695,383,0.3155873588892852
150,-3918.3491064615555,383,0.3108535485059459
151,-3846.6140024749798,379,0.30619074527835666
152,-3846.782260641435,379,0.3015978840991813
153,-3939.5647846676743,384,0.2970739158376936
154,-3920.269169697661,383,0.2926178071001282
155,-3919.476867070388,383,0.28822853999362624
156,-3881.41997479613,381,0.28390511189372186
157,-3900.0297961526335,382,0.279646535215316
158,-3920.0813305415704,383,0.27545183718708627
159,-3939.3265716354276,384,0.27132005962927996
160,-3901.3302475467026,382,0.26725025873484076
161,-3901.419705080502,382,0.26324150485381814
162,-3920.4057795374956,383,0.2592928822810109
163,-3939.8666733339082,384,0.2554034890467957
164,-3939.7079872965433,384,0.2515724367110938
165,-3882.9291773120844,381,0.2477988501604274
166,-3939.8357118137733,384,0.24408186740802099
167,-3920.2813398131275,383,0.24042063939690067
168,-3901.324021515129,382,0.23681432980594716
169,-3882.5388870872084,381,0.23326211485885795
170,-3901.1519114350413,382,0.22976318313597507
171,-3901.5052986696337,382,0.22631673538893546
172,-3864.531999938576,380,0.22292198435810143
173,-3864.5748939307255,380,0.2195781545927299
174,-3959.304265873232,385,0.21628448227383895
175,-3959.515574433737,385,0.21304021503973136
176,-3903.80248285944,382,0.20984461181413538
177,-3885.144776240255,381,0.20669694263692334
178,-3814.150734012153,377,0.2035964884973695
179,-3903.7638981975742,382,0.20054254116990897
180,-3867.0409275524194,380,0.19753440305236034
181,-3885.1630720064113,381,0.19457138700657492
182,-3885.409086770229,381,0.19165281620147628
183,-3883.9725008977643,381,0.18877802395845414
184,-3849.1848251571823,379,0.18594635359907732
185,-3884.044854328504,381,0.18315715829509116
186,-3921.416268402405,383,0.1804098009206648
187,-3885.2306841286245,381,0.17770365390685483
188,-3961.701569283371,385,0.175038099098252
189,-3885.4520154449306,381,0.17241252761177822
190,-3867.204707521009,380,0.16982633969760155
191,-3867.094156720105,380,0.16727894460213752
192,-3922.651191825965,383,0.16476976043310546
193,-3961.306941964196,385,0.16229821402660888
194,-3885.1282488071283,381,0.15986374081620974
195,-3903.7736110825285,382,0.1574657847039666
196,-3885.389392876809,381,0.15510379793340712
197,-3865.5386004892885,380,0.152777240964406
198,-3922.4509076859017,383,0.15048558234993992
199,-3922.5720793697637,383,0.1482282986146908
200,-3903.713330205157,382,0.14600487413547045
