step,energy,activation_count,temperature
0,-2395.9202723449375,419,3.0
1,-2568.292690004218,403,2.955
2,-2583.026238808784,401,2.910675
3,-2399.2286351784983,385,2.8670148749999997
4,-2728.0425062182126,392,2.8240096518749995
5,-2843.783696654105,400,2.7816495070968745
6,-2588.90050592423,389,2.7399247644904214
7,-2785.1860927288067,398,2.698825893023065
8,-2419.8232571534895,379,2.658343504627719
9,-2730.9780720185586,393,2.6184683520583034
10,-2639.6981444824805,387,2.579191326777429
11,-2896.40395433003,395,2.5405034568757676
12,-2652.741129416264,382,2.502395905022631
13,-2797.0723438418395,390,2.4648599664472917
14,-2537.3470034837856,374,2.427887066950582
15,-2929.9724058578768,390,2.3914687609463234
16,-2957.6971324370943,385,2.3555967295321287
17,-3226.6710525746653,399,2.320262778589147
18,-2976.473679538575,387,2.2854588369103097
19,-2683.926461690363,375,2.251176954356655
20,-2755.765636772548,377,2.217409300041305
21,-2927.1946570547225,381,2.1841481605406856
22,-3033.543162597529,382,2.1513859381325755
23,-3223.1512759670304,391,2.119115149060587
24,-3337.1675514764665,394,2.087328421824678
25,-3074.3660683861203,387,2.056018495497308
26,-3145.3019526651533,389,2.0251782180648483
27,-3035.780939588505,381,1.9948005447938755
28,-3344.4679855577415,394,1.9648785366219672
29,-3328.4797796493253,392,1.9354053585726376
30,-3180.6127432997177,388,1.906374278194048
31,-3208.186047725026,384,1.8777786640211374
32,-3423.853502817487,394,1.8496119840608203
33,-3337.49945766749,387,1.821867804299908
34,-3458.6639074000545,388,1.7945397872354092
35,-3469.4126588207127,391,1.767621690426878
36,-3268.6385524008833,380,1.7411073650704747
37,-3262.1502376330436,372,1.7149907545944176
38,-3385.9631386647666,381,1.6892658932755014
39,-3342.535251487059,375,1.6639269048763687
40,-3449.7496074799387,381,1.6389680013032233
41,-3401.6720046516984,377,1.6143834812836748
42,-3414.30661755949,380,1.5901677290644196
43,-3585.1147655036875,385,1.5663152131284532
44,-3657.925315460146,386,1.5428204849315263
45,-3500.561753240007,378,1.5196781776575534
46,-3800.301647132617,390,1.49688300499269
47,-3475.7226220039643,374,1.4744297599177996
48,-3624.3110854127067,380,1.4523133135190325
49,-3504.9250035918362,374,1.430528613816247
50,-3772.404700257661,386,1.4090706846090033
51,-3656.2161038265026,380,1.3879346243398683
52,-3627.2181310601586,378,1.3671156049747701
53,-3657.8571015831344,380,1.3466088709001485
54,-3712.4497478152052,382,1.3264097378366462
55,-3747.9449613072384,384,1.3065135917690964
56,-3758.6384027767826,382,1.28691588789256
57,-3898.392190355451,388,1.2676121495741715
58,-3832.5301277904855,386,1.248597967330559
59,-3774.539331368078,382,1.2298689978206006
60,-3756.42420971997,383,1.2114209628532915
61,-3747.7820885828837,380,1.1932496484104922
62,-3658.093209971424,373,1.1753509036843348
63,-3968.37950078386,390,1.1577206401290698
64,-3741.457724885297,379,1.1403548305271338
65,-3753.3489802402496,379,1.1232495080692269
66,-3905.126996058831,387,1.1064007654481884
67,-3883.8850994669397,386,1.0898047539664657
68,-3692.0780010453536,375,1.0734576826569686
69,-3827.329635843068,382,1.057355817417114
70,-3805.2999960188595,381,1.0414954801558574
71,-3815.441674958234,383,1.0258730479535194
72,-3730.000716391221,377,1.0104849522342165
73,-3848.2583427347204,384,0.9953276779507033
74,-3808.437441599721,382,0.9803977627814427
75,-3783.671953794477,379,0.9656917963397211
76,-3920.0228504674897,386,0.9512064193946252
77,-3807.94763191001,380,0.9369383231037058
78,-3794.283934682588,379,0.9228842482571502
79,-3897.6744085445007,385,0.909040984533293
80,-3808.851668361122,380,0.8954053697652935
81,-3734.6282341307224,375,0.881974289218814
82,-3836.3574143853593,381,0.8687446748805319
83,-3844.852547837691,381,0.8557135047573239
84,-3858.408766240471,382,0.842877802185964
85,-3909.1537385080032,385,0.8302346351531745
86,-3674.7497195993155,371,0.8177811156258769
87,-3858.3169062489687,382,0.8055143988914887
88,-3817.2645649871415,380,0.7934316829081164
89,-3763.8132033141537,377,0.7815302076644947
90,-3793.9984710735725,378,0.7698072545495273
91,-3805.5392465556265,379,0.7582601457312843
92,-3927.1740974369322,385,0.7468862435453151
93,-3906.43778460418,384,0.7356829498921353
94,-3909.4465483034187,384,0.7246477056437532
95,-3798.646807010999,378,0.7137779900590969
96,-3799.710508465429,378,0.7030713202082105
97,-3888.694423431236,383,0.6925252504050874
98,-3914.569555662808,384,0.6821373716490111
99,-3922.333282463678,385,0.671905311074276
100,-3880.582029050924,383,0.6618267314081618
101,-3854.5058842974363,381,0.6518993304370394
102,-3818.5642579024448,379,0.6421208404804838
103,-3896.49813996543,383,0.6324890278732765
104,-3824.113457412401,379,0.6230016924551773
105,-3772.8862788831125,376,0.6136566670683496
106,-3892.0119672570167,383,0.6044518170623244
107,-3819.6666956457325,379,0.5953850398063896
108,-3700.676089262154,371,0.5864542642092937
109,-3795.281676977006,377,0.5776574502461543
110,-3863.8133948166233,381,0.568992588492462
111,-3831.983669828405,379,0.5604576996650751
112,-3830.5777868919,379,0.5520508341700989
113,-3872.9653977241906,381,0.5437700716575474
114,-3948.29043065161,385,0.5356135205826842
115,-3922.760300005385,384,0.527579317773944
116,-3887.190649092762,382,0.5196656280073348
117,-3908.27565696506,383,0.5118706435872248
118,-3874.4582311721642,381,0.5041925839334164
119,-3788.561662526157,376,0.49662969517441513
120,-3876.5660800942633,381,0.4891802497467989
121,-3876.651584885717,381,0.4818425460005969
122,-3876.358787556842,381,0.47461490781058796
