step,energy,activation_count,temperature
0,-2347.0250348817176,419,3.0
1,-2515.1856524261843,401,2.955
2,-2628.811441423838,394,2.910675
3,-2508.894734953933,384,2.8670148749999997
4,-2563.261910079426,391,2.8240096518749995
5,-2564.770460505828,388,2.7816495070968745
6,-2648.4378649463983,389,2.7399247644904214
7,-2699.7805530306364,388,2.698825893023065
8,-2447.4678798947166,380,2.658343504627719
9,-2683.483315320499,387,2.6184683520583034
10,-2800.5809211285673,394,2.579191326777429
11,-2729.685709848747,389,2.5405034568757676
12,-2712.924706791922,385,2.502395905022631
13,-2911.423981136327,393,2.4648599664472917
14,-3021.2306617037552,398,2.427887066950582
15,-2798.7814368734853,389,2.3914687609463234
16,-2795.9757417554943,381,2.3555967295321287
17,-3069.400138639786,392,2.320262778589147
18,-3080.413813897264,389,2.2854588369103097
19,-3058.4945026004243,389,2.251176954356655
20,-2944.271811264305,383,2.217409300041305
21,-2912.526338531478,381,2.1841481605406856
22,-3028.7830519877252,386,2.1513859381325755
23,-2908.0421077861124,376,2.119115149060587
24,-3163.005620412539,389,2.087328421824678
25,-3159.752300479737,388,2.056018495497308
26,-3179.1595921676394,387,2.0251782180648483
27,-3439.96319906285,395,1.9948005447938755
28,-3034.395144715256,376,1.9648785366219672
29,-3108.677254336195,378,1.9354053585726376
30,-3255.2460055210304,386,1.906374278194048
31,-3232.5921660607582,382,1.8777786640211374
32,-3326.8925531500595,385,1.8496119840608203
33,-3288.431256204333,379,1.821867804299908
34,-3323.7988850615966,380,1.7945397872354092
35,-3172.1976211573724,371,1.767621690426878
36,-3254.159658528393,373,1.7411073650704747
37,-3483.337579640824,387,1.7149907545944176
38,-3375.563719114644,379,1.6892658932755014
39,-3377.3546765627484,380,1.6639269048763687
40,-3481.450533568963,382,1.6389680013032233
41,-3473.2179288083703,383,1.6143834812836748
42,-3539.766168564833,384,1.5901677290644196
43,-3390.1087157991947,377,1.5663152131284532
44,-3580.5556091117164,384,1.5428204849315263
45,-3576.936467499623,382,1.5196781776575534
46,-3534.025422191411,379,1.49688300499269
47,-3528.70629653563,377,1.4744297599177996
48,-3618.398899911327,377,1.4523133135190325
49,-3754.199985690227,386,1.430528613816247
50,-3588.1362046322147,377,1.4090706846090033
51,-3476.262274815025,368,1.3879346243398683
52,-3538.177024224584,374,1.3671156049747701
53,-3614.8391500435646,378,1.3466088709001485
54,-3551.813808801929,373,1.3264097378366462
55,-3648.788530816129,379,1.3065135917690964
56,-3670.962773396641,378,1.28691588789256
57,-3606.6209263822925,374,1.2676121495741715
58,-3569.977801701802,372,1.248597967330559
59,-3798.8556394587463,386,1.2298689978206006
60,-3650.666472850754,377,1.2114209628532915
61,-3775.397109617148,383,1.1932496484104922
62,-3804.517411525204,385,1.1753509036843348
63,-3826.452677696547,386,1.1577206401290698
64,-3691.6779844786706,376,1.1403548305271338
65,-3715.189550047298,377,1.1232495080692269
66,-3665.9291362996905,373,1.1064007654481884
67,-3792.380629759522,382,1.0898047539664657
68,-3814.195327468651,383,1.0734576826569686
69,-3783.098320233799,381,1.057355817417114
70,-3766.500688491942,379,1.0414954801558574
71,-3723.770520310379,376,1.0258730479535194
72,-3774.413801547081,379,1.0104849522342165
73,-3786.3429927846305,381,0.9953276779507033
74,-3831.222911010947,383,0.9803977627814427
75,-3725.8162160937973,377,0.9656917963397211
76,-3871.992853175769,384,0.9512064193946252
77,-3810.0817728105408,381,0.9369383231037058
78,-3846.9341651033637,382,0.9228842482571502
79,-3847.920364276055,382,0.909040984533293
80,-3793.1423051592774,379,0.8954053697652935
81,-3888.1798498981966,384,0.881974289218814
82,-3891.3394945511723,384,0.8687446748805319
83,-3842.5535650840834,381,0.8557135047573239
84,-3867.338874902338,382,0.842877802185964
85,-3811.5402119240744,379,0.8302346351531745
86,-3937.311447023846,386,0.8177811156258769
87,-3768.461313675507,376,0.8055143988914887
88,-4000.195405809211,388,0.7934316829081164
89,-3837.1875000675204,379,0.7815302076644947
90,-3828.10265116758,379,0.7698072545495273
91,-3757.291467511117,375,0.7582601457312843
92,-3827.5472832177297,379,0.7468862435453151
93,-3848.573285083941,380,0.7356829498921353
94,-3853.080787874734,380,0.7246477056437532
95,-3848.0068224001693,380,0.7137779900590969
96,-3999.997016355656,388,0.7030713202082105
97,-3860.4182566464265,381,0.6925252504050874
98,-3786.2434728624175,376,0.6821373716490111
99,-3886.735156393498,382,0.671905311074276
100,-3852.7540691760933,380,0.6618267314081618
101,-3751.6592637105127,374,0.6518993304370394
102,-3737.2711861803373,373,0.6421208404804838
103,-3767.0052019292243,375,0.6324890278732765
104,-3892.661405230265,382,0.6230016924551773
105,-3896.844318723508,382,0.6136566670683496
106,-3896.9268405365738,382,0.6044518170623244
107,-3878.368482141966,381,0.5953850398063896
108,-3934.3958306849286,384,0.5864542642092937
109,-3876.300192036166,381,0.5776574502461543
110,-3917.3782753412474,383,0.568992588492462
111,-3932.9818508757894,384,0.5604576996650751
112,-3875.6902086642626,381,0.5520508341700989
113,-3911.421249178796,383,0.5437700716575474
114,-3785.0966039789873,376,0.5356135205826842
115,-3834.7474072290734,379,0.527579317773944
116,-3838.620907268302,379,0.5196656280073348
117,-3843.705781099495,379,0.5118706435872248
118,-3844.547459841624,379,0.5041925839334164
119,-3863.4464807338727,380,0.49662969517441513
120,-3826.9052947968885,378,0.4891802497467989
121,-3827.840727534018,378,0.4818425460005969
122,-3936.181547424961,384,0.47461490781058796
123,-3902.7197067449933,382,0.46749568419342913
124,-3957.7802665892295,385,0.46048324893052767
125,-3882.3111236964037,381,0.45357600019656974
126,-3863.9717571320734,380,0.4467723601936212
127,-3919.5169676125092,383,0.4400707747907169
128,-3900.7000520821275,382,0.43346971316885613
129,-3939.133507661148,384,0.4269676674713233
130,-3811.265260982307,377,0.42056315245925346
131,-3841.976411944515,379,0.4142547051723647
132,-3842.645050979126,379,0.4080408845947792
133,-3899.441250402976,382,0.4019202713258575
134,-3883.26723392729,381,0.39589146725596963
135,-3920.859954862651,383,0.38995309524713007
136,-3920.9630670597235,383,0.3841037988184231
137,-3901.825237880498,382,0.37834224183614673
138,-4040.8680245225564,389,0.37266710820860455
139,-4024.4672873847235,388,0.36707710158547546
140,-3884.127030917721,381,0.36157094506169335
141,-3982.46232076861,386,0.3561473808857679
142,-3982.6150759974366,386,0.3508051701724814
143,-3942.9385451858993,384,0.3455430926198942
144,-4024.474445989224,388,0.3403599462305958
145,-3983.5229987391162,386,0.33525454703713686
146,-3963.541547790194,385,0.3302257288315798
147,-4003.9408334591235,387,0.3252723428991061
148,-4024.637658232014,388,0.3203932577556195
149,-3887.0471885152497,381,0.3155873588892852
150,-3942.666086060201,384,0.3108535485059459
151,-3904.666818787946,382,0.30619074527835666
152,-3983.4496201716315,386,0.3015978840991813
153,-3924.5871959641163,383,0.2970739158376936
154,-3887.337227226301,381,0.2926178071001282
155,-3904.044782148918,382,0.28822853999362624
156,-3963.062889611686,385,0.28390511189372186
157,-3871.2759355393137,380,0.279646535215316
158,-3946.0785009086426,384,0.27545183718708627
159,-3871.1886046300215,380,0.27132005962927996
160,-3871.655123657509,380,0.26725025873484076
161,-3891.1823779494293,381,0.26324150485381814
162,-3948.156323010256,384,0.2592928822810109
163,-3909.8394966897004,382,0.2554034890467957
164,-3909.675020498713,382,0.2515724367110938
165,-3872.7673239903656,380,0.2477988501604274
166,-3891.2486323417584,381,0.24408186740802099
167,-3909.786169411909,382,0.24042063939690067
168,-3947.958590830553,384,0.23681432980594716
169,-3891.2499417546155,381,0.23326211485885795
170,-3928.701357806186,383,0.22976318313597507
171,-3948.0798024929877,384,0.22631673538893546
172,-3873.0019361281106,380,0.22292198435810143
173,-3873.0851756354054,380,0.2195781545927299
174,-3948.2745654429914,384,0.21628448227383895
175,-3929.0930201761084,383,0.21304021503973136
176,-3927.771443963881,383,0.20984461181413538
177,-3889.913137750223,381,0.20669694263692334
178,-3909.7418393635126,382,0.2035964884973695
179,-3928.7208943182545,383,0.20054254116990897
180,-3909.8188105655445,382,0.19753440305236034
181,-3891.111379663065,381,0.19457138700657492
182,-3909.7637757384045,382,0.19165281620147628
183,-3909.827129216107,382,0.18877802395845414
184,-3928.76503241401,383,0.18594635359907732
185,-3948.0041139995133,384,0.18315715829509116
186,-3948.258442610993,384,0.1804098009206648
187,-3929.037077826182,383,0.17770365390685483
188,-3967.758247755332,385,0.175038099098252
189,-3967.573691276453,385,0.17241252761177822
190,-3948.0115443836453,384,0.16982633969760155
191,-3928.753821812981,383,0.16727894460213752
192,-3948.0920511357394,384,0.16476976043310546
193,-3928.948980055304,383,0.16229821402660888
194,-3928.926244269467,383,0.15986374081620974
195,-3948.147179794141,384,0.1574657847039666
196,-3928.982611295662,383,0.15510379793340712
197,-3909.9710430778186,382,0.152777240964406
198,-3872.906724161754,380,0.15048558234993992
199,-3948.029359176791,384,0.1482282986146908
200,-3928.865235785675,383,0.14600487413547045
