step,energy,activation_count,temperature
0,-2425.0108210696453,419,3.0
1,-2601.093951497337,400,2.955
2,-2763.003990130517,401,2.910675
3,-2560.493407493238,386,2.8670148749999997
4,-2611.9261457189705,388,2.8240096518749995
5,-2727.2595829627785,395,2.7816495070968745
6,-2676.3300919437825,391,2.7399247644904214
7,-3111.7619642118834,408,2.698825893023065
8,-2833.5259994718976,394,2.658343504627719
9,-2634.2439495394688,390,2.6184683520583034
10,-2369.075217427729,375,2.579191326777429
11,-2442.851491672317,377,2.5405034568757676
12,-2616.0028610141994,387,2.502395905022631
13,-2881.799184729991,393,2.4648599664472917
14,-2743.9729522643056,386,2.427887066950582
15,-2686.9584119519704,379,2.3914687609463234
16,-2767.2444422336966,384,2.3555967295321287
17,-2829.1280051541944,383,2.320262778589147
18,-2955.538410275881,385,2.2854588369103097
19,-2751.887415511477,378,2.251176954356655
20,-3000.5571802129652,391,2.217409300041305
21,-3101.974396363928,393,2.1841481605406856
22,-3191.450844545245,397,2.1513859381325755
23,-3010.503659352035,387,2.119115149060587
24,-2962.4351273669804,378,2.087328421824678
25,-3329.0051734809076,396,2.056018495497308
26,-3091.362351802632,384,2.0251782180648483
27,-3096.6013570978994,379,1.9948005447938755
28,-3152.064219743485,384,1.9648785366219672
29,-3104.2840298109477,376,1.9354053585726376
30,-3136.985434353115,379,1.906374278194048
31,-3190.116352744602,380,1.8777786640211374
32,-3196.843521746002,379,1.8496119840608203
33,-3015.116278328154,369,1.821867804299908
34,-3221.511720902178,382,1.7945397872354092
35,-3349.062394055074,384,1.767621690426878
36,-3242.1226238889194,373,1.7411073650704747
37,-3272.2750468627855,375,1.7149907545944176
38,-3308.7925387332125,377,1.6892658932755014
39,-3308.401212761358,373,1.6639269048763687
40,-3411.859015399737,379,1.6389680013032233
41,-3365.884707426232,375,1.6143834812836748
42,-3446.4936719113916,380,1.5901677290644196
43,-3435.81762385209,377,1.5663152131284532
44,-3369.1731040445693,371,1.5428204849315263
45,-3514.7940258862955,377,1.5196781776575534
46,-3549.0388110861713,379,1.49688300499269
47,-3535.882615751492,378,1.4744297599177996
48,-3469.4902475506187,373,1.4523133135190325
49,-3634.209002270906,384,1.430528613816247
50,-3498.954428841128,373,1.4090706846090033
51,-3676.2617426420798,381,1.3879346243398683
52,-3400.599706956763,364,1.3671156049747701
53,-3576.2043275359338,374,1.3466088709001485
54,-3739.167956685736,382,1.3264097378366462
55,-3668.0603044828968,377,1.3065135917690964
56,-3607.037586495575,372,1.28691588789256
57,-3709.6813709474372,379,1.2676121495741715
58,-3803.5547595501057,383,1.248597967330559
59,-3727.350000981169,380,1.2298689978206006
60,-3673.31797242796,374,1.2114209628532915
61,-3661.3626620002724,373,1.1932496484104922
62,-3779.6684617446954,379,1.1753509036843348
63,-3790.3930729373315,379,1.1577206401290698
64,-3829.3005882085495,381,1.1403548305271338
65,-3818.57124521742,382,1.1232495080692269
66,-3621.820854285961,368,1.1064007654481884
67,-3738.5573931966187,376,1.0898047539664657
68,-3857.4908251567263,382,1.0734576826569686
69,-3814.494716729598,380,1.057355817417114
70,-3768.030983410021,377,1.0414954801558574
71,-3874.513505637225,382,1.0258730479535194
72,-3760.524483823825,376,1.0104849522342165
73,-3672.751584968569,369,0.9953276779507033
74,-3913.0605874544117,383,0.9803977627814427
75,-3860.3641470411235,382,0.9656917963397211
76,-3925.83198354152,384,0.9512064193946252
77,-3872.1406558411113,381,0.9369383231037058
78,-3845.288202790946,380,0.9228842482571502
79,-3897.3086618405364,382,0.909040984533293
80,-3872.664451843098,381,0.8954053697652935
81,-3799.7511090975822,377,0.881974289218814
82,-3897.4083255433397,383,0.8687446748805319
83,-3964.7420306493786,386,0.8557135047573239
84,-3822.3436056985065,378,0.842877802185964
85,-3911.523274464307,383,0.8302346351531745
86,-3917.126671323569,383,0.8177811156258769
87,-3820.055416265104,378,0.8055143988914887
88,-4127.034857189393,393,0.7934316829081164
89,-3941.193149270766,384,0.7815302076644947
90,-3860.5734235062205,380,0.7698072545495273
91,-3971.01267027417,386,0.7582601457312843
92,-3942.8648963676906,384,0.7468862435453151
93,-3839.4446943170165,378,0.7356829498921353
94,-3912.8114646898034,382,0.7246477056437532
