step,energy,activation_count,temperature
0,-2499.3747342855527,419,3.0
1,-2179.33648285909,384,2.955
2,-2288.495496103547,382,2.910675
3,-2487.923548546442,389,2.8670148749999997
4,-2739.465219679879,397,2.8240096518749995
5,-2577.2646905755937,393,2.7816495070968745
6,-2422.9506985463004,381,2.7399247644904214
7,-2682.9206355232845,394,2.698825893023065
8,-2568.4412152946006,387,2.658343504627719
9,-2576.224375818782,384,2.6184683520583034
10,-2502.1787799319463,376,2.579191326777429
11,-2394.041655635226,369,2.5405034568757676
12,-2659.925256336254,383,2.502395905022631
13,-2808.6182783717436,386,2.4648599664472917
14,-2627.252138344435,373,2.427887066950582
15,-2654.698670163831,378,2.3914687609463234
16,-2764.424151228995,377,2.3555967295321287
17,-2943.483408976247,386,2.320262778589147
18,-2828.307903256248,380,2.2854588369103097
19,-2652.6431433237767,374,2.251176954356655
20,-3108.848695301883,396,2.217409300041305
21,-2870.813053928664,380,2.1841481605406856
22,-2969.213095722051,384,2.1513859381325755
23,-2793.1012015489687,379,2.119115149060587
24,-3048.4544833065665,387,2.087328421824678
25,-2853.5563390166385,374,2.056018495497308
26,-2952.3452834804402,378,2.0251782180648483
27,-3193.3835442546174,387,1.9948005447938755
28,-3123.329106129828,379,1.9648785366219672
29,-3260.7410387299205,383,1.9354053585726376
30,-3065.4069401256743,374,1.906374278194048
31,-3007.6398932790453,372,1.8777786640211374
32,-3153.250755549439,377,1.8496119840608203
33,-3180.933263349182,370,1.821867804299908
34,-3276.8209103602658,380,1.7945397872354092
35,-3312.953949506198,380,1.767621690426878
36,-3389.893244510861,382,1.7411073650704747
37,-3303.024781815386,375,1.7149907545944176
38,-3409.3998412726937,385,1.6892658932755014
39,-3335.8971659637664,381,1.6639269048763687
40,-3317.796328181073,374,1.6389680013032233
41,-3269.122787913325,371,1.6143834812836748
42,-3473.999715165277,380,1.5901677290644196
43,-3479.3701907433338,379,1.5663152131284532
44,-3582.766859315096,383,1.5428204849315263
45,-3422.2379102935934,374,1.5196781776575534
46,-3874.9787391650425,396,1.49688300499269
47,-3552.3640515772468,381,1.4744297599177996
48,-3415.216907258135,370,1.4523133135190325
49,-3621.819727843903,382,1.430528613816247
50,-3607.9383335118705,379,1.4090706846090033
51,-3727.5194496928957,380,1.3879346243398683
52,-3850.7222368314624,387,1.3671156049747701
53,-3677.323429446515,377,1.3466088709001485
54,-3650.459471978499,376,1.3264097378366462
55,-3746.772465699165,382,1.3065135917690964
56,-3657.1886585757193,376,1.28691588789256
57,-3725.7489991888187,381,1.2676121495741715
58,-3644.0092438607708,376,1.248597967330559
59,-3910.0087932132606,388,1.2298689978206006
60,-3740.2281247243204,379,1.2114209628532915
61,-3719.7620249737,375,1.1932496484104922
62,-3681.5334693486448,374,1.1753509036843348
63,-3615.4635721360896,368,1.1577206401290698
64,-3730.2430386024707,376,1.1403548305271338
65,-3862.368344915196,382,1.1232495080692269
66,-3886.8419361584015,383,1.1064007654481884
67,-3890.5835377204953,383,1.0898047539664657
68,-3801.4771145756854,379,1.0734576826569686
69,-3790.505140141055,377,1.057355817417114
70,-3716.025200109697,375,1.0414954801558574
71,-3795.5447866451523,378,1.0258730479535194
72,-3791.136794606325,377,1.0104849522342165
73,-3828.0623781503505,379,0.9953276779507033
74,-3708.996026086002,372,0.9803977627814427
75,-3816.1308777536215,379,0.9656917963397211
76,-3775.7125744960454,375,0.9512064193946252
