step,energy,activation_count,temperature
0,-2472.6098155367613,419,3.0
1,-2369.0065882435124,391,2.955
2,-2511.6083161832275,386,2.910675
3,-2637.7561097447383,394,2.8670148749999997
4,-2492.1727506858674,384,2.8240096518749995
5,-2836.9421436433227,396,2.7816495070968745
6,-2601.6056575191265,383,2.7399247644904214
7,-2797.283684542324,392,2.698825893023065
8,-2596.135864023731,379,2.658343504627719
9,-2618.5056867733133,381,2.6184683520583034
10,-2911.7084893184347,400,2.579191326777429
11,-2741.5050205239386,388,2.5405034568757676
12,-2638.944006622552,382,2.502395905022631
13,-2780.9436689929776,386,2.4648599664472917
14,-2782.905612187484,383,2.427887066950582
15,-2721.622239873772,377,2.3914687609463234
16,-2724.9381011191986,376,2.3555967295321287
17,-2715.0195420887603,372,2.320262778589147
18,-2878.1695195233233,381,2.2854588369103097
19,-2898.6137468347365,382,2.251176954356655
20,-2965.36956432521,386,2.217409300041305
21,-2852.434041954999,381,2.1841481605406856
22,-2800.2210484241295,373,2.1513859381325755
23,-3037.229285930216,385,2.119115149060587
24,-3025.2533100791297,379,2.087328421824678
25,-3128.0124669028896,387,2.056018495497308
26,-2927.9418293367835,375,2.0251782180648483
27,-2845.996408794327,374,1.9948005447938755
28,-2872.4941441692963,372,1.9648785366219672
29,-3123.749914872576,382,1.9354053585726376
30,-3217.581214393213,383,1.906374278194048
31,-3094.4070503219145,377,1.8777786640211374
32,-3203.658111892754,378,1.8496119840608203
33,-3276.195936526519,382,1.821867804299908
34,-3261.988452277963,385,1.7945397872354092
35,-3179.399363868169,380,1.767621690426878
36,-3251.3666306403884,382,1.7411073650704747
37,-3395.2089024937363,389,1.7149907545944176
38,-3220.852339425572,375,1.6892658932755014
39,-3220.8377241126236,372,1.6639269048763687
40,-3229.1179009315374,368,1.6389680013032233
41,-3333.060312402627,372,1.6143834812836748
42,-3384.9874913035464,377,1.5901677290644196
43,-3445.989641995749,378,1.5663152131284532
44,-3458.559616812811,380,1.5428204849315263
45,-3458.406856909337,377,1.5196781776575534
46,-3584.3317597446817,386,1.49688300499269
47,-3543.5547180362805,381,1.4744297599177996
48,-3323.271391121035,371,1.4523133135190325
49,-3365.061333333919,373,1.430528613816247
50,-3461.391622961161,376,1.4090706846090033
51,-3545.337222428674,380,1.3879346243398683
52,-3534.841820501619,376,1.3671156049747701
53,-3571.8093619557867,380,1.3466088709001485
54,-3441.3985937602133,372,1.3264097378366462
55,-3474.95583637681,370,1.3065135917690964
56,-3579.825173574889,376,1.28691588789256
57,-3684.2488876295492,382,1.2676121495741715
58,-3702.7328157064812,382,1.248597967330559
59,-3712.7864129190048,382,1.2298689978206006
60,-3697.7142711858496,381,1.2114209628532915
61,-3716.307849516951,381,1.1932496484104922
62,-3592.5049097091596,373,1.1753509036843348
63,-3807.442627462263,386,1.1577206401290698
64,-3952.0133085929924,391,1.1403548305271338
65,-3930.71949478632,389,1.1232495080692269
66,-3858.401391857855,386,1.1064007654481884
67,-3775.9776056444825,381,1.0898047539664657
68,-3725.3089941779413,378,1.0734576826569686
69,-3739.0229337387436,378,1.057355817417114
70,-3786.2528939188874,380,1.0414954801558574
71,-3872.670177285381,384,1.0258730479535194
72,-3744.7845721841095,377,1.0104849522342165
73,-3759.6873874944267,377,0.9953276779507033
74,-3834.059220517821,382,0.9803977627814427
75,-3719.93188529693,375,0.9656917963397211
76,-3836.6453764112357,381,0.9512064193946252
77,-3823.941163503062,381,0.9369383231037058
78,-3822.834220970205,381,0.9228842482571502
79,-3930.8363492797403,387,0.909040984533293
80,-3916.738105887063,386,0.8954053697652935
81,-3941.090038753948,387,0.881974289218814
82,-3907.262486069983,385,0.8687446748805319
83,-3795.701644518241,379,0.8557135047573239
84,-3822.8590325573855,380,0.842877802185964
85,-3998.7795788105395,389,0.8302346351531745
86,-3729.063470063303,374,0.8177811156258769
87,-3832.2110330372475,380,0.8055143988914887
88,-3907.9876600030825,384,0.7934316829081164
89,-3922.960309258744,385,0.7815302076644947
90,-3965.5018142462573,387,0.7698072545495273
91,-3866.9567638834483,382,0.7582601457312843
92,-3877.1475219252497,382,0.7468862435453151
93,-3732.071159537063,373,0.7356829498921353
94,-3780.4153852363065,376,0.7246477056437532
95,-3855.969229503982,381,0.7137779900590969
96,-3765.1478476050124,375,0.7030713202082105
97,-3837.132737435963,379,0.6925252504050874
98,-3867.220350623348,380,0.6821373716490111
99,-3779.0640016643606,375,0.671905311074276
100,-3853.1227840186725,379,0.6618267314081618
101,-3956.765647965989,385,0.6518993304370394
102,-3817.5200677083258,377,0.6421208404804838
103,-3911.34008029876,382,0.6324890278732765
