step,energy,activation_count,temperature
0,-2373.1378299943553,419,3.0
1,-2258.569320102646,385,2.955
2,-2321.0233850985783,384,2.910675
3,-2517.5685633270705,393,2.8670148749999997
4,-2487.3525100380307,388,2.8240096518749995
5,-2519.991209954865,389,2.7816495070968745
6,-2659.4202883672433,393,2.7399247644904214
7,-2422.7276256553782,373,2.698825893023065
8,-2470.9187119192284,378,2.658343504627719
9,-2557.5189919682616,380,2.6184683520583034
10,-2707.5654224270365,387,2.579191326777429
11,-2907.501842356217,396,2.5405034568757676
12,-2695.9087780995983,386,2.502395905022631
13,-2631.4453374240256,377,2.4648599664472917
14,-2881.887046288994,390,2.427887066950582
15,-2554.5036244667913,370,2.3914687609463234
16,-2863.165393992062,388,2.3555967295321287
17,-2904.717943746426,391,2.320262778589147
18,-2695.009586148191,375,2.2854588369103097
19,-2779.981217232853,379,2.251176954356655
20,-2807.9968467782073,380,2.217409300041305
21,-2787.402876295097,369,2.1841481605406856
22,-2814.2897033865356,373,2.1513859381325755
23,-2889.061614263816,376,2.119115149060587
24,-3065.9138665548235,382,2.087328421824678
25,-2961.726589916547,379,2.056018495497308
26,-3117.68528213845,383,2.0251782180648483
27,-2939.4555815545427,370,1.9948005447938755
28,-3109.7984864715054,377,1.9648785366219672
29,-3153.7806709671754,381,1.9354053585726376
30,-3079.9032010703104,381,1.906374278194048
31,-2990.566438431872,374,1.8777786640211374
32,-3114.826218555217,380,1.8496119840608203
33,-3049.0304204529025,376,1.821867804299908
34,-3176.1273747857053,381,1.7945397872354092
35,-3214.8399050059857,382,1.767621690426878
36,-3238.983701382481,377,1.7411073650704747
37,-3256.0680373940536,374,1.7149907545944176
38,-3340.2703122326993,380,1.6892658932755014
39,-3207.722477280623,368,1.6639269048763687
40,-3280.289693720519,371,1.6389680013032233
41,-3402.970660372881,383,1.6143834812836748
42,-3403.4553129811156,379,1.5901677290644196
43,-3286.473843044409,371,1.5663152131284532
44,-3624.810698325279,387,1.5428204849315263
45,-3556.192480076845,380,1.5196781776575534
46,-3899.732238646151,396,1.49688300499269
47,-3408.31531164946,367,1.4744297599177996
48,-3592.241490796756,379,1.4523133135190325
49,-3608.231307395833,379,1.430528613816247
50,-3626.399148641642,380,1.4090706846090033
51,-3450.570839913849,367,1.3879346243398683
52,-3641.8924427674656,378,1.3671156049747701
53,-3554.562093267922,371,1.3466088709001485
54,-3637.1416411571117,376,1.3264097378366462
55,-3758.855508825551,382,1.3065135917690964
56,-3731.587463769516,378,1.28691588789256
57,-3874.836455801892,387,1.2676121495741715
58,-3809.581173379573,384,1.248597967330559
59,-3871.2557544205633,386,1.2298689978206006
60,-3808.997709467392,383,1.2114209628532915
61,-3809.2150048383796,381,1.1932496484104922
62,-3755.343435206096,378,1.1753509036843348
63,-3732.945554521665,377,1.1577206401290698
64,-3879.8328853264125,384,1.1403548305271338
65,-3809.2837692128073,381,1.1232495080692269
66,-3938.808021614208,387,1.1064007654481884
67,-3981.538793665714,389,1.0898047539664657
68,-3896.036840982861,384,1.0734576826569686
69,-3992.3151116744266,388,1.057355817417114
70,-3902.6977663568746,383,1.0414954801558574
71,-3822.0059496350686,379,1.0258730479535194
72,-3772.706300568905,378,1.0104849522342165
73,-3809.316412490947,379,0.9953276779507033
74,-3748.8935625558165,375,0.9803977627814427
75,-3805.6929578989575,377,0.9656917963397211
76,-3794.243904355739,377,0.9512064193946252
77,-3765.0046150563976,376,0.9369383231037058
78,-3698.1538145631293,372,0.9228842482571502
79,-3786.379995230738,377,0.909040984533293
80,-3734.9539568940663,374,0.8954053697652935
81,-3798.0670980287005,378,0.881974289218814
82,-3890.313237819771,383,0.8687446748805319
83,-3830.652197035385,379,0.8557135047573239
84,-3698.5970603633327,372,0.842877802185964
85,-3885.763663790708,383,0.8302346351531745
86,-3793.356870837383,377,0.8177811156258769
87,-3841.24672022634,380,0.8055143988914887
88,-3865.9154228072784,381,0.7934316829081164
89,-3842.598957931416,379,0.7815302076644947
90,-3802.347026805399,377,0.7698072545495273
91,-3694.5046088553595,369,0.7582601457312843
92,-3815.8219656069477,377,0.7468862435453151
93,-3886.7546664255906,381,0.7356829498921353
94,-3871.3853087771054,380,0.7246477056437532
95,-3890.243918471547,381,0.7137779900590969
96,-3872.2181148120994,380,0.7030713202082105
97,-3866.0449755857703,380,0.6925252504050874
98,-3918.8572806036677,383,0.6821373716490111
99,-3874.6878124087198,380,0.671905311074276
100,-3909.4781386630857,382,0.6618267314081618
101,-3811.569973126864,376,0.6518993304370394
102,-3791.305596261817,375,0.6421208404804838
103,-3834.3348682580745,378,0.6324890278732765
104,-3851.845875794374,379,0.6230016924551773
105,-3834.9087154223757,378,0.6136566670683496
106,-3858.748561321423,379,0.6044518170623244
107,-3764.768469258396,373,0.5953850398063896
108,-3892.3686419370592,380,0.5864542642092937
109,-3899.919284521277,380,0.5776574502461543
110,-3867.3675107903337,378,0.568992588492462
111,-3884.578848455476,378,0.5604576996650751
112,-3917.1977221090033,380,0.5520508341700989
113,-3915.474162384435,380,0.5437700716575474
114,-3848.897479099261,376,0.5356135205826842
115,-3795.5784698970124,373,0.527579317773944
116,-3868.438033624344,377,0.5196656280073348
117,-3788.5952075398695,372,0.5118706435872248
118,-3865.4614624364976,377,0.5041925839334164
119,-3797.133813760447,373,0.49662969517441513
120,-3880.735699178887,378,0.4891802497467989
121,-3934.928436127708,381,0.4818425460005969
122,-3848.8695186065756,376,0.47461490781058796
123,-3920.2711008605506,380,0.46749568419342913
124,-3850.221397865287,376,0.46048324893052767
125,-3886.250534015151,378,0.45357600019656974
126,-3973.666563576134,383,0.4467723601936212
127,-3958.684889207003,382,0.4400707747907169
128,-3975.1318090512473,383,0.43346971316885613
129,-3867.0530206826897,377,0.4269676674713233
130,-3868.2819567418956,377,0.42056315245925346
131,-3920.942522580023,380,0.4142547051723647
132,-3939.759646434932,381,0.4080408845947792
133,-3903.581325502696,379,0.4019202713258575
134,-3921.4941521979717,380,0.39589146725596963
135,-3869.209869544421,377,0.38995309524713007
136,-3869.226067706406,377,0.3841037988184231
137,-3923.640691615569,380,0.37834224183614673
138,-3886.5926664317963,378,0.37266710820860455
139,-3869.449229880849,377,0.36707710158547546
140,-3922.0736599727197,380,0.36157094506169335
141,-3958.7561938699473,382,0.3561473808857679
142,-3995.2308128241007,384,0.3508051701724814
143,-3920.5988567905492,380,0.3455430926198942
144,-3940.746030739109,381,0.3403599462305958
145,-3905.7471710576883,379,0.33525454703713686
146,-3977.244024251561,383,0.3302257288315798
147,-3998.471322972213,384,0.3252723428991061
148,-4018.0140181851225,385,0.3203932577556195
149,-3871.3015720361345,377,0.3155873588892852
150,-3960.562539202394,382,0.3108535485059459
151,-3923.719153432989,380,0.30619074527835666
152,-3923.731561961081,380,0.3015978840991813
153,-3960.685919224981,382,0.2970739158376936
154,-3960.4187035526825,382,0.2926178071001282
155,-3959.012045259603,382,0.28822853999362624
156,-3940.5706874041134,381,0.28390511189372186
157,-3940.6369221969517,381,0.279646535215316
158,-3942.0397009821227,381,0.27545183718708627
159,-3942.2481082386903,381,0.27132005962927996
160,-3908.0606647081386,379,0.26725025873484076
161,-3856.932401305948,376,0.26324150485381814
162,-3873.8167021332656,377,0.2592928822810109
163,-3926.070129743899,380,0.2554034890467957
164,-3873.7378235519755,377,0.2515724367110938
165,-3926.1047958672357,380,0.2477988501604274
166,-3944.35371615628,381,0.24408186740802099
167,-3908.3939969857074,379,0.24042063939690067
168,-3873.8440249954947,377,0.23681432980594716
