step,energy,activation_count,temperature
0,-2373.0794550199257,419,3.0
1,-2363.609096824991,385,2.955
2,-2572.0309222245355,390,2.910675
3,-2777.400257115691,395,2.8670148749999997
4,-2604.041653298283,390,2.8240096518749995
5,-2560.7025696019523,391,2.7816495070968745
6,-2631.275982079993,391,2.7399247644904214
7,-2551.5922637534645,386,2.698825893023065
8,-2683.8868068067673,391,2.658343504627719
9,-2551.654450645495,381,2.6184683520583034
10,-2542.582391949103,381,2.579191326777429
11,-2765.5864565745824,385,2.5405034568757676
12,-2530.740055296538,374,2.502395905022631
13,-2613.921019273971,376,2.4648599664472917
14,-2700.013586610322,381,2.427887066950582
15,-2861.86188231037,391,2.3914687609463234
16,-2784.736328113473,383,2.3555967295321287
17,-2848.7563738073377,383,2.320262778589147
18,-2889.0096324091232,388,2.2854588369103097
19,-2883.4236077396913,381,2.251176954356655
20,-3081.9713466964495,392,2.217409300041305
21,-2765.855780512773,374,2.1841481605406856
22,-2946.5659744267386,382,2.1513859381325755
23,-3153.1506966481315,388,2.119115149060587
24,-3114.1693997918765,387,2.087328421824678
25,-2967.4472694623855,377,2.056018495497308
26,-3262.060552693134,391,2.0251782180648483
27,-3162.9823629827274,383,1.9948005447938755
28,-2996.264195624889,371,1.9648785366219672
29,-2956.3923419006437,371,1.9354053585726376
30,-3228.634703105272,385,1.906374278194048
31,-3251.7682650914626,384,1.8777786640211374
32,-3325.363421859573,385,1.8496119840608203
33,-3274.7155640948886,377,1.821867804299908
34,-3399.417952068604,383,1.7945397872354092
35,-3386.0807860602695,381,1.767621690426878
36,-3448.023416209896,384,1.7411073650704747
37,-3275.304051960456,374,1.7149907545944176
38,-3345.506723069626,379,1.6892658932755014
39,-3425.041868177325,380,1.6639269048763687
40,-3462.648141790349,380,1.6389680013032233
41,-3429.1796813196393,372,1.6143834812836748
42,-3765.857680410209,392,1.5901677290644196
43,-3498.028496431711,379,1.5663152131284532
44,-3561.834293201721,381,1.5428204849315263
45,-3695.6872271141888,382,1.5196781776575534
46,-3683.3918686264146,381,1.49688300499269
47,-3882.490644063763,393,1.4744297599177996
48,-3689.9077544594566,383,1.4523133135190325
49,-3594.2339898434484,380,1.430528613816247
50,-3644.0809723956595,381,1.4090706846090033
51,-3694.23387667729,385,1.3879346243398683
52,-3564.451288755113,375,1.3671156049747701
53,-3658.9011035523845,379,1.3466088709001485
54,-3524.722029283478,370,1.3264097378366462
55,-3692.834333424878,383,1.3065135917690964
56,-3729.6841860949908,382,1.28691588789256
57,-3729.248272106309,380,1.2676121495741715
58,-3810.2057219645376,385,1.248597967330559
59,-3754.8895312234627,381,1.2298689978206006
60,-3738.3183513764543,381,1.2114209628532915
61,-3823.692922319692,383,1.1932496484104922
62,-3918.0951309674233,388,1.1753509036843348
63,-3795.6160072140883,382,1.1577206401290698
64,-3793.5115847196985,381,1.1403548305271338
65,-3737.611529705683,377,1.1232495080692269
66,-3812.691900225088,382,1.1064007654481884
67,-3918.615523493627,387,1.0898047539664657
68,-3950.026084178962,388,1.0734576826569686
69,-3848.5850886989138,382,1.057355817417114
70,-3901.7227218789217,385,1.0414954801558574
71,-3931.5683987527123,387,1.0258730479535194
72,-3702.9389898109916,374,1.0104849522342165
73,-3847.6199518332614,382,0.9953276779507033
74,-3795.5109045989843,378,0.9803977627814427
75,-3909.515058338886,385,0.9656917963397211
76,-3902.2377768166025,385,0.9512064193946252
77,-3777.9523911950887,378,0.9369383231037058
78,-3744.8721124059343,376,0.9228842482571502
79,-3732.6381762088263,375,0.909040984533293
80,-3862.6973939401123,383,0.8954053697652935
81,-3804.0890169477193,380,0.881974289218814
82,-3823.9262480065736,381,0.8687446748805319
83,-3741.381422148756,375,0.8557135047573239
84,-3781.8751922335487,377,0.842877802185964
85,-3886.3048862485575,383,0.8302346351531745
86,-3862.0509212691795,382,0.8177811156258769
87,-3868.2322807888513,382,0.8055143988914887
88,-3717.732615295438,373,0.7934316829081164
89,-3971.231952149841,387,0.7815302076644947
90,-3894.3869386178835,383,0.7698072545495273
91,-3833.117744777869,380,0.7582601457312843
92,-3867.777893300177,382,0.7468862435453151
93,-4002.9848440035016,389,0.7356829498921353
94,-3860.448298753539,382,0.7246477056437532
95,-3823.349323911038,380,0.7137779900590969
96,-3721.659271385784,373,0.7030713202082105
97,-3782.6840519777215,376,0.6925252504050874
98,-3787.0811477814605,377,0.6821373716490111
99,-3773.1111462164463,376,0.671905311074276
100,-3783.072808649735,376,0.6618267314081618
101,-3905.7937186271347,383,0.6518993304370394
102,-3740.8259341058697,374,0.6421208404804838
103,-3805.9379632370033,378,0.6324890278732765
104,-3898.770136813781,383,0.6230016924551773
105,-3812.877913571483,378,0.6136566670683496
106,-3867.4754499219002,381,0.6044518170623244
107,-3797.5182392592587,377,0.5953850398063896
108,-3868.4781721118243,381,0.5864542642092937
109,-3885.9409971061673,382,0.5776574502461543
110,-3940.607133855954,385,0.568992588492462
111,-3851.791710458227,380,0.5604576996650751
112,-3847.3600261971237,380,0.5520508341700989
113,-3819.1575834352184,378,0.5437700716575474
114,-3948.9326161735235,385,0.5356135205826842
115,-3930.5141535966495,384,0.527579317773944
116,-3949.283074405441,385,0.5196656280073348
117,-3949.9829277570734,385,0.5118706435872248
118,-3858.014585888426,380,0.5041925839334164
119,-3840.2693489227418,379,0.49662969517441513
120,-3891.0787064907654,382,0.4891802497467989
121,-3820.7029238381306,378,0.4818425460005969
122,-3911.971233194709,383,0.47461490781058796
123,-3914.4757346475794,383,0.46749568419342913
124,-3789.2111835242345,376,0.46048324893052767
125,-3931.950767502718,384,0.45357600019656974
126,-3874.645874005315,381,0.4467723601936212
127,-3890.418142674542,382,0.4400707747907169
128,-3856.9629774759487,380,0.43346971316885613
129,-3951.4516118008405,385,0.4269676674713233
130,-3950.613336206585,385,0.42056315245925346
131,-3971.156386893875,386,0.4142547051723647
132,-3951.6304669175834,385,0.4080408845947792
133,-3878.2360332198123,381,0.4019202713258575
134,-3865.225829686311,380,0.39589146725596963
135,-3846.7867359806514,379,0.38995309524713007
136,-3846.7725550643754,379,0.3841037988184231
137,-3939.9032625299155,384,0.37834224183614673
138,-3918.4673742079844,383,0.37266710820860455
139,-3955.0202706590103,385,0.36707710158547546
140,-3939.2304365686764,384,0.36157094506169335
141,-3885.310088055079,381,0.3561473808857679
142,-3883.1081510862673,381,0.3508051701724814
143,-3903.756165589693,382,0.3455430926198942
144,-3885.166524152966,381,0.3403599462305958
145,-3849.1648366140907,379,0.33525454703713686
146,-3942.0020894240624,384,0.3302257288315798
147,-3903.8417410127195,382,0.3252723428991061
148,-3960.89345646663,385,0.3203932577556195
149,-3797.430029457389,376,0.3155873588892852
150,-3868.830046276167,380,0.3108535485059459
151,-3887.0349392667767,381,0.30619074527835666
152,-3868.777140479751,380,0.3015978840991813
153,-3944.0430766359173,384,0.2970739158376936
154,-3924.7334480977793,383,0.2926178071001282
155,-3904.568413269132,382,0.28822853999362624
156,-3904.5354175584166,382,0.28390511189372186
157,-3905.6106092999394,382,0.279646535215316
158,-3868.6261539417774,380,0.27545183718708627
159,-3849.711636720201,379,0.27132005962927996
160,-3867.2275946699374,380,0.26725025873484076
161,-3885.7951104112585,381,0.26324150485381814
162,-3850.9928201685716,379,0.2592928822810109
163,-3887.066630603306,381,0.2554034890467957
164,-3905.4757842509257,382,0.2515724367110938
165,-3924.381291626569,383,0.2477988501604274
166,-3943.993144566972,384,0.24408186740802099
