step,energy,activation_count,temperature
0,-2401.764941278216,419,3.0
1,-2572.400506237581,403,2.955
2,-2636.096295037474,398,2.910675
3,-2522.73223086415,388,2.8670148749999997
4,-2723.688433813415,396,2.8240096518749995
5,-2716.124686602064,397,2.7816495070968745
6,-2576.775707312487,389,2.7399247644904214
7,-2639.5021612715436,389,2.698825893023065
8,-2582.2965260631777,389,2.658343504627719
9,-2773.454849529946,397,2.6184683520583034
10,-2586.707239627843,386,2.579191326777429
11,-2843.010857026926,397,2.5405034568757676
12,-2600.1069474904157,382,2.502395905022631
13,-2560.6065009678014,378,2.4648599664472917
14,-2746.142379533418,387,2.427887066950582
15,-2430.49479565844,368,2.3914687609463234
16,-2808.533424807602,390,2.3555967295321287
17,-2767.2881869605894,389,2.320262778589147
18,-2853.0990396251477,387,2.2854588369103097
19,-2824.319182500036,385,2.251176954356655
20,-2941.725847946441,388,2.217409300041305
21,-3108.8839509592976,396,2.1841481605406856
22,-2625.9832258928777,367,2.1513859381325755
23,-3189.314969481565,398,2.119115149060587
24,-3067.1648850783804,384,2.087328421824678
25,-2872.822815204679,375,2.056018495497308
26,-3131.922598605935,386,2.0251782180648483
27,-3159.0882932425407,388,1.9948005447938755
28,-3104.6416353016643,384,1.9648785366219672
29,-2988.7904869137456,375,1.9354053585726376
30,-3194.3997880891948,385,1.906374278194048
31,-3027.146379458218,372,1.8777786640211374
32,-3201.638175359879,381,1.8496119840608203
33,-3295.894423637716,382,1.821867804299908
34,-3221.0864143952745,379,1.7945397872354092
35,-3416.2924173404213,389,1.767621690426878
36,-3249.4306589703224,377,1.7411073650704747
37,-3357.456727906165,383,1.7149907545944176
38,-3286.667192208346,381,1.6892658932755014
39,-3227.542364338094,379,1.6639269048763687
40,-3163.6991479419535,370,1.6389680013032233
41,-3234.649388757301,375,1.6143834812836748
42,-3298.7981668776483,374,1.5901677290644196
43,-3521.495412045852,386,1.5663152131284532
44,-3683.0924410868543,389,1.5428204849315263
45,-3508.967965178416,380,1.5196781776575534
46,-3487.5980698160843,377,1.49688300499269
47,-3476.943052402635,378,1.4744297599177996
48,-3492.545865420936,377,1.4523133135190325
49,-3531.264367767593,375,1.430528613816247
50,-3682.3233512570278,384,1.4090706846090033
51,-3565.2763087193675,376,1.3879346243398683
52,-3728.0236623252563,384,1.3671156049747701
53,-3559.3892691090637,373,1.3466088709001485
54,-3606.126217758072,374,1.3264097378366462
55,-3767.999358444441,384,1.3065135917690964
56,-3875.461313650212,389,1.28691588789256
57,-3833.3541006112378,388,1.2676121495741715
58,-3602.6785853585407,374,1.248597967330559
59,-3845.408259447662,386,1.2298689978206006
60,-3788.0438878733444,382,1.2114209628532915
61,-3829.9679814977867,384,1.1932496484104922
62,-3744.4205019751585,380,1.1753509036843348
63,-3791.298798121315,382,1.1577206401290698
64,-3772.3043382597325,381,1.1403548305271338
65,-3917.656068075401,389,1.1232495080692269
66,-3770.137431631599,380,1.1064007654481884
67,-3825.049132200588,383,1.0898047539664657
68,-3781.4476790296544,379,1.0734576826569686
69,-3842.151092477295,384,1.057355817417114
70,-3724.7223112693505,377,1.0414954801558574
71,-3884.997151254063,386,1.0258730479535194
72,-3856.9892060139377,384,1.0104849522342165
73,-3813.280543080599,379,0.9953276779507033
74,-3829.7580813652307,380,0.9803977627814427
75,-3919.6489536765735,385,0.9656917963397211
76,-3823.9355523098106,380,0.9512064193946252
77,-3739.545477904495,375,0.9369383231037058
78,-3658.8134796015647,369,0.9228842482571502
79,-3886.1444552324965,383,0.909040984533293
80,-3792.761239366735,377,0.8954053697652935
81,-3732.776247445559,373,0.881974289218814
82,-3860.1834154557114,380,0.8687446748805319
83,-3833.7488948264386,379,0.8557135047573239
84,-3758.0581966547666,375,0.842877802185964
85,-3812.3033308504405,378,0.8302346351531745
86,-3887.263349163202,382,0.8177811156258769
87,-3806.2453781043637,377,0.8055143988914887
88,-3760.6996506751843,374,0.7934316829081164
89,-3757.0253222343836,374,0.7815302076644947
90,-3788.827603782962,376,0.7698072545495273
91,-3809.182506698341,377,0.7582601457312843
