step,energy,activation_count,temperature
0,-2427.3539628115564,419,3.0
1,-2321.0284558072613,386,2.955
2,-2414.8689497100004,385,2.910675
3,-2779.3555732906125,399,2.8670148749999997
4,-2866.8955256603194,399,2.8240096518749995
5,-2499.163185235979,380,2.7816495070968745
6,-2929.149346807896,398,2.7399247644904214
7,-2692.1449714254477,387,2.698825893023065
8,-2585.507047414099,380,2.658343504627719
9,-2714.147939825369,381,2.6184683520583034
10,-2846.921617356525,389,2.579191326777429
11,-3014.1631213838664,394,2.5405034568757676
12,-2867.9956648481375,385,2.502395905022631
13,-3135.187056596266,399,2.4648599664472917
14,-2735.6052725492646,380,2.427887066950582
15,-2842.9324354392033,387,2.3914687609463234
16,-2880.4433595580585,386,2.3555967295321287
17,-2633.4842383307296,369,2.320262778589147
18,-2864.6919697525927,386,2.2854588369103097
19,-2688.0582167233933,379,2.251176954356655
20,-2801.319484196091,382,2.217409300041305
21,-2910.223258926913,382,2.1841481605406856
22,-2821.3292946842166,374,2.1513859381325755
23,-3024.054822127214,385,2.119115149060587
24,-2915.3991566678474,375,2.087328421824678
25,-2908.594706089107,375,2.056018495497308
26,-2955.6574937913806,376,2.0251782180648483
27,-2788.7646787270005,367,1.9948005447938755
28,-3193.4368863230243,389,1.9648785366219672
29,-3216.847174670169,386,1.9354053585726376
30,-2993.2496084052295,374,1.906374278194048
31,-2863.1584351606402,359,1.8777786640211374
32,-3104.2443916124753,375,1.8496119840608203
33,-3180.412268055631,382,1.821867804299908
34,-3204.7246278056364,379,1.7945397872354092
35,-3237.4529315380646,378,1.767621690426878
36,-3299.6557175959215,379,1.7411073650704747
37,-3220.5980578145795,373,1.7149907545944176
38,-3216.2694437223863,376,1.6892658932755014
39,-3189.849946300583,375,1.6639269048763687
40,-3353.321205152204,382,1.6389680013032233
41,-3354.2899404636764,380,1.6143834812836748
42,-3103.912334248795,359,1.5901677290644196
43,-3322.4954092612516,377,1.5663152131284532
44,-3554.9492165714164,385,1.5428204849315263
45,-3498.907462357873,378,1.5196781776575534
46,-3358.322378063271,373,1.49688300499269
47,-3388.043364963396,377,1.4744297599177996
48,-3409.6860500898006,373,1.4523133135190325
49,-3383.955709159786,371,1.430528613816247
50,-3468.0068209376436,373,1.4090706846090033
51,-3584.834963178564,379,1.3879346243398683
52,-3685.169644160569,380,1.3671156049747701
53,-3576.4088079614394,375,1.3466088709001485
54,-3548.721419914679,373,1.3264097378366462
55,-3511.781552295983,373,1.3065135917690964
56,-3470.7194589834116,370,1.28691588789256
57,-3648.465399274256,379,1.2676121495741715
58,-3567.2589082757345,372,1.248597967330559
59,-3669.003337190515,381,1.2298689978206006
60,-3688.826560164972,379,1.2114209628532915
61,-3611.6325204486297,373,1.1932496484104922
62,-3552.505106595532,369,1.1753509036843348
63,-3613.3494509748366,371,1.1577206401290698
64,-3654.161060289138,372,1.1403548305271338
65,-3808.616692277735,381,1.1232495080692269
66,-3862.3039803260954,383,1.1064007654481884
67,-3772.543921619181,376,1.0898047539664657
68,-3762.70649271113,376,1.0734576826569686
69,-3848.4561815576853,380,1.057355817417114
70,-3842.0105658721936,381,1.0414954801558574
71,-3920.242017587814,383,1.0258730479535194
72,-3935.1528317753878,384,1.0104849522342165
73,-3785.2592368740343,376,0.9953276779507033
74,-3825.074879028229,378,0.9803977627814427
75,-3756.547575103487,374,0.9656917963397211
76,-3837.219810719999,378,0.9512064193946252
77,-3790.693985366781,376,0.9369383231037058
78,-3858.5438749849527,379,0.9228842482571502
79,-3665.4377813555484,367,0.909040984533293
80,-3817.9376896274366,377,0.8954053697652935
81,-3773.915134574096,375,0.881974289218814
82,-3765.2717133864703,373,0.8687446748805319
83,-3733.822200552581,371,0.8557135047573239
84,-3735.723272788902,371,0.842877802185964
85,-3870.4623526116666,380,0.8302346351531745
86,-3817.191837300965,376,0.8177811156258769
87,-3888.9177371535334,380,0.8055143988914887
88,-3786.009834358298,373,0.7934316829081164
89,-3837.252509325107,377,0.7815302076644947
90,-3749.815462851398,371,0.7698072545495273
91,-3705.8685221003366,368,0.7582601457312843
92,-3752.219666177574,371,0.7468862435453151
93,-3850.4534659280876,378,0.7356829498921353
94,-3794.4162232924955,374,0.7246477056437532
95,-3823.196382593884,376,0.7137779900590969
96,-3794.2931686743095,374,0.7030713202082105
97,-3830.4019450226187,376,0.6925252504050874
98,-3887.8009164826226,379,0.6821373716490111
99,-3786.4272598748153,373,0.671905311074276
100,-3925.453967424542,381,0.6618267314081618
101,-3822.20352876281,376,0.6518993304370394
102,-3841.6025358863244,376,0.6421208404804838
103,-3907.090801075802,380,0.6324890278732765
104,-3783.8518781718262,372,0.6230016924551773
105,-3859.3383174366545,377,0.6136566670683496
106,-3807.5147233107987,374,0.6044518170623244
107,-3840.277746100839,376,0.5953850398063896
108,-3963.105014905025,383,0.5864542642092937
109,-3844.8101948435447,376,0.5776574502461543
110,-3848.472825572144,376,0.568992588492462
111,-3866.8080912039095,377,0.5604576996650751
112,-3803.3664267081663,373,0.5520508341700989
113,-3834.9595124258094,375,0.5437700716575474
114,-3819.4674114648697,374,0.5356135205826842
115,-3828.1915961796167,374,0.527579317773944
116,-3859.9868519402003,376,0.5196656280073348
117,-3893.927469346345,378,0.5118706435872248
118,-3811.648577910542,373,0.5041925839334164
119,-3811.509398454364,373,0.49662969517441513
120,-3861.03357713147,376,0.4891802497467989
121,-3778.3933622283153,371,0.4818425460005969
122,-3826.6950412275664,374,0.47461490781058796
123,-3813.0634632171764,373,0.46749568419342913
124,-3861.6407682927997,376,0.46048324893052767
125,-3842.511688210187,375,0.45357600019656974
126,-3807.3624731149644,373,0.4467723601936212
127,-3841.087729631049,375,0.4400707747907169
128,-3876.8875886110227,377,0.43346971316885613
129,-3783.852754016148,371,0.4269676674713233
130,-3856.738223673117,376,0.42056315245925346
131,-3876.3507689235585,377,0.4142547051723647
132,-3895.445559986556,378,0.4080408845947792
133,-3861.6285596730368,376,0.4019202713258575
134,-3880.31791678456,377,0.39589146725596963
135,-3819.245867718762,373,0.38995309524713007
136,-3819.4457876977044,373,0.3841037988184231
137,-3888.8186770034436,377,0.37834224183614673
138,-3888.812485939883,377,0.37266710820860455
139,-4016.336098151006,384,0.36707710158547546
140,-3906.3484087286447,378,0.36157094506169335
141,-3906.042628781161,378,0.3561473808857679
142,-3923.3398087659516,379,0.3508051701724814
143,-3977.9753696671196,382,0.3455430926198942
144,-3977.780782218435,382,0.3403599462305958
145,-3923.425347271943,379,0.33525454703713686
146,-3825.6259316189075,373,0.3302257288315798
147,-3907.70348591686,378,0.3252723428991061
148,-3961.8185008387036,381,0.3203932577556195
149,-3927.2361744814107,379,0.3155873588892852
150,-3926.768874747617,379,0.3108535485059459
151,-3927.7623793997227,379,0.30619074527835666
152,-3892.993446503724,377,0.3015978840991813
153,-3879.6308750588105,376,0.2970739158376936
154,-3861.933880988275,375,0.2926178071001282
155,-3830.3508418883607,373,0.28822853999362624
156,-3863.266256380261,375,0.28390511189372186
157,-3863.1316679642646,375,0.279646535215316
158,-3896.1669996417168,377,0.27545183718708627
159,-3861.483345074237,375,0.27132005962927996
160,-3861.640273915521,375,0.26725025873484076
161,-3863.103306726646,375,0.26324150485381814
162,-3879.758981214801,376,0.2592928822810109
163,-3896.3787629721137,377,0.2554034890467957
164,-3879.826783133695,376,0.2515724367110938
165,-3931.084987354997,379,0.2477988501604274
166,-3931.15230574777,379,0.24408186740802099
167,-3948.843262436825,380,0.24042063939690067
168,-3913.552774996533,378,0.23681432980594716
169,-3967.069089510532,381,0.23326211485885795
170,-3913.3604491111755,378,0.22976318313597507
171,-3931.0010646845594,379,0.22631673538893546
172,-3948.74048873391,380,0.22292198435810143
173,-3913.703661889105,378,0.2195781545927299
174,-3967.0496065552156,381,0.21628448227383895
175,-3931.073456308919,379,0.21304021503973136
176,-3948.866221743536,380,0.20984461181413538
177,-3896.5527954204535,377,0.20669694263692334
178,-3896.371204490537,377,0.2035964884973695
179,-3913.58347713102,378,0.20054254116990897
180,-3967.08142849242,381,0.19753440305236034
181,-3948.7639250988486,380,0.19457138700657492
182,-3985.6494992993953,382,0.19165281620147628
183,-3931.3470313125845,379,0.18877802395845414
184,-3896.85693065555,377,0.18594635359907732
185,-3879.8551615927013,376,0.18315715829509116
186,-3948.94426921953,380,0.1804098009206648
187,-3949.1621707484937,380,0.17770365390685483
188,-3949.0776749030974,380,0.175038099098252
189,-3931.3391252320707,379,0.17241252761177822
190,-3913.8392615205184,378,0.16982633969760155
191,-3913.931946015735,378,0.16727894460213752
192,-3914.039949351888,378,0.16476976043310546
193,-3949.2208910247527,380,0.16229821402660888
194,-3913.943525463214,378,0.15986374081620974
195,-3896.689574916639,377,0.1574657847039666
196,-3948.999025061911,380,0.15510379793340712
197,-3931.204699829833,379,0.152777240964406
198,-3881.959999171722,376,0.15048558234993992
199,-3898.597176075469,377,0.1482282986146908
200,-3881.8043326887814,376,0.14600487413547045
