step,energy,activation_count,temperature
0,-2385.183993470105,419,3.0
1,-2395.629016980437,391,2.955
2,-2549.6811397883644,389,2.910675
3,-2526.2644073766946,381,2.8670148749999997
4,-2833.6385291068204,395,2.8240096518749995
5,-2741.6064071088344,389,2.7816495070968745
6,-2597.2494526124124,380,2.7399247644904214
7,-2648.1748659799537,390,2.698825893023065
8,-2785.426425563751,394,2.658343504627719
9,-2747.7451867819386,391,2.6184683520583034
10,-2773.227757497387,391,2.579191326777429
11,-2657.043170278913,383,2.5405034568757676
12,-2708.9345592867658,381,2.502395905022631
13,-2913.7501358250256,392,2.4648599664472917
14,-2892.7570226093694,382,2.427887066950582
15,-2903.1169577353835,379,2.3914687609463234
16,-3039.1756711302464,389,2.3555967295321287
17,-2993.5413579537103,384,2.320262778589147
18,-3038.5220941455923,388,2.2854588369103097
19,-3035.8521278105864,383,2.251176954356655
20,-2996.44526291694,381,2.217409300041305
21,-3020.5464519131365,385,2.1841481605406856
22,-2915.5462052902653,380,2.1513859381325755
23,-2945.0179788344826,377,2.119115149060587
24,-2981.403977969168,375,2.087328421824678
25,-3161.2711261803775,389,2.056018495497308
26,-3110.9411676050136,384,2.0251782180648483
27,-2839.733258530451,365,1.9948005447938755
28,-3184.8256930080934,385,1.9648785366219672
29,-3260.0964676291314,382,1.9354053585726376
30,-3355.863085625232,388,1.906374278194048
31,-3231.5790757001478,379,1.8777786640211374
32,-3434.9413083859135,391,1.8496119840608203
33,-3232.5762962183103,381,1.821867804299908
34,-3320.156099963001,386,1.7945397872354092
35,-3209.80957726361,377,1.767621690426878
36,-3310.631208364572,384,1.7411073650704747
37,-3432.859260584062,386,1.7149907545944176
38,-3379.7109638749816,383,1.6892658932755014
39,-3462.2854471481783,384,1.6639269048763687
40,-3490.2060291344355,384,1.6389680013032233
41,-3402.7486315359383,378,1.6143834812836748
42,-3550.771068936288,385,1.5901677290644196
43,-3486.257565620542,380,1.5663152131284532
44,-3447.0505754985243,377,1.5428204849315263
45,-3608.871522984762,386,1.5196781776575534
46,-3589.1792738150175,384,1.49688300499269
47,-3692.1777186554164,387,1.4744297599177996
48,-3607.734615968562,382,1.4523133135190325
