step,energy,activation_count,temperature
0,-2373.541851044038,419,3.0
1,-2246.8765486403477,384,2.955
2,-2557.7950168292327,391,2.910675
3,-2527.8612103009605,392,2.8670148749999997
4,-2371.834015469686,383,2.8240096518749995
5,-2815.4296308870867,400,2.7816495070968745
6,-2763.2245278591067,397,2.7399247644904214
7,-2670.9165263084064,393,2.698825893023065
8,-2532.979435335336,383,2.658343504627719
9,-2566.5504639351298,381,2.6184683520583034
10,-2545.1004732850806,384,2.579191326777429
11,-2806.3923456582597,388,2.5405034568757676
12,-2648.3983940005714,376,2.502395905022631
13,-2805.149939612109,390,2.4648599664472917
14,-2691.2309376961502,384,2.427887066950582
15,-2803.230927708874,386,2.3914687609463234
16,-2646.677594945378,373,2.3555967295321287
17,-2787.0330699089914,382,2.320262778589147
18,-2954.29830771649,387,2.2854588369103097
19,-2976.8599981888306,388,2.251176954356655
20,-3073.739046168593,391,2.217409300041305
21,-2811.8039985919445,376,2.1841481605406856
22,-2699.9807256761874,366,2.1513859381325755
23,-2949.487835045933,383,2.119115149060587
24,-2963.893520287997,380,2.087328421824678
25,-2886.1886659403367,373,2.056018495497308
26,-2898.1553946597637,377,2.0251782180648483
27,-2962.284464688205,378,1.9948005447938755
28,-3047.8291181591962,381,1.9648785366219672
29,-3059.0086894410547,382,1.9354053585726376
30,-3059.174190769663,376,1.906374278194048
31,-3200.888545150079,385,1.8777786640211374
32,-3037.7973497342773,372,1.8496119840608203
33,-3139.467172622561,380,1.821867804299908
34,-3230.5786216999813,382,1.7945397872354092
35,-3223.632438897558,379,1.767621690426878
36,-3240.0657147978404,383,1.7411073650704747
37,-3288.2873079107744,381,1.7149907545944176
38,-3199.201043175819,373,1.6892658932755014
39,-3569.39560339773,390,1.6639269048763687
40,-3335.8620931687974,377,1.6389680013032233
41,-3537.244546105519,388,1.6143834812836748
42,-3426.4469852154825,380,1.5901677290644196
43,-3338.607740186028,374,1.5663152131284532
44,-3301.104715288765,369,1.5428204849315263
45,-3452.941609304455,376,1.5196781776575534
46,-3567.4369064032558,383,1.49688300499269
47,-3433.663801865824,374,1.4744297599177996
48,-3528.787545439287,380,1.4523133135190325
49,-3538.234855685143,379,1.430528613816247
50,-3691.388388843227,385,1.4090706846090033
51,-3728.2577403201785,386,1.3879346243398683
52,-3570.08988212883,377,1.3671156049747701
53,-3494.377446806573,372,1.3466088709001485
54,-3436.945687111434,370,1.3264097378366462
55,-3617.3067349201065,378,1.3065135917690964
56,-3618.914800930168,378,1.28691588789256
57,-3786.2817281170983,385,1.2676121495741715
58,-3596.4832574874004,377,1.248597967330559
59,-3547.0450719695364,375,1.2298689978206006
60,-3567.3086500537993,375,1.2114209628532915
61,-3601.907630010182,376,1.1932496484104922
62,-3699.2277523031,380,1.1753509036843348
63,-3567.20886524907,372,1.1577206401290698
64,-3664.3966754337634,378,1.1403548305271338
65,-3596.448885586903,372,1.1232495080692269
66,-3699.403455792695,378,1.1064007654481884
67,-3656.7298080990895,375,1.0898047539664657
68,-3652.4183284032893,375,1.0734576826569686
69,-3600.5966811881167,370,1.057355817417114
70,-3791.1959568263756,382,1.0414954801558574
71,-3648.428824443826,373,1.0258730479535194
72,-3622.129082117246,372,1.0104849522342165
73,-3763.324517119793,380,0.9953276779507033
74,-3696.457153350419,376,0.9803977627814427
75,-3709.9415277175112,376,0.9656917963397211
76,-3692.446980205181,373,0.9512064193946252
