step,energy,activation_count,temperature
0,-2386.8657443007123,419,3.0
1,-2360.1223311176345,393,2.955
2,-2482.3837739177343,392,2.910675
3,-2514.1528306192135,390,2.8670148749999997
4,-2640.007284210469,393,2.8240096518749995
5,-2826.8880344120216,397,2.7816495070968745
6,-2652.3274940946108,397,2.7399247644904214
7,-2576.627447590978,389,2.698825893023065
8,-2632.6779903111633,386,2.658343504627719
9,-3014.878576116623,400,2.6184683520583034
10,-2689.445873644135,387,2.579191326777429
11,-2484.1845489551333,374,2.5405034568757676
12,-2808.6142613865445,388,2.502395905022631
13,-2683.244496915458,379,2.4648599664472917
14,-2796.6448279146907,382,2.427887066950582
15,-2598.4707341576036,372,2.3914687609463234
16,-2721.9976747320543,378,2.3555967295321287
17,-2827.2916484043485,382,2.320262778589147
18,-2868.768440505832,383,2.2854588369103097
19,-2782.618415884197,379,2.251176954356655
20,-2936.2746517974188,385,2.217409300041305
21,-3030.0002532014287,387,2.1841481605406856
22,-2935.779862141486,378,2.1513859381325755
23,-2842.2550023019467,376,2.119115149060587
24,-2947.5700182238434,383,2.087328421824678
25,-2823.6814895568523,374,2.056018495497308
26,-2872.09027504167,369,2.0251782180648483
27,-2924.4636468924627,380,1.9948005447938755
28,-2941.416819216969,380,1.9648785366219672
29,-3002.0655280630194,376,1.9354053585726376
30,-3312.6058340749546,388,1.906374278194048
31,-3191.5920609480163,379,1.8777786640211374
32,-3113.8410202674595,375,1.8496119840608203
33,-3229.622257855763,380,1.821867804299908
34,-3142.791622711998,370,1.7945397872354092
35,-3185.916102462653,374,1.767621690426878
36,-3134.6577171073104,370,1.7411073650704747
37,-3423.909929160579,383,1.7149907545944176
38,-3378.920815849227,377,1.6892658932755014
39,-3385.584345469,374,1.6639269048763687
40,-3537.38243713804,382,1.6389680013032233
41,-3655.9168534884147,386,1.6143834812836748
42,-3544.4493177838262,379,1.5901677290644196
43,-3572.1613348516385,383,1.5663152131284532
44,-3654.0381270686457,386,1.5428204849315263
45,-3473.729717582843,375,1.5196781776575534
46,-3620.217098733308,380,1.49688300499269
47,-3551.1245511589323,371,1.4744297599177996
48,-3860.972785202392,388,1.4523133135190325
49,-3567.255227792805,374,1.430528613816247
50,-3673.190834544456,381,1.4090706846090033
51,-3607.6092928074486,376,1.3879346243398683
52,-3609.9923228062057,377,1.3671156049747701
53,-3685.735874788406,379,1.3466088709001485
54,-3704.247285445893,380,1.3264097378366462
55,-3504.0443400332942,368,1.3065135917690964
56,-3532.414542759421,368,1.28691588789256
57,-3775.1326955125974,383,1.2676121495741715
58,-3719.457875798261,378,1.248597967330559
59,-3714.0284739046906,378,1.2298689978206006
60,-3716.1923218431725,377,1.2114209628532915
61,-3770.5011103002967,382,1.1932496484104922
62,-3660.5094946134745,373,1.1753509036843348
63,-3657.446289359658,372,1.1577206401290698
64,-3609.6479909000027,365,1.1403548305271338
65,-3769.3291967641007,378,1.1232495080692269
66,-3784.440757604148,378,1.1064007654481884
67,-3708.1464452006517,373,1.0898047539664657
68,-3859.5931610417406,383,1.0734576826569686
69,-3932.7890502206815,386,1.057355817417114
70,-3824.3513500786926,379,1.0414954801558574
71,-3752.6019350348797,376,1.0258730479535194
72,-3687.9999846877477,372,1.0104849522342165
73,-3715.1703778606657,372,0.9953276779507033
74,-3720.4965468417968,374,0.9803977627814427
75,-3877.9742448303664,382,0.9656917963397211
76,-3884.114146471794,382,0.9512064193946252
77,-3721.0616227464006,373,0.9369383231037058
78,-3921.435226707176,384,0.9228842482571502
79,-3937.9029562459377,384,0.909040984533293
80,-3900.246848768501,382,0.8954053697652935
81,-3947.952331206802,384,0.881974289218814
82,-3747.5801160344995,373,0.8687446748805319
83,-3893.584137662228,381,0.8557135047573239
84,-3802.336841610054,376,0.842877802185964
85,-3895.4771492005652,382,0.8302346351531745
86,-3822.073377510957,377,0.8177811156258769
87,-3909.0535544935124,382,0.8055143988914887
88,-3807.191415562491,376,0.7934316829081164
89,-4014.1459178391638,387,0.7815302076644947
90,-3943.8189301034977,383,0.7698072545495273
91,-3873.2280683825684,379,0.7582601457312843
92,-3934.5968446916295,382,0.7468862435453151
93,-3882.6116363249926,379,0.7356829498921353
94,-3832.9455676474136,376,0.7246477056437532
95,-3799.77479866621,374,0.7137779900590969
96,-3813.7491372364366,375,0.7030713202082105
97,-3872.0742705912307,378,0.6925252504050874
98,-3819.050356703971,375,0.6821373716490111
99,-3872.038505629683,378,0.671905311074276
100,-3858.013050977312,377,0.6618267314081618
101,-3843.202558030319,376,0.6518993304370394
102,-3932.0941427266002,381,0.6421208404804838
103,-3879.856149001498,378,0.6324890278732765
104,-3846.5274053689,376,0.6230016924551773
105,-3914.075024909774,380,0.6136566670683496
106,-3969.5988819781496,383,0.6044518170623244
107,-3988.5777098077106,384,0.5953850398063896
108,-3931.976887941352,381,0.5864542642092937
109,-3949.4766754434986,382,0.5776574502461543
110,-3927.2308801962104,381,0.568992588492462
111,-3986.6655678850357,384,0.5604576996650751
112,-3827.7589608667154,375,0.5520508341700989
113,-3827.6568666907983,375,0.5437700716575474
114,-3841.0306032270737,376,0.5356135205826842
115,-3944.480801320816,382,0.527579317773944
116,-3947.1347965312643,382,0.5196656280073348
117,-3934.786423125011,381,0.5118706435872248
118,-3952.6215052694033,382,0.5041925839334164
119,-3846.912831228213,376,0.49662969517441513
120,-3832.586079730935,375,0.4891802497467989
121,-3954.4324547258925,382,0.4818425460005969
122,-3900.4805556994233,379,0.47461490781058796
123,-3936.6477864827307,381,0.46749568419342913
124,-3954.698494479202,382,0.46048324893052767
125,-3917.2504547509297,380,0.45357600019656974
