step,energy,activation_count,temperature
0,-2389.4145488418876,419,3.0
1,-2362.2732268945274,394,2.955
2,-2375.2767469740115,385,2.910675
3,-2558.5350820430263,389,2.8670148749999997
4,-2622.2711891302706,395,2.8240096518749995
5,-2651.4709407881,392,2.7816495070968745
6,-2602.0158345430227,387,2.7399247644904214
7,-2539.6500882439564,386,2.698825893023065
8,-2595.6326953088173,386,2.658343504627719
9,-2823.315188397532,398,2.6184683520583034
10,-2497.1976001850317,378,2.579191326777429
11,-2503.3258731512246,373,2.5405034568757676
12,-2899.465268849303,393,2.502395905022631
13,-2623.1709861811773,378,2.4648599664472917
14,-2888.937114433476,391,2.427887066950582
15,-2786.124330471678,383,2.3914687609463234
16,-2558.3020728718684,370,2.3555967295321287
17,-2621.477408972884,376,2.320262778589147
18,-2915.430623337445,388,2.2854588369103097
19,-2951.3827960281337,382,2.251176954356655
20,-2967.6069399093553,386,2.217409300041305
21,-2997.213539375695,385,2.1841481605406856
22,-2872.63503057002,377,2.1513859381325755
23,-2815.8288784016327,372,2.119115149060587
24,-2949.9873924233966,376,2.087328421824678
25,-2942.5194007943883,378,2.056018495497308
26,-2934.206353925773,372,2.0251782180648483
27,-3220.9145558137916,387,1.9948005447938755
28,-3051.3718823710396,377,1.9648785366219672
29,-3099.496923855328,372,1.9354053585726376
30,-3148.998884275933,378,1.906374278194048
31,-3209.1808050929494,375,1.8777786640211374
32,-3384.0992225770524,384,1.8496119840608203
33,-3280.4608274076763,375,1.821867804299908
34,-3416.538528448817,386,1.7945397872354092
35,-3370.52574229523,380,1.767621690426878
36,-3307.652113259895,370,1.7411073650704747
37,-3308.1284869495476,375,1.7149907545944176
38,-3448.864720486418,379,1.6892658932755014
39,-3394.250199386831,377,1.6639269048763687
40,-3366.0266141172483,374,1.6389680013032233
41,-3366.34313259021,374,1.6143834812836748
42,-3563.215451849141,384,1.5901677290644196
43,-3458.1139566100005,378,1.5663152131284532
44,-3470.1790020806134,375,1.5428204849315263
45,-3430.8322281053447,374,1.5196781776575534
46,-3539.740301238171,378,1.49688300499269
47,-3544.7306826286053,375,1.4744297599177996
48,-3569.6748073278627,378,1.4523133135190325
49,-3629.4489631652377,381,1.430528613816247
50,-3657.352497041361,383,1.4090706846090033
51,-3670.2102776161123,382,1.3879346243398683
52,-3609.92167547009,377,1.3671156049747701
53,-3552.13134082012,374,1.3466088709001485
54,-3647.7145621567115,380,1.3264097378366462
55,-3564.0453376991413,376,1.3065135917690964
56,-3614.1819842495493,377,1.28691588789256
57,-3673.9112814336086,380,1.2676121495741715
58,-3563.126068691014,372,1.248597967330559
59,-3578.251575605358,371,1.2298689978206006
60,-3560.6681233319323,367,1.2114209628532915
61,-3588.140259000614,372,1.1932496484104922
62,-3640.0149687382177,374,1.1753509036843348
63,-3757.3543919175045,381,1.1577206401290698
64,-3760.7827916918586,381,1.1403548305271338
65,-3784.0896095199205,380,1.1232495080692269
66,-3865.2852305256147,384,1.1064007654481884
67,-3950.361872172362,389,1.0898047539664657
68,-3669.9879630287032,373,1.0734576826569686
69,-3791.9910292758022,380,1.057355817417114
70,-3624.945617785111,369,1.0414954801558574
