step,energy,activation_count,temperature
0,-2433.1544462554875,419,3.0
1,-2324.2072908284313,391,2.955
2,-2683.257241477934,400,2.910675
3,-2694.337140892151,400,2.8670148749999997
4,-2607.7780195599466,391,2.8240096518749995
5,-2841.2295831060133,398,2.7816495070968745
6,-2617.7132523549108,384,2.7399247644904214
7,-2645.3465499648964,389,2.698825893023065
8,-2584.7086698842504,383,2.658343504627719
9,-2556.8905369134786,380,2.6184683520583034
10,-2776.4005351463225,393,2.579191326777429
11,-2656.9052792900734,386,2.5405034568757676
12,-2637.437999040965,383,2.502395905022631
13,-2769.5730127799566,388,2.4648599664472917
14,-2778.7687088111666,386,2.427887066950582
15,-2778.1234651584823,386,2.3914687609463234
16,-2670.424957013479,379,2.3555967295321287
17,-2724.031762654284,382,2.320262778589147
18,-2734.1671338239003,374,2.2854588369103097
19,-2935.734534507007,385,2.251176954356655
20,-2773.4769216624154,376,2.217409300041305
21,-2885.9095369207184,386,2.1841481605406856
22,-2773.6386497299745,379,2.1513859381325755
23,-2717.792049207218,370,2.119115149060587
24,-2971.4656914129823,386,2.087328421824678
25,-2749.342859215648,371,2.056018495497308
26,-2894.38130326843,374,2.0251782180648483
27,-3077.9917707623877,382,1.9948005447938755
28,-2927.7287544978926,373,1.9648785366219672
29,-2937.6436462425117,371,1.9354053585726376
30,-3094.790499157636,379,1.906374278194048
31,-3104.828464079464,376,1.8777786640211374
32,-3259.9330837601615,385,1.8496119840608203
33,-3181.0768137946775,382,1.821867804299908
34,-3109.177612706822,371,1.7945397872354092
35,-3341.6153371708924,383,1.767621690426878
36,-3234.249745153957,375,1.7411073650704747
37,-3325.75607899127,380,1.7149907545944176
38,-3339.8557094767384,379,1.6892658932755014
39,-3367.6951726355887,377,1.6639269048763687
40,-3464.478543231532,383,1.6389680013032233
41,-3612.874412725983,391,1.6143834812836748
42,-3448.240819108157,382,1.5901677290644196
43,-3457.0972531641473,379,1.5663152131284532
44,-3675.9914629041778,390,1.5428204849315263
45,-3533.966204036056,380,1.5196781776575534
46,-3445.9965924360536,373,1.49688300499269
47,-3391.0943254621043,370,1.4744297599177996
48,-3480.4788566630386,374,1.4523133135190325
49,-3612.0306164374565,381,1.430528613816247
50,-3532.125957855289,379,1.4090706846090033
51,-3559.0900719128167,380,1.3879346243398683
52,-3564.9655507321954,378,1.3671156049747701
53,-3599.3586047018634,381,1.3466088709001485
54,-3595.84554403796,377,1.3264097378366462
55,-3628.3238562910774,379,1.3065135917690964
56,-3518.728132765802,374,1.28691588789256
57,-3613.6613733146846,378,1.2676121495741715
58,-3688.6990571339825,381,1.248597967330559
59,-3632.3852389179233,375,1.2298689978206006
60,-3742.0416267950327,382,1.2114209628532915
61,-3662.8311102094963,376,1.1932496484104922
62,-3794.8974204773012,382,1.1753509036843348
63,-3729.217095281601,378,1.1577206401290698
64,-3703.4546475912853,377,1.1403548305271338
65,-3760.621420731305,379,1.1232495080692269
66,-3721.039327159286,376,1.1064007654481884
67,-3954.9677456043346,389,1.0898047539664657
68,-3819.361280973658,381,1.0734576826569686
69,-3861.0742354765025,383,1.057355817417114
70,-3847.1324859718447,382,1.0414954801558574
71,-3887.9061913115993,384,1.0258730479535194
