step,energy,activation_count,temperature
0,-2447.1070442802643,419,3.0
1,-2320.27177482412,392,2.955
2,-2460.0993552618065,385,2.910675
3,-2544.8584245206926,382,2.8670148749999997
4,-2427.3073583431674,377,2.8240096518749995
5,-2536.9450737756924,378,2.7816495070968745
6,-2746.232010163707,385,2.7399247644904214
7,-2889.7599808039763,391,2.698825893023065
8,-2751.6743120924707,386,2.658343504627719
9,-2682.7123360091227,376,2.6184683520583034
10,-2789.968095618173,383,2.579191326777429
11,-2729.346627785155,372,2.5405034568757676
12,-2620.7978452855405,375,2.502395905022631
13,-2878.475497534058,389,2.4648599664472917
14,-2622.0562286266186,371,2.427887066950582
15,-2792.1222411472736,383,2.3914687609463234
16,-2746.832179874296,376,2.3555967295321287
17,-2774.172246453959,367,2.320262778589147
18,-3026.2250366352127,384,2.2854588369103097
19,-2811.182173547296,373,2.251176954356655
20,-2933.8552849369357,380,2.217409300041305
21,-2835.1315363312256,365,2.1841481605406856
22,-3123.3744009087072,380,2.1513859381325755
23,-3278.5852846723083,387,2.119115149060587
24,-3092.275957425211,378,2.087328421824678
25,-3148.834628323328,382,2.056018495497308
26,-3090.8778519882017,376,2.0251782180648483
27,-3128.040856508359,375,1.9948005447938755
28,-3146.3347663668033,378,1.9648785366219672
29,-3028.2053699824414,362,1.9354053585726376
30,-3134.6259521182997,373,1.906374278194048
31,-3152.9973479424207,368,1.8777786640211374
32,-3078.4193549826036,363,1.8496119840608203
33,-3205.988046425346,372,1.821867804299908
34,-3417.5028467608354,384,1.7945397872354092
35,-3275.0060463804193,373,1.767621690426878
36,-3289.437406648078,371,1.7411073650704747
37,-3597.3769037869697,386,1.7149907545944176
38,-3408.722784946814,369,1.6892658932755014
39,-3459.4448053273,373,1.6639269048763687
40,-3509.7459915650193,372,1.6389680013032233
41,-3556.3307017616844,375,1.6143834812836748
42,-3599.6575456789615,374,1.5901677290644196
43,-3707.4566228172953,379,1.5663152131284532
44,-3700.7705421116393,376,1.5428204849315263
45,-3676.7495304233817,373,1.5196781776575534
46,-3682.4987802808128,371,1.49688300499269
47,-3658.386452140167,372,1.4744297599177996
48,-3839.555221486489,381,1.4523133135190325
49,-3621.3193197598753,367,1.430528613816247
50,-3725.480169128281,375,1.4090706846090033
51,-3911.6478456271534,384,1.3879346243398683
52,-3860.709682384788,379,1.3671156049747701
53,-3914.2194310068608,383,1.3466088709001485
54,-3779.878723677366,376,1.3264097378366462
55,-3805.5251246812927,376,1.3065135917690964
56,-3811.5544463963042,374,1.28691588789256
57,-3940.1491258297133,381,1.2676121495741715
58,-3867.2783937742083,378,1.248597967330559
59,-3864.1687600857713,378,1.2298689978206006
60,-3838.4509765819985,375,1.2114209628532915
61,-4023.3194699759047,383,1.1932496484104922
62,-3914.6671809597265,378,1.1753509036843348
63,-3901.5485105221655,376,1.1577206401290698
64,-3941.314316673449,378,1.1403548305271338
65,-3863.385276326321,374,1.1232495080692269
66,-3786.2184353223074,370,1.1064007654481884
67,-3972.1468902064785,381,1.0898047539664657
68,-3962.252605473191,380,1.0734576826569686
69,-3860.6511091851226,373,1.057355817417114
70,-3839.501048492054,371,1.0414954801558574
71,-3838.376421576749,372,1.0258730479535194
72,-3892.6730907569763,374,1.0104849522342165
73,-4064.8410171725054,384,0.9953276779507033
74,-3971.1951429342207,379,0.9803977627814427
75,-3806.921154930399,369,0.9656917963397211
76,-3740.952389843745,363,0.9512064193946252
77,-3791.494276394788,367,0.9369383231037058
78,-3788.6516264141087,367,0.9228842482571502
79,-3847.046109293217,371,0.909040984533293
80,-3932.9830865530134,378,0.8954053697652935
81,-3808.4936543238323,370,0.881974289218814
82,-3825.627794492227,370,0.8687446748805319
83,-3859.790408679936,372,0.8557135047573239
84,-3991.3471846812317,379,0.842877802185964
85,-3887.8919669402585,373,0.8302346351531745
86,-3975.045035735458,378,0.8177811156258769
87,-3979.355329438259,379,0.8055143988914887
88,-3880.5110280286017,373,0.7934316829081164
89,-3888.7715281672045,373,0.7815302076644947
90,-3896.9558546371163,373,0.7698072545495273
91,-3811.9333542808286,367,0.7582601457312843
