step,energy,activation_count,temperature
0,-2494.523135199739,419,3.0
1,-2366.7019569281615,391,2.955
2,-2269.79997988321,373,2.910675
3,-2406.2616532828793,378,2.8670148749999997
4,-2564.5506275087905,385,2.8240096518749995
5,-2632.7967126541507,386,2.7816495070968745
6,-2513.5078840199903,380,2.7399247644904214
7,-2692.102442939287,391,2.698825893023065
8,-2616.7872702322247,381,2.658343504627719
9,-2729.678759301461,383,2.6184683520583034
10,-2556.2936203442932,372,2.579191326777429
11,-2644.2272959013962,372,2.5405034568757676
12,-2542.4552039265855,371,2.502395905022631
13,-2565.294759479755,370,2.4648599664472917
14,-2868.6190251388307,383,2.427887066950582
15,-2716.8645335301912,378,2.3914687609463234
16,-2657.049750054572,366,2.3555967295321287
17,-2742.736935565861,364,2.320262778589147
18,-2857.56063473929,371,2.2854588369103097
19,-2931.670887937275,377,2.251176954356655
20,-2982.28709342208,380,2.217409300041305
21,-2783.5267101058407,361,2.1841481605406856
22,-2821.6849106232107,362,2.1513859381325755
23,-2939.9965174720837,367,2.119115149060587
24,-3077.017181293134,378,2.087328421824678
25,-3206.169881161114,384,2.056018495497308
26,-3061.926079218326,374,2.0251782180648483
27,-2955.791119015277,362,1.9948005447938755
28,-3122.1065715919676,376,1.9648785366219672
29,-3132.8112546083785,370,1.9354053585726376
30,-3272.2504471955867,380,1.906374278194048
31,-3280.7827220554595,376,1.8777786640211374
32,-3319.1126380741907,374,1.8496119840608203
33,-3232.9647042732518,368,1.821867804299908
34,-3280.6366638020704,368,1.7945397872354092
35,-3154.5761086586604,357,1.767621690426878
36,-3478.6710215623,378,1.7411073650704747
37,-3369.7112104834214,370,1.7149907545944176
38,-3355.7634132810254,366,1.6892658932755014
39,-3365.9683409737613,366,1.6639269048763687
40,-3273.579778606989,348,1.6389680013032233
41,-3351.490500191132,358,1.6143834812836748
42,-3513.218261598676,370,1.5901677290644196
43,-3440.9351223686754,364,1.5663152131284532
44,-3435.157700070028,363,1.5428204849315263
45,-3621.3678848003665,377,1.5196781776575534
46,-3587.402330692797,373,1.49688300499269
47,-3446.943622470757,363,1.4744297599177996
48,-3736.066582191362,382,1.4523133135190325
49,-3626.8735058048087,374,1.430528613816247
50,-3678.263334545865,375,1.4090706846090033
