step,energy,activation_count,temperature
0,-2479.181130983375,419,3.0
1,-2331.9097020840572,391,2.955
2,-2374.773504663603,379,2.910675
3,-2579.67181128895,387,2.8670148749999997
4,-2545.894685961439,381,2.8240096518749995
5,-2516.1947936941624,376,2.7816495070968745
6,-2721.3992588608407,387,2.7399247644904214
7,-2749.8268708871683,384,2.698825893023065
8,-2789.6193174925356,386,2.658343504627719
9,-2557.5813524844725,369,2.6184683520583034
10,-2720.6419779844264,378,2.579191326777429
11,-2709.48449676856,374,2.5405034568757676
12,-2616.6897298792373,371,2.502395905022631
13,-2649.7494853039834,376,2.4648599664472917
14,-2670.3285505963045,374,2.427887066950582
15,-2624.670529874559,365,2.3914687609463234
16,-2874.8950463952633,378,2.3555967295321287
17,-3098.3247123273118,384,2.320262778589147
18,-2839.7771682611365,365,2.2854588369103097
19,-3061.725711875876,378,2.251176954356655
20,-3274.5238097482747,390,2.217409300041305
21,-2880.359086052145,357,2.1841481605406856
22,-3140.1329388651084,378,2.1513859381325755
23,-2987.9703665233255,363,2.119115149060587
24,-3016.268118154326,370,2.087328421824678
25,-3177.863231901544,378,2.056018495497308
26,-2974.3892594641216,364,2.0251782180648483
27,-3157.7667803783784,373,1.9948005447938755
28,-3233.104097141406,380,1.9648785366219672
29,-3079.85028854505,364,1.9354053585726376
30,-3344.8752327190714,379,1.906374278194048
31,-3414.569908555143,380,1.8777786640211374
32,-3324.8917837202944,375,1.8496119840608203
33,-3381.0123971897997,374,1.821867804299908
34,-3377.973879489174,375,1.7945397872354092
35,-3241.0530443703606,360,1.767621690426878
36,-3327.4007725142105,366,1.7411073650704747
37,-3560.4557427744617,380,1.7149907545944176
38,-3335.116642469355,362,1.6892658932755014
39,-3433.949005753282,369,1.6639269048763687
40,-3526.0772954248623,375,1.6389680013032233
41,-3485.946195235675,366,1.6143834812836748
42,-3432.1581023191234,358,1.5901677290644196
43,-3596.4825963551543,371,1.5663152131284532
44,-3465.185445355005,362,1.5428204849315263
45,-3396.0650300023353,353,1.5196781776575534
46,-3559.2594875640884,368,1.49688300499269
47,-3495.6432312580464,364,1.4744297599177996
48,-3543.8214264201606,369,1.4523133135190325
49,-3473.0077858424143,359,1.430528613816247
50,-3434.9109534434006,354,1.4090706846090033
51,-3514.670123782758,360,1.3879346243398683
52,-3583.8820638312045,363,1.3671156049747701
53,-3777.8454915194716,377,1.3466088709001485
54,-3648.342780957238,365,1.3264097378366462
55,-3664.2944278614145,367,1.3065135917690964
56,-3625.1152067235057,358,1.28691588789256
57,-3753.9351064516813,371,1.2676121495741715
58,-3606.1764356476547,363,1.248597967330559
59,-3566.5001789619055,356,1.2298689978206006
60,-3669.150898336648,366,1.2114209628532915
61,-3662.212265675433,365,1.1932496484104922
62,-3680.577457699863,364,1.1753509036843348
63,-3878.503089095813,376,1.1577206401290698
64,-3745.732691656533,367,1.1403548305271338
65,-3808.662438314231,372,1.1232495080692269
66,-3739.11910650674,367,1.1064007654481884
67,-3722.029950095733,366,1.0898047539664657
68,-3769.9728953957438,369,1.0734576826569686
69,-3848.5652742227344,374,1.057355817417114
70,-3775.522048641578,367,1.0414954801558574
71,-3748.7385824222833,366,1.0258730479535194
72,-3679.335258259691,359,1.0104849522342165
73,-3762.4763205617137,365,0.9953276779507033
74,-3838.9853084860197,371,0.9803977627814427
75,-3747.2935756203015,364,0.9656917963397211
76,-3714.743462727487,361,0.9512064193946252
77,-3779.389485013382,366,0.9369383231037058
78,-3780.4295251787694,366,0.9228842482571502
79,-3832.31643488837,369,0.909040984533293
80,-3888.3178793787806,373,0.8954053697652935
81,-3810.4180164164754,369,0.881974289218814
82,-3842.37404907449,370,0.8687446748805319
83,-3784.1091154574146,366,0.8557135047573239
84,-3763.485517531481,362,0.842877802185964
85,-3751.5391726375037,360,0.8302346351531745
86,-3795.3476490262865,365,0.8177811156258769
87,-3737.8060084738413,360,0.8055143988914887
88,-3755.594117877389,361,0.7934316829081164
89,-3822.1683019784236,367,0.7815302076644947
90,-3845.65413742723,368,0.7698072545495273
91,-3846.0398627189757,368,0.7582601457312843
92,-3833.2090604974824,367,0.7468862435453151
93,-3772.9993624980293,362,0.7356829498921353
94,-3721.854153064784,358,0.7246477056437532
95,-3767.119078535396,362,0.7137779900590969
96,-3842.8718296139414,368,0.7030713202082105
97,-3806.351824421775,365,0.6925252504050874
98,-3811.845060634245,366,0.6821373716490111
99,-3949.12637358778,375,0.671905311074276
100,-3949.175924624769,375,0.6618267314081618
101,-3940.0874051484748,374,0.6518993304370394
102,-3925.2011961120256,373,0.6421208404804838
103,-3925.3357003471842,373,0.6324890278732765
104,-3825.1261806385137,365,0.6230016924551773
105,-3886.1608760470276,370,0.6136566670683496
106,-3903.917151256511,371,0.6044518170623244
107,-3866.026588656371,368,0.5953850398063896
108,-3893.1447670030734,370,0.5864542642092937
109,-3870.466114382728,368,0.5776574502461543
110,-3908.5223583480874,371,0.568992588492462
111,-3803.645429002922,363,0.5604576996650751
112,-3809.8942961723046,364,0.5520508341700989
113,-3840.2481872382436,366,0.5437700716575474
114,-3820.682363050561,364,0.5356135205826842
115,-3881.0689137721247,369,0.527579317773944
116,-3864.5489776569752,368,0.5196656280073348
117,-3890.189313986107,370,0.5118706435872248
118,-3830.8631733480643,365,0.5041925839334164
119,-3898.154162082979,370,0.49662969517441513
120,-3898.0095668385397,370,0.4891802497467989
121,-3911.9812725619076,371,0.4818425460005969
122,-3908.3263101973057,371,0.47461490781058796
123,-3893.5815308216274,370,0.46749568419342913
124,-3881.767309398452,369,0.46048324893052767
125,-3924.8797345653684,372,0.45357600019656974
126,-3894.9072708336494,370,0.4467723601936212
127,-3893.207832823549,370,0.4400707747907169
128,-3907.863557552386,371,0.43346971316885613
129,-3866.080002035552,368,0.4269676674713233
130,-3909.196999891203,371,0.42056315245925346
131,-3922.6813028284564,372,0.4142547051723647
132,-3897.1450608021783,370,0.4080408845947792
133,-3831.572092445699,365,0.4019202713258575
134,-3832.4755614422625,365,0.39589146725596963
135,-3832.0635311664437,365,0.38995309524713007
136,-3808.59643312256,363,0.3841037988184231
137,-3833.146589671691,365,0.37834224183614673
138,-3885.270154334613,369,0.37266710820860455
139,-3885.4576670110255,369,0.36707710158547546
140,-3872.2639153289333,368,0.36157094506169335
141,-3845.57331632228,366,0.3561473808857679
142,-3943.038160419725,373,0.3508051701724814
143,-3899.259545422157,370,0.3455430926198942
144,-3860.330344196604,367,0.3403599462305958
145,-3847.614882386529,366,0.33525454703713686
146,-3834.373275539461,365,0.3302257288315798
147,-3847.237362242102,366,0.3252723428991061
148,-3846.3341595275183,366,0.3203932577556195
149,-3886.647257995269,369,0.3155873588892852
150,-3873.187212930559,368,0.3108535485059459
151,-3886.5366579758274,369,0.30619074527835666
152,-3846.474389545,366,0.3015978840991813
153,-3834.766985215571,365,0.2970739158376936
154,-3847.8964431786644,366,0.2926178071001282
155,-3860.777114646959,367,0.28822853999362624
156,-3885.3231451983374,369,0.28390511189372186
157,-3914.293336068185,371,0.279646535215316
158,-3886.0175307164345,369,0.27545183718708627
159,-3871.9075363358565,368,0.27132005962927996
160,-3871.1290528618997,368,0.26725025873484076
161,-3872.507994648858,368,0.26324150485381814
162,-3860.6947476199207,367,0.2592928822810109
163,-3915.475588874785,371,0.2554034890467957
164,-3900.4074885550003,370,0.2515724367110938
165,-3884.9507450217407,369,0.2477988501604274
166,-3845.694622409339,366,0.24408186740802099
167,-3857.6187777910914,367,0.24042063939690067
168,-3847.8589551600135,366,0.23681432980594716
169,-3847.361519021676,366,0.23326211485885795
170,-3886.7479292721982,369,0.22976318313597507
171,-3860.0215796091047,367,0.22631673538893546
172,-3834.604548605017,365,0.22292198435810143
173,-3901.50124519926,370,0.2195781545927299
174,-3901.232713707313,370,0.21628448227383895
175,-3901.232713707313,370,0.21304021503973136
176,-3873.693511416314,368,0.20984461181413538
177,-3860.601353630837,367,0.20669694263692334
178,-3847.684953650962,366,0.2035964884973695
179,-3847.7498939711036,366,0.20054254116990897
180,-3872.515727150405,368,0.19753440305236034
181,-3900.1838697540156,370,0.19457138700657492
182,-3872.237533355199,368,0.19165281620147628
183,-3914.688171865438,371,0.18877802395845414
184,-3928.794761417028,372,0.18594635359907732
185,-3885.923462423725,369,0.18315715829509116
186,-3859.1859682254703,367,0.1804098009206648
187,-3900.0471969398573,370,0.17770365390685483
188,-3886.1498471525865,369,0.175038099098252
189,-3886.172655986449,369,0.17241252761177822
190,-3900.3141896012735,370,0.16982633969760155
191,-3914.574307885142,371,0.16727894460213752
192,-3886.3077786250933,369,0.16476976043310546
193,-3886.2678185551904,369,0.16229821402660888
194,-3886.233165226756,369,0.15986374081620974
195,-3900.0340989719375,370,0.1574657847039666
196,-3885.6686204619627,369,0.15510379793340712
197,-3873.6856293492406,368,0.152777240964406
198,-3860.1894355953586,367,0.15048558234993992
199,-3887.124835425354,369,0.1482282986146908
200,-3915.817836263571,371,0.14600487413547045
