step,energy,activation_count,temperature
0,-2470.676762513051,419,3.0
1,-2388.1879332006665,394,2.955
2,-2265.1857126107643,371,2.910675
3,-2496.5216275456555,379,2.8670148749999997
4,-2467.550903227284,371,2.8240096518749995
5,-2861.869363169218,394,2.7816495070968745
6,-2724.141060249461,383,2.7399247644904214
7,-2956.8681696870226,391,2.698825893023065
8,-2985.3240533144703,390,2.658343504627719
9,-2847.317934412058,379,2.6184683520583034
10,-2754.750834225378,378,2.579191326777429
11,-2733.1539884566632,373,2.5405034568757676
12,-2700.1586479899565,376,2.502395905022631
13,-2958.590258215378,387,2.4648599664472917
14,-3013.6783548691337,392,2.427887066950582
15,-2838.6902230367045,378,2.3914687609463234
16,-2963.1377601955664,382,2.3555967295321287
17,-2968.900101627242,377,2.320262778589147
18,-2977.3118498077997,375,2.2854588369103097
19,-2978.0096083692974,377,2.251176954356655
20,-3033.706119765704,380,2.217409300041305
21,-2936.370793267349,373,2.1841481605406856
22,-2910.6325635765816,364,2.1513859381325755
23,-3058.4451817019917,367,2.119115149060587
24,-3358.5511692915907,381,2.087328421824678
25,-3350.5374952920165,383,2.056018495497308
26,-3381.723851789965,382,2.0251782180648483
27,-3426.6099345872326,382,1.9948005447938755
28,-3225.2057949263385,374,1.9648785366219672
29,-3136.412616455009,361,1.9354053585726376
30,-3217.803354127587,374,1.906374278194048
31,-3245.9943968306,368,1.8777786640211374
32,-3241.4570849161396,369,1.8496119840608203
33,-3347.838621716556,373,1.821867804299908
34,-3261.6849327445175,366,1.7945397872354092
35,-3515.172517941105,379,1.767621690426878
36,-3524.3968157707714,379,1.7411073650704747
37,-3519.346983696464,379,1.7149907545944176
38,-3396.4608328538534,372,1.6892658932755014
39,-3449.808419469486,369,1.6639269048763687
40,-3600.3248186014234,377,1.6389680013032233
41,-3641.435782778503,378,1.6143834812836748
42,-3469.034778170712,365,1.5901677290644196
43,-3584.4395500355863,373,1.5663152131284532
44,-3782.6183437124687,383,1.5428204849315263
45,-3519.3406986987284,362,1.5196781776575534
46,-3565.230927446723,369,1.49688300499269
47,-3477.82582528225,365,1.4744297599177996
48,-3692.731380454196,378,1.4523133135190325
49,-3557.111212280785,367,1.430528613816247
50,-3560.9549759438705,369,1.4090706846090033
51,-3633.591365871353,371,1.3879346243398683
52,-3656.9994362633574,368,1.3671156049747701
53,-3495.61381540851,357,1.3466088709001485
54,-3642.1545634750405,369,1.3264097378366462
55,-3630.807690975949,366,1.3065135917690964
56,-3580.4203122389245,359,1.28691588789256
57,-3563.0914368223735,358,1.2676121495741715
58,-3566.7371743081585,361,1.248597967330559
59,-3596.9788408435115,364,1.2298689978206006
60,-3611.2804187035013,363,1.2114209628532915
61,-3693.7348348307264,368,1.1932496484104922
62,-3611.739826716813,362,1.1753509036843348
63,-3655.723748358147,365,1.1577206401290698
64,-3687.9324456944382,368,1.1403548305271338
65,-3761.3725754271168,373,1.1232495080692269
66,-3628.055155982836,361,1.1064007654481884
67,-3641.283678488462,361,1.0898047539664657
68,-3660.756228897582,366,1.0734576826569686
69,-3755.675925321073,370,1.057355817417114
70,-3738.464610322995,367,1.0414954801558574
71,-3781.2620896167596,371,1.0258730479535194
72,-3772.921831569247,369,1.0104849522342165
73,-3675.504445833591,362,0.9953276779507033
74,-3769.1207218397444,369,0.9803977627814427
75,-3680.1339516763833,363,0.9656917963397211
76,-3743.9904098793036,367,0.9512064193946252
77,-3766.957367911401,369,0.9369383231037058
78,-3785.410152252797,372,0.9228842482571502
79,-3873.0487714434908,377,0.909040984533293
80,-3799.845469862198,372,0.8954053697652935
81,-3699.1674921260237,363,0.881974289218814
82,-3756.7514228538084,367,0.8687446748805319
83,-3779.2672718288095,368,0.8557135047573239
84,-3760.4674863170894,365,0.842877802185964
85,-3780.7728741006817,366,0.8302346351531745
86,-3853.6656408228596,372,0.8177811156258769
87,-3804.213395101091,369,0.8055143988914887
88,-3771.7627515418903,366,0.7934316829081164
89,-3813.3519644243365,368,0.7815302076644947
90,-3778.5663381039517,366,0.7698072545495273
91,-3861.2534243266527,372,0.7582601457312843
92,-3849.1905511296713,371,0.7468862435453151
93,-3870.5981338014135,372,0.7356829498921353
94,-3772.4537490475914,365,0.7246477056437532
95,-3752.3126755323256,363,0.7137779900590969
96,-3833.7074049271628,369,0.7030713202082105
97,-3790.9137598886555,365,0.6925252504050874
98,-3878.5036517874805,372,0.6821373716490111
99,-3860.0417204697123,371,0.671905311074276
100,-3891.836715267819,373,0.6618267314081618
101,-3853.8466378056714,370,0.6518993304370394
102,-3920.2012394564604,374,0.6421208404804838
103,-3903.1445315083624,373,0.6324890278732765
104,-3824.3603745531113,367,0.6230016924551773
105,-3954.6486502588564,376,0.6136566670683496
106,-3890.1237346216403,372,0.6044518170623244
107,-3961.4765693270515,376,0.5953850398063896
108,-3977.76661591125,377,0.5864542642092937
109,-3944.4252468835157,375,0.5776574502461543
110,-3957.6032378920713,376,0.568992588492462
111,-3837.5337221655277,368,0.5604576996650751
112,-3921.0551659669673,373,0.5520508341700989
113,-3987.148400578485,377,0.5437700716575474
114,-3926.06170970273,373,0.5356135205826842
115,-3924.2539604914914,373,0.527579317773944
116,-3897.453130309777,371,0.5196656280073348
117,-3852.612193971392,368,0.5118706435872248
118,-3817.34993040523,365,0.5041925839334164
119,-3914.817536236678,372,0.49662969517441513
120,-3871.212427192774,369,0.4891802497467989
121,-3915.3972410617903,372,0.4818425460005969
122,-3944.323037594964,374,0.47461490781058796
123,-3900.087723553076,371,0.46749568419342913
124,-3871.7924909617673,369,0.46048324893052767
125,-3930.86910465787,373,0.45357600019656974
126,-3915.3830496383493,372,0.4467723601936212
127,-3914.776874786259,372,0.4400707747907169
128,-3899.821075893696,371,0.43346971316885613
129,-3932.9266297935415,373,0.4269676674713233
130,-3933.935245405984,373,0.42056315245925346
131,-3888.017742592934,370,0.4142547051723647
132,-3965.370055379457,375,0.4080408845947792
133,-3918.6491335520936,372,0.4019202713258575
134,-3907.3195213074487,371,0.39589146725596963
135,-3890.5208931895927,370,0.38995309524713007
136,-3877.652580632566,369,0.3841037988184231
137,-3862.969503707137,368,0.37834224183614673
138,-3891.073422218253,370,0.37266710820860455
139,-3951.409726075894,374,0.36707710158547546
140,-3983.112832753218,376,0.36157094506169335
141,-3919.0285864368648,372,0.3561473808857679
142,-3980.3588523064,376,0.3508051701724814
143,-3907.783489558077,371,0.3455430926198942
144,-3911.830522501598,371,0.3403599462305958
145,-3930.382641165012,372,0.33525454703713686
146,-3912.3804300977386,370,0.3302257288315798
147,-3987.547082035708,375,0.3252723428991061
148,-3955.6206327256323,373,0.3203932577556195
149,-3926.0036602713385,371,0.3155873588892852
150,-3940.4772390171074,372,0.3108535485059459
151,-3956.2773382548808,373,0.30619074527835666
152,-3926.367080174137,371,0.3015978840991813
153,-3911.563790358778,370,0.2970739158376936
154,-3897.1221435582543,369,0.2926178071001282
155,-3911.1437824934783,370,0.28822853999362624
156,-3955.0353134576367,373,0.28390511189372186
157,-3971.388365962084,374,0.279646535215316
158,-3940.933601679878,372,0.27545183718708627
159,-3941.67223844401,372,0.27132005962927996
160,-3940.945838961311,372,0.26725025873484076
161,-3956.5087344930776,373,0.26324150485381814
162,-3956.3601114952917,373,0.2592928822810109
163,-3884.4369625737963,368,0.2554034890467957
164,-3926.1292692899133,371,0.2515724367110938
165,-3939.366173806006,372,0.2477988501604274
166,-3939.7609071672473,372,0.24408186740802099
167,-3924.676724551926,371,0.24042063939690067
168,-3898.07736461279,369,0.23681432980594716
169,-3941.515728578306,372,0.23326211485885795
170,-3941.064633920305,372,0.22976318313597507
171,-3972.3290595871304,374,0.22631673538893546
172,-3898.0769466371235,369,0.22292198435810143
173,-3926.884230546272,371,0.2195781545927299
174,-3911.5138608480956,370,0.21628448227383895
175,-3897.840668651612,369,0.21304021503973136
176,-3926.556964712996,371,0.20984461181413538
177,-3927.124304204249,371,0.20669694263692334
178,-3941.4715203686924,372,0.2035964884973695
179,-3941.435773052175,372,0.20054254116990897
180,-3941.7057162631695,372,0.19753440305236034
181,-3941.6884042928314,372,0.19457138700657492
182,-3926.7167519599225,371,0.19165281620147628
183,-3956.7703695566165,373,0.18877802395845414
184,-3987.8445535817596,375,0.18594635359907732
185,-3957.0367966428503,373,0.18315715829509116
186,-3912.5166225350454,370,0.1804098009206648
187,-3941.7228705196867,372,0.17770365390685483
188,-3972.4859283403835,374,0.175038099098252
189,-3972.537259388814,374,0.17241252761177822
190,-3926.9566949443665,371,0.16982633969760155
191,-3912.746814131865,370,0.16727894460213752
192,-3927.1450725661643,371,0.16476976043310546
193,-3972.553870172738,374,0.16229821402660888
194,-3941.6165042873463,372,0.15986374081620974
195,-3941.491452246143,372,0.1574657847039666
196,-3941.787472312466,372,0.15510379793340712
197,-3941.8818070090374,372,0.152777240964406
198,-3941.932080197165,372,0.15048558234993992
199,-3912.2806566700574,370,0.1482282986146908
200,-3941.6813905635654,372,0.14600487413547045
