step,energy,activation_count,temperature
0,-2413.832461917581,419,3.0
1,-2402.113293621871,391,2.955
2,-2611.3153628711566,395,2.910675
3,-2587.4951526547343,387,2.8670148749999997
4,-2753.6821409939744,388,2.8240096518749995
5,-2627.2335378062876,385,2.7816495070968745
6,-2709.313869090026,383,2.7399247644904214
7,-2603.9792872683115,377,2.698825893023065
8,-2526.522757215415,375,2.658343504627719
9,-2596.819642856829,379,2.6184683520583034
10,-2670.0855551442473,383,2.579191326777429
11,-2729.366741557979,379,2.5405034568757676
12,-2746.6011000752137,376,2.502395905022631
13,-2780.296265440972,375,2.4648599664472917
14,-2887.1474218648104,381,2.427887066950582
15,-2938.154354584486,388,2.3914687609463234
16,-2765.8475445630856,374,2.3555967295321287
17,-3092.656831967762,388,2.320262778589147
18,-2733.3949537158114,373,2.2854588369103097
19,-2892.587569559091,384,2.251176954356655
20,-2927.1453114727437,379,2.217409300041305
21,-2851.8469001402073,372,2.1841481605406856
22,-3192.7580312693804,390,2.1513859381325755
23,-2863.7722080593585,366,2.119115149060587
24,-2817.6886817036693,367,2.087328421824678
25,-3120.912993625636,379,2.056018495497308
26,-3081.136578668884,375,2.0251782180648483
27,-3040.4169389709878,370,1.9948005447938755
28,-3216.6584991762406,382,1.9648785366219672
29,-3212.6638741796023,379,1.9354053585726376
30,-3223.947971661174,381,1.906374278194048
31,-3330.9134457807004,385,1.8777786640211374
32,-3269.6244825788017,377,1.8496119840608203
33,-3189.1328214154287,373,1.821867804299908
34,-3219.875458889998,370,1.7945397872354092
35,-3368.040556798548,380,1.767621690426878
36,-3363.2514551012,380,1.7411073650704747
37,-3320.582945348296,375,1.7149907545944176
38,-3240.8918607880696,366,1.6892658932755014
39,-3588.159810806591,388,1.6639269048763687
40,-3415.414687720919,374,1.6389680013032233
41,-3330.5165303229114,370,1.6143834812836748
42,-3395.2478872631846,372,1.5901677290644196
43,-3405.8053590090626,370,1.5663152131284532
44,-3503.36174320103,376,1.5428204849315263
45,-3508.7772320021295,373,1.5196781776575534
46,-3388.689118339573,365,1.49688300499269
47,-3593.896471774452,380,1.4744297599177996
48,-3407.2017566362024,364,1.4523133135190325
49,-3499.7174399560445,367,1.430528613816247
50,-3623.7638460067533,376,1.4090706846090033
51,-3662.696738570392,379,1.3879346243398683
52,-3692.9805857666447,379,1.3671156049747701
53,-3752.1243620878763,380,1.3466088709001485
54,-3758.2735154990455,381,1.3264097378366462
55,-3522.4335713358105,363,1.3065135917690964
56,-3672.33946911628,374,1.28691588789256
57,-3636.848780880306,369,1.2676121495741715
