step,energy,activation_count,temperature
0,-2402.5815843162886,419,3.0
1,-2477.1796135338877,394,2.955
2,-2677.090317351583,397,2.910675
3,-2684.4866237325714,393,2.8670148749999997
4,-2498.30296077736,376,2.8240096518749995
5,-2619.054414155239,387,2.7816495070968745
6,-2831.384785115979,394,2.7399247644904214
7,-2631.300439484997,378,2.698825893023065
8,-2865.6330362512017,388,2.658343504627719
9,-2707.2733640919305,384,2.6184683520583034
10,-2977.3579893941737,400,2.579191326777429
11,-2796.226446103195,391,2.5405034568757676
12,-2729.043403941578,377,2.502395905022631
13,-2861.4919948766465,382,2.4648599664472917
14,-2667.895358361943,374,2.427887066950582
15,-2756.3790485213035,378,2.3914687609463234
16,-2942.559406697526,383,2.3555967295321287
17,-2819.520606449201,374,2.320262778589147
18,-2858.4655229588357,379,2.2854588369103097
19,-2910.4862429387454,381,2.251176954356655
20,-2946.793127385961,379,2.217409300041305
21,-2956.236602547822,376,2.1841481605406856
22,-3093.8760970199783,386,2.1513859381325755
23,-2902.096420264523,361,2.119115149060587
24,-2915.732443741208,365,2.087328421824678
25,-3193.948996766238,379,2.056018495497308
26,-3237.3099279937287,382,2.0251782180648483
27,-3180.0291767353406,376,1.9948005447938755
28,-3123.2189478500695,375,1.9648785366219672
29,-3212.231738873991,376,1.9354053585726376
30,-3240.6785872137057,378,1.906374278194048
31,-3215.79681622347,371,1.8777786640211374
32,-3536.78985042654,391,1.8496119840608203
33,-3429.736309999776,385,1.821867804299908
34,-3152.1619198754256,370,1.7945397872354092
35,-3468.321067352473,389,1.767621690426878
36,-3347.847040582304,381,1.7411073650704747
37,-3278.6945940812698,371,1.7149907545944176
38,-3330.3005108422103,375,1.6892658932755014
39,-3356.5681038837274,376,1.6639269048763687
40,-3388.275191080526,376,1.6389680013032233
41,-3430.2437924142723,377,1.6143834812836748
42,-3573.14630195682,384,1.5901677290644196
43,-3497.15241954966,377,1.5663152131284532
44,-3607.3636164187083,384,1.5428204849315263
45,-3534.4252880303657,378,1.5196781776575534
46,-3454.5960169093105,373,1.49688300499269
47,-3534.035261771598,378,1.4744297599177996
48,-3420.3653533645947,371,1.4523133135190325
49,-3440.9014872359317,368,1.430528613816247
50,-3461.541098650419,370,1.4090706846090033
51,-3566.968539904575,376,1.3879346243398683
52,-3681.082159261933,380,1.3671156049747701
53,-3622.0335462506364,374,1.3466088709001485
54,-3657.6380993234357,376,1.3264097378366462
55,-3494.9773411939086,363,1.3065135917690964
56,-3665.695457113422,376,1.28691588789256
57,-3754.1561806413583,378,1.2676121495741715
58,-3797.2263481525574,381,1.248597967330559
59,-3763.6946749942254,378,1.2298689978206006
60,-3764.6362612394137,378,1.2114209628532915
61,-3688.6254206945014,372,1.1932496484104922
62,-3763.182012902532,376,1.1753509036843348
63,-3635.4766115467646,370,1.1577206401290698
64,-3669.6956873719873,373,1.1403548305271338
65,-3687.860085221706,374,1.1232495080692269
66,-3731.9806816645364,375,1.1064007654481884
67,-3775.881444200569,375,1.0898047539664657
68,-4050.1043581051345,389,1.0734576826569686
69,-3886.303302242541,381,1.057355817417114
70,-3851.338760211662,379,1.0414954801558574
71,-3922.5833237216575,383,1.0258730479535194
72,-3960.9099370681847,384,1.0104849522342165
73,-3918.5010380529825,381,0.9953276779507033
74,-3832.628882145081,376,0.9803977627814427
75,-3881.3967017115333,379,0.9656917963397211
76,-3954.154136653789,383,0.9512064193946252
77,-3917.646210068041,381,0.9369383231037058
78,-3904.890671192956,380,0.9228842482571502
79,-3923.8533983475786,381,0.909040984533293
80,-3987.0565736778162,384,0.8954053697652935
81,-3781.2037132464116,372,0.881974289218814
82,-3849.818283572938,377,0.8687446748805319
83,-3887.7980293451083,379,0.8557135047573239
84,-3913.6576275159996,380,0.842877802185964
85,-3899.0230817462752,380,0.8302346351531745
86,-3989.319459665995,384,0.8177811156258769
87,-4000.8298899236725,384,0.8055143988914887
88,-3914.056579871763,379,0.7934316829081164
89,-3874.0426564342188,377,0.7815302076644947
90,-3899.405733513522,378,0.7698072545495273
91,-3933.9342690142867,380,0.7582601457312843
92,-3990.204319425815,383,0.7468862435453151
93,-3975.258763794993,382,0.7356829498921353
94,-3691.867514412367,363,0.7246477056437532
95,-3871.627813896564,376,0.7137779900590969
96,-3805.355204171915,371,0.7030713202082105
97,-3936.001076433572,379,0.6925252504050874
98,-3967.300934885303,381,0.6821373716490111
99,-3900.255381687959,377,0.671905311074276
100,-3902.028170984951,377,0.6618267314081618
101,-3879.0747239660027,376,0.6518993304370394
102,-3901.8845297587222,377,0.6421208404804838
103,-3914.9774733212753,378,0.6324890278732765
104,-3851.518656944075,374,0.6230016924551773
105,-3869.292510684262,375,0.6136566670683496
106,-3886.6620512992204,376,0.6044518170623244
107,-3940.239864911803,379,0.5953850398063896
108,-3881.6202310313597,375,0.5864542642092937
109,-3984.5533637117187,381,0.5776574502461543
110,-3880.1335257920878,375,0.568992588492462
111,-3899.7221700842606,376,0.5604576996650751
112,-3945.2845924259263,379,0.5520508341700989
113,-3945.151557260814,379,0.5437700716575474
114,-3918.8930613966922,377,0.5356135205826842
115,-3920.2907350151854,377,0.527579317773944
116,-3955.2557647689823,379,0.5196656280073348
117,-3939.799941788715,378,0.5118706435872248
118,-3905.996365169518,376,0.5041925839334164
119,-3907.8865870230607,376,0.49662969517441513
120,-3916.934101199355,377,0.4891802497467989
121,-3957.2917083811367,379,0.4818425460005969
122,-3923.275196978772,377,0.47461490781058796
123,-3922.039753620555,377,0.46749568419342913
124,-3906.8085415809483,376,0.46048324893052767
125,-3873.3072668070536,374,0.45357600019656974
126,-3859.823272821529,373,0.4467723601936212
127,-3876.070424273147,374,0.4400707747907169
128,-3874.4680209275375,374,0.43346971316885613
129,-3908.9563696208465,376,0.4269676674713233
130,-3908.9563696208465,376,0.42056315245925346
131,-3909.7373090397423,376,0.4142547051723647
132,-3910.81317706538,376,0.4080408845947792
133,-3876.6161611325797,374,0.4019202713258575
134,-3816.286006896983,370,0.39589146725596963
135,-3923.515501533469,377,0.38995309524713007
136,-4013.086640785911,382,0.3841037988184231
137,-3942.9632107983334,378,0.37834224183614673
138,-3909.1070878115925,376,0.37266710820860455
139,-3877.2212070467176,374,0.36707710158547546
140,-3909.0936660598186,376,0.36157094506169335
141,-3908.53935568875,376,0.3561473808857679
142,-3896.92165816354,375,0.3508051701724814
143,-3896.92165816354,375,0.3455430926198942
144,-3897.1887937460033,375,0.3403599462305958
145,-3912.9501302614863,376,0.33525454703713686
146,-3913.128161643561,376,0.3302257288315798
147,-3946.0638981637403,378,0.3252723428991061
148,-3944.927174884804,378,0.3203932577556195
149,-3947.640080414489,378,0.3155873588892852
150,-3947.640080414489,378,0.3108535485059459
151,-3982.4512242039864,380,0.30619074527835666
152,-3965.082664760089,379,0.3015978840991813
153,-3964.975392795135,379,0.2970739158376936
154,-3947.45735910379,378,0.2926178071001282
155,-3964.372748522846,379,0.28822853999362624
156,-3964.0813891790576,379,0.28390511189372186
157,-3964.0813891790576,379,0.279646535215316
158,-4000.1923587873393,381,0.27545183718708627
159,-3965.025377404412,379,0.27132005962927996
160,-3964.8072318106138,379,0.26725025873484076
161,-3964.724511748455,379,0.26324150485381814
162,-3965.292512986875,379,0.2592928822810109
163,-3930.064689361986,377,0.2554034890467957
164,-3913.4684597893374,376,0.2515724367110938
165,-3965.292512986875,379,0.2477988501604274
166,-3930.5168566622247,377,0.24408186740802099
167,-3913.5659173223394,376,0.24042063939690067
168,-3880.9285894147397,374,0.23681432980594716
169,-3981.511070466914,380,0.23326211485885795
170,-3929.0463878337273,377,0.22976318313597507
171,-3946.1941970985536,378,0.22631673538893546
172,-3963.578135488477,379,0.22292198435810143
173,-3928.84313175901,377,0.2195781545927299
174,-3913.11448029989,376,0.21628448227383895
175,-3929.858744762502,377,0.21304021503973136
176,-3913.0329691828874,376,0.20984461181413538
177,-3913.562269173809,376,0.20669694263692334
178,-3964.8072318106138,379,0.2035964884973695
179,-3930.46090625833,377,0.20054254116990897
180,-3947.7244946862534,378,0.19753440305236034
181,-3965.292512986875,379,0.19457138700657492
182,-3947.7877478365476,378,0.19165281620147628
183,-3947.617215253163,378,0.18877802395845414
184,-3947.617215253163,378,0.18594635359907732
185,-3965.292512986875,379,0.18315715829509116
186,-3965.292512986875,379,0.1804098009206648
187,-3965.292512986875,379,0.17770365390685483
188,-3965.0194116097946,379,0.175038099098252
189,-3982.934088621523,380,0.17241252761177822
190,-3965.025377404412,379,0.16982633969760155
191,-3947.8119715978737,378,0.16727894460213752
192,-3947.7877478365476,378,0.16476976043310546
193,-3965.292512986875,379,0.16229821402660888
194,-3965.025377404412,379,0.15986374081620974
195,-3930.5741440179013,377,0.1574657847039666
196,-3965.292512986875,379,0.15510379793340712
197,-3947.7244946862534,378,0.152777240964406
198,-3947.6417746240945,378,0.15048558234993992
199,-3965.292512986875,379,0.1482282986146908
200,-3930.5983677792274,377,0.14600487413547045
