step,energy,activation_count,temperature
0,-2451.844388016892,419,3.0
1,-2224.688343517192,376,2.955
2,-2601.5666759519595,393,2.910675
3,-2759.9758085289445,394,2.8670148749999997
4,-2718.6971999323964,382,2.8240096518749995
5,-2622.1543045019725,384,2.7816495070968745
6,-2581.0320103646536,376,2.7399247644904214
7,-2830.423501255121,388,2.698825893023065
8,-2563.4377029818165,378,2.658343504627719
9,-2615.739315672758,378,2.6184683520583034
10,-2794.3263406665733,390,2.579191326777429
11,-2997.722887952151,392,2.5405034568757676
12,-2714.8954398309197,369,2.502395905022631
13,-2735.540375415157,376,2.4648599664472917
14,-2837.9879803821236,380,2.427887066950582
15,-2784.208346220163,383,2.3914687609463234
16,-2809.257817954029,376,2.3555967295321287
17,-2877.731989017736,380,2.320262778589147
18,-2984.0891297353064,388,2.2854588369103097
19,-2764.8891417039285,373,2.251176954356655
20,-2846.479665416773,372,2.217409300041305
21,-3027.9694217559995,380,2.1841481605406856
22,-2965.3636097668664,375,2.1513859381325755
23,-3175.361735133116,383,2.119115149060587
24,-2907.9226962884936,361,2.087328421824678
25,-3016.4976816061844,366,2.056018495497308
26,-3184.440731099059,371,2.0251782180648483
27,-3315.71920363387,380,1.9948005447938755
28,-3206.6767483110675,373,1.9648785366219672
29,-3306.7027881000076,377,1.9354053585726376
30,-3113.08996064537,365,1.906374278194048
31,-3283.6690387675117,377,1.8777786640211374
32,-3410.1941752541443,379,1.8496119840608203
33,-3399.9867167989387,380,1.821867804299908
34,-3365.0753696814195,376,1.7945397872354092
35,-3584.977221388243,388,1.767621690426878
36,-3490.871484145384,383,1.7411073650704747
37,-3296.0099688281916,363,1.7149907545944176
38,-3453.978608468868,373,1.6892658932755014
39,-3546.4556508373535,379,1.6639269048763687
40,-3397.9435855194,370,1.6389680013032233
41,-3378.60066433843,369,1.6143834812836748
42,-3408.806528464176,363,1.5901677290644196
43,-3584.0409653454226,372,1.5663152131284532
44,-3482.845624073022,367,1.5428204849315263
45,-3650.1641277777953,379,1.5196781776575534
46,-3488.878457215635,368,1.49688300499269
47,-3607.862286299973,375,1.4744297599177996
48,-3540.812539501494,369,1.4523133135190325
49,-3569.4507077783333,370,1.430528613816247
50,-3581.105529963274,370,1.4090706846090033
51,-3666.0087059921725,374,1.3879346243398683
52,-3648.3098356224696,370,1.3671156049747701
53,-3558.8538194663342,363,1.3466088709001485
54,-3705.3793934696805,374,1.3264097378366462
55,-3573.910003873836,359,1.3065135917690964
56,-3680.169684802936,369,1.28691588789256
57,-3723.4090491497627,369,1.2676121495741715
58,-3772.3903202264382,374,1.248597967330559
59,-3732.5354768711068,372,1.2298689978206006
60,-3726.2382551466503,368,1.2114209628532915
61,-3777.503468474314,373,1.1932496484104922
62,-3677.2726890703093,365,1.1753509036843348
63,-3688.216596343614,365,1.1577206401290698
64,-3834.1507742586696,375,1.1403548305271338
65,-3828.7386297298085,375,1.1232495080692269
66,-3824.7351422671304,374,1.1064007654481884
67,-3824.869142277975,373,1.0898047539664657
68,-3761.205839922798,369,1.0734576826569686
69,-3803.597107979844,371,1.057355817417114
