step,energy,activation_count,temperature
0,-2537.1087604652616,419,3.0
1,-2388.217346376109,385,2.955
2,-2561.754053855409,392,2.910675
3,-2461.659299529435,373,2.8670148749999997
4,-2470.8291514177376,377,2.8240096518749995
5,-2707.4190106584165,382,2.7816495070968745
6,-2539.002641342971,379,2.7399247644904214
7,-2706.5474268781645,388,2.698825893023065
8,-2565.30352939831,372,2.658343504627719
9,-2562.282838759918,375,2.6184683520583034
10,-2505.759111079842,371,2.579191326777429
11,-2433.3493180724054,363,2.5405034568757676
12,-2857.8177995999927,388,2.502395905022631
13,-2867.4578472203802,386,2.4648599664472917
14,-2672.316094451634,376,2.427887066950582
15,-2698.4508824085437,377,2.3914687609463234
16,-2719.435768813525,378,2.3555967295321287
17,-2708.7016167737384,375,2.320262778589147
18,-2532.661248775578,359,2.2854588369103097
19,-2819.198792089986,383,2.251176954356655
20,-2911.187010867974,379,2.217409300041305
21,-2929.8188762174914,377,2.1841481605406856
22,-2898.725685516654,371,2.1513859381325755
23,-2936.498667157025,372,2.119115149060587
24,-2875.8831014725715,366,2.087328421824678
25,-2794.1580298433855,363,2.056018495497308
26,-2783.769911392682,359,2.0251782180648483
27,-2902.536031111623,361,1.9948005447938755
28,-2945.3597853780093,362,1.9648785366219672
29,-3289.108304857937,382,1.9354053585726376
30,-3110.906319595441,367,1.906374278194048
31,-3118.8512234801574,370,1.8777786640211374
32,-3159.8039432760843,365,1.8496119840608203
33,-3419.092139540795,384,1.821867804299908
34,-3204.862514897117,367,1.7945397872354092
35,-3187.2302141175396,366,1.767621690426878
36,-3268.3101651702805,374,1.7411073650704747
37,-3364.013518216697,372,1.7149907545944176
38,-3294.1400079647956,370,1.6892658932755014
39,-3336.034305994048,371,1.6639269048763687
40,-3471.0380584362524,379,1.6389680013032233
41,-3373.9475223029713,371,1.6143834812836748
42,-3352.1355140011183,364,1.5901677290644196
43,-3430.744232751325,369,1.5663152131284532
44,-3450.4232385166665,373,1.5428204849315263
45,-3503.9174296474384,375,1.5196781776575534
46,-3499.8729098340536,369,1.49688300499269
47,-3691.589676597962,382,1.4744297599177996
48,-3638.1440017337027,378,1.4523133135190325
49,-3480.8051382197405,363,1.430528613816247
50,-3694.7138367157236,377,1.4090706846090033
51,-3590.658165675011,371,1.3879346243398683
52,-3580.897720856523,367,1.3671156049747701
53,-3622.5819791604235,369,1.3466088709001485
54,-3578.568733779676,370,1.3264097378366462
55,-3560.041655701041,366,1.3065135917690964
56,-3673.6719745478863,374,1.28691588789256
57,-3741.4065053006057,377,1.2676121495741715
58,-3606.2911294283685,370,1.248597967330559
59,-3680.407764683406,374,1.2298689978206006
60,-3618.579113505984,366,1.2114209628532915
61,-3738.2963541048075,375,1.1932496484104922
62,-3696.954465022553,373,1.1753509036843348
63,-3811.9861364735725,379,1.1577206401290698
64,-3810.723312164741,377,1.1403548305271338
65,-3784.3103649518544,376,1.1232495080692269
66,-3786.6445059243783,377,1.1064007654481884
67,-3698.129124862449,371,1.0898047539664657
68,-3817.4051165187925,377,1.0734576826569686
69,-3734.4839835285347,371,1.057355817417114
70,-3646.0504051796015,365,1.0414954801558574
71,-3633.7083729825504,363,1.0258730479535194
72,-3722.552796020725,371,1.0104849522342165
73,-3661.0341327315846,368,0.9953276779507033
74,-3811.047534763854,376,0.9803977627814427
75,-3752.516476847401,371,0.9656917963397211
76,-3641.403480716247,363,0.9512064193946252
77,-3753.6013777159724,371,0.9369383231037058
78,-3939.724957150159,383,0.9228842482571502
79,-3795.005422574857,374,0.909040984533293
80,-3712.420917076311,369,0.8954053697652935
81,-3758.8144590435345,371,0.881974289218814
82,-3796.86406056031,373,0.8687446748805319
83,-3784.1309595964353,373,0.8557135047573239
84,-3863.896865935602,377,0.842877802185964
85,-3684.92749461248,364,0.8302346351531745
86,-3718.062293713385,366,0.8177811156258769
87,-3715.4368123891218,366,0.8055143988914887
88,-3799.0533548223975,372,0.7934316829081164
89,-3796.298015926981,372,0.7815302076644947
90,-3804.0072369244026,372,0.7698072545495273
91,-3785.711579571148,371,0.7582601457312843
92,-3799.0689566117044,372,0.7468862435453151
93,-3723.1901795161975,367,0.7356829498921353
94,-3769.7712584146293,370,0.7246477056437532
95,-3689.8708091766275,364,0.7137779900590969
96,-3741.4254634953672,368,0.7030713202082105
97,-3758.2315530551573,369,0.6925252504050874
98,-3903.639178922428,378,0.6821373716490111
99,-3770.5214894946325,369,0.671905311074276
100,-3776.89855543911,370,0.6618267314081618
101,-3810.7203968754884,372,0.6518993304370394
102,-3779.20756497228,370,0.6421208404804838
103,-3797.813942912205,371,0.6324890278732765
104,-3903.6846632616844,378,0.6230016924551773
105,-3768.3799040335552,369,0.6136566670683496
106,-3800.9470128680937,371,0.6044518170623244
107,-3768.640983088714,369,0.5953850398063896
108,-3698.2388067496804,364,0.5864542642092937
109,-3873.7697374228437,376,0.5776574502461543
110,-3757.0194081827194,368,0.568992588492462
111,-3789.530139859996,370,0.5604576996650751
112,-3867.344732561167,375,0.5520508341700989
113,-3817.441568702846,372,0.5437700716575474
114,-3753.3384890380826,367,0.5356135205826842
115,-3838.781565596538,373,0.527579317773944
116,-3823.668519787726,372,0.5196656280073348
117,-3784.622421514062,370,0.5118706435872248
118,-3807.3913632210947,371,0.5041925839334164
119,-3827.2097967415248,372,0.49662969517441513
120,-3828.694425897218,372,0.4891802497467989
121,-3744.418566828999,366,0.4818425460005969
122,-3784.6638115526703,369,0.47461490781058796
123,-3800.610705227653,370,0.46749568419342913
124,-3815.77258308207,371,0.46048324893052767
125,-3846.865055627955,373,0.45357600019656974
126,-3763.7428481373345,367,0.4467723601936212
127,-3833.5331424793467,372,0.4400707747907169
128,-3802.1868557954267,370,0.43346971316885613
129,-3804.357842109517,370,0.4269676674713233
130,-3744.6385604413636,365,0.42056315245925346
131,-3798.3908168975236,369,0.4142547051723647
132,-3772.9210534479935,367,0.4080408845947792
133,-3771.979103163536,367,0.4019202713258575
134,-3720.996594683375,363,0.39589146725596963
135,-3740.521390602401,364,0.38995309524713007
136,-3747.4418094120283,364,0.3841037988184231
137,-3799.453002822823,368,0.37834224183614673
138,-3786.948107314874,367,0.37266710820860455
139,-3857.0543950560523,372,0.36707710158547546
140,-3856.9248219512037,372,0.36157094506169335
141,-3772.0103076743676,366,0.3561473808857679
142,-3812.45086102954,369,0.3508051701724814
143,-3856.516024457823,372,0.3455430926198942
144,-3750.5444161148976,364,0.3403599462305958
145,-3830.014462864391,370,0.33525454703713686
146,-3802.2435007409536,368,0.3302257288315798
147,-3844.634420155875,371,0.3252723428991061
148,-3805.30177225884,368,0.3203932577556195
149,-3844.965828269842,371,0.3155873588892852
150,-3790.9791856521365,367,0.3108535485059459
151,-3803.0616742541606,368,0.30619074527835666
152,-3830.2230538806325,370,0.3015978840991813
153,-3788.7706229320283,367,0.2970739158376936
154,-3803.2804942774515,368,0.2926178071001282
155,-3803.396270767532,368,0.28822853999362624
156,-3804.849292214836,368,0.28390511189372186
157,-3791.389997586283,367,0.279646535215316
158,-3816.1475193010124,369,0.27545183718708627
159,-3831.3926868743,370,0.27132005962927996
160,-3831.64563356915,370,0.26725025873484076
161,-3804.7345040076207,368,0.26324150485381814
162,-3803.906177745163,368,0.2592928822810109
163,-3818.101922006278,369,0.2554034890467957
164,-3832.7470620204313,370,0.2515724367110938
165,-3778.9434477048817,366,0.2477988501604274
166,-3766.3112227805404,365,0.24408186740802099
167,-3805.1394567750785,368,0.24042063939690067
168,-3792.258788517311,367,0.23681432980594716
169,-3818.7539338571573,369,0.23326211485885795
170,-3819.0090448152914,369,0.22976318313597507
171,-3819.1116245765706,369,0.22631673538893546
172,-3805.177828839175,368,0.22292198435810143
173,-3792.198430125887,367,0.2195781545927299
174,-3805.1357109122278,368,0.21628448227383895
175,-3819.3097338482917,369,0.21304021503973136
176,-3833.2192147428377,370,0.20984461181413538
177,-3833.239442787428,370,0.20669694263692334
178,-3805.510351997762,368,0.2035964884973695
179,-3818.344118466142,369,0.20054254116990897
180,-3892.1045958248783,374,0.19753440305236034
181,-3861.870857295178,372,0.19457138700657492
182,-3877.0140430258384,373,0.19165281620147628
183,-3861.8244070014325,372,0.18877802395845414
184,-3877.1329610134876,373,0.18594635359907732
185,-3832.739280046999,370,0.18315715829509116
186,-3805.00151094005,368,0.1804098009206648
187,-3818.145633534624,369,0.17770365390685483
188,-3804.8541387333366,368,0.175038099098252
189,-3791.9825317471714,367,0.17241252761177822
190,-3792.0396542927156,367,0.16982633969760155
191,-3819.0871863441475,369,0.16727894460213752
192,-3792.16902129918,367,0.16476976043310546
193,-3805.4639378354464,368,0.16229821402660888
194,-3818.60758981187,369,0.15986374081620974
195,-3818.393030276516,369,0.1574657847039666
196,-3792.1115732111193,367,0.15510379793340712
197,-3847.7350731482884,371,0.152777240964406
198,-3819.2142163738945,369,0.15048558234993992
199,-3833.2173229775735,370,0.1482282986146908
