step,energy,activation_count,temperature
0,-2493.9001701986103,419,3.0
1,-2511.3706291798567,392,2.955
2,-2559.6212602685205,393,2.910675
3,-2474.195857404706,382,2.8670148749999997
4,-2450.8224903355244,382,2.8240096518749995
5,-2626.1669876119386,386,2.7816495070968745
6,-2471.680629710111,376,2.7399247644904214
7,-2765.687106792949,388,2.698825893023065
8,-2910.9768278108777,392,2.658343504627719
9,-2799.3565416807805,382,2.6184683520583034
10,-3002.5944070850614,392,2.579191326777429
11,-2939.6977702424592,388,2.5405034568757676
12,-2596.0877261159144,369,2.502395905022631
13,-2662.2294884126286,372,2.4648599664472917
14,-2866.385376108364,389,2.427887066950582
15,-2743.747463626393,381,2.3914687609463234
16,-2906.210538275288,383,2.3555967295321287
17,-2728.8135614207977,369,2.320262778589147
18,-3104.3599285204364,388,2.2854588369103097
19,-2968.811730713974,382,2.251176954356655
20,-3058.7658318546273,383,2.217409300041305
21,-2932.667776437527,376,2.1841481605406856
22,-2844.834416542508,372,2.1513859381325755
23,-3037.0283678693236,381,2.119115149060587
24,-3011.406580236483,373,2.087328421824678
25,-3016.9493249423103,370,2.056018495497308
26,-2992.569252061057,367,2.0251782180648483
27,-3011.9061500600465,368,1.9948005447938755
28,-3249.110844789162,378,1.9648785366219672
29,-3182.9552529978773,372,1.9354053585726376
30,-3177.734573409741,368,1.906374278194048
31,-3240.2007431602483,371,1.8777786640211374
32,-3319.492194495301,371,1.8496119840608203
33,-3592.714384556276,391,1.821867804299908
34,-3367.184567511684,373,1.7945397872354092
35,-3227.2162647270957,362,1.767621690426878
36,-3178.6933347384734,360,1.7411073650704747
37,-3335.32388985208,367,1.7149907545944176
38,-3427.2051196317934,371,1.6892658932755014
39,-3249.9169546275616,362,1.6639269048763687
40,-3518.7444058318533,378,1.6389680013032233
41,-3528.4495582773156,376,1.6143834812836748
42,-3506.047381377949,371,1.5901677290644196
43,-3538.7252688469466,372,1.5663152131284532
44,-3566.4008764307996,376,1.5428204849315263
45,-3583.596202815163,377,1.5196781776575534
46,-3638.4987960696058,377,1.49688300499269
47,-3617.1145673322417,373,1.4744297599177996
48,-3618.335357025087,371,1.4523133135190325
49,-3643.2158774614413,369,1.430528613816247
50,-3654.6791380595228,371,1.4090706846090033
51,-3803.7842378247474,377,1.3879346243398683
52,-4048.4947822343975,390,1.3671156049747701
53,-3907.651898894373,382,1.3466088709001485
54,-3874.727546899748,381,1.3264097378366462
55,-3896.780795115972,380,1.3065135917690964
56,-3822.767217639667,376,1.28691588789256
57,-3905.530075134445,380,1.2676121495741715
58,-3841.29895183767,380,1.248597967330559
59,-3862.2694483122896,380,1.2298689978206006
60,-3800.1813062063798,375,1.2114209628532915
61,-3744.375197340215,373,1.1932496484104922
62,-3770.5250389528615,374,1.1753509036843348
63,-3804.1678288330577,372,1.1577206401290698
64,-3800.4535307326782,372,1.1403548305271338
65,-4018.150118923133,384,1.1232495080692269
66,-4057.280825577295,387,1.1064007654481884
67,-3875.4612964141156,375,1.0898047539664657
68,-3883.3371398781987,375,1.0734576826569686
69,-3849.120177322362,373,1.057355817417114
70,-3959.675997049615,380,1.0414954801558574
71,-3915.9181859947184,378,1.0258730479535194
72,-3799.416031738995,371,1.0104849522342165
73,-3928.9184584187883,379,0.9953276779507033
74,-3867.701651702748,375,0.9803977627814427
75,-3770.3842730734577,368,0.9656917963397211
76,-3882.4960127627623,375,0.9512064193946252
77,-3894.191160847719,375,0.9369383231037058
78,-3938.7413592113553,378,0.9228842482571502
79,-3952.7235161084413,379,0.909040984533293
80,-4016.0476965605803,383,0.8954053697652935
81,-4059.6242198392474,385,0.881974289218814
