step,energy,activation_count,temperature
0,-2535.263828760158,419,3.0
1,-2470.1981036784277,389,2.955
2,-2714.342568609455,395,2.910675
3,-2483.814447211923,378,2.8670148749999997
4,-2500.2624981215486,378,2.8240096518749995
5,-2760.8177866543997,388,2.7816495070968745
6,-2626.4950948269434,381,2.7399247644904214
7,-2708.1829539725904,378,2.698825893023065
8,-2549.6398737572244,373,2.658343504627719
9,-2731.149520866611,383,2.6184683520583034
10,-2592.1875778447366,378,2.579191326777429
11,-2664.0725028939046,381,2.5405034568757676
12,-2913.1286776936595,392,2.502395905022631
13,-2645.2194649850044,371,2.4648599664472917
14,-2597.9944007679846,371,2.427887066950582
15,-2607.039816701402,365,2.3914687609463234
16,-2785.9545417212976,380,2.3555967295321287
17,-2875.8070970236467,380,2.320262778589147
18,-2815.7879296187843,370,2.2854588369103097
19,-3134.866225727629,390,2.251176954356655
20,-3156.7694170553996,384,2.217409300041305
21,-3103.3384414709058,379,2.1841481605406856
22,-2908.2738101434056,364,2.1513859381325755
23,-3062.6280562437423,374,2.119115149060587
24,-3066.0468071205305,371,2.087328421824678
25,-3107.2460528601678,373,2.056018495497308
26,-3200.8042553117566,373,2.0251782180648483
27,-3350.0757891936014,383,1.9948005447938755
28,-3269.9588147901645,369,1.9648785366219672
29,-3496.810859354246,380,1.9354053585726376
30,-3271.107936326115,364,1.906374278194048
31,-3569.0772741032592,382,1.8777786640211374
32,-3459.217923358316,370,1.8496119840608203
33,-3559.2040412742676,381,1.821867804299908
34,-3311.8883801963148,367,1.7945397872354092
35,-3381.3909026367305,368,1.767621690426878
36,-3464.196472275059,372,1.7411073650704747
37,-3670.479803999548,378,1.7149907545944176
38,-3548.1200690807245,366,1.6892658932755014
39,-3547.4169874734757,365,1.6639269048763687
40,-3610.8546836252194,370,1.6389680013032233
41,-3736.793651375215,379,1.6143834812836748
42,-3761.4025478446924,378,1.5901677290644196
43,-3726.406349228826,377,1.5663152131284532
44,-3782.42165703554,380,1.5428204849315263
45,-3778.9175756361788,379,1.5196781776575534
46,-3841.3692382464205,380,1.49688300499269
47,-3783.7656215961797,377,1.4744297599177996
48,-3634.5880569519627,364,1.4523133135190325
49,-3732.602868481095,366,1.430528613816247
50,-3940.164536116408,379,1.4090706846090033
51,-3830.8618714296185,374,1.3879346243398683
52,-3758.6687647349813,370,1.3671156049747701
53,-3691.616050607608,364,1.3466088709001485
54,-3798.5423037984647,372,1.3264097378366462
55,-3967.5341512133054,381,1.3065135917690964
56,-3841.5780292391973,373,1.28691588789256
57,-3925.6982312611153,377,1.2676121495741715
58,-3960.046763565086,382,1.248597967330559
59,-3968.0616180137163,381,1.2298689978206006
60,-3792.7489759649316,371,1.2114209628532915
61,-3915.5340470163005,379,1.1932496484104922
62,-3684.74285399856,363,1.1753509036843348
63,-3808.1412746664905,370,1.1577206401290698
64,-3905.2001137983984,376,1.1403548305271338
65,-3944.350286812517,378,1.1232495080692269
66,-3924.308078374962,378,1.1064007654481884
67,-3920.6926648257136,376,1.0898047539664657
68,-3781.3992385342726,366,1.0734576826569686
69,-3804.879591062149,368,1.057355817417114
70,-3962.624180091788,378,1.0414954801558574
71,-3833.6011017663113,371,1.0258730479535194
72,-3817.1144317153958,371,1.0104849522342165
73,-3835.846427223607,372,0.9953276779507033
74,-3892.5298041541455,375,0.9803977627814427
75,-3948.0020742572497,378,0.9656917963397211
76,-3891.903916351541,374,0.9512064193946252
77,-3873.492222666092,373,0.9369383231037058
78,-3867.8000438085555,372,0.9228842482571502
79,-3819.9966982275587,367,0.909040984533293
80,-3902.131554075202,374,0.8954053697652935
81,-3912.799832615113,374,0.881974289218814
82,-3992.9821638192366,379,0.8687446748805319
83,-3874.7628255946465,372,0.8557135047573239
84,-3989.301091787483,379,0.842877802185964
85,-3887.719857438379,373,0.8302346351531745
86,-3932.690893111524,375,0.8177811156258769
87,-3823.378589108056,367,0.8055143988914887
88,-3864.198494766138,370,0.7934316829081164
89,-3818.9315455127667,366,0.7815302076644947
90,-3838.2983677215757,367,0.7698072545495273
91,-3847.3743054246306,368,0.7582601457312843
92,-3983.11623265254,377,0.7468862435453151
93,-3947.536804656117,375,0.7356829498921353
94,-3916.793972417515,373,0.7246477056437532
95,-3904.9711572786982,372,0.7137779900590969
96,-3962.9589355593657,376,0.7030713202082105
97,-3952.248246371759,375,0.6925252504050874
98,-3856.09796014279,368,0.6821373716490111
99,-3898.09011793427,371,0.671905311074276
100,-3925.268927714739,373,0.6618267314081618
101,-3962.1880385894146,375,0.6518993304370394
102,-3928.767591441295,373,0.6421208404804838
103,-3915.457805950962,372,0.6324890278732765
104,-3911.925221366374,372,0.6230016924551773
105,-3855.502162020252,369,0.6136566670683496
106,-3890.9736575177167,371,0.6044518170623244
107,-3950.735844182782,375,0.5953850398063896
108,-3830.4571730015837,367,0.5864542642092937
109,-3890.3806284812135,371,0.5776574502461543
110,-3943.078197244185,374,0.568992588492462
111,-3933.762463400082,373,0.5604576996650751
112,-3874.8024627949803,369,0.5520508341700989
113,-3797.3660657217197,363,0.5437700716575474
114,-3876.527006730526,369,0.5356135205826842
115,-3836.01163263334,366,0.527579317773944
116,-3878.822822392323,369,0.5196656280073348
117,-3939.9209662112416,373,0.5118706435872248
118,-3876.9483372489144,369,0.5041925839334164
119,-3907.720969169784,371,0.49662969517441513
120,-3908.3530849208646,371,0.4891802497467989
121,-3972.214773065606,375,0.4818425460005969
122,-3925.3367511925235,372,0.47461490781058796
123,-3908.923195994058,371,0.46749568419342913
124,-4038.621995802357,379,0.46048324893052767
125,-3988.45841798205,376,0.45357600019656974
126,-3910.914795430668,371,0.4467723601936212
127,-3923.5833095703365,372,0.4400707747907169
128,-3940.1546378525354,373,0.43346971316885613
129,-4021.507107962741,378,0.4269676674713233
130,-3936.6426138339457,373,0.42056315245925346
131,-3982.6199831641984,376,0.4142547051723647
132,-3985.1350615840734,376,0.4080408845947792
133,-4019.04488519041,378,0.4019202713258575
134,-4001.5565696697413,377,0.39589146725596963
135,-4002.3349962554757,377,0.38995309524713007
136,-3985.352919491356,376,0.3841037988184231
137,-4000.1258827560423,377,0.37834224183614673
138,-3986.0071910776956,376,0.37266710820860455
139,-3953.606118115088,374,0.36707710158547546
140,-3923.042797872763,372,0.36157094506169335
141,-3922.6065734982194,372,0.3561473808857679
142,-3923.123610458344,372,0.3508051701724814
143,-3895.391390795398,370,0.3455430926198942
144,-3895.2890539659625,370,0.3403599462305958
145,-3924.8708849856275,372,0.33525454703713686
146,-3971.4737220074066,375,0.3302257288315798
147,-3969.6449842274633,375,0.3252723428991061
148,-3952.750631241491,374,0.3203932577556195
149,-3906.1591576545034,371,0.3155873588892852
150,-3908.1790379137196,371,0.3108535485059459
151,-3967.791869188961,375,0.30619074527835666
152,-3937.4050492910355,373,0.3015978840991813
153,-3910.1917534442446,371,0.2970739158376936
154,-3896.3003559523636,370,0.2926178071001282
155,-3912.594316978372,371,0.28822853999362624
156,-3884.136454265475,369,0.28390511189372186
157,-3870.0559133402044,368,0.279646535215316
158,-3911.768554248404,371,0.27545183718708627
159,-3941.35807128308,373,0.27132005962927996
160,-3911.6112255611624,371,0.26725025873484076
161,-3911.918284986353,371,0.26324150485381814
162,-3942.0820531189693,373,0.2592928822810109
163,-3869.4493895669225,368,0.2554034890467957
164,-3973.566992424394,375,0.2515724367110938
165,-3927.1688555068604,372,0.2477988501604274
166,-3942.2521219595064,373,0.24408186740802099
167,-3926.5256618996345,372,0.24042063939690067
168,-3927.2486045148353,372,0.23681432980594716
169,-3974.0162079393813,375,0.23326211485885795
170,-4006.9103974194404,377,0.22976318313597507
171,-3911.756886096113,371,0.22631673538893546
172,-3942.556940958004,373,0.22292198435810143
173,-3990.157112982007,376,0.2195781545927299
174,-3926.966229361399,372,0.21628448227383895
175,-4006.761426892688,377,0.21304021503973136
176,-4006.9365184812686,377,0.20984461181413538
177,-3974.053962368582,375,0.20669694263692334
178,-3958.110580608899,374,0.2035964884973695
179,-3942.5325458401358,373,0.20054254116990897
180,-3912.46919611706,371,0.19753440305236034
181,-3958.0114281446095,374,0.19457138700657492
182,-3957.7637290507,374,0.19165281620147628
183,-3973.3861819758486,375,0.18877802395845414
184,-3990.021158734174,376,0.18594635359907732
185,-3973.977378526096,375,0.18315715829509116
186,-3958.197210481892,374,0.1804098009206648
187,-3942.5717013569138,373,0.17770365390685483
188,-3974.0012470492784,375,0.175038099098252
189,-3973.8483426609937,375,0.17241252761177822
190,-3973.8534719738927,375,0.16982633969760155
191,-3926.971526649025,372,0.16727894460213752
192,-3942.353657956445,373,0.16476976043310546
193,-3957.952501957875,374,0.16229821402660888
194,-3957.9199402633067,374,0.15986374081620974
195,-3957.9525469077157,374,0.1574657847039666
196,-3957.9898724743166,374,0.15510379793340712
197,-3973.962617510947,375,0.152777240964406
198,-3990.201164456718,376,0.15048558234993992
199,-3912.1495853920956,371,0.1482282986146908
200,-3927.02573990577,372,0.14600487413547045
