step,energy,activation_count,temperature
0,-2509.4339586484843,419,3.0
1,-2341.326718402324,383,2.955
2,-2552.3659687367226,394,2.910675
3,-2299.7023001091848,368,2.8670148749999997
4,-2575.4232568059538,381,2.8240096518749995
5,-2493.144354237057,377,2.7816495070968745
6,-2538.697481685734,384,2.7399247644904214
7,-2606.3828752449735,383,2.698825893023065
8,-2804.430090843419,390,2.658343504627719
9,-2796.9097851200086,388,2.6184683520583034
10,-2785.100158142448,387,2.579191326777429
11,-2745.6956716511127,384,2.5405034568757676
12,-2661.3524480630235,377,2.502395905022631
13,-2841.4736396256544,386,2.4648599664472917
14,-2708.314911773674,381,2.427887066950582
15,-2847.069150379165,385,2.3914687609463234
16,-2794.0502598489397,382,2.3555967295321287
17,-2860.317623023308,384,2.320262778589147
18,-2845.6570475876233,379,2.2854588369103097
19,-2933.378436342953,385,2.251176954356655
20,-3034.62290055826,385,2.217409300041305
21,-3041.8655853441046,381,2.1841481605406856
22,-2827.795077279101,372,2.1513859381325755
23,-3023.8954650443484,383,2.119115149060587
24,-2782.725018499548,364,2.087328421824678
25,-2899.634585887889,380,2.056018495497308
26,-2918.950704699502,370,2.0251782180648483
27,-2947.2404002040057,373,1.9948005447938755
28,-2871.9983894844872,359,1.9648785366219672
29,-3028.3805280932556,369,1.9354053585726376
30,-3024.5942284806374,366,1.906374278194048
31,-3371.5452862845545,385,1.8777786640211374
32,-3224.1263865610276,375,1.8496119840608203
33,-3382.593751635341,384,1.821867804299908
34,-3272.0929008952057,374,1.7945397872354092
35,-3509.3843484173526,384,1.767621690426878
36,-3228.1403732405306,365,1.7411073650704747
37,-3359.2297180790692,372,1.7149907545944176
38,-3356.040327036453,370,1.6892658932755014
39,-3301.763001894768,364,1.6639269048763687
40,-3502.6057154491464,377,1.6389680013032233
41,-3342.2651169849205,367,1.6143834812836748
42,-3375.277675165392,367,1.5901677290644196
43,-3368.096145201956,366,1.5663152131284532
44,-3461.171002172403,374,1.5428204849315263
45,-3654.7667688920837,382,1.5196781776575534
46,-3607.7735476636126,373,1.49688300499269
47,-3783.9289807841756,386,1.4744297599177996
48,-3726.5582459451575,382,1.4523133135190325
49,-3608.3140531308923,370,1.430528613816247
50,-3537.766306806981,363,1.4090706846090033
51,-3688.8801377319933,376,1.3879346243398683
52,-3629.3351333320793,370,1.3671156049747701
53,-3640.9954908488016,371,1.3466088709001485
54,-3689.334000249,374,1.3264097378366462
55,-3656.20192591861,369,1.3065135917690964
56,-3793.119514795625,380,1.28691588789256
57,-3749.865923400161,375,1.2676121495741715
58,-3605.4188085040832,368,1.248597967330559
59,-3615.0944988387246,369,1.2298689978206006
60,-3516.6605108911203,356,1.2114209628532915
61,-3531.6069663847757,358,1.1932496484104922
62,-3594.162703840574,363,1.1753509036843348
63,-3602.3394238926044,360,1.1577206401290698
64,-3629.6866135216364,363,1.1403548305271338
65,-3756.4135247072686,374,1.1232495080692269
66,-3726.16331314905,371,1.1064007654481884
67,-3635.692200274058,361,1.0898047539664657
68,-3717.2480785117777,367,1.0734576826569686
69,-3729.173122922659,369,1.057355817417114
70,-3807.4377376583407,375,1.0414954801558574
71,-3718.9311304738017,369,1.0258730479535194
72,-3711.6762774805557,368,1.0104849522342165
73,-3691.602732627942,368,0.9953276779507033
74,-3691.98479484153,367,0.9803977627814427
75,-3672.1523096695983,365,0.9656917963397211
76,-3685.1150482956605,365,0.9512064193946252
77,-3712.8242817123273,368,0.9369383231037058
78,-3743.782973682223,369,0.9228842482571502
79,-3741.7025661568223,367,0.909040984533293
80,-3768.887898345965,370,0.8954053697652935
81,-3738.7640225819987,368,0.881974289218814
82,-3745.28030967314,368,0.8687446748805319
83,-3750.240868691459,368,0.8557135047573239
84,-3761.038199941963,368,0.842877802185964
85,-3842.201483038047,374,0.8302346351531745
86,-3844.817272349819,374,0.8177811156258769
87,-3693.4603356922717,362,0.8055143988914887
88,-3692.6960703118966,362,0.7934316829081164
89,-3756.3379974560885,367,0.7815302076644947
90,-3824.907571985905,372,0.7698072545495273
91,-3722.531635106048,365,0.7582601457312843
92,-3822.0524379825347,372,0.7468862435453151
93,-3830.8303165591906,373,0.7356829498921353
94,-3780.02368055493,369,0.7246477056437532
95,-3844.4371550573665,373,0.7137779900590969
96,-3870.423784682997,375,0.7030713202082105
97,-3841.6308548040947,373,0.6925252504050874
98,-3911.906561368918,377,0.6821373716490111
99,-3816.0567895701347,371,0.671905311074276
100,-3829.7378388741126,372,0.6618267314081618
101,-3897.072779587747,376,0.6518993304370394
102,-3864.6005707466998,374,0.6421208404804838
103,-3815.2469267597276,371,0.6324890278732765
104,-3817.4429647868783,371,0.6230016924551773
105,-3834.788567690046,372,0.6136566670683496
106,-3868.5951810903716,374,0.6044518170623244
107,-3804.1848647237816,370,0.5953850398063896
108,-3788.192541079724,369,0.5864542642092937
109,-3891.6537259181946,376,0.5776574502461543
110,-3848.7220594367004,373,0.568992588492462
111,-3850.2852091070326,373,0.5604576996650751
112,-3845.4331922972274,373,0.5520508341700989
113,-3928.156940267078,378,0.5437700716575474
114,-3852.0948391420757,373,0.5356135205826842
115,-3849.969855255559,373,0.527579317773944
116,-3865.0921749188838,374,0.5196656280073348
117,-3791.178135512069,369,0.5118706435872248
118,-3808.3760710312804,370,0.5041925839334164
119,-3807.8066574834497,370,0.49662969517441513
120,-3792.7467968321125,369,0.4891802497467989
121,-3854.918223104554,373,0.4818425460005969
122,-3769.179039109744,367,0.47461490781058796
123,-3781.506729216228,368,0.46749568419342913
124,-3693.19543061229,360,0.46048324893052767
125,-3814.8505595422416,370,0.45357600019656974
126,-3749.8314644293855,365,0.4467723601936212
127,-3727.395635695815,363,0.4400707747907169
128,-3726.053822624239,363,0.43346971316885613
129,-3751.0741005045456,365,0.4269676674713233
130,-3763.5895550844675,366,0.42056315245925346
131,-3800.402087274562,369,0.4142547051723647
132,-3757.926258375585,366,0.4080408845947792
133,-3748.6715966678053,365,0.4019202713258575
134,-3800.874072676747,369,0.39589146725596963
135,-3785.430856408402,368,0.38995309524713007
136,-3772.628448426657,367,0.3841037988184231
137,-3787.0972579971644,368,0.37834224183614673
138,-3800.852046431082,369,0.37266710820860455
