step,energy,activation_count,temperature
0,-2532.607844622082,419,3.0
1,-2369.848540187371,384,2.955
2,-2659.12341494663,398,2.910675
3,-2500.5492563487305,377,2.8670148749999997
4,-2544.4446734854087,383,2.8240096518749995
5,-2555.8748920163744,380,2.7816495070968745
6,-2507.850950500251,375,2.7399247644904214
7,-2622.4552391418665,375,2.698825893023065
8,-2731.760220052563,380,2.658343504627719
9,-2834.9976664453047,382,2.6184683520583034
10,-2830.8349304453195,388,2.579191326777429
11,-2839.5011386348947,386,2.5405034568757676
12,-2919.2761554458457,386,2.502395905022631
13,-2764.847616540081,379,2.4648599664472917
14,-2787.4853071584657,378,2.427887066950582
15,-2844.634918795342,382,2.3914687609463234
16,-2995.3765277106536,388,2.3555967295321287
17,-2996.409763676157,384,2.320262778589147
18,-2579.780120248524,353,2.2854588369103097
19,-2859.778944906804,379,2.251176954356655
20,-2924.0222104522513,380,2.217409300041305
21,-2951.118033435852,374,2.1841481605406856
22,-2884.9505332663066,367,2.1513859381325755
23,-3048.6771840028373,372,2.119115149060587
24,-2927.7359266605313,363,2.087328421824678
25,-3166.1125441037393,381,2.056018495497308
26,-2952.6389589864234,364,2.0251782180648483
27,-3080.4147388601923,370,1.9948005447938755
28,-3189.402028775995,372,1.9648785366219672
29,-3156.992169952251,372,1.9354053585726376
30,-3162.4204385515127,368,1.906374278194048
31,-3249.6892972315068,373,1.8777786640211374
32,-3091.2397146211947,360,1.8496119840608203
33,-3209.345801588862,370,1.821867804299908
34,-3440.095089586127,379,1.7945397872354092
35,-3315.839044228065,369,1.767621690426878
36,-3236.8843240302,362,1.7411073650704747
37,-3393.620591372518,369,1.7149907545944176
38,-3348.2888825539962,364,1.6892658932755014
39,-3329.08539119875,356,1.6639269048763687
40,-3420.5834882408976,369,1.6389680013032233
41,-3568.107517964392,378,1.6143834812836748
42,-3413.208447897745,361,1.5901677290644196
43,-3663.8180707067945,376,1.5663152131284532
44,-3670.314414959687,376,1.5428204849315263
45,-3476.1057131754606,363,1.5196781776575534
46,-3676.4629206985646,375,1.49688300499269
47,-3722.431501165748,381,1.4744297599177996
48,-3494.969971474743,359,1.4523133135190325
49,-3613.743016477372,369,1.430528613816247
50,-3730.8584823517995,375,1.4090706846090033
51,-3686.8304446242005,372,1.3879346243398683
52,-3619.7071180909843,367,1.3671156049747701
53,-3781.451193399623,376,1.3466088709001485
54,-3687.883945590334,372,1.3264097378366462
55,-3693.0423846524827,368,1.3065135917690964
56,-3928.7555891444204,384,1.28691588789256
57,-3830.896818758575,378,1.2676121495741715
58,-3726.524518102141,374,1.248597967330559
59,-3843.299501879176,380,1.2298689978206006
60,-3677.9891651962025,368,1.2114209628532915
61,-3710.561988079007,372,1.1932496484104922
62,-3583.064018136536,361,1.1753509036843348
63,-3672.323317493411,367,1.1577206401290698
64,-3719.9866032013665,368,1.1403548305271338
65,-3778.449184360504,373,1.1232495080692269
66,-3747.581904339805,371,1.1064007654481884
67,-3704.1716850710986,366,1.0898047539664657
68,-3719.393287387046,366,1.0734576826569686
69,-3656.6173633680737,361,1.057355817417114
70,-3828.6085836383922,374,1.0414954801558574
71,-3774.020158705307,370,1.0258730479535194
72,-3735.1354968855785,368,1.0104849522342165
73,-3877.1932681900826,378,0.9953276779507033
74,-3871.294513250365,376,0.9803977627814427
75,-3839.706524520309,372,0.9656917963397211
76,-3824.148089140157,370,0.9512064193946252
77,-3874.736332028083,373,0.9369383231037058
78,-3943.587072517843,378,0.9228842482571502
79,-3851.08354410735,372,0.909040984533293
80,-3864.449149483129,374,0.8954053697652935
81,-3784.67623687404,367,0.881974289218814
82,-3875.1212689282847,373,0.8687446748805319
83,-3813.4381550333846,370,0.8557135047573239
84,-3915.7674438274803,376,0.842877802185964
85,-3864.703111991401,372,0.8302346351531745
86,-3853.0281325796027,372,0.8177811156258769
87,-3883.041688019941,373,0.8055143988914887
88,-3917.5725529659894,375,0.7934316829081164
89,-3874.432867496929,372,0.7815302076644947
90,-3912.3270014041072,374,0.7698072545495273
91,-3921.134252878159,375,0.7582601457312843
92,-3876.6586296528494,372,0.7468862435453151
93,-3886.5776542933568,373,0.7356829498921353
94,-4004.9693197049487,380,0.7246477056437532
95,-3910.314757718525,374,0.7137779900590969
96,-3996.124694116673,379,0.7030713202082105
97,-3879.5151864687805,372,0.6925252504050874
98,-3871.517368676854,371,0.6821373716490111
99,-3846.6291340032385,369,0.671905311074276
100,-3837.7498295399078,368,0.6618267314081618
101,-3911.3810351922325,373,0.6518993304370394
102,-3999.1185846501367,379,0.6421208404804838
103,-3987.096617107846,378,0.6324890278732765
104,-4040.867609838817,381,0.6230016924551773
105,-4040.6232572478,381,0.6136566670683496
106,-4003.1029086217586,379,0.6044518170623244
107,-3837.2987937863436,368,0.5953850398063896
108,-3892.930563331495,372,0.5864542642092937
109,-3839.976011057452,368,0.5776574502461543
110,-3841.2089825164703,368,0.568992588492462
111,-3946.6231350006447,375,0.5604576996650751
112,-3882.346013132411,371,0.5520508341700989
113,-3933.7662990411504,374,0.5437700716575474
114,-3999.3312110264833,378,0.5356135205826842
115,-4035.4058981497956,380,0.527579317773944
116,-3978.9197626852447,377,0.5196656280073348
117,-3932.2150482188595,374,0.5118706435872248
118,-3983.127559253566,377,0.5041925839334164
119,-3949.555035031981,375,0.49662969517441513
120,-3918.3278348743293,373,0.4891802497467989
121,-3952.749283417059,375,0.4818425460005969
122,-3953.154096013189,375,0.47461490781058796
123,-3935.3178322328968,374,0.46749568419342913
124,-3969.7571138963754,376,0.46048324893052767
125,-3937.820391854773,374,0.45357600019656974
126,-3955.3088666206077,375,0.4467723601936212
127,-3908.825020541481,372,0.4400707747907169
128,-3893.564184570512,371,0.43346971316885613
129,-3836.576799741548,367,0.4269676674713233
130,-3863.8926763100562,369,0.42056315245925346
131,-3864.6570215116867,369,0.4142547051723647
132,-3836.9535259795666,367,0.4080408845947792
133,-3846.840024127032,368,0.4019202713258575
134,-3861.605700087773,369,0.39589146725596963
135,-3876.205144293459,370,0.38995309524713007
136,-3920.467734705538,373,0.3841037988184231
137,-3891.511467445081,371,0.37834224183614673
138,-3953.6373359552117,375,0.37266710820860455
139,-3921.4992739857,373,0.36707710158547546
140,-3937.086144852759,374,0.36157094506169335
141,-3906.979555383604,372,0.3561473808857679
142,-3952.7810686469293,375,0.3508051701724814
143,-3988.3038026107074,377,0.3455430926198942
144,-3924.6401969784597,373,0.3403599462305958
145,-3972.6985703467158,376,0.33525454703713686
146,-4005.7678196457364,378,0.3302257288315798
147,-3988.177088638629,377,0.3252723428991061
148,-3939.0457135272486,374,0.3203932577556195
149,-3968.5298898961432,376,0.3155873588892852
150,-4005.074324868753,378,0.3108535485059459
151,-3923.637557233984,373,0.30619074527835666
152,-3925.042571291475,373,0.3015978840991813
153,-3894.792091443785,371,0.2970739158376936
154,-3895.699517773199,371,0.2926178071001282
155,-3881.4398177476987,370,0.28822853999362624
156,-3940.9386603666503,374,0.28390511189372186
157,-3956.573518209384,375,0.279646535215316
158,-4023.5557545375814,379,0.27545183718708627
159,-3909.6298308147607,372,0.27132005962927996
160,-3940.210086781603,374,0.26725025873484076
161,-3940.4580180616244,374,0.26324150485381814
162,-3924.9930974595545,373,0.2592928822810109
163,-3880.039454966216,370,0.2554034890467957
164,-3973.283236688431,376,0.2515724367110938
165,-3989.9421395300224,377,0.2477988501604274
166,-3957.092649358362,375,0.24408186740802099
167,-3973.1886832126825,376,0.24042063939690067
168,-4042.04385834991,380,0.23681432980594716
169,-3941.4407106580875,374,0.23326211485885795
170,-3990.118287879599,377,0.22976318313597507
171,-3895.8052462943015,371,0.22631673538893546
172,-3941.6103436370404,374,0.22292198435810143
173,-3941.6793526643746,374,0.2195781545927299
174,-3926.0063994884317,373,0.21628448227383895
175,-3941.770477171586,374,0.21304021503973136
176,-3926.22295393999,373,0.20984461181413538
177,-3941.5103764336986,374,0.20669694263692334
178,-3989.7301978850983,377,0.2035964884973695
179,-3989.9697793859004,377,0.20054254116990897
180,-3973.443243587037,376,0.19753440305236034
181,-3973.6552054305835,376,0.19457138700657492
182,-3989.4211012543724,377,0.19165281620147628
183,-3895.6190978070035,371,0.18877802395845414
184,-3926.084390174628,373,0.18594635359907732
185,-3973.530190673923,376,0.18315715829509116
186,-3941.676463401088,374,0.1804098009206648
187,-3973.723075356193,376,0.17770365390685483
188,-3910.9689762542876,372,0.175038099098252
189,-3926.113237623201,373,0.17241252761177822
190,-3941.3553337940107,374,0.16982633969760155
191,-3989.9789742928474,377,0.16727894460213752
192,-3989.9025091237327,377,0.16476976043310546
193,-3957.1747206224536,375,0.16229821402660888
194,-3910.688000904425,372,0.15986374081620974
195,-3941.4494893249816,374,0.1574657847039666
196,-3973.905183158768,376,0.15510379793340712
197,-3926.288140564936,373,0.152777240964406
198,-3941.626331446775,374,0.15048558234993992
199,-3941.2587236824406,374,0.1482282986146908
200,-3973.509014053075,376,0.14600487413547045
