step,energy,activation_count,temperature
0,-2446.9270011648678,419,3.0
1,-2269.9509584829393,381,2.955
2,-2490.9557462640887,392,2.910675
3,-2429.3069390169135,380,2.8670148749999997
4,-2512.7472040513835,383,2.8240096518749995
5,-2611.2131120278564,387,2.7816495070968745
6,-2293.5523583893723,369,2.7399247644904214
7,-2522.462342879,383,2.698825893023065
8,-2710.7564540416743,386,2.658343504627719
9,-2692.8925376513243,386,2.6184683520583034
10,-2693.425648467836,384,2.579191326777429
11,-2501.8065775408,372,2.5405034568757676
12,-2728.3371610141876,379,2.502395905022631
13,-2713.258599399163,374,2.4648599664472917
14,-2672.2120907308813,376,2.427887066950582
15,-2725.2600654496273,379,2.3914687609463234
16,-2856.3598342422924,385,2.3555967295321287
17,-2746.6533178893906,379,2.320262778589147
18,-2686.8285163394353,370,2.2854588369103097
19,-2848.681350036779,383,2.251176954356655
20,-3121.241548812737,390,2.217409300041305
21,-2932.743761544754,381,2.1841481605406856
22,-2956.1976827147414,379,2.1513859381325755
23,-3110.4826509063023,386,2.119115149060587
24,-3072.1160858107287,383,2.087328421824678
25,-2888.010140683974,367,2.056018495497308
26,-3073.1393208138015,375,2.0251782180648483
27,-2994.285201287665,371,1.9948005447938755
28,-3079.9736669677195,377,1.9648785366219672
29,-3105.682783816765,376,1.9354053585726376
30,-3145.0946378072877,374,1.906374278194048
31,-3257.126503415187,380,1.8777786640211374
32,-3163.9565977890884,376,1.8496119840608203
33,-3329.594641370161,381,1.821867804299908
34,-3154.72639326361,369,1.7945397872354092
35,-3242.563683806258,374,1.767621690426878
36,-3379.302009263882,381,1.7411073650704747
37,-3349.4390630756766,376,1.7149907545944176
38,-3444.8789461745073,380,1.6892658932755014
39,-3376.7628001325334,372,1.6639269048763687
40,-3327.6894024705953,371,1.6389680013032233
41,-3407.8374761118284,374,1.6143834812836748
42,-3340.7326256487877,368,1.5901677290644196
43,-3466.1792236032916,375,1.5663152131284532
44,-3528.6236532769626,377,1.5428204849315263
45,-3584.4649737045133,379,1.5196781776575534
46,-3509.421765991318,376,1.49688300499269
47,-3589.8285961948145,378,1.4744297599177996
48,-3388.8101267113084,365,1.4523133135190325
49,-3522.8388794860457,374,1.430528613816247
50,-3630.713639629893,378,1.4090706846090033
51,-3642.4020494347733,375,1.3879346243398683
52,-3516.9746777267737,362,1.3671156049747701
53,-3726.0362645506507,379,1.3466088709001485
54,-3586.205866052795,369,1.3264097378366462
55,-3634.7524801198992,374,1.3065135917690964
56,-3590.622299904959,369,1.28691588789256
57,-3744.531608448775,379,1.2676121495741715
58,-3683.5048443357628,374,1.248597967330559
59,-3679.9137973907114,373,1.2298689978206006
60,-3764.380851747315,379,1.2114209628532915
61,-3700.723882409018,373,1.1932496484104922
62,-3679.8014025005127,373,1.1753509036843348
63,-3666.6087457827343,372,1.1577206401290698
64,-3693.2288237083135,374,1.1403548305271338
65,-3677.9504908665367,372,1.1232495080692269
66,-3654.2287852847367,368,1.1064007654481884
67,-3776.945036147234,376,1.0898047539664657
68,-3697.752100769108,372,1.0734576826569686
69,-3797.8536592075534,377,1.057355817417114
70,-3828.8807327124923,378,1.0414954801558574
71,-3735.1066942170432,373,1.0258730479535194
72,-3718.316270619606,371,1.0104849522342165
73,-3745.428428531432,374,0.9953276779507033
74,-3759.707993334451,374,0.9803977627814427
75,-3634.3833134481265,365,0.9656917963397211
76,-3721.068898425985,371,0.9512064193946252
77,-3717.451453911634,371,0.9369383231037058
78,-3744.2524455022417,372,0.9228842482571502
79,-3783.1010864055543,375,0.909040984533293
