step,energy,activation_count,temperature
0,-2468.5514112912965,419,3.0
1,-2323.496722868937,382,2.955
2,-2533.5558949553656,393,2.910675
3,-2301.8548116669585,373,2.8670148749999997
4,-2597.532575571977,387,2.8240096518749995
5,-2706.22055099366,391,2.7816495070968745
6,-2430.604008052975,371,2.7399247644904214
7,-2640.620480763429,379,2.698825893023065
8,-2827.5837211500366,388,2.658343504627719
9,-2877.856197149427,385,2.6184683520583034
10,-2892.8533769075425,389,2.579191326777429
11,-2636.433319086057,373,2.5405034568757676
12,-2601.706595775232,371,2.502395905022631
13,-2665.935620259057,366,2.4648599664472917
14,-3028.5618812661187,390,2.427887066950582
15,-2871.049074214502,380,2.3914687609463234
16,-2927.8371047656997,383,2.3555967295321287
17,-2869.569150943524,373,2.320262778589147
18,-2804.57717053981,367,2.2854588369103097
19,-2817.6226411980188,377,2.251176954356655
20,-2890.4746032837634,380,2.217409300041305
21,-2833.4130280237955,376,2.1841481605406856
22,-3013.929465435909,381,2.1513859381325755
23,-2863.7246653330462,364,2.119115149060587
24,-2985.2559226469048,375,2.087328421824678
25,-3051.151477332281,371,2.056018495497308
26,-3074.6101961145027,374,2.0251782180648483
27,-2898.737781422448,359,1.9948005447938755
28,-3175.3994786728895,374,1.9648785366219672
29,-3263.176769937579,380,1.9354053585726376
30,-3510.6874293775363,393,1.906374278194048
31,-3246.184388474379,379,1.8777786640211374
32,-3050.1820432288614,362,1.8496119840608203
33,-3274.331339369176,374,1.821867804299908
34,-3088.4704377563153,360,1.7945397872354092
35,-3097.56149358916,365,1.767621690426878
36,-3177.1672576965047,371,1.7411073650704747
37,-3234.9545488954336,374,1.7149907545944176
38,-3329.0836584436283,370,1.6892658932755014
39,-3440.0011102578783,374,1.6639269048763687
40,-3561.3120004141897,381,1.6389680013032233
41,-3514.9503679488153,378,1.6143834812836748
42,-3465.224460918707,370,1.5901677290644196
43,-3425.540348418251,367,1.5663152131284532
44,-3469.219587342423,374,1.5428204849315263
45,-3564.1301938279917,373,1.5196781776575534
46,-3604.852186845881,377,1.49688300499269
47,-3595.2852808874973,373,1.4744297599177996
48,-3574.096867400409,371,1.4523133135190325
49,-3646.0489860309585,378,1.430528613816247
50,-3389.2440866122556,359,1.4090706846090033
51,-3373.4531909341863,354,1.3879346243398683
52,-3480.589057242824,359,1.3671156049747701
53,-3643.150537590054,372,1.3466088709001485
54,-3670.9662507327816,375,1.3264097378366462
55,-3610.332996223867,370,1.3065135917690964
56,-3656.2849401967337,374,1.28691588789256
57,-3574.6349755975148,367,1.2676121495741715
58,-3733.4091788456653,377,1.248597967330559
59,-3705.5220839464764,372,1.2298689978206006
60,-3730.779261593679,374,1.2114209628532915
61,-3709.000985707678,373,1.1932496484104922
62,-3864.2706314626616,383,1.1753509036843348
