step,energy,activation_count,temperature
0,-2482.301040721346,419,3.0
1,-2286.6614945344263,379,2.955
2,-2668.5149599313545,396,2.910675
3,-2470.442327219744,376,2.8670148749999997
4,-2620.684341295119,381,2.8240096518749995
5,-2870.457025596163,393,2.7816495070968745
6,-2590.5751129231944,374,2.7399247644904214
7,-2572.1387216138437,375,2.698825893023065
8,-2772.2386066457234,380,2.658343504627719
9,-2758.7471757928947,382,2.6184683520583034
10,-2547.765747847188,368,2.579191326777429
11,-2743.3205685367207,376,2.5405034568757676
12,-2694.016779706669,368,2.502395905022631
13,-2905.4816498834066,383,2.4648599664472917
14,-2727.9660719020394,369,2.427887066950582
15,-2845.8167388083607,381,2.3914687609463234
16,-2698.796427377616,375,2.3555967295321287
17,-3046.640584845744,387,2.320262778589147
18,-2830.0812019366863,373,2.2854588369103097
19,-3086.910960137564,386,2.251176954356655
20,-3196.107994332914,389,2.217409300041305
21,-3018.874894815451,381,2.1841481605406856
22,-2865.3296839182995,373,2.1513859381325755
23,-2943.940654522455,374,2.119115149060587
24,-2984.8341559656255,375,2.087328421824678
25,-3075.185153129146,373,2.056018495497308
26,-3146.88720957229,376,2.0251782180648483
27,-3204.81954142911,378,1.9948005447938755
28,-3107.3546443134624,367,1.9648785366219672
29,-3126.1128745070296,368,1.9354053585726376
30,-3127.7304236863997,369,1.906374278194048
31,-3236.872869181967,372,1.8777786640211374
32,-3286.7254883933983,373,1.8496119840608203
33,-3142.3589666648763,361,1.821867804299908
34,-3361.54927262227,379,1.7945397872354092
35,-3339.7131897526147,376,1.767621690426878
36,-3252.708117968107,370,1.7411073650704747
37,-3237.5918730605777,369,1.7149907545944176
38,-3167.116094805979,355,1.6892658932755014
39,-3343.465630303468,370,1.6639269048763687
40,-3371.527868068679,372,1.6389680013032233
41,-3387.991667251855,373,1.6143834812836748
42,-3372.072600291787,369,1.5901677290644196
43,-3531.329458551839,375,1.5663152131284532
44,-3607.7414211541145,377,1.5428204849315263
45,-3626.5809844323558,378,1.5196781776575534
46,-3561.659164564367,373,1.49688300499269
47,-3578.6186196943636,374,1.4744297599177996
48,-3616.7077278317724,375,1.4523133135190325
49,-3503.0874475668415,371,1.430528613816247
50,-3387.8610519977415,358,1.4090706846090033
51,-3502.8102598384803,366,1.3879346243398683
52,-3635.624534710206,368,1.3671156049747701
53,-3704.4977407137912,375,1.3466088709001485
54,-3689.1883677659785,373,1.3264097378366462
55,-3667.7962165764447,372,1.3065135917690964
56,-3761.9304282206995,377,1.28691588789256
57,-3704.3042549454062,372,1.2676121495741715
58,-3840.1786743666617,379,1.248597967330559
59,-3875.580834880627,381,1.2298689978206006
60,-3827.5156148012315,378,1.2114209628532915
61,-3702.840767820915,370,1.1932496484104922
62,-3599.4828993763053,360,1.1753509036843348
63,-3660.9951296327663,365,1.1577206401290698
64,-3822.220209643609,377,1.1403548305271338
65,-3753.178865001011,371,1.1232495080692269
66,-3825.952624740618,375,1.1064007654481884
67,-3934.8320034499243,380,1.0898047539664657
68,-3864.392849422678,376,1.0734576826569686
69,-3766.603999525186,370,1.057355817417114
70,-3760.899016689492,371,1.0414954801558574
71,-3775.5970068916595,373,1.0258730479535194
72,-3826.3346161378768,374,1.0104849522342165
73,-3874.7423575216317,377,0.9953276779507033
74,-3736.928718747538,367,0.9803977627814427
75,-3876.987262131692,377,0.9656917963397211
76,-3803.627557949896,372,0.9512064193946252
77,-3806.264833239416,373,0.9369383231037058
