step,energy,activation_count,temperature
0,-2498.2942014726627,419,3.0
1,-2348.431168191941,383,2.955
2,-2509.341972907321,389,2.910675
3,-2511.5483973071327,383,2.8670148749999997
4,-2378.7506525727317,372,2.8240096518749995
5,-2699.0833800413225,390,2.7816495070968745
6,-2337.3115768989796,367,2.7399247644904214
7,-2353.4914926733272,368,2.698825893023065
8,-2557.359463748332,377,2.658343504627719
9,-2717.8968276651917,382,2.6184683520583034
10,-2927.7542825069295,391,2.579191326777429
11,-2750.9284143014474,383,2.5405034568757676
12,-2447.6515536374754,359,2.502395905022631
13,-2543.468834962088,365,2.4648599664472917
14,-2702.4808357886777,377,2.427887066950582
15,-2607.9960456134177,365,2.3914687609463234
16,-2915.623678918964,382,2.3555967295321287
17,-2923.2829543820535,377,2.320262778589147
18,-2843.3568562559026,372,2.2854588369103097
19,-3010.4258831679626,377,2.251176954356655
20,-2924.7928917500135,373,2.217409300041305
21,-3049.1040063271935,382,2.1841481605406856
22,-2914.4950620455643,374,2.1513859381325755
23,-2876.0172006176767,369,2.119115149060587
24,-3021.134633565457,379,2.087328421824678
25,-3023.3641420389026,375,2.056018495497308
26,-3019.818212460805,369,2.0251782180648483
27,-2957.5977106669557,372,1.9948005447938755
28,-3212.273445170072,381,1.9648785366219672
29,-3205.5041546845937,380,1.9354053585726376
30,-3109.933077847021,370,1.906374278194048
31,-3193.5243263427783,374,1.8777786640211374
32,-3081.3342508037317,368,1.8496119840608203
33,-3134.33265215676,369,1.821867804299908
34,-3185.923093666087,371,1.7945397872354092
35,-3218.792044372786,372,1.767621690426878
36,-3397.714602791143,384,1.7411073650704747
37,-3286.220055503277,378,1.7149907545944176
38,-3232.542531172653,368,1.6892658932755014
39,-3238.2562300663003,362,1.6639269048763687
40,-3304.753759285379,370,1.6389680013032233
41,-3274.409352811552,364,1.6143834812836748
42,-3358.663098987779,369,1.5901677290644196
43,-3530.75333287215,379,1.5663152131284532
44,-3263.9797333132324,358,1.5428204849315263
45,-3463.900831838886,371,1.5196781776575534
46,-3419.978890328383,370,1.49688300499269
47,-3487.3801377885525,371,1.4744297599177996
48,-3421.611581129132,364,1.4523133135190325
49,-3685.573062858493,381,1.430528613816247
50,-3553.143571040135,368,1.4090706846090033
51,-3662.4585390640873,373,1.3879346243398683
52,-3751.0999545493937,373,1.3671156049747701
53,-3719.7439158727443,373,1.3466088709001485
54,-3720.4088919322944,371,1.3264097378366462
55,-3894.915983482844,381,1.3065135917690964
56,-3732.0447555726864,370,1.28691588789256
57,-3754.2455334346037,371,1.2676121495741715
58,-3679.0904404667194,364,1.248597967330559
59,-3808.371287326884,372,1.2298689978206006
60,-3915.1031941464253,379,1.2114209628532915
61,-3704.899186427375,364,1.1932496484104922
62,-3853.6561430389465,375,1.1753509036843348
63,-3807.21986544839,371,1.1577206401290698
64,-3742.722286110601,367,1.1403548305271338
65,-3937.800777608515,379,1.1232495080692269
66,-4016.2573414194117,383,1.1064007654481884
67,-3896.3240045208267,375,1.0898047539664657
68,-3969.8462907828202,379,1.0734576826569686
69,-3912.725502046138,376,1.057355817417114
70,-3877.8729318248365,374,1.0414954801558574
71,-3972.247068131057,379,1.0258730479535194
72,-3923.0552983711887,375,1.0104849522342165
73,-3900.8017036485408,374,0.9953276779507033
74,-3961.1813687564327,378,0.9803977627814427
75,-3868.00180535171,373,0.9656917963397211
76,-3838.5488816656693,370,0.9512064193946252
77,-3908.3364833967207,375,0.9369383231037058
78,-3933.7844229554767,376,0.9228842482571502
79,-3922.415802995665,375,0.909040984533293
80,-3879.194660145608,372,0.8954053697652935
81,-3941.5447550720255,375,0.881974289218814
82,-3823.2218864686656,368,0.8687446748805319
83,-3810.5332272783976,366,0.8557135047573239
84,-3821.012144742513,366,0.842877802185964
85,-3844.4720226544023,368,0.8302346351531745
86,-3850.1107187600505,368,0.8177811156258769
87,-3934.370016790859,374,0.8055143988914887
88,-3818.5856555278897,365,0.7934316829081164
89,-3879.938306837375,370,0.7815302076644947
90,-3856.6929542722196,368,0.7698072545495273
91,-3844.8480418065988,367,0.7582601457312843
92,-3991.4144048924345,377,0.7468862435453151
93,-3868.859572162288,369,0.7356829498921353
94,-3924.145932729955,373,0.7246477056437532
95,-3921.6039961563724,373,0.7137779900590969
96,-3948.306657589119,374,0.7030713202082105
97,-3883.848774958565,370,0.6925252504050874
98,-3931.0434590508044,373,0.6821373716490111
99,-3982.0552709641415,376,0.671905311074276
100,-3887.7312583424746,370,0.6618267314081618
101,-3949.3931719944467,374,0.6518993304370394
102,-3907.8480843202033,371,0.6421208404804838
103,-3841.762063779415,366,0.6324890278732765
104,-3871.721056452927,368,0.6230016924551773
105,-3886.1946283582242,369,0.6136566670683496
106,-3900.1066782886305,370,0.6044518170623244
107,-3954.9656136218405,374,0.5953850398063896
108,-3939.577569757644,373,0.5864542642092937
109,-3929.1530103634445,372,0.5776574502461543
110,-3975.33593820068,375,0.568992588492462
111,-3957.962924786259,374,0.5604576996650751
