step,energy,activation_count,temperature
0,-2424.1713245942265,419,3.0
1,-2226.130715127023,382,2.955
2,-2550.1887171012672,396,2.910675
3,-2366.090686819101,378,2.8670148749999997
4,-2390.0761049776024,379,2.8240096518749995
5,-2681.9172801326595,392,2.7816495070968745
6,-2521.78390327741,378,2.7399247644904214
7,-2698.61699923191,385,2.698825893023065
8,-2792.122309324558,387,2.658343504627719
9,-2726.6465295990465,386,2.6184683520583034
10,-2789.3792179854668,388,2.579191326777429
11,-2753.085122252203,381,2.5405034568757676
12,-2829.979677173949,382,2.502395905022631
13,-2832.287900126375,382,2.4648599664472917
14,-2742.1952974098003,377,2.427887066950582
15,-2796.8814251829504,375,2.3914687609463234
16,-2625.3359526301774,372,2.3555967295321287
17,-2728.125903569336,373,2.320262778589147
18,-2876.785291013181,381,2.2854588369103097
19,-2857.1931771714985,376,2.251176954356655
20,-2917.549739862715,383,2.217409300041305
21,-2893.2756353447485,380,2.1841481605406856
22,-3007.1599786211873,382,2.1513859381325755
23,-3071.659320356408,377,2.119115149060587
24,-3102.564982773747,386,2.087328421824678
25,-3049.67902218811,377,2.056018495497308
26,-3092.5638428275965,379,2.0251782180648483
27,-3090.161378664754,377,1.9948005447938755
28,-3065.7157786956086,378,1.9648785366219672
29,-3045.361181225926,377,1.9354053585726376
30,-3201.815529705369,380,1.906374278194048
31,-3263.32172215316,381,1.8777786640211374
32,-3143.804724417194,374,1.8496119840608203
33,-3206.7030808024833,376,1.821867804299908
34,-3343.1170109382547,382,1.7945397872354092
35,-3331.500668747039,379,1.767621690426878
36,-3271.9068133246938,377,1.7411073650704747
37,-3337.7964283573447,382,1.7149907545944176
38,-3282.763156951184,373,1.6892658932755014
39,-3476.188572629781,383,1.6639269048763687
40,-3257.7246372006225,369,1.6389680013032233
41,-3367.6592871184853,373,1.6143834812836748
42,-3453.033909844665,376,1.5901677290644196
43,-3608.908610150663,384,1.5663152131284532
44,-3673.770847670777,384,1.5428204849315263
45,-3549.0755733186934,375,1.5196781776575534
46,-3646.3678072540147,382,1.49688300499269
47,-3646.3423382701617,378,1.4744297599177996
48,-3719.8130765591627,381,1.4523133135190325
49,-3853.5752170954133,388,1.430528613816247
50,-3792.719927994943,383,1.4090706846090033
51,-3795.6166505909778,381,1.3879346243398683
52,-3731.024470165515,373,1.3671156049747701
53,-3870.30244614872,384,1.3466088709001485
54,-3850.24306351143,382,1.3264097378366462
55,-3777.745671700122,377,1.3065135917690964
56,-3813.34041119872,379,1.28691588789256
57,-3691.3140312037517,372,1.2676121495741715
58,-3685.560487313671,370,1.248597967330559
59,-3718.0876579419405,373,1.2298689978206006
60,-3800.2792162913834,379,1.2114209628532915
61,-3709.2100588884364,372,1.1932496484104922
62,-3898.4254475212756,382,1.1753509036843348
63,-3941.554051113394,382,1.1577206401290698
64,-3868.8801740824233,378,1.1403548305271338
65,-3916.5232780577126,381,1.1232495080692269
66,-3926.947208247257,381,1.1064007654481884
67,-3932.9410609702663,380,1.0898047539664657
68,-3931.8974997151545,380,1.0734576826569686
69,-3779.027575675458,370,1.057355817417114
70,-3898.5656421767244,378,1.0414954801558574
71,-3975.817880305292,383,1.0258730479535194
72,-3794.26732147689,371,1.0104849522342165
73,-3787.668497117896,371,0.9953276779507033
74,-3891.2851211003704,378,0.9803977627814427
75,-4027.8969532506267,385,0.9656917963397211
76,-3921.5701198725774,379,0.9512064193946252
77,-3901.025957544257,378,0.9369383231037058
78,-3850.409112230473,375,0.9228842482571502
79,-3916.7697721549985,379,0.909040984533293
80,-3976.7013179711776,382,0.8954053697652935
81,-3980.000718006542,381,0.881974289218814
82,-3930.205991946697,379,0.8687446748805319
83,-3959.3799476393156,380,0.8557135047573239
84,-3979.6965958429378,382,0.842877802185964
85,-4083.328099502775,387,0.8302346351531745
86,-4030.4217838923437,384,0.8177811156258769
87,-4011.3781062476523,383,0.8055143988914887
