step,energy,activation_count,temperature
0,-2459.7188825907424,419,3.0
1,-2363.575675290199,385,2.955
2,-2527.99361821856,385,2.910675
3,-2592.356626340779,383,2.8670148749999997
4,-2428.680435406408,371,2.8240096518749995
5,-2336.521016367154,361,2.7816495070968745
6,-2608.547189223787,383,2.7399247644904214
7,-2514.8762806280824,377,2.698825893023065
8,-2728.830218185579,380,2.658343504627719
9,-2797.1385066217163,388,2.6184683520583034
10,-2705.6348454997965,380,2.579191326777429
11,-3045.6701952265776,395,2.5405034568757676
12,-2821.3004086361243,383,2.502395905022631
13,-2688.938543507948,371,2.4648599664472917
14,-3016.924835580888,388,2.427887066950582
15,-2876.371428381398,378,2.3914687609463234
16,-2918.951034642177,374,2.3555967295321287
17,-2997.2788122532593,375,2.320262778589147
18,-3028.12210730845,375,2.2854588369103097
19,-3043.7704064460936,379,2.251176954356655
20,-3193.8965409626867,387,2.217409300041305
21,-3183.9641245989355,381,2.1841481605406856
22,-3119.4836934909,376,2.1513859381325755
23,-3212.1131492093145,376,2.119115149060587
24,-3126.1585785972575,367,2.087328421824678
25,-3176.8220200218675,370,2.056018495497308
26,-3313.9392759169846,379,2.0251782180648483
27,-3113.4674031011,367,1.9948005447938755
28,-3152.880825474905,366,1.9648785366219672
29,-3195.831893329388,362,1.9354053585726376
30,-3348.125082353461,368,1.906374278194048
31,-3457.3197694630717,370,1.8777786640211374
32,-3504.1047087928714,380,1.8496119840608203
33,-3440.563895331317,369,1.821867804299908
34,-3425.2182912897306,370,1.7945397872354092
35,-3564.4321358184375,371,1.767621690426878
36,-3451.476708777391,364,1.7411073650704747
37,-3565.2395053573046,370,1.7149907545944176
38,-3608.9595267404557,373,1.6892658932755014
39,-3623.698264704909,366,1.6639269048763687
40,-3536.227261642535,364,1.6389680013032233
41,-3650.779763099607,374,1.6143834812836748
42,-3729.9625977860287,378,1.5901677290644196
43,-3674.36574071283,371,1.5663152131284532
44,-3608.9302885949387,366,1.5428204849315263
45,-3503.9060481601355,355,1.5196781776575534
46,-3710.9657971950305,372,1.49688300499269
47,-3566.7183886545286,362,1.4744297599177996
48,-3600.9296446459653,361,1.4523133135190325
49,-3745.8613989433684,371,1.430528613816247
50,-3741.6517277523208,370,1.4090706846090033
51,-3775.91785343106,371,1.3879346243398683
