step,energy,activation_count,temperature
0,-2454.79834665874,419,3.0
1,-2164.2016772990287,372,2.955
2,-2542.7706320166835,383,2.910675
3,-2508.330718962358,378,2.8670148749999997
4,-2575.2626258621626,377,2.8240096518749995
5,-2537.911579746966,373,2.7816495070968745
6,-2667.013088298724,382,2.7399247644904214
7,-2767.457515052414,389,2.698825893023065
8,-2696.822507475639,375,2.658343504627719
9,-3055.412348544486,393,2.6184683520583034
10,-2620.5596085101934,370,2.579191326777429
11,-2586.754501297127,374,2.5405034568757676
12,-2934.3342773224153,391,2.502395905022631
13,-2674.44881686329,376,2.4648599664472917
14,-3028.3619666791515,390,2.427887066950582
15,-2702.3054224485604,367,2.3914687609463234
16,-2913.2740118287475,382,2.3555967295321287
17,-2804.5048068727683,367,2.320262778589147
18,-2888.230153850116,377,2.2854588369103097
19,-2892.782617182033,375,2.251176954356655
20,-2990.138464602621,380,2.217409300041305
21,-2998.149740107232,382,2.1841481605406856
22,-3157.8463446295555,382,2.1513859381325755
23,-3006.8723202660426,372,2.119115149060587
24,-3097.5713141934425,378,2.087328421824678
25,-2938.481553744116,364,2.056018495497308
26,-3083.8730016729573,370,2.0251782180648483
27,-3297.7412603033995,382,1.9948005447938755
28,-3099.280081215322,366,1.9648785366219672
29,-2997.0206517002653,356,1.9354053585726376
30,-3242.4555049030505,374,1.906374278194048
31,-3030.4730428522403,350,1.8777786640211374
32,-3087.047587305953,368,1.8496119840608203
33,-3208.987369645633,372,1.821867804299908
34,-3246.964084857357,374,1.7945397872354092
35,-3293.1396938281932,369,1.767621690426878
36,-3301.901193580987,367,1.7411073650704747
37,-3535.2654343565696,379,1.7149907545944176
38,-3368.1489190626794,369,1.6892658932755014
39,-3467.4523471261728,370,1.6639269048763687
40,-3426.4662203155226,370,1.6389680013032233
41,-3411.4158130179962,365,1.6143834812836748
42,-3371.1223258318187,364,1.5901677290644196
43,-3464.530187726699,367,1.5663152131284532
44,-3511.346513401341,371,1.5428204849315263
45,-3384.469558382986,360,1.5196781776575534
46,-3542.8327006510176,368,1.49688300499269
47,-3512.620151462439,366,1.4744297599177996
48,-3611.0725893647423,370,1.4523133135190325
49,-3583.4806552335367,367,1.430528613816247
50,-3599.04166346108,370,1.4090706846090033
51,-3682.298521096156,373,1.3879346243398683
52,-3664.289163994454,371,1.3671156049747701
53,-3697.163001100792,374,1.3466088709001485
54,-3636.6533771784893,368,1.3264097378366462
55,-3752.932882528698,376,1.3065135917690964
56,-3635.7573734165144,370,1.28691588789256
57,-3509.748178332328,358,1.2676121495741715
58,-3641.854481576031,366,1.248597967330559
59,-3683.1663124125325,369,1.2298689978206006
60,-3782.3832086973935,374,1.2114209628532915
61,-3714.975924324857,368,1.1932496484104922
62,-3723.355014825605,368,1.1753509036843348
63,-3677.939145458382,362,1.1577206401290698
64,-3664.6921364742325,361,1.1403548305271338
65,-3842.79587066753,375,1.1232495080692269
66,-3799.260072541982,370,1.1064007654481884
67,-3833.113731759991,372,1.0898047539664657
68,-3743.658286261797,363,1.0734576826569686
69,-3798.8614295669763,368,1.057355817417114
70,-3817.6500368771085,370,1.0414954801558574
71,-3812.665362640603,368,1.0258730479535194
72,-3799.1676925345473,366,1.0104849522342165
73,-3906.6465175959993,373,0.9953276779507033
74,-3948.3576372196408,376,0.9803977627814427
75,-4033.177556667003,381,0.9656917963397211
76,-3902.511696335861,372,0.9512064193946252
77,-3871.2392731680247,369,0.9369383231037058
78,-3932.8279834172135,373,0.9228842482571502
79,-3951.338982229265,374,0.909040984533293
80,-3910.1638230173503,370,0.8954053697652935
81,-3926.2827745651734,371,0.881974289218814
82,-3972.4337753555174,374,0.8687446748805319
83,-3942.4280814617136,372,0.8557135047573239
84,-3877.714955214491,367,0.842877802185964
85,-3868.020653817218,367,0.8302346351531745
86,-3834.799493870417,364,0.8177811156258769
87,-3921.982178844058,371,0.8055143988914887
88,-3785.675123899732,360,0.7934316829081164
89,-3760.1752490517647,357,0.7815302076644947
90,-3835.0755973058713,364,0.7698072545495273
91,-3894.9610122067493,368,0.7582601457312843
92,-4046.0619844309663,378,0.7468862435453151
93,-3964.0081167416965,373,0.7356829498921353
94,-4003.7957292679735,375,0.7246477056437532
95,-3959.888374161614,372,0.7137779900590969
96,-3991.655514279884,374,0.7030713202082105
97,-4058.053236788061,378,0.6925252504050874
98,-4005.85417512962,375,0.6821373716490111
99,-4055.416509111124,378,0.671905311074276
100,-4057.2547766751454,378,0.6618267314081618
101,-3954.0862382692353,371,0.6518993304370394
102,-4022.9370844242453,376,0.6421208404804838
103,-4011.383958556075,375,0.6324890278732765
104,-3968.816035514246,372,0.6230016924551773
105,-3980.20432203523,373,0.6136566670683496
106,-3921.17243644011,369,0.6044518170623244
107,-3980.2674052082402,373,0.5953850398063896
108,-3950.8147897185468,371,0.5864542642092937
109,-3951.673548929574,371,0.5776574502461543
110,-3872.3145719746844,365,0.568992588492462
111,-3897.4360379041673,367,0.5604576996650751
112,-3915.5735901545545,368,0.5520508341700989
113,-3898.9419284219575,367,0.5437700716575474
114,-3877.049468451968,365,0.5356135205826842
115,-3889.5570617091316,366,0.527579317773944
116,-3890.658579105081,366,0.5196656280073348
117,-3912.8779026613115,368,0.5118706435872248
118,-3836.1759493746526,361,0.5041925839334164
119,-3846.7132710797837,362,0.49662969517441513
120,-3859.3418315873564,363,0.4891802497467989
121,-3858.7197697352567,363,0.4818425460005969
122,-3837.134689675954,361,0.47461490781058796
123,-3827.815310789259,360,0.46749568419342913
124,-3824.2156534934143,360,0.46048324893052767
125,-3827.3440716187383,360,0.45357600019656974
126,-3878.2391639396205,365,0.4467723601936212
127,-3850.255515011401,362,0.4400707747907169
128,-3839.216942800654,361,0.43346971316885613
129,-3838.731175597434,361,0.4269676674713233
130,-3873.114603151894,364,0.42056315245925346
131,-3872.6344785977763,364,0.4142547051723647
132,-3862.133534685524,363,0.4080408845947792
133,-3886.2130362076828,365,0.4019202713258575
134,-3862.253352614274,363,0.39589146725596963
135,-3885.339673050303,365,0.38995309524713007
136,-3896.440821903502,366,0.3841037988184231
137,-3849.3688956260044,362,0.37834224183614673
138,-3872.9690532763325,364,0.37266710820860455
139,-3849.571520224582,362,0.36707710158547546
140,-3839.45076594892,361,0.36157094506169335
141,-3839.975084086601,361,0.3561473808857679
142,-3886.2130362076828,365,0.3508051701724814
143,-3885.814848974161,365,0.3455430926198942
144,-3897.471558136911,366,0.3403599462305958
145,-3886.136372950244,365,0.33525454703713686
146,-3886.136372950244,365,0.3302257288315798
147,-3910.8841578810843,367,0.3252723428991061
148,-3923.764826138851,368,0.3203932577556195
149,-3898.371628048163,366,0.3155873588892852
150,-3898.371628048163,366,0.3108535485059459
151,-3898.371628048163,366,0.30619074527835666
152,-3911.2773964843445,367,0.3015978840991813
153,-3935.9336868718397,369,0.2970739158376936
154,-3885.743134346983,365,0.2926178071001282
155,-3873.8469394727254,364,0.28822853999362624
156,-3861.647097155996,363,0.28390511189372186
157,-3886.14214066534,365,0.279646535215316
158,-3898.284742097305,366,0.27545183718708627
159,-3839.8870335103343,361,0.27132005962927996
160,-3861.1608593462083,363,0.26725025873484076
161,-3839.5869938333412,361,0.26324150485381814
162,-3862.127421429854,363,0.2592928822810109
163,-3874.442153152748,364,0.2554034890467957
164,-3873.9620285986293,364,0.2515724367110938
165,-3839.703180610441,361,0.2477988501604274
166,-3828.956946271148,360,0.24408186740802099
167,-3829.437070825266,360,0.24042063939690067
168,-3885.078504826689,365,0.23681432980594716
169,-3873.95591534296,364,0.23326211485885795
170,-3851.1382770355267,362,0.22976318313597507
171,-3874.043965919226,364,0.22631673538893546
172,-3886.224077985937,365,0.22292198435810143
173,-3873.6667177244817,364,0.2195781545927299
174,-3873.9673026617875,364,0.21628448227383895
175,-3874.442153152748,364,0.21304021503973136
176,-3862.5585406412674,363,0.20984461181413538
177,-3874.442153152748,364,0.20669694263692334
178,-3874.442153152748,364,0.2035964884973695
179,-3874.442153152748,364,0.20054254116990897
180,-3874.442153152748,364,0.19753440305236034
181,-3862.646591217534,363,0.19457138700657492
182,-3862.646591217534,363,0.19165281620147628
183,-3851.149338921457,362,0.18877802395845414
184,-3862.646591217534,363,0.18594635359907732
185,-3874.0489145494876,364,0.18315715829509116
186,-3862.6515398477945,363,0.1804098009206648
187,-3874.442153152748,364,0.17770365390685483
188,-3898.7648666514233,366,0.175038099098252
189,-3898.7648666514233,366,0.17241252761177822
190,-3874.059956327742,364,0.16982633969760155
191,-3862.2693430227887,363,0.16727894460213752
192,-3886.224077985937,365,0.16476976043310546
193,-3886.2130362076828,365,0.16229821402660888
194,-3886.2290266161976,365,0.15986374081620974
195,-3898.7648666514233,366,0.1574657847039666
196,-3898.7648666514233,366,0.15510379793340712
197,-3898.7648666514233,366,0.152777240964406
198,-3886.14214066534,365,0.15048558234993992
199,-3898.7648666514233,366,0.1482282986146908
200,-3886.2290266161976,365,0.14600487413547045
