step,energy,activation_count,temperature
0,-2411.625280654568,419,3.0
1,-2252.258818387955,383,2.955
2,-2521.0628006894426,391,2.910675
3,-2456.058781026828,380,2.8670148749999997
4,-2612.860586709364,387,2.8240096518749995
5,-2449.307404372351,373,2.7816495070968745
6,-2628.527165969656,381,2.7399247644904214
7,-2545.6877932283455,377,2.698825893023065
8,-2753.1820660244034,384,2.658343504627719
9,-2560.474194821039,370,2.6184683520583034
10,-2566.2013595557387,373,2.579191326777429
11,-2639.143816082004,380,2.5405034568757676
12,-2823.521199680635,392,2.502395905022631
13,-2617.0537430629743,380,2.4648599664472917
14,-2930.5284368069615,394,2.427887066950582
15,-2591.788909901201,371,2.3914687609463234
16,-2855.114355779064,385,2.3555967295321287
17,-2574.3879029549776,366,2.320262778589147
18,-2842.6270965201334,383,2.2854588369103097
19,-2918.787076025899,385,2.251176954356655
20,-2864.771586210429,381,2.217409300041305
21,-2987.5440016646726,381,2.1841481605406856
22,-2969.8169362000176,377,2.1513859381325755
23,-2978.651941123359,374,2.119115149060587
24,-3085.5317064651426,375,2.087328421824678
25,-3015.443358883802,371,2.056018495497308
26,-2935.9717854036044,366,2.0251782180648483
27,-3025.683364827057,370,1.9948005447938755
28,-3238.0015995522417,380,1.9648785366219672
29,-3293.115124292983,382,1.9354053585726376
30,-3252.6659444909187,373,1.906374278194048
31,-3278.1718642056667,373,1.8777786640211374
32,-3237.540851191683,374,1.8496119840608203
33,-3268.0382421027684,384,1.821867804299908
34,-3227.541464103319,377,1.7945397872354092
35,-3280.557878787536,373,1.767621690426878
36,-3445.872995334427,383,1.7411073650704747
37,-3328.190861271976,373,1.7149907545944176
38,-3331.691196104536,372,1.6892658932755014
39,-3473.179807830708,379,1.6639269048763687
40,-3555.1588863278507,380,1.6389680013032233
41,-3639.09347647241,382,1.6143834812836748
42,-3380.4399826519875,363,1.5901677290644196
43,-3723.8268909822978,382,1.5663152131284532
44,-3822.8583763657266,388,1.5428204849315263
45,-3578.269796197662,369,1.5196781776575534
46,-3660.361684701548,376,1.49688300499269
47,-3678.1897544187455,379,1.4744297599177996
48,-3618.367222410538,373,1.4523133135190325
49,-3649.5107665054006,374,1.430528613816247
50,-3688.8888963507297,376,1.4090706846090033
51,-3682.8671325534483,374,1.3879346243398683
52,-3717.4998518449984,375,1.3671156049747701
53,-3678.48278796312,373,1.3466088709001485
54,-3832.5700089336688,382,1.3264097378366462
55,-3733.6621500441174,378,1.3065135917690964
56,-3747.426016969,379,1.28691588789256
57,-3689.0176852356462,374,1.2676121495741715
58,-3745.471020699783,377,1.248597967330559
59,-3792.2883883953286,379,1.2298689978206006
60,-3637.601347657179,367,1.2114209628532915
61,-3633.617681844237,368,1.1932496484104922
62,-3702.882484689649,372,1.1753509036843348
63,-3785.0885878978766,377,1.1577206401290698
64,-3804.7485110655066,378,1.1403548305271338
65,-3782.658962423997,375,1.1232495080692269
66,-3784.119093220703,374,1.1064007654481884
67,-3831.0202738867138,376,1.0898047539664657
68,-3817.9713797949075,373,1.0734576826569686
69,-3756.199374005881,370,1.057355817417114
70,-3743.2820808589095,369,1.0414954801558574
71,-3864.4022903364325,377,1.0258730479535194
72,-3876.2918879707995,377,1.0104849522342165
73,-3768.932036287093,369,0.9953276779507033
74,-3773.023362517137,371,0.9803977627814427
75,-3758.226819890262,369,0.9656917963397211
76,-3837.609716047145,374,0.9512064193946252
77,-3816.5807751494326,373,0.9369383231037058
78,-3713.3976258805606,365,0.9228842482571502
79,-3712.058217922195,365,0.909040984533293
80,-3787.3595722599653,370,0.8954053697652935
81,-3855.0903945686855,374,0.881974289218814
82,-3915.9951224732717,378,0.8687446748805319
83,-3815.29703077379,371,0.8557135047573239
84,-3890.0375551810707,376,0.842877802185964
85,-3821.806855535128,373,0.8302346351531745
86,-3914.7387597373367,378,0.8177811156258769
87,-3892.877316370559,376,0.8055143988914887
88,-3912.0864827876344,378,0.7934316829081164
89,-3785.0276841073746,369,0.7815302076644947
90,-3816.45992827284,370,0.7698072545495273
91,-3789.789620257438,368,0.7582601457312843
92,-3793.1860370583654,369,0.7468862435453151
93,-3821.7096598076623,371,0.7356829498921353
94,-3869.3783442261206,374,0.7246477056437532
95,-3874.431404433934,374,0.7137779900590969
96,-3903.549875637344,376,0.7030713202082105
97,-3917.68176759618,377,0.6925252504050874
98,-3873.559561035764,374,0.6821373716490111
99,-3827.904419644889,371,0.671905311074276
100,-3829.1246583052766,371,0.6618267314081618
101,-3941.9736952062135,378,0.6518993304370394
102,-4026.483619664495,383,0.6421208404804838
103,-3938.0835217341923,378,0.6324890278732765
104,-3883.366401191936,374,0.6230016924551773
105,-3838.225789993061,371,0.6136566670683496
106,-3795.612050370186,368,0.6044518170623244
107,-3854.8913968563315,372,0.5953850398063896
108,-3840.864995206345,371,0.5864542642092937
109,-3806.780857916362,369,0.5776574502461543
110,-3783.4070755292782,367,0.568992588492462
111,-3795.077242892996,368,0.5604576996650751
112,-3916.939811688306,376,0.5520508341700989
113,-3881.015976924156,374,0.5437700716575474
114,-3880.6447848127864,374,0.5356135205826842
115,-3853.0651567668324,372,0.527579317773944
116,-3881.7948374300527,374,0.5196656280073348
117,-3863.8317624079586,373,0.5118706435872248
118,-3821.696670419237,370,0.5041925839334164
119,-3811.7010346911666,369,0.49662969517441513
120,-3831.133766853722,370,0.4891802497467989
121,-3862.9963230311496,372,0.4818425460005969
122,-3829.030845490513,370,0.47461490781058796
123,-3845.7520367327193,371,0.46749568419342913
124,-3830.4227568791453,370,0.46048324893052767
125,-3894.3042814618284,374,0.45357600019656974
126,-3880.0703404371366,373,0.4467723601936212
127,-3845.5439433228953,371,0.4400707747907169
128,-3878.213849905213,373,0.43346971316885613
129,-3808.1610720888534,368,0.4269676674713233
130,-3824.256476449217,369,0.42056315245925346
131,-3823.5842281249925,369,0.4142547051723647
132,-3796.0001314443275,367,0.4080408845947792
133,-3823.4651670443054,369,0.4019202713258575
134,-3782.9601880542436,366,0.39589146725596963
