step,energy,activation_count,temperature
0,-2449.2664910849594,419,3.0
1,-2356.2632690889477,386,2.955
2,-2472.992281236776,383,2.910675
3,-2451.79352758395,376,2.8670148749999997
4,-2708.080654857426,390,2.8240096518749995
5,-2743.962747249736,386,2.7816495070968745
6,-2719.150415098501,384,2.7399247644904214
7,-2801.7896424220457,387,2.698825893023065
8,-2819.4844951681143,383,2.658343504627719
9,-2780.8013376972476,379,2.6184683520583034
10,-2625.9032335044444,378,2.579191326777429
11,-2653.1324112352613,381,2.5405034568757676
12,-2782.5111405455577,384,2.502395905022631
13,-2862.819282974024,385,2.4648599664472917
14,-2893.302301030735,385,2.427887066950582
15,-2797.117292233922,378,2.3914687609463234
16,-2755.7933355187956,375,2.3555967295321287
17,-2770.353881566405,376,2.320262778589147
18,-2864.3466018200415,375,2.2854588369103097
19,-3003.2932703897595,375,2.251176954356655
20,-3116.794553643226,383,2.217409300041305
21,-2856.898383746428,365,2.1841481605406856
22,-2946.0069963318683,375,2.1513859381325755
23,-2938.5630741876716,358,2.119115149060587
24,-2973.55746265052,363,2.087328421824678
25,-3037.4712560355024,373,2.056018495497308
26,-3002.3336051917395,368,2.0251782180648483
27,-3141.4992617101416,375,1.9948005447938755
28,-3153.944799843629,370,1.9648785366219672
29,-3114.557181446892,364,1.9354053585726376
30,-3320.4612448255093,371,1.906374278194048
31,-3187.752074075635,361,1.8777786640211374
32,-3264.206245425033,368,1.8496119840608203
33,-3453.2093451128194,378,1.821867804299908
34,-3305.077695340783,364,1.7945397872354092
35,-3291.630634610091,362,1.767621690426878
36,-3320.700291019524,369,1.7411073650704747
37,-3355.411447711796,367,1.7149907545944176
38,-3485.222709334499,376,1.6892658932755014
39,-3423.814121233654,366,1.6639269048763687
40,-3432.7947883712905,370,1.6389680013032233
41,-3455.712363073349,365,1.6143834812836748
42,-3534.0067796160542,367,1.5901677290644196
43,-3687.0984030896716,378,1.5663152131284532
44,-3452.6224651064913,362,1.5428204849315263
45,-3429.5226488844423,361,1.5196781776575534
46,-3699.4968018873888,379,1.49688300499269
47,-3544.629399111452,369,1.4744297599177996
48,-3647.9931730870444,372,1.4523133135190325
49,-3674.7190056916975,372,1.430528613816247
50,-3739.790832341142,375,1.4090706846090033
51,-3696.417084196623,371,1.3879346243398683
52,-3787.0561118549717,376,1.3671156049747701
53,-3726.9313462819023,373,1.3466088709001485
54,-3684.3274015382435,368,1.3264097378366462
55,-3830.0261043476066,378,1.3065135917690964
56,-3713.071514721558,370,1.28691588789256
57,-3789.1494939472527,373,1.2676121495741715
58,-3785.5778994359266,371,1.248597967330559
59,-3694.809608455506,363,1.2298689978206006
60,-3735.887639907992,366,1.2114209628532915
61,-3806.238465314892,370,1.1932496484104922
62,-3868.4372377581312,375,1.1753509036843348
63,-3702.301550657111,361,1.1577206401290698
64,-3735.392053420707,364,1.1403548305271338
65,-3759.481977101727,367,1.1232495080692269
66,-3803.066403230391,369,1.1064007654481884
67,-3791.2390583006154,367,1.0898047539664657
68,-3862.0371529221698,371,1.0734576826569686
69,-3885.0439133245272,373,1.057355817417114
70,-3741.1276715876575,361,1.0414954801558574
71,-3788.1518817175456,364,1.0258730479535194
72,-3814.8889240595286,367,1.0104849522342165
73,-3791.468784448964,366,0.9953276779507033
74,-3841.6935013764733,370,0.9803977627814427
75,-3823.9894584399694,369,0.9656917963397211
76,-3765.8934556513505,363,0.9512064193946252
77,-3822.4437656215077,367,0.9369383231037058
78,-3824.646269823739,368,0.9228842482571502
79,-3856.0922557402996,369,0.909040984533293
80,-3841.579231800993,368,0.8954053697652935
81,-3882.8636077892825,371,0.881974289218814
82,-3814.1566682157886,367,0.8687446748805319
83,-3897.526224476543,372,0.8557135047573239
84,-3830.0796437238296,367,0.842877802185964
85,-3738.1429360345214,359,0.8302346351531745
86,-3825.4095438409604,367,0.8177811156258769
87,-3808.5348354442344,366,0.8055143988914887
88,-3817.3126610368618,366,0.7934316829081164
89,-3797.516213972495,364,0.7815302076644947
90,-3793.570306004742,363,0.7698072545495273
