step,energy,activation_count,temperature
0,-2449.9117815135296,419,3.0
1,-2408.420307424643,388,2.955
2,-2540.7636766381706,391,2.910675
3,-2595.4056895899184,386,2.8670148749999997
4,-2373.520047353806,378,2.8240096518749995
5,-2582.172414799576,390,2.7816495070968745
6,-2362.9655627102925,371,2.7399247644904214
7,-2754.475315124235,392,2.698825893023065
8,-2537.918248643228,379,2.658343504627719
9,-2377.382732926054,371,2.6184683520583034
10,-2438.6834936678893,377,2.579191326777429
11,-2364.526341788379,372,2.5405034568757676
12,-2566.308188972585,382,2.502395905022631
13,-2705.8011092455727,384,2.4648599664472917
14,-2627.4475451259736,380,2.427887066950582
15,-2815.6428284873955,388,2.3914687609463234
16,-2702.268233738706,372,2.3555967295321287
17,-2691.6010828464036,369,2.320262778589147
18,-2935.804497338215,377,2.2854588369103097
19,-2947.8650276792587,379,2.251176954356655
20,-2835.9087691642976,363,2.217409300041305
21,-3185.3818954632516,387,2.1841481605406856
22,-3180.1409698608277,383,2.1513859381325755
23,-3031.1008211669932,372,2.119115149060587
24,-3025.6366386823597,369,2.087328421824678
25,-3038.498654454552,366,2.056018495497308
26,-3102.8344787253636,374,2.0251782180648483
27,-3256.712646799963,378,1.9948005447938755
28,-3090.4200834588037,365,1.9648785366219672
29,-3279.654859186214,375,1.9354053585726376
30,-3174.3960340649187,365,1.906374278194048
31,-3333.619950986099,380,1.8777786640211374
32,-3269.812960451619,375,1.8496119840608203
33,-3361.336142539736,380,1.821867804299908
34,-3394.9197022358535,377,1.7945397872354092
35,-3334.17338340627,377,1.767621690426878
36,-3264.2666235752954,368,1.7411073650704747
37,-3580.085413078914,384,1.7149907545944176
38,-3355.452181620466,367,1.6892658932755014
39,-3433.467696702237,371,1.6639269048763687
40,-3450.163567631711,372,1.6389680013032233
41,-3416.5219713872025,365,1.6143834812836748
42,-3628.7587611244317,380,1.5901677290644196
43,-3698.36600743269,383,1.5663152131284532
44,-3611.8518649424923,373,1.5428204849315263
45,-3663.065478168245,376,1.5196781776575534
46,-3534.7808928544346,371,1.49688300499269
47,-3659.7431535108863,374,1.4744297599177996
48,-3571.762829414214,365,1.4523133135190325
49,-3689.3748203384903,375,1.430528613816247
50,-3833.297512615154,383,1.4090706846090033
51,-3622.6826117613477,369,1.3879346243398683
52,-3678.294842274684,371,1.3671156049747701
53,-3687.7045666247104,370,1.3466088709001485
54,-3746.800900692915,373,1.3264097378366462
55,-3753.2375173751784,372,1.3065135917690964
56,-3652.3543276518544,365,1.28691588789256
57,-3831.6965646425615,377,1.2676121495741715
58,-3777.436543149729,374,1.248597967330559
59,-3790.3753531455477,373,1.2298689978206006
60,-3732.8000287383297,368,1.2114209628532915
61,-3851.651332851759,377,1.1932496484104922
62,-3791.847611837715,373,1.1753509036843348
63,-3812.603354567538,375,1.1577206401290698
64,-3841.15165096064,374,1.1403548305271338
65,-3849.1951816306682,374,1.1232495080692269
66,-3831.7157570825193,373,1.1064007654481884
67,-3739.409703449947,366,1.0898047539664657
68,-3864.908334030555,373,1.0734576826569686
69,-3846.4944022313666,371,1.057355817417114
70,-3866.0859607254524,372,1.0414954801558574
71,-3994.8554814403496,380,1.0258730479535194
72,-3900.6747801283836,374,1.0104849522342165
73,-3837.418389325982,370,0.9953276779507033
74,-3900.473193610058,374,0.9803977627814427
75,-3911.3298724272872,374,0.9656917963397211
76,-3858.595123364775,370,0.9512064193946252
77,-3875.843240022071,371,0.9369383231037058
78,-3921.9809549042848,375,0.9228842482571502
79,-3987.040030584868,378,0.909040984533293
80,-3930.5469403244906,375,0.8954053697652935
81,-3894.403524647236,373,0.881974289218814
