step,energy,activation_count,temperature
0,-2378.6889548345534,419,3.0
1,-2378.5286177859525,393,2.955
2,-2622.3216634703954,401,2.910675
3,-2351.3639287946503,376,2.8670148749999997
4,-2709.5126793059694,397,2.8240096518749995
5,-2797.5755195699253,396,2.7816495070968745
6,-2987.0181625434248,404,2.7399247644904214
7,-2853.8943673699428,396,2.698825893023065
8,-2821.453944627178,395,2.658343504627719
9,-2689.3576841365434,388,2.6184683520583034
10,-2779.2025540233217,392,2.579191326777429
11,-2446.5244802892953,376,2.5405034568757676
12,-2789.570302085631,393,2.502395905022631
13,-2912.9894320539456,394,2.4648599664472917
14,-2908.5435612447172,392,2.427887066950582
15,-2790.9719763827466,383,2.3914687609463234
16,-2775.9966634595735,385,2.3555967295321287
17,-2984.3336144365094,394,2.320262778589147
18,-2693.928782862218,370,2.2854588369103097
19,-2842.2216966491847,380,2.251176954356655
20,-2889.7004660367375,381,2.217409300041305
21,-2925.6366780327503,382,2.1841481605406856
22,-3037.131924519356,386,2.1513859381325755
23,-2958.093327485271,376,2.119115149060587
24,-3125.57693932119,382,2.087328421824678
25,-3124.172355847759,378,2.056018495497308
26,-3268.055151931484,388,2.0251782180648483
27,-3116.165665130901,377,1.9948005447938755
28,-3170.107500681503,378,1.9648785366219672
29,-3361.478863447972,386,1.9354053585726376
30,-3253.674007845819,378,1.906374278194048
31,-3343.9505845786775,382,1.8777786640211374
32,-3353.84001865549,377,1.8496119840608203
33,-3664.1994749789415,395,1.821867804299908
34,-3275.560895031361,376,1.7945397872354092
35,-3280.8804305135022,379,1.767621690426878
36,-3514.1877060343377,389,1.7411073650704747
37,-3363.7842251541015,378,1.7149907545944176
38,-3406.488970455898,374,1.6892658932755014
39,-3415.3059807683326,378,1.6639269048763687
40,-3444.225841116919,375,1.6389680013032233
41,-3456.0693241177028,375,1.6143834812836748
42,-3632.918394431263,383,1.5901677290644196
43,-3631.2067135157617,384,1.5663152131284532
44,-3544.6186940263324,376,1.5428204849315263
45,-3809.74840989891,390,1.5196781776575534
46,-3523.8729169229227,377,1.49688300499269
47,-3562.8743540904916,379,1.4744297599177996
48,-3712.684414879553,382,1.4523133135190325
49,-3572.505236401219,376,1.430528613816247
50,-3692.415990421709,383,1.4090706846090033
51,-3636.192583004208,379,1.3879346243398683
52,-3453.422321320026,370,1.3671156049747701
53,-3597.923059649517,374,1.3466088709001485
54,-3667.8638342640493,377,1.3264097378366462
55,-3612.5857140061203,372,1.3065135917690964
56,-3826.40812585958,383,1.28691588789256
57,-3845.7423797404745,384,1.2676121495741715
58,-3852.776778063609,384,1.248597967330559
59,-3888.815311001873,387,1.2298689978206006
60,-3664.8743180722095,374,1.2114209628532915
61,-3882.4117176658892,386,1.1932496484104922
62,-3723.5346947474404,377,1.1753509036843348
63,-3653.281729325042,374,1.1577206401290698
64,-3683.1329359317497,373,1.1403548305271338
65,-3602.7372968957716,367,1.1232495080692269
66,-3735.992887179671,376,1.1064007654481884
67,-3731.929594727332,375,1.0898047539664657
68,-3817.237598755367,380,1.0734576826569686
69,-3811.6913290134603,379,1.057355817417114
70,-3912.132885196719,384,1.0414954801558574
71,-3783.0154320186825,378,1.0258730479535194
72,-3780.9542917906506,378,1.0104849522342165
73,-3822.2550532828222,380,0.9953276779507033
74,-3675.796207135417,370,0.9803977627814427
75,-3740.52411613237,374,0.9656917963397211
76,-3735.3787803116497,372,0.9512064193946252
77,-3774.559751637141,375,0.9369383231037058
78,-4047.1943866770907,390,0.9228842482571502
79,-3915.5187126069873,383,0.909040984533293
80,-3795.0096651198955,377,0.8954053697652935
81,-3831.916589788963,379,0.881974289218814
82,-3800.7066571263103,377,0.8687446748805319
83,-3842.63440777784,379,0.8557135047573239
84,-3865.7342884478603,380,0.842877802185964
85,-3762.97291071969,374,0.8302346351531745
86,-3911.744608237042,382,0.8177811156258769
87,-3873.2502851528666,380,0.8055143988914887
88,-4097.890951856482,391,0.7934316829081164
89,-3909.312098628959,382,0.7815302076644947
90,-3865.8399739896317,379,0.7698072545495273
91,-3884.146929668079,380,0.7582601457312843
92,-3779.008041821883,374,0.7468862435453151
93,-3879.914295624856,380,0.7356829498921353
94,-3758.67949935434,373,0.7246477056437532
95,-3794.579303732444,375,0.7137779900590969
96,-3849.542130607771,378,0.7030713202082105
97,-3927.073044544963,382,0.6925252504050874
98,-3869.059646663506,379,0.6821373716490111
99,-3894.465729755854,381,0.671905311074276
100,-3862.5035306087398,379,0.6618267314081618
101,-3931.438199969794,383,0.6518993304370394
102,-3901.052375537717,381,0.6421208404804838
103,-3851.2936745885568,378,0.6324890278732765
104,-3882.0915425374437,379,0.6230016924551773
105,-3773.6376071038376,373,0.6136566670683496
106,-3761.221159145806,372,0.6044518170623244
107,-3808.426788684617,375,0.5953850398063896
108,-3893.7712319323364,380,0.5864542642092937
109,-3842.531303436468,377,0.5776574502461543
110,-3935.1151994651777,382,0.568992588492462
111,-3843.258766839872,377,0.5604576996650751
112,-3932.912573559885,382,0.5520508341700989
113,-3955.111488065769,383,0.5437700716575474
114,-3936.3331236685476,382,0.5356135205826842
115,-3884.6472777558124,379,0.527579317773944
116,-3882.60006825693,379,0.5196656280073348
117,-3817.255885805928,375,0.5118706435872248
118,-3854.0287272780383,377,0.5041925839334164
119,-3836.999257501967,376,0.49662969517441513
120,-3815.9504333887103,375,0.4891802497467989
121,-3807.123931460008,374,0.4818425460005969
122,-3884.4056197227137,379,0.47461490781058796
123,-3942.449904373648,382,0.46749568419342913
124,-3893.386747574327,379,0.46048324893052767
125,-3910.9927656567806,380,0.45357600019656974
126,-3947.417415228599,382,0.4467723601936212
127,-3824.5079344586734,375,0.4400707747907169
128,-3873.3661122064377,378,0.43346971316885613
129,-3908.9770762793532,380,0.4269676674713233
130,-3927.7626759881055,381,0.42056315245925346
131,-3874.556942428454,378,0.4142547051723647
132,-3875.3350770394004,378,0.4080408845947792
133,-3873.865442402901,378,0.4019202713258575
134,-3837.48139277088,376,0.39589146725596963
135,-3854.4743447094206,377,0.38995309524713007
136,-3875.7117143914243,378,0.3841037988184231
137,-3909.2632004935685,380,0.37834224183614673
138,-3854.413125728015,377,0.37266710820860455
139,-3890.7116509668276,379,0.36707710158547546
140,-3927.443692326188,381,0.36157094506169335
141,-3839.0237944564697,376,0.3561473808857679
142,-3964.36656653864,383,0.3508051701724814
143,-3857.9162217080557,377,0.3455430926198942
144,-3910.9886093355744,380,0.3403599462305958
145,-3929.6073749855177,381,0.33525454703713686
146,-3927.453814106202,381,0.3302257288315798
147,-3891.1207322090186,379,0.3252723428991061
148,-3944.6430621558407,382,0.3203932577556195
149,-3889.5873891425244,379,0.3155873588892852
150,-3945.935029002782,382,0.3108535485059459
151,-3873.412550547363,378,0.30619074527835666
152,-3892.6440727816594,379,0.3015978840991813
153,-3911.122157240792,380,0.2970739158376936
154,-3929.6838708932246,381,0.2926178071001282
155,-3859.0726200314457,377,0.28822853999362624
156,-3842.634118811359,376,0.28390511189372186
157,-3844.5301478715874,376,0.279646535215316
158,-3829.9572629824665,375,0.27545183718708627
159,-3862.495109412807,377,0.27132005962927996
160,-3846.4224007280936,376,0.26725025873484076
161,-3846.4823269190065,376,0.26324150485381814
162,-3880.4039641289164,378,0.2592928822810109
163,-3898.418750098028,379,0.2554034890467957
164,-3882.2935899403715,378,0.2515724367110938
165,-3865.1791445513404,377,0.2477988501604274
166,-3865.7891269293955,377,0.24408186740802099
167,-3882.638725808787,378,0.24042063939690067
168,-3832.32715632083,375,0.23681432980594716
169,-3848.789683167313,376,0.23326211485885795
170,-3865.020337375821,377,0.22976318313597507
171,-3899.6306168467795,379,0.22631673538893546
172,-3882.134402217596,378,0.22292198435810143
173,-3831.327711292158,375,0.2195781545927299
174,-3881.3281691036254,378,0.21628448227383895
175,-3800.864324041885,373,0.21304021503973136
176,-3816.4818229463544,374,0.20984461181413538
177,-3865.7893752095056,377,0.20669694263692334
178,-3849.1760100543943,376,0.2035964884973695
179,-3865.7893752095056,377,0.20054254116990897
180,-3865.7363564986313,377,0.19753440305236034
181,-3900.3147832540485,379,0.19457138700657492
182,-3900.3147832540485,379,0.19165281620147628
183,-3882.735730800459,378,0.18877802395845414
184,-3865.768473630362,377,0.18594635359907732
185,-3865.478230965805,377,0.18315715829509116
186,-3900.3184366054966,379,0.1804098009206648
187,-3882.6181094555673,378,0.17770365390685483
188,-3883.002730748044,378,0.175038099098252
189,-3865.768473630362,377,0.17241252761177822
190,-3865.675121990139,377,0.16982633969760155
191,-3900.3184366054966,379,0.16727894460213752
192,-3900.3147832540485,379,0.16476976043310546
193,-3917.7135456257347,380,0.16229821402660888
194,-3882.441834784453,378,0.15986374081620974
195,-3882.7517304164103,378,0.1574657847039666
196,-3900.029438345619,379,0.15510379793340712
197,-3883.002730748044,378,0.152777240964406
198,-3883.002730748044,378,0.15048558234993992
199,-3883.002730748044,378,0.1482282986146908
200,-3865.521126650177,377,0.14600487413547045
