step,energy,activation_count,temperature
0,-2368.354481195227,419,3.0
1,-2308.0337050997123,390,2.955
2,-2508.001914898064,396,2.910675
3,-2431.7818674893488,383,2.8670148749999997
4,-2693.4351901761197,393,2.8240096518749995
5,-2505.1041791079915,384,2.7816495070968745
6,-2544.958664203895,383,2.7399247644904214
7,-2885.9637551201754,402,2.698825893023065
8,-2797.257520975394,397,2.658343504627719
9,-2401.543605487451,372,2.6184683520583034
10,-2850.449684792487,398,2.579191326777429
11,-2546.86169473164,383,2.5405034568757676
12,-2515.634080307976,379,2.502395905022631
13,-2705.5416116363613,378,2.4648599664472917
14,-2727.6000817704257,379,2.427887066950582
15,-2812.6936782944017,381,2.3914687609463234
16,-2883.6205884757915,377,2.3555967295321287
17,-2779.7551268347443,379,2.320262778589147
18,-3047.062163049331,388,2.2854588369103097
19,-2840.775979912381,380,2.251176954356655
20,-2913.5437773840677,371,2.217409300041305
21,-2938.8149730413884,377,2.1841481605406856
22,-2940.179990914582,376,2.1513859381325755
23,-2883.7574883544535,371,2.119115149060587
24,-3218.9624603955926,388,2.087328421824678
25,-3209.2372487421076,386,2.056018495497308
26,-3052.4195619251577,379,2.0251782180648483
27,-3164.2016009425383,381,1.9948005447938755
28,-3056.025721438272,376,1.9648785366219672
29,-3220.0872987892485,380,1.9354053585726376
30,-3089.099211915592,369,1.906374278194048
31,-3319.659373528898,385,1.8777786640211374
32,-3121.5234366255454,373,1.8496119840608203
33,-3138.0526645594696,378,1.821867804299908
34,-3241.6428637562485,382,1.7945397872354092
35,-3370.1050434605363,386,1.767621690426878
36,-3255.72212453852,380,1.7411073650704747
37,-3224.3464717451843,377,1.7149907545944176
38,-3409.396148969172,384,1.6892658932755014
39,-3152.692790045827,370,1.6639269048763687
40,-3318.2211832678718,381,1.6389680013032233
41,-3339.4026616113433,378,1.6143834812836748
42,-3335.393910750357,374,1.5901677290644196
43,-3316.268603354758,367,1.5663152131284532
44,-3432.1441762350073,374,1.5428204849315263
45,-3547.5889548466384,380,1.5196781776575534
46,-3630.824978836572,383,1.49688300499269
47,-3744.8482339162956,387,1.4744297599177996
48,-3554.1768793841047,376,1.4523133135190325
49,-3481.7888769462124,373,1.430528613816247
50,-3496.489472845191,374,1.4090706846090033
51,-3435.8098387339005,367,1.3879346243398683
52,-3556.5949696581615,375,1.3671156049747701
53,-3726.576396262876,381,1.3466088709001485
54,-3653.6908212770386,378,1.3264097378366462
55,-3617.392019241623,375,1.3065135917690964
56,-3722.0113382188392,382,1.28691588789256
57,-3802.3552707953186,384,1.2676121495741715
58,-3690.1958810167257,377,1.248597967330559
59,-3674.813879902231,376,1.2298689978206006
60,-3715.9024403640656,377,1.2114209628532915
61,-3735.8994706749677,378,1.1932496484104922
62,-3656.635661094002,373,1.1753509036843348
63,-3762.7589759444622,378,1.1577206401290698
64,-3745.341826942589,374,1.1403548305271338
65,-3667.11042050538,368,1.1232495080692269
66,-3767.2224460749326,376,1.1064007654481884
67,-3738.462446529184,373,1.0898047539664657
68,-3783.2662615231093,376,1.0734576826569686
69,-3742.5257816954213,373,1.057355817417114
70,-3880.5411396890854,381,1.0414954801558574
71,-3701.9194841543704,369,1.0258730479535194
72,-3776.3216348690958,375,1.0104849522342165
73,-3776.5354730925314,374,0.9953276779507033
74,-3891.067057611526,380,0.9803977627814427
75,-3894.2041343487685,379,0.9656917963397211
76,-3886.166318782359,379,0.9512064193946252
77,-3869.8016165009826,378,0.9369383231037058
78,-3775.817908465902,373,0.9228842482571502
79,-3824.774395317271,375,0.909040984533293
80,-3786.4628144606395,373,0.8954053697652935
81,-3822.728536824675,375,0.881974289218814
82,-3869.7303188199176,378,0.8687446748805319
83,-3826.5565196704306,375,0.8557135047573239
84,-3755.0879367351226,370,0.842877802185964
85,-3780.3661714895456,372,0.8302346351531745
86,-3779.4152288916453,372,0.8177811156258769
87,-3802.5261708656503,373,0.8055143988914887
88,-3737.3651721700494,368,0.7934316829081164
89,-3763.594237219316,370,0.7815302076644947
90,-3794.584144746714,372,0.7698072545495273
91,-3831.8029827621126,374,0.7582601457312843
92,-3707.932073471628,366,0.7468862435453151
93,-3789.0688723881008,372,0.7356829498921353
94,-3741.4879146108697,369,0.7246477056437532
95,-3804.3513443985503,373,0.7137779900590969
96,-3942.1609796248927,381,0.7030713202082105
97,-3878.0503055745444,377,0.6925252504050874
98,-3816.8158629204404,374,0.6821373716490111
99,-3864.5294262520374,377,0.671905311074276
100,-3847.4286436477423,376,0.6618267314081618
101,-3893.4771856105494,379,0.6518993304370394
102,-3852.5080421821294,376,0.6421208404804838
103,-3833.3373357718137,375,0.6324890278732765
104,-3882.3236040517627,377,0.6230016924551773
105,-3829.5882272762124,374,0.6136566670683496
106,-3811.75208166609,373,0.6044518170623244
107,-3830.095967528691,374,0.5953850398063896
