step,energy,activation_count,temperature
0,-2455.291410316589,419,3.0
1,-2378.9537484465377,387,2.955
2,-2545.13576455221,390,2.910675
3,-2459.3830578365355,378,2.8670148749999997
4,-2766.264241248179,395,2.8240096518749995
5,-2791.837933355415,392,2.7816495070968745
6,-2667.9794290854,386,2.7399247644904214
7,-2595.2458363927863,384,2.698825893023065
8,-2742.956218555651,387,2.658343504627719
9,-2754.840504801609,389,2.6184683520583034
10,-2558.9694115836915,379,2.579191326777429
11,-2601.1602243738575,376,2.5405034568757676
12,-2554.419490628118,373,2.502395905022631
13,-2707.4004770015754,381,2.4648599664472917
14,-2500.1834904215757,364,2.427887066950582
15,-2743.140499762428,380,2.3914687609463234
16,-2789.201213654396,374,2.3555967295321287
17,-2706.274935897464,370,2.320262778589147
18,-2751.3609043174883,368,2.2854588369103097
19,-3015.2779903182054,384,2.251176954356655
20,-3032.129194755827,372,2.217409300041305
21,-3144.2526237711213,383,2.1841481605406856
22,-2932.3820874797116,373,2.1513859381325755
23,-3154.690647591617,383,2.119115149060587
24,-3072.925570440617,376,2.087328421824678
25,-3069.219430923548,374,2.056018495497308
26,-3034.4100440120587,378,2.0251782180648483
27,-3153.6047601683053,383,1.9948005447938755
28,-3139.8952118818042,377,1.9648785366219672
29,-3073.5690222392423,366,1.9354053585726376
30,-3327.0010016233286,384,1.906374278194048
31,-3174.5257068653586,375,1.8777786640211374
32,-3178.663212414037,370,1.8496119840608203
33,-3258.0972071065294,377,1.821867804299908
34,-3372.963615226905,382,1.7945397872354092
35,-3341.225678793469,378,1.767621690426878
36,-3316.9956479165544,368,1.7411073650704747
37,-3404.2979325553174,371,1.7149907545944176
38,-3385.298507921519,367,1.6892658932755014
39,-3392.553337213619,371,1.6639269048763687
40,-3580.0401408219304,377,1.6389680013032233
41,-3766.910265437095,384,1.6143834812836748
42,-3715.430108441962,376,1.5901677290644196
43,-3804.089598346412,382,1.5663152131284532
44,-3695.386124085713,373,1.5428204849315263
45,-3760.926968603417,379,1.5196781776575534
46,-3732.4454674775134,379,1.49688300499269
47,-3875.111332811146,385,1.4744297599177996
48,-3745.2663446552406,376,1.4523133135190325
49,-3812.7225845240537,379,1.430528613816247
50,-3816.34695956872,379,1.4090706846090033
51,-3807.3843699698614,377,1.3879346243398683
52,-3775.9974487220898,376,1.3671156049747701
53,-3854.6157871179835,378,1.3466088709001485
54,-3703.251683471106,369,1.3264097378366462
55,-3929.5711500947064,382,1.3065135917690964
56,-3957.1754905045727,383,1.28691588789256
57,-3884.2711660685964,379,1.2676121495741715
58,-3845.0202605765257,374,1.248597967330559
59,-3929.939766004951,381,1.2298689978206006
60,-3837.4469124151797,374,1.2114209628532915
61,-3854.701568487264,376,1.1932496484104922
62,-3775.035278992009,370,1.1753509036843348
63,-3742.3449614214514,369,1.1577206401290698
64,-3800.8581207898733,370,1.1403548305271338
65,-3786.5269157611997,369,1.1232495080692269
66,-3925.9046590416206,378,1.1064007654481884
67,-3792.7652933771783,368,1.0898047539664657
68,-3903.049464083657,376,1.0734576826569686
69,-3962.8115045084523,379,1.057355817417114
70,-3923.5739162082455,377,1.0414954801558574
71,-4010.8602719875435,382,1.0258730479535194
72,-4076.92965794813,386,1.0104849522342165
73,-4118.796727433538,388,0.9953276779507033
74,-4045.060666404664,384,0.9803977627814427
75,-3971.2987348804268,379,0.9656917963397211
76,-4064.3795137091433,384,0.9512064193946252
77,-3961.603910437166,378,0.9369383231037058
78,-4008.3767828031478,381,0.9228842482571502
79,-4059.9089025439152,383,0.909040984533293
80,-4091.056385092511,385,0.8954053697652935
81,-4038.3336460063338,382,0.881974289218814
82,-3948.237038026954,377,0.8687446748805319
83,-4003.3627504792016,380,0.8557135047573239
84,-3889.6934188288183,373,0.842877802185964
85,-3901.317688184877,374,0.8302346351531745
86,-3973.592842095521,378,0.8177811156258769
87,-3988.7660143803837,379,0.8055143988914887
88,-3896.8268706563067,373,0.7934316829081164
89,-3927.738063589475,376,0.7815302076644947
90,-3915.715596523139,375,0.7698072545495273
91,-3891.4537345730178,373,0.7582601457312843
92,-3870.895719530278,372,0.7468862435453151
93,-3940.603591561676,376,0.7356829498921353
94,-3807.7668550982753,368,0.7246477056437532
95,-3831.713623898516,369,0.7137779900590969
96,-3822.36902481753,368,0.7030713202082105
97,-3885.799158570329,372,0.6925252504050874
98,-3969.8323264385704,377,0.6821373716490111
99,-3932.956171709609,375,0.671905311074276
100,-3949.2447225546293,376,0.6618267314081618
101,-3912.0197515429104,374,0.6518993304370394
102,-3871.1134444008917,371,0.6421208404804838
103,-3885.8893529933316,373,0.6324890278732765
104,-3884.145667363629,372,0.6230016924551773
105,-3961.8796826833172,377,0.6136566670683496
106,-3934.9863085797174,375,0.6044518170623244
107,-3952.277198193211,376,0.5953850398063896
108,-3934.866789361061,375,0.5864542642092937
109,-3966.002626898142,377,0.5776574502461543
110,-3893.537622883255,372,0.568992588492462
111,-3906.947409148263,373,0.5604576996650751
112,-4025.331108603468,380,0.5520508341700989
113,-4007.2794844089067,379,0.5437700716575474
114,-3909.1273727971843,373,0.5356135205826842
115,-3923.8938508382266,374,0.527579317773944
