step,energy,activation_count,temperature
0,-2477.7593790769656,419,3.0
1,-2396.600768987776,387,2.955
2,-2519.2981021696787,388,2.910675
3,-2345.344854364886,367,2.8670148749999997
4,-2838.1320144798115,396,2.8240096518749995
5,-2870.912953457233,396,2.7816495070968745
6,-2794.334978681288,391,2.7399247644904214
7,-2713.1643450879756,384,2.698825893023065
8,-2730.270343486587,382,2.658343504627719
9,-2617.721509714613,374,2.6184683520583034
10,-2523.4047114035893,372,2.579191326777429
11,-2712.7019664166896,382,2.5405034568757676
12,-2817.478724519764,385,2.502395905022631
13,-2899.2252761811455,387,2.4648599664472917
14,-2759.3094995870156,382,2.427887066950582
15,-2796.997790921513,384,2.3914687609463234
16,-2685.698308198615,369,2.3555967295321287
17,-2913.0700615173346,384,2.320262778589147
18,-2666.1985476031373,360,2.2854588369103097
19,-2773.1869861424575,377,2.251176954356655
20,-2980.990210144716,377,2.217409300041305
21,-2924.5031487471356,374,2.1841481605406856
22,-3049.2640293011004,383,2.1513859381325755
23,-2838.805408592697,368,2.119115149060587
24,-2985.29191843398,373,2.087328421824678
25,-2877.8017227546165,366,2.056018495497308
26,-3027.5758616084695,378,2.0251782180648483
27,-2884.003618641108,365,1.9948005447938755
28,-2964.3655475166092,366,1.9648785366219672
29,-3029.5371409642476,364,1.9354053585726376
30,-3160.448909559081,377,1.906374278194048
31,-3242.1441225692,382,1.8777786640211374
32,-3094.5105889024026,364,1.8496119840608203
33,-3297.130029661717,382,1.821867804299908
34,-3256.3025118542414,374,1.7945397872354092
35,-3189.300765512414,371,1.767621690426878
36,-3255.4211700007227,373,1.7411073650704747
37,-3351.4051532042618,377,1.7149907545944176
38,-3282.131838213345,363,1.6892658932755014
39,-3318.1664246536266,366,1.6639269048763687
40,-3246.3214877702458,353,1.6389680013032233
41,-3414.704786436529,368,1.6143834812836748
42,-3469.35815397342,369,1.5901677290644196
43,-3463.108838636724,369,1.5663152131284532
44,-3476.259501669195,366,1.5428204849315263
45,-3555.761856719013,372,1.5196781776575534
46,-3492.4539238508314,375,1.49688300499269
47,-3499.279588970923,371,1.4744297599177996
48,-3536.9204830173544,367,1.4523133135190325
49,-3406.681060605606,355,1.430528613816247
50,-3485.5162057831867,365,1.4090706846090033
51,-3563.7342343926107,369,1.3879346243398683
52,-3542.701718811872,365,1.3671156049747701
53,-3607.5117456813527,370,1.3466088709001485
54,-3643.5521404402534,371,1.3264097378366462
55,-3605.839405210078,364,1.3065135917690964
56,-3688.0574194144865,373,1.28691588789256
57,-3699.7128045564273,371,1.2676121495741715
58,-3628.8362300606336,366,1.248597967330559
59,-3642.6372579511917,368,1.2298689978206006
60,-3688.548727982152,372,1.2114209628532915
61,-3795.99381295172,378,1.1932496484104922
62,-3647.428635978043,367,1.1753509036843348
63,-3734.2454419437618,374,1.1577206401290698
64,-3697.400012280659,368,1.1403548305271338
65,-3686.9787332219735,366,1.1232495080692269
66,-3693.856568503059,368,1.1064007654481884
67,-3706.063210488351,369,1.0898047539664657
68,-3831.7733179347456,376,1.0734576826569686
69,-3773.8703061897672,372,1.057355817417114
70,-3736.4052767678745,369,1.0414954801558574
71,-3707.311549203236,367,1.0258730479535194
72,-3691.1098285061357,367,1.0104849522342165
73,-3712.6470145046464,368,0.9953276779507033
74,-3748.6992468987205,370,0.9803977627814427
75,-3855.756072929594,376,0.9656917963397211
76,-3800.2455451141027,372,0.9512064193946252
77,-3844.5846726287537,374,0.9369383231037058
78,-3862.4448520523333,376,0.9228842482571502
79,-3770.8601713032476,368,0.909040984533293
80,-3832.3419563799057,373,0.8954053697652935
81,-3864.9650654635025,374,0.881974289218814
82,-3856.100019877472,374,0.8687446748805319
83,-3738.6464452771306,365,0.8557135047573239
84,-3811.619604159489,369,0.842877802185964
85,-3840.475351998447,371,0.8302346351531745
86,-3828.5022624431163,370,0.8177811156258769
87,-3806.401801737838,369,0.8055143988914887
88,-3841.458435544263,371,0.7934316829081164
89,-3783.4495468917617,367,0.7815302076644947
90,-3799.8056803070153,369,0.7698072545495273
