step,energy,activation_count,temperature
0,-2520.6191139518073,419,3.0
1,-2412.5051299463353,389,2.955
2,-2560.5896430993016,389,2.910675
3,-2511.4386688264176,380,2.8670148749999997
4,-2568.2835138295977,384,2.8240096518749995
5,-2704.9660529437483,392,2.7816495070968745
6,-2599.724332920529,385,2.7399247644904214
7,-2722.325237013278,389,2.698825893023065
8,-3036.6346167534043,398,2.658343504627719
9,-2730.2209593479993,382,2.6184683520583034
10,-2798.0225480426866,389,2.579191326777429
11,-2970.7877959543353,396,2.5405034568757676
12,-2955.6478486001292,391,2.502395905022631
13,-2982.278574759569,388,2.4648599664472917
14,-3028.6842470449196,392,2.427887066950582
15,-3118.480093512776,390,2.3914687609463234
16,-2898.814117965696,380,2.3555967295321287
17,-2789.3900342735565,372,2.320262778589147
18,-2960.859123831786,382,2.2854588369103097
19,-2926.6352888733522,371,2.251176954356655
20,-3190.7356721785036,388,2.217409300041305
21,-3002.729896483214,372,2.1841481605406856
22,-2833.5310570245615,364,2.1513859381325755
23,-3020.834187731185,378,2.119115149060587
24,-3027.407892177289,376,2.087328421824678
25,-3142.2046152190637,375,2.056018495497308
26,-3419.1497931773465,393,2.0251782180648483
27,-3215.4718147535486,383,1.9948005447938755
28,-3162.865035976816,375,1.9648785366219672
29,-3185.426551856887,372,1.9354053585726376
30,-3134.600720383179,363,1.906374278194048
31,-3298.1427660886793,374,1.8777786640211374
32,-3318.6787954580236,375,1.8496119840608203
33,-3498.743513931646,386,1.821867804299908
34,-3292.696366242069,370,1.7945397872354092
35,-3483.768801176921,382,1.767621690426878
36,-3486.1382910149277,381,1.7411073650704747
37,-3420.654737885988,373,1.7149907545944176
38,-3456.927931162316,376,1.6892658932755014
39,-3543.1380583902237,379,1.6639269048763687
40,-3616.2860717620247,381,1.6389680013032233
41,-3600.61596650108,378,1.6143834812836748
42,-3602.565938015125,377,1.5901677290644196
43,-3493.792628733186,371,1.5663152131284532
44,-3756.0442165208487,385,1.5428204849315263
45,-3484.4169050238447,366,1.5196781776575534
46,-3658.6469350513416,376,1.49688300499269
47,-3678.2206862601615,379,1.4744297599177996
48,-3713.9702078716223,379,1.4523133135190325
49,-3547.74032727459,367,1.430528613816247
50,-3725.8194366124435,377,1.4090706846090033
51,-3667.414485502811,377,1.3879346243398683
52,-3885.8819753715547,387,1.3671156049747701
53,-3779.139262419366,379,1.3466088709001485
54,-3795.865046976269,378,1.3264097378366462
55,-3732.5398034828336,373,1.3065135917690964
56,-3771.753492961157,377,1.28691588789256
57,-3669.643487587697,370,1.2676121495741715
58,-3722.6511801100264,372,1.248597967330559
59,-3695.6696495203937,372,1.2298689978206006
60,-3771.969164644616,373,1.2114209628532915
61,-3681.9640578080307,368,1.1932496484104922
62,-3736.481991591168,372,1.1753509036843348
63,-3780.496138592237,374,1.1577206401290698
64,-3797.419739945245,374,1.1403548305271338
65,-3934.9548357950107,382,1.1232495080692269
66,-3850.478582972395,377,1.1064007654481884
67,-4063.0508000944683,389,1.0898047539664657
68,-3912.1545407178846,379,1.0734576826569686
69,-3866.4789135671344,377,1.057355817417114
70,-3893.241538912445,379,1.0414954801558574
71,-3826.463347429587,374,1.0258730479535194
72,-3931.9149870796277,380,1.0104849522342165
73,-3865.952180128162,375,0.9953276779507033
74,-3902.8954817734566,378,0.9803977627814427
75,-4016.464157813676,384,0.9656917963397211
76,-3959.4015435663177,381,0.9512064193946252
77,-4056.147320007608,386,0.9369383231037058
78,-3941.3070140741474,379,0.9228842482571502
79,-3864.3330290557296,374,0.909040984533293
80,-3878.3196221321114,375,0.8954053697652935
81,-3839.6479450418806,373,0.881974289218814
82,-3890.3278524360835,376,0.8687446748805319
83,-3827.948806578894,371,0.8557135047573239
84,-3896.8765735078905,376,0.842877802185964
85,-3893.559869629291,375,0.8302346351531745
86,-3942.828680459662,378,0.8177811156258769
87,-3858.5538839312435,372,0.8055143988914887
88,-3826.4675685164625,369,0.7934316829081164
89,-3785.738768826199,366,0.7815302076644947
90,-3779.5623703549836,366,0.7698072545495273
91,-3855.099159408915,372,0.7582601457312843
92,-3811.4089537806262,368,0.7468862435453151
93,-3815.56484025673,368,0.7356829498921353
94,-3933.70834068696,376,0.7246477056437532
95,-4076.2747415136364,384,0.7137779900590969
96,-3916.0868521505136,375,0.7030713202082105
97,-3970.508784739912,378,0.6925252504050874
98,-3956.759654472733,377,0.6821373716490111
99,-3992.073580653594,379,0.671905311074276
100,-3958.2721300543813,377,0.6618267314081618
101,-4007.210055343444,380,0.6518993304370394
102,-3971.2297671449314,378,0.6421208404804838
103,-3992.268451982131,379,0.6324890278732765
104,-4048.301539174696,382,0.6230016924551773
105,-3977.6262438893664,378,0.6136566670683496
106,-3960.5216743462806,377,0.6044518170623244
107,-3976.4791628901203,378,0.5953850398063896
108,-3975.078232088147,378,0.5864542642092937
109,-3875.830691223044,372,0.5776574502461543
110,-3912.5032184622487,374,0.568992588492462
111,-3978.5620090706834,378,0.5604576996650751
112,-3962.226432899029,377,0.5520508341700989
113,-4012.36032172513,380,0.5437700716575474
114,-3974.2350304141028,378,0.5356135205826842
115,-3897.759913332054,373,0.527579317773944
116,-3961.7572456504395,377,0.5196656280073348
117,-3914.114067979409,374,0.5118706435872248
118,-3944.8933480304904,376,0.5041925839334164
119,-3911.8871588257934,374,0.49662969517441513
120,-3912.475219023594,374,0.4891802497467989
121,-3854.068290401639,370,0.4818425460005969
122,-3930.559850313771,375,0.47461490781058796
123,-3929.6171853626024,375,0.46749568419342913
124,-3898.086301281656,373,0.46048324893052767
125,-3945.4306570062886,376,0.45357600019656974
126,-3944.680066276822,376,0.4467723601936212
127,-3913.151207687981,374,0.4400707747907169
128,-3962.188707310887,377,0.43346971316885613
129,-4015.1531452926647,380,0.4269676674713233
130,-3963.039841042246,377,0.42056315245925346
