step,energy,activation_count,temperature
0,-2600.5847236249524,419,3.0
1,-2384.0992303440244,383,2.955
2,-2496.0070720131644,386,2.910675
3,-2452.217818168114,370,2.8670148749999997
4,-2447.1198309818233,374,2.8240096518749995
5,-2533.792168733021,373,2.7816495070968745
6,-2909.9202638361294,393,2.7399247644904214
7,-2727.092477661317,387,2.698825893023065
8,-2505.304184968913,373,2.658343504627719
9,-2540.884140035451,371,2.6184683520583034
10,-2799.013252939905,383,2.579191326777429
11,-2629.695133752975,374,2.5405034568757676
12,-2850.7509642623054,383,2.502395905022631
13,-2770.951772403303,376,2.4648599664472917
14,-2804.6841930655105,374,2.427887066950582
15,-2711.993289387708,365,2.3914687609463234
16,-2934.054637950415,380,2.3555967295321287
17,-3167.203201504372,387,2.320262778589147
18,-3014.8177842354703,381,2.2854588369103097
19,-3129.2603511533825,383,2.251176954356655
20,-3215.9348655925037,387,2.217409300041305
21,-3171.637001804327,375,2.1841481605406856
22,-3068.129325785371,371,2.1513859381325755
23,-3298.577564191263,385,2.119115149060587
24,-3325.3470555483505,387,2.087328421824678
25,-3195.577592758396,372,2.056018495497308
26,-3384.5516636312805,382,2.0251782180648483
27,-3263.234069665896,379,1.9948005447938755
28,-3151.289686083759,366,1.9648785366219672
29,-3287.817413710243,372,1.9354053585726376
30,-3162.1163842299275,365,1.906374278194048
31,-3212.9359355041406,369,1.8777786640211374
32,-3362.1478910638775,374,1.8496119840608203
33,-3459.680219337669,379,1.821867804299908
34,-3264.615913536091,365,1.7945397872354092
35,-3451.9158422756786,377,1.767621690426878
36,-3367.4103366386225,369,1.7411073650704747
37,-3458.1822586447906,375,1.7149907545944176
38,-3369.8359693389,367,1.6892658932755014
39,-3652.8014359004674,381,1.6639269048763687
40,-3643.968586423807,381,1.6389680013032233
41,-3520.2993886658505,369,1.6143834812836748
42,-3518.801520449057,373,1.5901677290644196
43,-3491.0435694464145,372,1.5663152131284532
44,-3588.822518383795,373,1.5428204849315263
45,-3540.7588246116893,368,1.5196781776575534
46,-3615.5162717395733,372,1.49688300499269
47,-3605.694866514271,371,1.4744297599177996
48,-3722.08315578767,372,1.4523133135190325
49,-3660.0681480604303,370,1.430528613816247
50,-3599.2055930658544,361,1.4090706846090033
51,-3630.8757316265155,365,1.3879346243398683
52,-3629.679705459288,360,1.3671156049747701
53,-3771.813791591034,373,1.3466088709001485
54,-3777.667875929305,370,1.3264097378366462
55,-3693.67178760045,364,1.3065135917690964
56,-3624.0826682575657,362,1.28691588789256
57,-3754.0499151983063,371,1.2676121495741715
58,-3793.357614589218,370,1.248597967330559
59,-3872.0687855448696,376,1.2298689978206006
60,-3827.683612662444,372,1.2114209628532915
61,-3871.926471031721,375,1.1932496484104922
62,-3836.303486315443,373,1.1753509036843348
63,-3735.524325239283,364,1.1577206401290698
64,-3742.9596245562047,363,1.1403548305271338
65,-3761.5575250428997,367,1.1232495080692269
66,-3704.990266776189,362,1.1064007654481884
67,-3797.431973328155,371,1.0898047539664657
68,-3815.5459876196605,370,1.0734576826569686
69,-3900.774979108367,375,1.057355817417114
70,-3816.2419374021433,370,1.0414954801558574
71,-3739.821855038994,364,1.0258730479535194
72,-3723.252508987046,360,1.0104849522342165
73,-3715.8190254289602,358,0.9953276779507033
74,-3741.5218700204564,362,0.9803977627814427
75,-3813.343764959711,366,0.9656917963397211
76,-3929.4494318673055,374,0.9512064193946252
77,-3884.870518703702,371,0.9369383231037058
78,-4026.230233974916,380,0.9228842482571502
79,-3899.9288463083085,372,0.909040984533293
80,-3862.2569553636126,370,0.8954053697652935
81,-3889.3767482766343,372,0.881974289218814
82,-3942.619806323447,374,0.8687446748805319
83,-3921.288081370561,373,0.8557135047573239
84,-3887.31418847741,370,0.842877802185964
85,-3847.1149952434916,367,0.8302346351531745
86,-3962.37807058418,375,0.8177811156258769
87,-3882.796006700765,369,0.8055143988914887
88,-3967.121640002644,375,0.7934316829081164
89,-3833.054376024509,365,0.7815302076644947
90,-3890.7173137269897,370,0.7698072545495273
91,-3878.738788541531,369,0.7582601457312843
92,-3854.5554152684085,367,0.7468862435453151
93,-3865.3770705286906,367,0.7356829498921353
94,-3905.931514777852,370,0.7246477056437532
95,-4029.533771681821,378,0.7137779900590969
96,-3881.478639125108,368,0.7030713202082105
97,-3863.719517325801,367,0.6925252504050874
